Date,Open,High,Low,Close,Volume
2022-05-31,1835.0,1835.0,1820.0,1820.0,22
2022-06-01,1830.0,1830.0,1820.0,1822.5,166
2022-06-02,1760.0,1760.0,1682.0,1708.5,1264
2022-06-05,1723.0,1723.5,1703.5,1718.0,105
2022-06-06,1696.0,1757.5,1696.0,1757.5,3525
2022-06-07,1747.5,1747.5,1691.0,1700.0,2274
2022-06-08,1681.0,1710.0,1655.0,1709.0,32775
2022-06-09,1681.5,1694.5,1640.0,1677.5,757
2022-06-12,1558.5,1615.0,1558.5,1592.5,3486
2022-06-13,1581.5,1581.5,1530.0,1565.5,1906
2022-06-14,1615.0,1639.5,1563.5,1592.5,3030
2022-06-15,1505.5,1505.5,1442.0,1469.5,5120
2022-06-20,1581.5,1594.5,1550.0,1566.0,2009
2022-06-21,1570.5,1610.0,1550.0,1562.0,609
2022-06-22,1525.0,1542.5,1495.0,1542.0,1372
2022-06-23,1614.0,1648.5,1610.0,1645.5,1907
2022-06-26,1622.5,1665.0,1574.0,1665.0,1893
2022-06-27,1750.0,1774.0,1669.5,1690.5,2351
2022-06-28,1629.5,1641.5,1595.5,1632.0,1548
2022-06-29,1553.5,1627.5,1549.0,1608.5,3554
2022-06-30,1629.5,1655.0,1590.0,1653.0,1537
2022-07-03,1830.0,1830.0,1685.0,1753.0,1906
2022-07-04,1752.0,1920.0,1739.0,1916.5,5608
2022-07-05,1898.5,1956.5,1871.0,1947.5,740
2022-07-06,1960.0,2098.0,1895.5,2090.5,33552
2022-07-07,2070.0,2124.0,2030.0,2112.0,3582
2022-07-10,2120.0,2120.0,1965.0,2019.5,802
2022-07-11,2119.5,2240.0,2119.5,2160.0,4036
2022-07-12,2240.0,2240.0,2012.0,2090.5,5981
2022-07-13,2139.0,2139.0,2097.0,2106.0,17403
2022-07-14,2099.0,2182.0,2083.0,2180.5,1394
2022-07-17,2230.0,2253.5,2204.0,2217.0,1843
2022-07-18,2288.5,2343.0,2274.5,2331.0,6485
2022-07-19,2326.5,2397.0,2301.0,2387.5,13902
2022-07-20,2251.0,2384.5,2215.0,2351.5,21490
2022-07-21,2425.0,2425.0,2204.5,2234.5,3479
2022-07-24,2232.0,2271.0,2149.5,2257.5,21875
2022-07-25,2230.0,2278.0,2203.0,2237.5,1070
2022-07-26,2241.0,2323.0,2216.5,2321.5,9238
2022-07-27,2279.5,2279.5,2072.0,2159.0,5149
2022-07-28,2161.5,2167.5,1955.0,1992.0,2240
2022-07-31,1992.0,2027.5,1912.0,2020.0,2481
2022-08-01,2005.5,2074.0,1970.0,2036.0,36446
2022-08-02,2070.0,2125.0,2045.0,2115.0,5482
2022-08-03,2120.0,2188.0,2054.5,2174.5,7465
2022-08-04,2211.0,2211.0,2094.5,2095.0,2347
2022-08-07,2161.0,2181.0,2073.0,2142.0,3833
2022-08-08,2125.0,2125.0,2064.5,2098.0,1345
2022-08-09,2180.0,2200.0,2145.5,2173.0,5544
2022-08-10,2190.0,2210.0,2134.5,2139.0,888
2022-08-11,2140.0,2189.0,2134.0,2175.0,1073
2022-08-15,2175.0,2215.5,2144.0,2180.5,545
2022-08-16,2180.0,2180.0,2100.5,2154.0,2363
2022-08-17,2121.5,2190.0,2121.5,2182.5,868
2022-08-18,2113.5,2136.0,2103.5,2133.0,1585
2022-08-21,2102.0,2102.0,2031.0,2040.0,1087
2022-08-22,2045.0,2085.0,2020.0,2069.0,6835
2022-08-23,2060.5,2114.0,2054.5,2098.0,632
2022-08-24,2041.5,2173.0,2041.5,2134.0,1534
2022-08-25,2173.0,2173.0,2020.5,2026.5,1075
2022-08-28,2010.0,2021.5,1959.5,1985.0,909
2022-08-29,1986.5,1986.5,1947.5,1969.5,1158
2022-08-30,1959.5,2000.0,1911.5,1920.5,684
2022-08-31,1877.0,1882.5,1847.0,1865.5,368
2022-09-04,1865.5,1865.5,1770.0,1837.0,184
2022-09-05,1851.5,1888.0,1812.0,1875.0,438
2022-09-06,1897.5,1972.0,1888.0,1965.5,1525
2022-09-07,1965.5,1999.5,1947.0,1987.0,4643
2022-09-08,2000.0,2026.5,1990.0,1997.5,1969
2022-09-11,2030.5,2061.5,2010.0,2032.0,849
2022-09-12,1996.0,1996.0,1909.0,1914.0,3171
2022-09-13,1900.0,1992.0,1862.5,1986.0,790
2022-09-14,2018.5,2153.0,2018.5,2106.5,1565
2022-09-15,2062.0,2095.5,2049.0,2064.0,1087
2022-09-18,2148.5,2170.0,2115.0,2157.5,1599
2022-09-19,2151.0,2191.5,2068.0,2106.0,1502
2022-09-20,2047.5,2107.0,2018.5,2041.5,5388
2022-09-21,1982.0,1995.0,1950.0,1994.0,10808
2022-09-22,1955.0,1955.0,1854.0,1897.5,1545
2022-09-25,1917.0,1951.0,1834.5,1840.0,895
2022-09-26,1903.0,1926.0,1814.0,1866.5,1080
2022-09-27,1912.0,1960.0,1912.0,1955.5,911
2022-09-28,1908.0,1940.0,1838.5,1897.0,657
2022-09-29,1887.5,1900.0,1800.0,1851.0,716
2022-10-02,1839.5,1872.0,1832.5,1841.5,639
2022-10-03,1941.0,2010.0,1941.0,2004.0,1741
2022-10-04,1968.5,2014.5,1932.5,2014.5,1288
2022-10-05,1976.5,1982.5,1923.5,1960.0,3096
2022-10-10,1901.5,1915.0,1809.0,1869.5,790
2022-10-11,1910.5,1974.0,1909.5,1973.0,4224
2022-10-12,2000.0,2067.5,1949.0,2047.5,6100
2022-10-13,2080.0,2099.0,2043.0,2066.0,6101
2022-10-16,2066.0,2081.5,2001.0,2031.5,4677
2022-10-17,2079.5,2120.0,2061.0,2086.5,3904
2022-10-18,2105.0,2173.0,2094.0,2132.0,2646
2022-10-19,2086.0,2100.0,2036.5,2042.5,1545
2022-10-20,2027.0,2113.0,2027.0,2052.0,1117
2022-10-23,2090.0,2150.0,2072.0,2147.5,557
2022-10-24,2150.0,2198.0,2127.5,2191.0,2059
2022-10-25,2200.0,2211.5,2137.5,2147.0,1818
2022-10-26,2168.0,2199.5,2131.5,2131.5,5272
2022-10-27,2129.0,2161.5,2105.5,2154.5,1834
2022-10-30,2150.0,2204.5,2129.5,2179.0,1134
2022-10-31,2230.0,2230.0,2132.0,2140.0,705
2022-11-01,2230.0,2230.0,2070.0,2082.5,597
2022-11-02,2058.5,2117.0,2023.5,2083.0,369
2022-11-03,2180.5,2188.5,2113.0,2138.0,254
2022-11-06,2220.0,2246.5,2092.5,2174.5,349
2022-11-07,2156.0,2198.0,2150.5,2158.0,989
2022-11-08,2178.0,2191.5,2135.5,2158.0,539
2022-11-09,2230.0,2310.0,2198.5,2299.0,1451
2022-11-10,2299.0,2357.0,2222.0,2305.5,1517
2022-11-13,2306.0,2328.0,2255.5,2279.5,687
2022-11-14,2330.0,2361.5,2312.5,2340.5,1905
2022-11-15,2344.0,2367.5,2263.0,2269.0,655
2022-11-16,2290.0,2350.5,2250.0,2338.5,618
2022-11-17,2372.0,2448.0,2310.0,2331.0,3130
2022-11-21,2327.5,2327.5,2208.0,2310.0,668
2022-11-22,2315.0,2374.0,2287.0,2339.0,298
2022-11-23,2415.0,2454.0,2266.0,2275.5,60
2022-11-24,2350.0,2412.5,2268.5,2369.0,573
2022-11-28,2227.5,2321.0,2217.5,2321.0,409
2022-11-29,2310.0,2334.0,2245.5,2319.0,364
2022-11-30,2360.0,2368.0,2260.5,2277.0,416
2022-12-01,2253.0,2290.0,2228.5,2290.0,584
2022-12-04,2285.0,2344.5,2253.5,2334.0,441
2022-12-05,2343.0,2464.0,2314.5,2456.0,3477
2022-12-06,2400.0,2474.0,2294.0,2294.0,2294
2022-12-11,2281.0,2355.5,2272.5,2352.0,1117
2022-12-12,2395.5,2436.0,2210.0,2266.0,8936
2022-12-13,2235.0,2348.0,2190.5,2196.5,7918
2022-12-14,2208.0,2209.5,2130.0,2158.0,3566
2022-12-15,2160.5,2171.0,2083.0,2130.5,1869
2022-12-18,2153.0,2153.0,2067.5,2075.5,4490
2022-12-19,2076.0,2115.5,2065.5,2083.0,366
2022-12-20,2043.5,2213.5,2043.5,2176.5,1252
2022-12-21,2185.0,2185.0,2057.5,2097.0,2385
2022-12-22,2085.0,2128.5,2066.5,2110.0,691
2022-12-25,2160.0,2197.5,2055.0,2111.0,131
2022-12-26,2111.5,2174.0,2111.5,2117.0,1553
2022-12-27,2117.0,2186.5,2042.0,2133.0,825
2022-12-28,2116.0,2175.0,2116.0,2175.0,939
2022-12-29,2200.0,2200.0,2077.0,2181.5,2266
2023-01-01,2190.0,2350.0,2100.5,2290.0,268
2023-01-02,2255.0,2255.0,2140.0,2177.5,2187
2023-01-03,2227.0,2315.0,2218.5,2308.0,2808
2023-01-04,2308.0,2398.0,2299.5,2398.0,2226
