Date,Open,High,Low,Close,Volume
2020-03-13,760.0,760.0,671.0,698.5,482
2020-03-16,655.0,655.0,580.5,586.0,110
2020-03-17,600.0,650.0,600.0,650.0,30
2020-03-18,580.0,580.0,570.0,570.0,3
2020-03-19,570.0,570.0,570.0,570.0,9
2020-03-20,570.0,570.0,570.0,570.0,0
2020-03-25,605.0,609.5,605.0,609.5,21
2020-03-26,660.0,660.0,654.0,654.0,32
2020-03-27,654.0,654.0,654.0,654.0,0
2020-03-30,654.0,654.0,654.0,654.0,0
2020-04-01,654.0,654.0,654.0,654.0,0
2020-04-02,654.0,654.0,654.0,654.0,0
2020-04-03,582.0,595.0,578.0,585.0,527
2020-04-06,620.0,638.5,620.0,620.0,76
2020-04-07,671.0,671.0,650.0,655.0,237
2020-04-08,645.0,695.0,644.0,695.0,1451
2020-04-13,700.0,712.0,675.0,701.5,695
2020-04-14,725.0,725.0,725.0,725.0,3
2020-04-15,725.0,790.0,725.0,790.0,29
2020-04-16,800.0,800.0,760.0,760.0,40
2020-04-17,760.0,760.0,760.0,760.0,0
2020-04-20,700.0,709.0,680.0,709.0,150
2020-04-21,718.0,733.5,718.0,733.5,182
2020-04-22,722.5,733.0,715.0,730.5,196
2020-04-23,738.0,745.0,730.0,730.0,575
2020-04-24,720.0,720.0,621.5,668.0,1258
2020-04-27,703.5,730.0,703.5,720.0,281
2020-04-28,736.0,770.0,736.0,770.0,166
2020-04-29,765.0,765.0,720.0,727.0,334
2020-04-30,750.0,757.0,710.0,744.0,487
2020-05-04,744.0,744.0,706.0,726.5,215
2020-05-05,760.0,799.0,760.0,775.0,78
2020-05-06,799.0,799.0,730.0,732.0,355
2020-05-07,751.0,751.0,710.0,720.0,1463
2020-05-08,730.5,780.0,730.5,733.5,338
2020-05-11,740.0,765.0,740.0,765.0,147
2020-05-12,785.0,790.0,742.0,742.0,1492
2020-05-13,750.0,761.0,715.0,719.0,45
2020-05-14,719.0,755.0,719.0,739.5,392
2020-05-15,759.0,777.0,740.0,740.0,183
2020-05-18,780.0,825.0,780.0,820.0,353
2020-05-19,860.0,930.0,826.0,930.0,335
2020-05-20,937.0,1270.0,930.0,1210.0,343
2020-05-21,1200.0,1200.0,1080.0,1140.0,1814
2020-05-22,1120.0,1120.0,970.0,1060.0,1911
2020-05-26,1020.0,1050.0,999.0,1050.0,2214
2020-05-27,1090.0,1090.0,1002.0,1025.0,261
2020-05-28,1025.0,1036.0,955.0,955.0,320
2020-05-29,945.5,1030.0,891.0,923.0,241
2020-06-01,936.0,990.0,848.5,896.0,1549
2020-06-02,920.0,920.0,860.0,879.0,11587
2020-06-03,893.0,940.0,893.0,930.0,2834
2020-06-04,950.0,973.0,906.0,928.0,1149
2020-06-05,970.0,1029.5,970.0,1010.0,9044
2020-06-08,1060.0,1140.0,1059.5,1070.0,8113
2020-06-09,1065.0,1065.0,1001.0,1030.0,2713
2020-06-10,1050.0,1065.0,967.0,1000.0,1885
2020-06-11,980.0,980.0,881.5,900.0,2103
2020-06-12,980.0,980.0,896.0,928.0,718
2020-06-16,928.0,977.0,860.0,899.5,7124
2020-06-17,909.0,910.0,861.0,871.0,4315
2020-06-18,855.0,870.5,843.0,850.0,5139
2020-06-19,844.0,903.0,837.5,865.0,188
2020-06-22,910.0,911.0,874.0,883.0,512
2020-06-23,890.5,914.5,883.0,903.0,273
2020-06-24,905.0,905.0,825.0,866.0,1155
2020-06-25,895.0,902.0,855.0,860.0,248
2020-06-26,837.5,844.0,828.0,830.0,621
2020-06-29,855.0,859.0,826.0,830.0,48
2020-06-30,841.0,850.0,840.0,850.0,567
2020-07-01,860.0,910.0,851.0,910.0,2831
2020-07-02,910.0,937.0,878.0,900.0,8888
2020-07-03,885.0,905.0,860.0,905.0,369
2020-07-06,906.0,928.0,873.0,882.0,1809
2020-07-07,882.0,920.5,870.0,903.0,938
2020-07-08,902.5,912.0,884.5,910.5,2884
2020-07-13,950.0,950.0,883.0,893.0,1059
2020-07-14,893.0,905.5,862.0,893.0,2366
2020-07-15,905.0,925.0,897.0,925.0,1941
2020-07-16,930.0,930.0,899.0,910.0,2065
2020-07-17,920.0,920.0,901.5,918.0,528
2020-07-20,925.0,957.5,922.5,950.0,4378
2020-07-21,990.0,1020.0,972.0,1020.0,3079
2020-07-22,1023.0,1062.0,1001.0,1020.0,17855
2020-07-23,1015.0,1015.0,954.0,974.0,940
2020-07-24,961.0,1002.0,961.0,999.0,2375
2020-07-27,1050.0,1050.0,1010.5,1040.0,1119
2020-07-28,1003.0,1040.0,1003.0,1036.5,740
2020-07-29,1045.0,1055.0,1036.5,1038.0,2413
2020-07-30,1063.0,1083.0,1017.0,1060.0,2218
2020-07-31,1040.0,1040.0,995.0,1000.0,6309
2020-08-03,995.0,1007.5,965.0,984.5,6061
2020-08-04,970.0,970.0,891.0,950.0,4657
2020-08-05,968.5,968.5,893.5,929.0,20360
2020-08-06,927.0,937.0,894.0,937.0,4844
2020-08-07,927.0,950.0,920.0,948.0,6464
2020-08-10,960.0,965.0,930.0,933.0,4777
2020-08-11,949.0,974.0,940.0,963.0,2343
2020-08-12,963.0,980.0,936.0,975.0,8501
2020-08-13,970.0,994.0,956.0,988.0,17217
2020-08-14,980.0,980.0,927.0,931.0,1315
2020-08-18,926.0,950.0,920.0,939.5,226
2020-08-19,989.0,989.0,922.0,933.5,1078
2020-08-20,929.0,960.0,901.0,944.0,5406
2020-08-21,960.0,960.0,910.0,945.0,383
2020-08-24,950.0,975.0,930.0,937.5,1270
2020-08-25,946.0,946.0,902.0,930.0,946
2020-08-26,948.0,948.0,872.0,905.5,3883
2020-08-27,907.0,907.0,857.0,870.0,2839
2020-08-28,866.0,896.5,866.0,896.0,1033
2020-08-31,900.0,900.0,851.0,888.5,2220
2020-09-01,895.0,915.0,890.0,910.5,1370
2020-09-02,913.5,914.0,889.0,912.5,640
2020-09-03,913.0,913.0,889.0,900.0,1993
2020-09-04,900.0,900.0,844.0,896.0,418
2020-09-07,896.0,898.0,860.0,890.0,611
2020-09-08,890.0,890.0,846.0,858.0,206
2020-09-09,870.0,875.0,862.5,873.0,2005
2020-09-10,880.0,908.5,880.0,902.5,544
2020-09-11,906.0,906.0,887.0,894.0,457
2020-09-14,870.0,919.0,870.0,917.5,2298
2020-09-15,935.0,958.0,920.0,940.0,19321
2020-09-16,961.5,979.0,957.0,967.0,1125
2020-09-17,991.0,991.0,962.0,981.5,9077
2020-09-18,913.0,994.0,913.0,981.0,5144
2020-09-21,980.0,1005.0,928.5,986.0,1572
2020-09-22,990.0,1025.0,970.0,1022.5,1789
2020-09-23,1025.0,1025.0,981.0,982.0,1094
2020-09-24,999.0,1029.5,958.5,985.0,1169
2020-09-25,1009.5,1012.0,978.5,1000.0,2432
2020-09-28,1001.0,1001.0,965.0,987.5,1444
2020-09-29,1005.0,1010.5,954.5,964.0,363
2020-09-30,975.0,995.0,975.0,988.0,1443
2020-10-01,988.0,995.0,955.0,993.0,1967
2020-10-02,993.0,1018.0,976.5,1011.0,1187
2020-10-05,1020.0,1045.0,1010.0,1041.0,4599
2020-10-06,1090.0,1140.0,1075.0,1097.5,7594
2020-10-07,1106.0,1160.0,1105.0,1119.0,846
2020-10-08,1120.0,1140.0,1114.0,1128.5,1153
2020-10-09,1128.0,1199.0,1105.0,1182.5,2033
