Date,Open,High,Low,Close,Volume
2024-04-11,4633.526,4633.526,4476.474,4584.752,2377
2024-04-12,4586.703,4682.3,4579.875,4682.3,2139
2024-04-15,4682.3,4761.802,4487.205,4653.036,2678
2024-04-16,4389.657,4584.752,4315.032,4438.431,356
2024-04-17,4390.632,4584.752,4389.657,4535.979,281
2024-04-18,4535.979,4535.979,4124.326,4469.158,1145
2024-04-19,4389.657,4553.049,4340.883,4467.207,330
2024-04-22,4394.534,4584.752,4292.109,4584.752,423
2024-04-23,4360.392,4584.752,4194.561,4551.098,683
2024-04-24,4395.022,4682.3,4097.013,4540.856,865
2024-04-25,4097.013,4550.611,4097.013,4360.392,1235
2024-04-26,4360.392,4405.752,4145.787,4356.49,557
2024-04-29,4464.281,4682.3,4194.561,4339.419,589
2024-04-30,4389.657,4877.396,3985.32,4006.293,2664
2024-05-02,4097.501,4676.935,4009.22,4400.387,1808
2024-05-03,4584.752,4584.752,4404.289,4503.3,12944
2024-05-06,4516.469,4584.265,4390.632,4500.861,5962
2024-05-07,4501.349,4566.218,4438.431,4468.67,3149
2024-05-08,4481.352,4492.082,4409.166,4426.237,1932
2024-05-09,4389.169,4389.169,4199.438,4296.498,1632
2024-05-10,4292.109,4412.093,4257.967,4286.256,1929
2024-05-13,4344.297,4387.706,4265.771,4351.613,4844
2024-05-14,4389.657,4396.485,4283.817,4322.349,3484
2024-05-15,4340.883,4379.902,4265.771,4379.902,1275
2024-05-16,4437.943,4456.965,4379.902,4428.676,9239
2024-05-17,4370.635,4384.292,4292.109,4372.098,844
2024-05-20,4370.147,4584.752,4350.637,4545.733,2132
2024-05-21,4535.979,4779.848,4510.616,4768.63,2476
2024-05-22,4747.17,5059.811,4747.17,4991.04,2065
2024-05-23,5003.233,5186.623,4868.129,5015.914,2535
2024-05-24,5047.617,5047.617,4754.486,4833.012,969
2024-05-27,4709.126,5072.492,4518.908,4972.506,639
2024-05-28,4813.99,4895.443,4682.3,4711.077,1443
2024-05-29,4731.074,4731.074,4564.755,4632.063,1290
2024-05-30,4633.526,4633.526,4399.411,4515.981,3506
2024-05-31,4467.695,4594.507,4467.695,4594.507,2715
2024-06-03,4679.374,4770.094,4597.921,4730.099,3276
2024-06-04,4857.887,5218.814,4770.094,4951.533,6081
2024-06-05,5104.195,5212.961,4862.764,5042.74,3661
2024-06-06,5082.247,5170.04,4899.832,4931.048,2152
2024-06-07,4862.764,4979.334,4779.848,4924.219,1289
2024-06-10,4938.851,5023.718,4826.671,4988.113,881
2024-06-11,5022.743,5023.718,4698.396,5023.23,519
2024-06-12,5121.266,5121.266,4782.775,5019.329,1847
2024-06-13,4682.3,4828.622,4587.191,4704.249,1562
2024-06-14,4606.213,4859.838,4589.63,4767.655,7620
2024-06-18,4789.603,5072.492,4624.747,5042.74,4988
2024-06-19,5023.718,5040.301,4789.603,5019.329,4864
2024-06-24,5024.206,5365.136,5023.718,5277.343,6934
2024-06-25,5301.73,5534.382,5030.059,5243.689,7088
2024-06-26,5033.473,5381.719,5033.473,5277.343,3371
2024-06-27,5267.588,5390.986,5093.465,5265.149,3451
2024-06-28,5238.811,5390.986,5238.324,5331.482,3293
