Date,Open,High,Low,Close,Volume
2025-07-31,6807.792,6857.484,6768.038,6777.977,268
2025-08-01,6609.024,6768.038,6609.024,6728.285,4515
2025-08-04,6728.285,6797.853,6728.285,6768.038,4341
2025-08-05,6768.038,6787.915,6668.654,6678.593,3730
2025-08-06,6708.408,6708.408,6658.716,6698.469,8058
2025-08-07,6758.1,6758.1,6638.839,6678.593,1296
2025-08-08,6728.285,6748.161,6688.531,6738.223,4718
2025-08-11,6738.223,6748.161,6658.716,6678.593,3606
2025-08-12,6748.161,6768.038,6688.531,6748.161,3182
2025-08-13,6748.161,6797.853,6728.285,6728.285,32907
2025-08-14,6748.161,6768.038,6648.778,6708.408,909
2025-08-18,6708.408,6708.408,6609.024,6658.716,2796
2025-08-19,6668.654,6668.654,6579.209,6628.901,6763
2025-08-20,6628.901,6668.654,6559.332,6668.654,3451
2025-08-21,6618.962,6688.531,6599.086,6688.531,2518
2025-08-22,6748.161,6847.545,6748.161,6817.73,229129
2025-08-25,6847.545,6976.744,6847.545,6976.744,4540
2025-08-26,6936.991,6956.867,6857.484,6946.929,3829
2025-08-27,6917.114,7006.559,6907.176,6966.806,1109
2025-08-28,6966.806,6966.806,6867.422,6917.114,2176
2025-08-29,6867.422,6927.052,6748.161,6887.299,1568
2025-09-01,6877.36,7453.787,6877.36,7066.19,103
2025-09-02,7016.498,7016.498,6887.299,6956.867,3146
2025-09-03,6907.176,6986.683,6897.237,6976.744,8454
2025-09-04,6996.621,7076.128,6986.683,7076.128,54187
2025-09-05,7145.697,7175.512,7066.19,7125.82,5013
2025-09-08,7433.91,7533.294,7344.464,7433.91,3191
2025-09-09,7423.971,7443.848,7359.372,7419.002,7030
2025-09-10,7448.817,7453.787,7364.341,7428.941,3304
2025-09-11,7463.725,7568.078,7404.095,7568.078,3208
2025-09-12,7543.232,7692.308,7543.232,7687.339,1822
2025-09-15,7732.061,7851.322,7722.123,7851.322,7759
2025-09-16,7841.383,7841.383,7707.215,7746.969,20667
2025-09-17,7766.846,7856.291,7761.876,7856.291,9615
2025-09-18,7891.075,8219.042,7856.291,8214.073,20133
2025-09-19,8199.165,8263.765,8094.812,8209.104,7653
2025-09-22,8060.028,8060.028,7548.201,7592.924,8128
2025-09-23,7364.341,7498.509,7240.111,7473.663,7769
2025-09-24,7289.803,7379.249,7215.265,7314.649,4353
2025-09-25,7294.772,7344.464,7190.419,7334.526,7372
2025-09-26,7374.279,7737.03,7299.742,7712.184,45120
2025-09-29,7771.815,7876.168,7737.03,7871.199,5938
2025-09-30,7836.414,8169.35,7836.414,8164.381,21643
2025-10-01,8219.042,8402.902,8169.35,8358.179,18338
2025-10-02,8353.21,8462.532,8228.98,8288.611,16528
2025-10-03,8338.303,8338.303,8104.751,8149.473,11308
2025-10-06,8149.473,8204.134,8104.751,8139.535,10390
2025-10-07,8179.288,8313.457,8129.597,8313.457,10132
2025-10-08,8368.118,8378.056,8248.857,8303.518,12297
2025-10-09,8313.457,8368.118,7771.815,7786.722,10429
2025-10-13,7622.739,7697.277,7274.896,7563.109,5668
2025-10-14,7478.632,7846.353,7428.941,7727.092,22255
2025-10-15,7801.63,7886.106,7597.893,7742.0,2460
2025-10-16,7707.215,7905.983,7707.215,7896.045,7712
2025-10-17,7886.106,8228.98,7811.568,8224.011,6470
2025-10-20,8248.857,8427.748,8199.165,8422.779,4037
2025-10-21,8338.303,8626.516,8293.58,8621.546,8901
2025-10-22,8641.423,8656.331,8512.224,8591.731,16318
2025-10-23,8547.009,8547.009,8253.826,8288.611,5381
2025-10-24,8303.518,8472.471,8268.734,8447.625,5461
2025-10-27,8447.625,8944.544,6792.884,8392.964,5229
2025-10-28,8025.243,8169.35,8025.243,8149.473,15832
2025-10-29,8134.566,8149.473,8035.182,8069.966,2454
2025-10-30,8025.243,8099.781,8025.243,8074.935,6297
2025-10-31,8134.566,8169.35,8020.274,8114.689,7035
2025-11-03,8149.473,8278.672,8060.028,8273.703,9478
2025-11-04,8224.011,8228.98,8055.059,8084.874,5990
2025-11-05,8139.535,8139.535,7965.613,8099.781,11480
2025-11-06,8154.442,8174.319,7970.582,8005.367,2091
2025-11-07,8050.089,8094.812,7806.599,7861.26,8000
2025-11-10,7881.137,8427.748,7881.137,8025.243,3679
2025-11-11,8064.997,8074.935,7910.952,8030.213,2298
2025-11-12,7876.168,8064.997,7876.168,8040.151,4176
2025-11-13,8045.12,8089.843,7935.798,7950.706,4192
2025-11-14,7851.322,8015.305,7836.414,8005.367,6463
2025-11-17,8055.059,8378.056,7851.322,7856.291,5748
2025-11-18,7851.322,7950.706,7712.184,7776.784,9864
2025-11-19,7776.784,7816.537,7568.078,7751.938,2856
2025-11-20,7756.907,7930.829,7751.938,7786.722,3021
2025-11-21,7851.322,7930.829,7791.692,7905.983,354
2025-11-25,7915.921,8442.656,7915.921,8139.535,3144
2025-11-26,8000.398,8283.641,7960.644,8258.795,20628
2025-11-27,8248.857,8944.544,8248.857,8472.471,3279
2025-11-28,8845.16,8934.605,8149.473,8184.258,9731
2025-12-01,8184.258,8233.95,8099.781,8179.288,2355
2025-12-02,8233.95,8258.795,8179.288,8214.073,8028
2025-12-03,8263.765,8263.765,8134.566,8194.196,3569
2025-12-04,8397.933,8397.933,8154.442,8214.073,2002
2025-12-05,8199.165,8283.641,8104.751,8194.196,6156
2025-12-09,8189.227,8194.196,8069.966,8124.627,2167
2025-12-10,8119.658,8214.073,8079.905,8214.073,4374
2025-12-11,8248.857,8263.765,8149.473,8258.795,5877
2025-12-12,8556.947,8556.947,8154.442,8219.042,5266
2025-12-15,8224.011,8363.148,8219.042,8303.518,7284
2025-12-16,8360.0,8360.0,8110.0,8315.0,10524
2025-12-17,8405.0,8405.0,8205.0,8320.0,4969
2025-12-18,8400.0,8400.0,8240.0,8320.0,7338
2025-12-19,8395.0,8405.0,8300.0,8405.0,12092
2025-12-22,8345.0,8450.0,8345.0,8425.0,2905
2025-12-23,8505.0,8510.0,8365.0,8380.0,5791
2025-12-24,8500.0,8500.0,8375.0,8375.0,1488
2025-12-26,8375.0,9000.0,8300.0,8425.0,5423
2025-12-29,8350.0,8470.0,8305.0,8390.0,12912
2025-12-30,8420.0,8460.0,8300.0,8340.0,10846
2026-01-02,8420.0,8475.0,8395.0,8455.0,9261
2026-01-05,8525.0,8535.0,8445.0,8515.0,9837
2026-01-06,8600.0,8600.0,8490.0,8535.0,12583
2026-01-07,8550.0,8570.0,8450.0,8510.0,20385
2026-01-08,8550.0,8550.0,8360.0,8455.0,4398
