Date,Open,High,Low,Close,Volume
2019-04-05,617.5,617.5,617.5,617.5,1750
2019-04-08,617.5,617.5,617.5,617.5,0
2019-04-09,617.5,617.5,617.5,617.5,0
2019-04-10,617.5,617.5,617.5,617.5,0
2019-04-11,617.5,617.5,617.5,617.5,0
2019-04-15,617.5,617.5,617.5,617.5,0
2019-04-16,617.5,617.5,617.5,617.5,0
2019-04-17,617.5,617.5,617.5,617.5,0
2019-04-22,617.5,617.5,617.5,617.5,0
2019-04-23,617.5,617.5,617.5,617.5,0
2019-04-24,617.5,617.5,617.5,617.5,0
2019-04-26,617.5,617.5,617.5,617.5,0
2019-04-29,617.5,617.5,617.5,617.5,0
2019-05-02,617.5,617.5,617.5,617.5,0
2019-05-03,617.5,617.5,617.5,617.5,0
2019-05-06,617.5,617.5,617.5,617.5,0
2019-05-07,617.5,617.5,617.5,617.5,0
2019-05-09,617.5,617.5,617.5,617.5,0
2019-05-10,617.5,617.5,617.5,617.5,0
2019-05-13,617.5,617.5,617.5,617.5,0
2019-05-15,617.5,617.5,617.5,617.5,0
2019-05-16,617.5,617.5,617.5,617.5,0
2019-05-17,617.5,617.5,617.5,617.5,0
2019-05-20,617.5,617.5,617.5,617.5,0
2019-05-21,617.5,617.5,617.5,617.5,0
2019-05-22,617.5,617.5,617.5,617.5,0
2019-05-23,617.5,617.5,617.5,617.5,0
2019-05-24,617.5,617.5,617.5,617.5,0
2019-05-27,617.5,617.5,617.5,617.5,0
2019-05-28,617.5,617.5,617.5,617.5,0
2019-05-30,605.0,605.0,605.0,605.0,700
2019-06-03,605.0,605.0,605.0,605.0,0
2019-06-04,605.0,605.0,605.0,605.0,0
2019-06-05,605.0,605.0,605.0,605.0,0
2019-06-06,605.0,605.0,605.0,605.0,0
2019-06-07,605.0,605.0,605.0,605.0,0
2019-06-10,605.0,605.0,605.0,605.0,0
2019-06-11,605.0,605.0,605.0,605.0,0
2019-06-12,605.0,605.0,605.0,605.0,1
2019-06-13,605.0,605.0,605.0,605.0,0
2019-06-18,605.0,605.0,605.0,605.0,0
2019-06-19,605.0,605.0,605.0,605.0,0
2019-06-21,605.0,605.0,605.0,605.0,0
2019-06-24,605.0,605.0,605.0,605.0,0
2019-06-25,605.0,605.0,605.0,605.0,0
2019-06-26,592.0,594.0,592.0,594.0,2164
2019-06-27,592.0,594.0,592.0,594.0,0
2019-06-28,592.0,594.0,592.0,594.0,0
2019-07-01,592.0,594.0,592.0,594.0,0
2019-07-03,592.0,594.0,592.0,594.0,0
2019-07-10,592.5,592.5,592.0,592.5,1258
2019-07-12,588.5,597.0,588.5,597.0,15737
2019-07-15,590.0,590.0,587.0,587.5,1489
2019-07-16,597.0,598.0,595.0,595.5,1879
2019-07-17,582.5,582.5,569.0,577.5,3039
2019-07-18,584.0,584.0,570.5,570.5,442
2019-07-19,584.0,588.0,580.0,586.5,1742
2019-07-22,592.0,595.0,590.0,595.0,20
2019-07-23,587.5,587.5,587.5,587.5,25
2019-07-24,587.5,587.5,587.5,587.5,0
2019-07-26,606.0,606.0,600.0,600.0,156
2019-07-29,610.5,610.5,610.5,610.5,3
2019-07-30,602.0,603.0,598.0,598.0,58
2019-07-31,598.5,598.5,598.5,598.5,2
2019-08-01,612.0,615.5,608.5,613.5,16859
