Date,Open,High,Low,Close,Volume
2020-09-07,6100.0,6398.5,6050.0,6150.0,754000
2020-09-08,6150.0,6200.0,6060.0,6190.0,1274988
2020-09-09,6200.0,6350.0,6200.0,6260.0,759805
2020-09-10,6200.0,6310.0,6200.0,6270.0,494327
2020-09-11,6300.0,6300.0,6110.0,6190.0,985682
2020-09-14,6270.0,6270.0,6021.5,6124.5,1176755
2020-09-15,6130.0,6194.5,5950.0,5950.0,1630721
2020-09-16,6049.5,6049.5,5760.0,5810.0,473079
2020-09-17,5800.0,5800.0,5420.0,5600.0,878602
2020-09-18,5600.0,5789.5,5599.5,5745.0,821910
2020-09-21,5790.0,5830.0,5550.0,5800.0,714178
2020-09-22,5800.0,5870.0,5681.0,5775.0,933151
2020-09-23,5650.0,5878.0,5650.0,5874.0,1639517
2020-09-24,5890.0,5890.0,5650.0,5717.5,1137731
2020-09-25,5719.0,5779.0,5690.0,5769.0,1453517
2020-09-28,5682.0,5830.0,5680.0,5829.5,1348701
2020-09-29,5811.0,5909.5,5750.0,5865.0,704606
2020-09-30,5815.0,5949.5,5815.0,5920.0,5036634
2020-10-01,6049.0,6049.0,5900.0,5979.5,729761
2020-10-02,5852.0,6024.5,5850.0,6017.0,968909
2020-10-05,6050.0,6050.0,5929.0,5980.0,1444702
2020-10-06,5800.0,5980.0,5800.0,5830.0,647793
2020-10-07,5831.0,5924.5,5700.0,5830.0,859800
2020-10-08,5865.0,5880.0,5782.0,5880.0,1675651
2020-10-09,5970.0,6129.0,5900.0,6020.0,4253370
2020-10-13,5990.0,6135.0,5990.0,6065.0,763656
2020-10-14,6294.0,6294.0,6037.5,6135.0,1331733
2020-10-15,6246.5,6299.0,6190.0,6225.0,1380897
2020-10-16,6220.0,6350.0,6001.0,6095.0,1952915
2020-10-19,6198.5,6198.5,5940.0,6031.0,1282796
2020-10-20,6050.0,6090.0,5805.0,6030.0,1086363
2020-10-21,6140.0,6190.0,6060.0,6099.0,969604
2020-10-22,6099.0,6130.0,5905.0,6099.0,1450894
2020-10-23,6050.0,6200.0,5905.0,5905.0,1746056
2020-10-26,6100.0,6100.0,5635.0,5635.0,1203662
2020-10-27,5860.0,5860.0,5300.0,5530.0,1382429
2020-10-28,5800.0,5800.0,5250.0,5300.0,1985408
2020-10-29,5420.0,5420.0,5190.0,5245.0,1409621
2020-10-30,5329.0,5329.0,5100.0,5183.0,962045
2020-11-02,5250.0,5250.0,5150.0,5189.0,432223
2020-11-03,5200.0,5295.0,5200.0,5280.0,1956466
2020-11-04,5350.0,5350.0,5260.0,5300.0,989688
2020-11-05,5300.0,5450.0,5280.0,5335.0,755031
2020-11-06,5445.0,5445.0,5300.5,5347.0,374558
2020-11-09,5490.0,5498.0,5335.0,5401.0,780052
2020-11-10,5400.0,5590.0,5366.0,5500.0,3812448
2020-11-11,5500.0,5690.0,5411.0,5690.0,1988073
2020-11-12,5550.0,5650.0,5415.0,5560.0,1269924
2020-11-13,5689.0,5689.0,5540.0,5631.0,1549039
2020-11-16,5700.0,5749.0,5600.0,5720.0,1684003
2020-11-17,5720.0,5739.0,5690.0,5729.0,999194
2020-11-18,5760.0,5800.0,5701.0,5780.0,728172
2020-11-19,5795.0,5795.0,5705.0,5744.0,228452
2020-11-20,5700.0,5772.0,5640.0,5690.0,430196
2020-11-24,5720.0,5759.0,5550.0,5590.0,770883
2020-11-25,5620.0,5659.5,5460.0,5502.0,722036
2020-11-26,5510.0,5650.0,5480.0,5530.0,215565
2020-11-27,5580.0,5580.0,5462.0,5475.0,425912
2020-11-30,5579.5,5579.5,5280.0,5370.5,638084
2020-12-01,5500.0,5500.0,5300.0,5400.0,1502491
2020-12-02,5499.5,5499.5,5280.0,5385.0,1315773
2020-12-03,5340.0,5423.5,5249.0,5265.0,572798
2020-12-04,5360.0,5360.0,5211.5,5235.0,1154319
2020-12-09,5235.0,5300.0,5110.0,5180.0,774665
2020-12-10,5235.0,5235.0,5116.0,5160.0,1099487
2020-12-11,5200.0,5230.0,5120.0,5210.0,1109642
