Date,Open,High,Low,Close,Volume
2025-05-15,5440.0,5460.0,5440.0,5460.0,256
2025-05-16,5490.0,5690.0,5480.0,5660.0,2365
2025-05-19,5400.0,5420.0,5270.0,5360.0,6838
2025-05-20,5360.0,5460.0,5290.0,5430.0,1031
2025-05-21,5360.0,5390.0,5100.0,5130.0,476
2025-05-22,5160.0,5370.0,5160.0,5310.0,4841
2025-05-23,5330.0,5380.0,5200.0,5310.0,1019
2025-05-26,5150.0,5400.0,5150.0,5400.0,1167
2025-05-27,5560.0,5700.0,5550.0,5610.0,4738
2025-05-28,5590.0,5590.0,5450.0,5450.0,3025
2025-05-29,5770.0,7160.0,5770.0,6630.0,17411
2025-05-30,6590.0,6690.0,6290.0,6390.0,5903
2025-06-02,6110.0,6140.0,5950.0,5960.0,6728
2025-06-03,6000.0,6240.0,6000.0,6120.0,3658
2025-06-04,6100.0,6320.0,5980.0,6300.0,3997
2025-06-05,6270.0,6350.0,5990.0,6080.0,2119
2025-06-06,6140.0,6380.0,6140.0,6240.0,1326
2025-06-09,6280.0,6300.0,6170.0,6220.0,837
2025-06-10,6220.0,6330.0,6080.0,6140.0,1141
2025-06-11,6000.0,6040.0,5850.0,5890.0,1342
2025-06-12,5900.0,5940.0,5780.0,5810.0,1565
2025-06-13,5630.0,5740.0,5560.0,5660.0,2491
2025-06-17,5810.0,5910.0,5670.0,5690.0,1960
2025-06-18,5700.0,5700.0,5550.0,5610.0,3975
2025-06-19,5680.0,5750.0,5460.0,5460.0,29
2025-06-23,5520.0,5580.0,5410.0,5560.0,564
2025-06-24,5680.0,5790.0,5680.0,5750.0,1416
2025-06-25,5750.0,5750.0,5570.0,5660.0,3071
2025-06-26,5790.0,6040.0,5790.0,5970.0,3862
2025-06-27,5990.0,5990.0,5750.0,5790.0,2864
2025-06-30,6050.0,6100.0,5910.0,5980.0,3764
2025-07-01,5940.0,6100.0,5800.0,6070.0,3135
2025-07-02,6160.0,6490.0,6110.0,6420.0,5003
2025-07-03,6560.0,6580.0,6300.0,6420.0,3409
2025-07-04,6550.0,7000.0,6160.0,6600.0,948
2025-07-07,6350.0,6570.0,6280.0,6570.0,2923
2025-07-08,6810.0,6860.0,6600.0,6690.0,4640
2025-07-10,6740.0,6940.0,6730.0,6830.0,1989
2025-07-11,6820.0,6890.0,6650.0,6660.0,13797
2025-07-14,6660.0,7080.0,6660.0,6990.0,2427
2025-07-15,7080.0,7160.0,6930.0,6960.0,3390
