Date,Open,High,Low,Close,Volume
2020-09-07,6000.0,6000.0,5452.0,5489.0,413011
2020-09-08,5400.0,5550.0,5350.0,5520.0,383192
2020-09-09,5520.0,5600.0,5510.0,5600.0,1158284
2020-09-10,5600.0,5650.0,5555.0,5571.0,362108
2020-09-11,5505.0,5630.0,5490.0,5510.0,661775
2020-09-14,5510.0,5600.0,5390.0,5430.0,384442
2020-09-15,5470.0,5470.0,5325.0,5329.5,516798
2020-09-16,5330.0,5450.0,5200.0,5218.5,57655
2020-09-17,5210.0,5215.0,4999.0,5030.0,105480
2020-09-18,5100.0,5150.0,5000.0,5110.0,167004
2020-09-21,5100.0,5110.0,5010.0,5088.0,188167
2020-09-22,5010.0,5100.0,5010.0,5080.0,474101
2020-09-23,5150.0,5350.0,5050.0,5300.0,698915
2020-09-24,5300.0,5400.0,5150.0,5260.0,653996
2020-09-25,5200.0,5344.5,5120.0,5299.0,517883
2020-09-28,5250.0,5400.0,5250.0,5328.0,422110
2020-09-29,5330.0,5450.0,5260.0,5420.0,256925
2020-09-30,5420.0,5528.0,5375.0,5430.0,382389
2020-10-01,5430.0,5540.0,5400.0,5525.0,702617
2020-10-02,5500.0,5597.0,5450.0,5560.0,474509
2020-10-05,5530.0,5614.0,5520.0,5614.0,472267
2020-10-06,5750.0,5750.0,5480.0,5600.0,310559
2020-10-07,5600.0,5620.0,5510.5,5569.0,470758
2020-10-08,5700.0,5700.0,5500.0,5550.0,443069
2020-10-09,5686.0,5740.0,5572.0,5695.0,1122144
2020-10-13,5695.0,5725.0,5600.0,5716.0,245293
2020-10-14,5650.0,5750.0,5611.0,5675.0,2241444
2020-10-15,5605.0,5714.5,5561.0,5600.0,6627793
2020-10-16,5650.0,5680.0,5450.0,5517.0,4513633
2020-10-19,5555.0,5600.0,5325.0,5394.0,3165794
2020-10-20,5382.0,5450.0,5305.5,5430.0,1647547
2020-10-21,5430.0,5700.0,5430.0,5609.0,1579700
2020-10-22,5615.0,5640.0,5550.0,5615.0,1974491
2020-10-23,5675.0,5675.0,5420.0,5460.0,222196
2020-10-26,5579.5,5579.5,5220.0,5220.0,149642
2020-10-27,5300.0,5300.0,5090.0,5100.0,211537
2020-10-28,5285.0,5285.0,4860.0,4915.0,685956
2020-10-29,4930.0,5000.0,4800.0,4918.0,304690
2020-10-30,4920.0,5000.0,4810.0,4838.0,296942
2020-11-02,4880.0,4880.0,4760.0,4785.0,258952
2020-11-03,4800.0,4900.0,4720.0,4850.0,487323
2020-11-04,4946.5,4946.5,4805.0,4875.0,763759
2020-11-05,4880.0,5010.0,4867.0,4980.0,666844
2020-11-06,5045.0,5048.0,4935.0,4998.0,253526
2020-11-09,4901.0,5150.0,4901.0,5010.0,586065
2020-11-10,5149.0,5149.0,4940.0,5030.0,439324
2020-11-11,5149.0,5149.0,4944.5,5100.0,599952
2020-11-12,5190.0,5190.0,5000.0,5095.0,1047664
2020-11-13,5194.5,5194.5,5070.0,5140.0,1007719
2020-11-16,5240.0,5302.5,5120.0,5180.0,436389
2020-11-17,5199.0,5245.0,5110.0,5144.5,533810
2020-11-18,5200.0,5270.0,4950.0,5250.0,1080478
2020-11-19,5210.0,5340.0,5200.0,5218.5,692272
2020-11-20,5225.0,5380.0,5142.5,5229.5,184510
2020-11-24,5250.0,5300.0,5101.0,5200.0,95971
2020-11-25,5255.0,5255.0,5055.0,5189.0,1055573
2020-11-26,5200.0,5200.0,5100.0,5139.0,506463
2020-11-27,5200.0,5200.0,5051.0,5139.0,528722
2020-11-30,5300.0,5300.0,5002.0,5050.0,412066
2020-12-01,5100.0,5194.0,5006.0,5029.0,155413
2020-12-02,5007.0,5070.0,4980.0,5000.0,246982
2020-12-03,5000.0,5005.0,4890.0,4909.0,388526
2020-12-04,5080.0,5080.0,4845.0,4868.0,138500
2020-12-09,4850.0,4950.0,4700.0,4809.0,344661
2020-12-10,4900.0,4955.0,4680.0,4774.0,281811
2020-12-11,4870.0,4941.0,4700.5,4880.0,552796
2020-12-14,4880.0,4950.0,4814.0,4871.0,144563
2020-12-15,4920.0,4935.0,4845.0,4925.0,1039397
2020-12-16,4947.0,4999.5,4900.0,4910.0,930312
2020-12-17,4951.0,4955.0,4900.0,4915.0,1197226
2020-12-18,4998.0,5050.0,4890.0,5000.0,677138
