Date,Open,High,Low,Close,Volume
2019-01-02,17.95,17.95,17.0,17.25,262627
2019-01-03,17.25,17.6,17.2,17.5,100135
2019-01-04,17.5,17.8,17.35,17.6,508497
2019-01-07,17.55,18.45,17.55,18.3,551835
2019-01-08,18.4,18.7,18.0,18.7,882366
2019-01-09,18.5,19.3,18.5,19.05,517594
2019-01-10,19.15,19.2,18.7,18.9,665644
2019-01-11,18.7,19.25,18.05,18.45,420167
2019-01-14,18.75,18.9,17.8,17.9,545477
2019-01-15,18.35,18.35,17.3,17.8,696587
2019-01-16,17.9,18.25,17.75,18.05,257411
2019-01-17,18.0,18.2,17.85,18.05,343421
2019-01-18,18.1,18.4,18.0,18.25,372020
2019-01-21,18.3,18.75,18.1,18.6,501202
2019-01-22,18.7,18.7,18.1,18.35,396738
2019-01-23,18.35,18.8,18.3,18.5,348686
2019-01-24,18.7,18.7,18.25,18.45,263213
2019-01-25,18.6,18.6,18.1,18.4,195660
2019-01-28,18.15,18.3,17.6,17.8,226076
2019-01-29,18.0,18.7,17.8,18.6,788606
2019-01-30,18.7,19.45,18.7,19.25,1230109
2019-01-31,19.3,19.5,18.7,19.05,457226
2019-02-01,19.1,19.4,18.75,19.1,411504
2019-02-04,19.1,19.1,18.5,18.55,584272
2019-02-05,18.55,18.7,18.05,18.45,502782
2019-02-06,18.5,18.7,18.15,18.2,329655
2019-02-07,18.2,18.4,18.05,18.25,181337
2019-02-08,18.3,18.65,18.15,18.55,232147
2019-02-11,18.6,19.0,18.3,18.3,213554
2019-02-12,18.7,18.9,18.4,18.65,296449
2019-02-13,18.7,18.9,18.2,18.35,426896
2019-02-14,18.45,18.6,18.15,18.3,177397
2019-02-15,18.6,19.1,18.3,19.0,731889
2019-02-18,19.0,20.1,18.95,20.0,1411032
2019-02-19,20.0,20.35,19.15,19.55,930897
2019-02-20,19.55,20.1,19.1,19.4,937187
2019-02-21,19.4,19.7,18.7,18.75,587935
2019-02-22,18.8,19.3,18.5,18.95,356399
2019-02-25,19.3,19.5,18.95,19.15,455180
2019-02-26,19.25,19.3,18.5,18.95,317883
2019-02-27,18.85,19.4,18.3,18.85,412147
2019-02-28,18.8,19.0,18.25,18.7,571305
2019-03-01,18.95,19.0,18.05,18.85,476224
2019-03-06,18.85,18.85,17.8,18.35,337969
2019-03-07,18.35,18.5,17.95,18.5,971646
2019-03-08,18.75,18.75,17.6,17.9,509512
2019-03-11,18.0,18.45,17.8,18.05,324621
2019-03-12,18.4,18.5,17.8,18.2,439643
2019-03-13,18.3,18.6,17.75,17.8,846551
2019-03-14,18.0,18.3,17.65,17.95,482123
2019-03-15,18.0,18.2,17.5,18.15,509757
2019-03-18,18.3,18.4,17.3,17.75,1227764
2019-03-19,17.8,18.15,17.15,17.6,810183
2019-03-20,17.65,18.1,17.1,17.15,978033
2019-03-21,17.15,17.6,16.5,16.65,989861
2019-03-22,16.75,17.0,16.4,16.8,289814
2019-03-25,17.0,17.2,16.55,16.65,355440
2019-03-26,16.75,17.0,16.3,16.4,347573
2019-03-27,16.4,16.8,16.0,16.75,269898
2019-03-28,16.75,17.4,16.45,16.5,413138
2019-03-29,16.6,17.4,16.6,17.25,603414
2019-04-01,17.3,17.7,16.6,16.85,999059
2019-04-03,16.85,17.25,15.8,16.3,657369
2019-04-04,16.25,16.85,15.8,16.2,526032
2019-04-05,16.25,16.95,16.25,16.85,865908
2019-04-08,16.8,17.2,16.7,17.05,311241
2019-04-09,17.25,17.25,16.0,16.05,378468
2019-04-10,16.4,16.6,16.0,16.45,260313
2019-04-11,16.3,16.65,15.7,15.85,715413
2019-04-12,16.0,16.45,14.9,15.05,840337
