Date,Open,High,Low,Close,Volume
2019-12-09,295.0,295.0,295.0,295.0,2
2019-12-10,295.0,295.0,295.0,295.0,0
2019-12-11,295.0,295.0,295.0,295.0,2
2019-12-12,295.0,295.0,278.0,278.0,19
2019-12-15,295.0,295.0,278.0,278.0,0
2019-12-16,295.0,295.0,278.0,278.0,0
2019-12-18,295.0,295.0,278.0,278.0,0
2019-12-19,295.0,295.0,278.0,278.0,0
2019-12-22,295.0,295.0,278.0,278.0,0
2019-12-25,295.0,295.0,278.0,278.0,0
2019-12-26,295.0,295.0,278.0,278.0,0
2019-12-29,285.0,285.0,285.0,285.0,17
2020-01-02,289.5,289.5,289.5,289.5,30
2020-01-06,300.0,300.0,300.0,300.0,2
2020-01-07,315.0,315.0,315.0,300.0,0
2020-01-09,296.0,296.0,290.0,290.0,350
2020-01-12,296.0,310.0,296.0,300.5,151
2020-01-13,296.0,310.0,296.0,300.5,0
2020-01-14,298.0,300.0,298.0,300.0,18
2020-01-15,320.0,320.0,320.0,320.0,37
2020-01-16,321.0,321.0,320.0,320.0,43
2020-01-19,331.0,331.0,331.0,331.0,17
2020-01-20,340.0,340.0,331.0,331.5,386
2020-01-21,340.0,340.0,331.5,331.5,834
2020-01-22,310.0,333.0,310.0,333.0,13
2020-01-23,335.0,342.0,334.0,342.0,704
2020-01-26,346.0,360.0,346.0,354.0,1085
2020-01-27,360.0,360.0,349.0,355.0,904
2020-01-28,342.0,346.0,330.0,335.0,476
2020-01-29,335.0,335.0,335.0,335.0,142
2020-01-30,342.0,360.0,342.0,359.5,357
2020-02-02,360.0,360.0,353.0,359.0,313
2020-02-03,369.0,370.0,360.0,364.0,3825
2020-02-04,370.0,370.0,364.0,368.5,10142
2020-02-05,380.0,380.0,325.0,342.0,15994
2020-02-06,359.0,359.0,324.0,329.5,11604
2020-02-09,338.0,340.0,321.0,333.5,12956
2020-02-10,349.0,349.0,327.5,330.0,16142
2020-02-11,340.0,340.0,320.0,321.5,6098
2020-02-12,323.0,339.5,323.0,339.5,6299
2020-02-13,340.5,360.0,338.0,345.5,18787
2020-02-16,360.0,361.0,348.0,359.5,9711
2020-02-17,368.0,368.0,340.0,356.0,18511
2020-02-18,357.0,361.5,350.0,359.0,6746
2020-02-19,365.0,372.5,359.0,365.0,6295
2020-02-20,368.0,380.0,368.0,377.0,27440
2020-02-25,375.0,380.0,332.5,375.0,21198
2020-02-26,379.0,379.0,337.0,338.5,18693
2020-02-27,322.0,322.0,290.0,316.0,17037
2020-03-01,319.0,335.0,319.0,329.0,11363
2020-03-02,335.0,355.5,329.0,339.5,16626
2020-03-03,344.0,358.0,330.0,338.0,6289
2020-03-04,340.0,355.5,340.0,355.0,4918
2020-03-05,357.5,369.0,329.5,345.5,16556
2020-03-08,329.0,350.0,320.0,336.0,8785
2020-03-09,335.0,339.5,312.0,336.5,9279
2020-03-10,335.0,337.5,315.0,324.0,5217
2020-03-11,296.0,306.0,270.0,286.0,7233
2020-03-12,289.0,290.0,239.25,243.25,11666
2020-03-15,233.0,282.0,207.0,265.5,14219
2020-03-16,260.0,330.0,260.0,304.0,15632
2020-03-17,319.0,325.0,268.0,274.5,11798
2020-03-18,251.0,297.0,243.0,289.5,24285
2020-03-19,263.5,276.0,234.25,235.75,20822
2020-03-24,273.0,300.0,260.0,288.0,18742
2020-03-25,303.0,315.0,274.0,279.0,8341
2020-03-26,268.0,270.0,251.0,257.5,7621
2020-03-29,265.0,268.0,235.75,245.75,7386
2020-03-31,248.5,255.0,240.5,254.5,3906
2020-04-01,263.0,275.0,263.0,268.5,17594
2020-04-02,276.0,280.0,270.0,274.5,3089
2020-04-05,281.0,300.0,281.0,295.0,7200
2020-04-06,300.0,310.0,295.0,301.0,10914
2020-04-07,310.0,330.0,303.0,316.0,9731
2020-04-12,330.0,425.0,326.0,418.5,36074
2020-04-13,436.0,490.0,436.0,460.0,37700
2020-04-14,460.0,475.0,438.0,459.5,14423
2020-04-15,480.0,495.0,430.0,475.5,19992
2020-04-16,464.5,465.0,425.0,439.0,11047
2020-04-19,453.0,470.0,448.0,461.5,8867
2020-04-20,464.0,477.0,439.0,475.5,14962
2020-04-21,486.0,522.0,485.0,520.5,15843
2020-04-22,547.0,598.0,524.5,532.0,30309
2020-04-23,550.0,550.0,493.0,529.0,15445
2020-04-26,529.0,555.0,490.0,555.0,13915
2020-04-27,555.0,570.0,527.5,561.5,14594
2020-04-28,570.0,570.0,508.0,534.5,18846
2020-04-29,533.0,560.0,525.0,531.0,11877
2020-05-03,555.0,570.0,535.0,550.5,20936
2020-05-04,551.0,591.0,535.0,585.5,14593
2020-05-05,590.0,590.0,568.0,576.5,11540
2020-05-06,576.5,610.0,570.5,605.5,10975
2020-05-07,608.0,630.0,608.0,614.5,17421
2020-05-10,621.0,621.0,585.5,599.5,22877
2020-05-11,617.0,624.0,604.0,606.0,12583
2020-05-12,635.0,645.0,610.0,642.0,25085
2020-05-13,654.0,680.0,633.0,636.5,39202
2020-05-14,650.0,655.0,630.0,649.5,23308
2020-05-17,647.0,647.0,585.0,599.5,71837
2020-05-18,622.0,646.5,615.0,643.5,46441
2020-05-19,655.0,660.0,646.0,652.0,19696
2020-05-20,641.0,641.0,620.0,635.5,19129
2020-05-21,650.0,650.0,590.0,633.0,27584
2020-05-25,610.0,610.0,570.0,592.0,25394
2020-05-26,574.0,575.0,538.5,555.5,24213
2020-05-27,567.5,595.0,567.5,586.0,24782
2020-05-28,600.0,618.5,600.0,612.0,23461
2020-05-31,610.0,631.0,601.0,625.0,15641
2020-06-01,631.0,631.0,589.5,606.5,22199
2020-06-02,595.0,595.0,555.5,590.0,13144
2020-06-03,597.0,607.0,592.0,598.0,17038
2020-06-04,580.0,595.0,560.0,588.5,24281
2020-06-07,589.0,590.0,574.0,588.0,27812
2020-06-08,611.0,612.0,591.0,598.5,12053
2020-06-09,600.0,615.0,584.0,613.5,7815
2020-06-10,613.0,621.0,550.0,566.0,14984
2020-06-11,571.0,589.0,539.0,547.5,5472
2020-06-15,545.0,551.0,532.0,540.0,4879
2020-06-16,540.0,560.0,529.0,531.0,4173
2020-06-17,531.0,538.0,517.0,525.0,5300
2020-06-18,525.0,555.0,525.0,551.0,5358
2020-06-21,571.0,590.0,570.0,585.0,7961
2020-06-22,592.0,600.0,573.0,585.0,5824
2020-06-23,584.5,584.5,545.0,565.0,3683
2020-06-24,564.0,564.0,548.0,553.5,6250
2020-06-25,556.0,572.0,552.0,570.0,13467
2020-06-28,575.0,575.0,544.5,562.0,6627
2020-06-29,564.0,584.0,560.5,574.0,20096
2020-06-30,578.0,590.0,553.0,586.5,8181
2020-07-01,591.0,601.5,584.0,588.0,15587
2020-07-02,600.0,600.0,575.0,588.5,2990
2020-07-05,595.0,600.0,565.0,570.0,8652
2020-07-06,570.0,607.5,569.0,605.5,13752
2020-07-07,624.0,630.5,604.0,615.0,25980
2020-07-12,635.0,635.0,592.0,592.5,7866
2020-07-13,592.0,620.0,591.0,618.5,6371
2020-07-14,617.5,627.0,595.0,625.0,6761
2020-07-15,625.0,631.5,610.0,630.0,21014
2020-07-16,630.0,665.0,630.0,661.0,25917
2020-07-19,671.0,702.0,671.0,698.0,20188
2020-07-20,709.0,722.0,691.0,704.0,17835
2020-07-21,710.0,722.0,682.0,701.5,23155
2020-07-22,710.0,710.0,649.0,673.0,22585
2020-07-23,694.0,737.0,685.0,730.5,44068
2020-07-26,762.0,790.0,755.0,777.5,35084
2020-07-27,750.0,790.0,728.0,788.5,18382
2020-07-28,775.0,788.0,765.0,780.5,10894
2020-07-29,779.0,779.0,735.5,776.0,25284
2020-07-30,776.0,815.0,776.0,810.0,15609
2020-08-02,800.0,822.0,770.5,786.0,20028
2020-08-03,770.0,830.0,699.0,822.5,31484
2020-08-04,847.0,850.0,800.0,838.0,17080
2020-08-05,850.0,850.0,810.0,822.5,10239
2020-08-06,820.0,840.0,799.0,821.5,19017
2020-08-09,840.0,850.0,825.0,833.0,9613
2020-08-10,795.0,795.0,750.0,763.0,33441
2020-08-11,764.0,800.0,725.0,763.5,14224
2020-08-12,770.5,790.0,770.5,783.0,11454
2020-08-13,784.5,784.5,736.0,757.5,6232
2020-08-17,800.0,817.5,785.0,814.5,14928
2020-08-18,803.0,810.5,775.0,799.5,14231
2020-08-19,802.5,820.0,780.0,814.5,6167
2020-08-20,808.0,808.0,790.0,800.0,12737
2020-08-23,791.0,820.0,777.0,786.0,7766
2020-08-24,776.0,794.0,752.5,776.5,9687
2020-08-25,772.5,798.0,772.5,790.5,8238
2020-08-26,779.0,779.0,730.5,734.0,13076
2020-08-27,742.5,773.0,742.5,770.0,11729
2020-08-30,780.0,795.0,770.0,794.0,7900
2020-08-31,794.0,794.0,755.0,765.5,5424
2020-09-01,750.0,777.0,734.0,765.0,4523
2020-09-02,755.0,779.0,733.5,756.0,11517
2020-09-03,749.0,750.0,703.0,744.5,8822
2020-09-06,760.0,770.0,731.0,740.5,1562
2020-09-07,734.0,765.0,702.5,750.0,7973
2020-09-08,760.0,799.0,760.0,794.5,8969
2020-09-09,790.0,810.0,781.5,792.0,10365
2020-09-10,792.0,800.0,773.0,785.5,9394
2020-09-13,791.0,818.0,790.0,814.0,6185
2020-09-14,820.0,826.0,780.0,813.0,9620
2020-09-15,825.0,850.0,822.0,823.5,7843
2020-09-16,825.0,835.0,770.0,795.5,7227
2020-09-17,793.0,824.0,793.0,822.5,5114
2020-09-20,820.0,820.0,774.0,810.0,5798
2020-09-21,815.0,860.0,806.5,855.0,10341
2020-09-22,835.0,835.0,795.0,816.5,15012
2020-09-23,812.0,830.0,783.0,814.0,8623
2020-09-24,814.0,835.0,800.5,811.0,5961
2020-09-27,818.0,827.0,790.0,827.0,6305
2020-09-28,825.0,840.0,825.0,836.5,5223
2020-09-29,833.0,845.0,814.0,823.0,4819
