Date,Open,High,Low,Close,Volume
2024-01-02,2743.36,2748.129,2573.006,2693.655,754
2024-01-03,2733.527,2788.689,2614.845,2786.182,732
2024-01-04,2851.521,2911.747,2826.349,2890.213,848
2024-01-05,2890.262,3026.25,2885.493,2999.063,456
2024-01-08,2984.461,3265.139,2984.461,3263.959,540
2024-01-09,3274.333,3340.311,3205.7,3267.155,483
2024-01-10,3287.312,3439.131,3186.329,3244.244,783
2024-01-11,3343.163,3440.508,3120.498,3205.503,481
2024-01-12,3235.001,3293.998,3116.614,3289.082,428
2024-01-15,3343.163,3441.491,3146.506,3440.999,105
2024-01-16,3440.999,3441.442,3146.506,3416.27,613
2024-01-17,3513.713,3574.234,3459.731,3525.66,392
2024-01-18,3665.139,3775.561,3665.139,3682.346,1548
2024-01-19,3588.983,4011.648,3588.983,4011.402,1409
2024-01-22,4007.862,4080.625,3918.629,4031.461,8647
2024-01-23,4125.364,4148.668,3933.132,3963.073,399
2024-01-24,4057.075,4201.274,3941.834,4103.142,511
2024-01-25,4285.148,4285.148,3924.283,3933.477,596
2024-01-26,3924.283,3987.311,3717.892,3800.783,550
2024-01-29,3882.838,3888.196,3812.287,3865.138,495
2024-01-30,3955.207,3960.812,3821.923,3877.331,340
2024-01-31,3952.798,4178.953,3618.58,3731.363,515
2024-02-01,3785.64,3912.631,3731.461,3912.631,607
2024-02-02,4107.174,4107.174,3913.516,3976.544,893
2024-02-05,4073.054,4073.054,3992.129,4058.059,839
2024-02-06,4237.065,4237.065,3834.804,3873.152,2872
2024-02-07,3893.801,4365.777,3893.801,4008.698,1502
2024-02-08,4169.022,4277.282,4008.747,4059.435,608
2024-02-09,4007.272,4072.07,3839.77,3992.621,1586
2024-02-14,3982.297,3982.297,3667.695,3720.35,531
2024-02-15,3736.476,4119.858,3647.882,3667.695,478
2024-02-16,3736.476,3848.423,3432.641,3830.183,375
2024-02-19,3784.657,3829.888,3554.568,3743.85,305
2024-02-20,3618.482,3632.395,3420.498,3518.433,1395
2024-02-21,3392.818,3445.473,3372.071,3390.164,618
2024-02-22,3520.154,3628.61,3520.154,3603.978,1704
2024-02-23,3611.009,3678.806,3554.028,3659.337,1087
2024-02-26,3726.643,3883.968,3589.033,3637.508,874
2024-02-27,3588.983,3647.98,3556.289,3581.756,311
2024-02-28,3583.084,3590.95,3459.78,3464.106,602
2024-02-29,3588.983,3588.983,3461.157,3511.648,434
2024-03-01,3539.819,3859.288,3539.819,3850.094,1771
2024-03-04,3864.401,4099.996,3736.377,3793.506,505
2024-03-05,3785.64,3785.64,3530.871,3534.608,709
2024-03-06,3538.836,3725.66,3456.24,3496.309,1188
2024-03-07,3480.822,3657.764,3470.989,3638.885,3880
2024-03-08,3628.315,3657.813,3412.828,3514.795,2706
2024-03-11,3347.194,3388.836,3301.717,3331.216,1166
2024-03-12,3341.442,3549.21,3338.984,3477.725,1130
2024-03-13,3451.324,3490.655,3316.86,3333.035,1299
2024-03-14,3384.165,3402.995,3323.497,3392.081,2528
