Date,Open,High,Low,Close,Volume
2019-01-01,515.0,515.0,515.0,515.0,19
2019-01-02,512.0,512.0,510.0,510.0,111
2019-01-03,505.0,505.0,505.0,505.0,33
2019-01-06,515.0,515.0,510.0,510.0,146
2019-01-07,509.5,509.5,509.5,509.5,39
2019-01-08,510.0,527.0,510.0,515.5,101
2019-01-09,510.0,510.0,510.0,510.0,93
2019-01-13,510.0,510.0,510.0,510.0,0
2019-01-14,510.0,510.0,510.0,510.0,35
2019-01-16,510.0,510.0,510.0,510.0,3
2019-01-17,500.0,500.0,500.0,500.0,46
2019-01-20,480.0,495.0,480.0,484.0,618
2019-01-21,484.0,484.0,446.5,448.5,345
2019-01-22,484.0,484.0,446.5,448.5,0
2019-01-23,460.0,460.0,457.0,457.0,127
2019-01-24,460.0,460.0,460.0,460.0,272
2019-01-27,470.0,470.0,461.5,469.0,346
2019-01-28,470.0,470.0,461.5,469.0,0
2019-01-29,474.0,484.0,474.0,484.0,282
2019-01-30,484.0,505.0,484.0,504.0,391
2019-01-31,496.0,500.0,496.0,500.0,770
2019-02-03,500.0,500.0,490.0,493.0,1023
2019-02-04,491.0,491.0,490.0,490.5,64
2019-02-05,491.0,491.0,490.0,490.5,0
2019-02-06,500.0,500.0,491.0,491.0,29
2019-02-07,497.0,497.0,497.0,497.0,10
2019-02-10,497.0,497.0,497.0,497.0,307
2019-02-11,510.0,510.0,510.0,510.0,9
2019-02-12,500.0,510.0,497.0,497.0,2598
2019-02-13,496.0,496.0,485.0,490.0,58
2019-02-14,496.0,500.0,495.0,500.0,10520
2019-02-17,505.0,505.0,505.0,505.0,300
2019-02-18,520.0,550.0,520.0,549.0,28960
2019-02-19,550.0,575.0,550.0,555.0,9167
2019-02-20,550.0,575.0,550.0,555.0,0
2019-03-18,520.0,520.0,513.0,518.0,2520
2019-03-19,522.0,542.0,520.0,535.0,1536
2019-03-20,543.0,543.0,538.0,539.0,819
2019-03-21,545.0,590.0,545.0,570.0,775
2019-03-24,579.0,610.0,579.0,606.5,1478
2019-03-25,605.0,625.0,600.0,620.0,3743
2019-03-26,640.0,640.0,632.0,637.0,1008
2019-03-27,625.0,625.0,608.0,610.0,2184
2019-03-28,610.0,615.0,600.0,601.5,2038
2019-03-31,590.0,590.0,575.0,575.0,1430
2019-04-02,575.0,590.0,575.0,585.0,1033
2019-04-03,585.0,600.0,585.0,600.0,1148
2019-04-04,625.0,625.0,595.0,597.5,1329
2019-04-07,605.0,605.0,597.0,600.0,2510
2019-04-08,610.0,610.0,595.0,600.0,1526
2019-04-09,601.0,601.0,588.0,589.5,929
2019-04-10,588.0,589.0,572.0,580.0,2074
2019-04-11,580.0,580.0,571.0,571.0,144
2019-04-14,565.0,573.5,550.0,573.5,660
2019-04-15,565.0,570.0,564.0,570.0,632
2019-04-16,561.5,561.5,549.0,554.0,6407
2019-04-21,560.0,562.5,554.0,554.0,2064
2019-04-22,550.0,551.0,542.0,545.0,1971
2019-04-23,553.0,572.5,553.0,572.0,2265
2019-04-24,605.0,608.0,577.5,578.5,1171
2019-04-25,592.0,606.0,590.5,605.0,2770
2019-04-28,580.0,581.0,567.0,567.0,3731
2019-04-29,566.0,570.5,565.0,567.0,743
2019-05-01,559.5,567.0,559.5,566.5,2404
2019-05-02,540.0,565.0,540.0,563.0,1206
2019-05-05,563.0,574.0,563.0,565.5,146
