Date,Open,High,Low,Close,Volume
2009-07-17,26.3,26.3,25.95,25.95,300
2009-07-20,24.75,24.75,23.8,23.8,1468
2009-07-21,23.05,23.05,23.05,23.05,952
2009-07-22,24.0,24.0,24.0,24.0,170
2009-07-23,24.5,24.65,23.95,24.5,4770
2009-07-24,24.0,24.0,23.8,23.85,15000
2009-07-27,24.9,25.0,24.9,25.0,200
2009-07-29,25.7,26.05,25.7,26.05,1900
2009-07-30,26.2,26.9,26.2,26.9,7510
2009-07-31,27.4,27.85,27.4,27.85,7630
2009-08-03,29.5,29.7,29.4,29.7,2166
2009-08-04,29.5,30.3,29.5,30.0,2638
2009-08-05,30.8,31.5,30.8,31.5,2200
2009-08-06,31.5,33.1,31.5,32.55,5728
2009-08-07,32.0,32.0,31.75,31.75,1302
2009-08-10,32.3,32.3,31.6,31.8,2900
2009-08-11,30.8,31.0,30.8,31.0,3156
2009-08-12,30.5,31.6,30.5,31.4,2452
2009-08-13,32.4,32.4,32.4,32.4,1032
2009-08-14,32.2,33.5,32.2,33.4,1596
2009-08-18,32.7,33.45,32.7,33.1,9270
2009-08-19,33.1,33.1,33.1,33.1,520
2009-08-20,33.1,33.9,33.1,33.9,2126
2009-08-21,35.2,35.2,35.2,35.2,56
2009-08-24,35.3,35.6,34.5,35.4,2362
2009-08-25,35.0,35.0,34.2,34.2,2540
2009-08-27,34.0,35.0,34.0,35.0,600
2009-08-28,35.5,35.9,35.0,35.0,3958
2009-08-31,34.0,34.5,34.0,34.5,18328
2009-09-01,34.6,34.6,32.0,32.0,1646
2009-09-02,31.8,31.8,31.8,31.8,728
2009-09-08,33.8,33.8,33.8,33.8,322
2009-09-09,33.5,33.6,33.5,33.5,2130
2009-09-10,33.4,33.4,32.65,33.3,4980
2009-09-11,33.3,33.3,33.3,33.3,1960
2009-09-14,31.6,32.5,31.6,32.5,720
2009-09-15,32.6,32.6,32.5,32.5,560
2009-09-16,33.0,33.0,32.5,32.5,600
2009-09-17,33.2,33.5,33.2,33.5,670
2009-09-18,33.25,33.25,33.25,33.25,64
2009-09-21,33.0,33.0,33.0,33.0,226
2009-09-22,33.9,34.0,33.4,33.65,60708
2009-09-23,34.2,34.2,34.0,34.0,1132
2009-09-25,32.5,32.5,32.5,32.5,324
2009-09-28,32.55,32.55,32.5,32.5,1838
2009-09-29,33.3,33.3,33.0,33.0,3160
2009-09-30,32.6,32.6,32.6,32.6,530
2009-10-01,32.5,32.5,32.3,32.3,1138
2009-10-02,32.0,32.0,32.0,32.0,576
2009-10-05,32.0,32.0,32.0,32.0,110
2009-10-06,33.0,33.5,32.3,32.4,3702
2009-10-08,33.3,33.3,33.3,33.3,300
2009-10-09,33.4,33.4,33.4,33.4,600
2009-10-14,35.45,35.45,35.45,35.45,100
2009-10-15,34.2,34.45,34.1,34.1,7800
2009-10-16,33.0,33.0,32.9,32.9,1398
2009-10-19,32.5,32.5,32.5,32.5,608
2009-10-20,32.0,32.0,32.0,32.0,220
2009-10-21,32.4,32.4,31.25,31.25,2112
2009-10-23,30.8,30.8,30.8,30.8,238
2009-10-26,29.7,29.7,29.0,29.0,1500
2009-10-27,29.4,29.6,29.4,29.6,9008
2009-10-28,29.1,32.0,28.75,28.75,1522
2009-10-29,28.9,28.9,28.9,28.9,11400
2009-11-02,28.0,28.0,27.5,28.0,2256
2009-11-03,27.65,28.0,27.65,28.0,750
2009-11-04,29.4,29.4,29.4,29.4,340
2009-11-05,28.0,28.0,28.0,28.0,400
2009-11-09,29.3,29.5,29.0,29.5,1300
2009-11-10,30.0,30.0,29.8,29.8,500
2009-11-12,30.2,30.3,30.2,30.3,700
2009-11-13,30.25,30.25,30.2,30.2,7600
2009-11-17,30.0,30.2,30.0,30.2,398
2009-11-18,31.0,31.0,30.8,30.8,14072
2009-11-19,30.8,30.8,30.8,30.8,1250
2009-11-23,31.0,31.0,30.8,30.8,902
2009-11-24,30.3,30.3,30.3,30.3,480
2009-12-01,30.3,30.3,30.3,30.3,220
2009-12-03,31.0,32.0,30.25,30.65,39052
2009-12-07,30.3,30.9,30.3,30.9,700
2009-12-10,29.2,29.2,29.2,29.2,300
2009-12-14,28.75,29.75,28.75,29.75,494
2009-12-16,29.5,29.5,29.45,29.45,1000
2009-12-17,29.3,29.3,29.3,29.3,590
2009-12-18,28.9,28.9,28.9,28.9,410
2009-12-21,29.5,29.5,29.5,29.5,200
2009-12-29,29.0,29.0,29.0,29.0,58
2010-01-05,30.3,30.3,30.3,30.3,500
2010-01-06,31.0,32.2,31.0,32.2,1362
2010-01-12,32.0,32.0,30.8,30.8,2692
2010-01-13,31.8,31.8,31.8,31.8,292
2010-01-14,32.0,32.35,32.0,32.35,322
2010-01-15,31.5,31.5,30.75,31.25,600
2010-01-19,31.0,31.0,31.0,31.0,272
2010-01-20,31.6,31.6,31.6,31.6,100
2010-01-21,30.0,30.0,29.55,29.55,20700
2010-01-22,29.1,29.1,29.1,29.1,1750
2010-01-26,29.1,29.1,29.1,29.1,340
2010-01-29,28.9,28.9,28.9,28.9,100
2010-02-01,29.5,29.5,29.5,29.5,40
2010-02-02,29.5,30.0,29.5,30.0,286
2010-02-03,30.05,30.05,30.05,30.05,4490
2010-02-04,30.0,30.0,29.5,29.5,1870
2010-02-05,29.5,29.5,28.0,28.0,1478
2010-02-10,27.5,27.5,27.5,27.5,300
2010-02-16,28.9,28.9,28.9,28.9,278
2010-02-17,29.0,30.05,29.0,30.05,4842
2010-02-18,30.05,30.2,30.05,30.2,904
2010-02-22,31.0,32.0,31.0,31.55,4010
2010-02-24,31.5,32.4,31.5,32.4,13700
2010-02-25,31.75,31.75,31.75,31.75,200
2010-02-26,31.75,32.7,31.75,32.7,2062
2010-03-01,33.0,33.0,33.0,33.0,500
2010-03-02,32.25,32.9,32.25,32.5,1546
2010-03-03,32.25,32.25,32.0,32.0,3390
2010-03-04,32.5,32.5,32.5,32.5,104
2010-03-05,32.5,32.5,32.5,32.5,196
2010-03-08,32.5,33.0,32.5,33.0,306
2010-03-09,32.3,33.0,32.3,33.0,1530
2010-03-10,33.0,33.5,33.0,33.4,1600
2010-03-11,33.0,33.5,33.0,33.5,328
2010-03-12,33.5,33.5,33.5,33.5,164
2010-03-15,33.5,33.5,32.55,32.55,642
2010-03-16,33.5,33.5,33.5,33.5,58
2010-03-17,33.5,33.75,33.5,33.75,1766
2010-03-18,33.5,33.5,33.5,33.5,500
2010-03-19,33.0,33.0,32.7,32.8,1294
2010-03-22,33.5,33.5,33.5,33.5,34
2010-03-23,33.5,33.5,33.4,33.5,706
2010-03-25,34.5,35.0,34.5,35.0,2330
2010-03-26,35.0,35.0,35.0,35.0,284
2010-03-29,35.0,35.0,35.0,35.0,130
2010-03-30,35.0,35.0,34.5,34.9,256
2010-03-31,34.8,34.8,34.5,34.6,414
2010-04-05,34.6,35.0,34.6,35.0,2364
2010-04-06,34.9,35.3,34.9,35.3,2496
2010-04-07,36.2,36.5,36.2,36.5,1740
2010-04-08,36.0,36.0,36.0,36.0,1830
2010-04-12,36.2,36.5,36.0,36.2,884
2010-04-13,36.2,36.2,36.2,36.2,270
2010-04-15,38.0,38.0,37.4,37.4,2930
2010-04-16,36.6,36.6,36.6,36.6,436
2010-04-19,35.7,35.7,35.7,35.7,320
2010-04-20,36.1,37.5,36.1,37.5,1440
2010-04-21,37.5,37.5,37.3,37.3,528
2010-04-22,35.5,35.75,35.3,35.75,2756
2010-04-23,35.7,35.7,35.7,35.7,250
2010-04-26,35.7,35.7,35.7,35.7,358
2010-04-28,35.0,35.0,35.0,35.0,238
2010-04-30,35.2,35.2,34.9,34.9,336
2010-05-03,34.9,34.9,34.9,34.9,36
2010-05-04,34.0,34.0,34.0,34.0,266
2010-05-05,33.5,34.45,33.5,34.45,1546
2010-05-06,33.25,33.25,32.0,32.0,342
2010-05-07,31.0,32.0,31.0,31.5,598
2010-05-10,33.0,34.5,33.0,34.0,3168
2010-05-12,33.0,33.5,33.0,33.4,7546
2010-05-13,33.0,33.05,33.0,33.0,8784
2010-05-14,31.85,32.0,31.85,31.85,6070
2010-05-17,31.0,31.5,31.0,31.5,1800
2010-05-18,31.8,31.8,31.8,31.8,534
2010-05-19,31.35,31.85,31.1,31.85,4890
2010-05-20,30.9,30.9,30.9,30.9,2200
2010-05-21,31.55,31.55,31.45,31.45,12160
2010-05-27,31.5,31.6,31.5,31.6,1542
2010-05-28,31.75,31.75,31.75,31.75,492
2010-06-01,32.0,32.05,31.0,31.0,498
2010-06-04,31.0,31.0,30.65,30.65,1456
2010-06-09,31.5,31.5,31.0,31.0,542
2010-06-15,31.0,31.0,30.95,30.95,950
2010-06-23,30.5,30.7,30.5,30.7,7700
2010-06-25,30.75,31.0,30.75,31.0,2540
2010-06-29,29.45,29.45,29.45,29.45,404
2010-06-30,29.85,29.85,29.0,29.0,748
2010-07-01,27.5,27.65,27.5,27.65,1030
2010-07-02,27.7,27.7,27.7,27.7,850
2010-07-06,28.1,28.1,28.0,28.0,514
2010-07-07,28.0,29.05,28.0,29.05,11902
2010-07-08,29.5,29.5,29.5,29.5,202
2010-07-12,30.0,30.0,29.5,29.65,5740
2010-07-13,30.0,30.85,30.0,30.85,1052
2010-07-14,31.15,31.15,31.15,31.15,320
2010-07-15,30.0,30.1,30.0,30.0,2730
2010-07-16,29.5,29.5,28.2,28.2,2388
2010-07-19,28.75,28.75,26.7,26.7,3464
2010-07-20,26.9,27.35,26.6,27.35,15924
2010-07-21,27.35,27.35,26.6,26.6,1296
2010-07-22,27.5,27.5,26.7,26.75,12560
2010-07-26,28.0,28.0,28.0,28.0,1150
2010-07-27,30.0,30.0,28.0,28.25,6962
2010-07-28,27.8,27.8,27.8,27.8,200
