Date,Open,High,Low,Close,Volume
2024-01-31,4579.0,4579.0,4579.0,4579.0,4
2024-02-01,4562.5,4780.0,4539.5,4780.0,54
2024-02-02,4739.0,4746.5,4612.0,4612.0,142
2024-02-05,4610.0,4690.0,4405.0,4560.0,128
2024-02-06,4633.5,4652.5,4539.0,4539.0,232
2024-02-07,4582.0,4582.0,4481.5,4557.5,11
2024-02-08,4499.0,4499.0,4499.0,4499.0,12
2024-02-09,4506.5,4506.5,4397.5,4397.5,122
2024-02-14,4395.0,4395.0,4370.0,4370.0,4
2024-02-15,4395.0,4395.0,4370.0,4370.0,0
2024-02-16,4200.0,4361.5,4200.0,4350.5,28
2024-02-19,4200.0,4361.5,4200.0,4350.5,0
2024-02-20,4488.5,4588.0,4386.5,4497.0,228
2024-02-21,4515.5,4569.5,4359.5,4387.5,147
2024-02-22,4413.5,4592.5,4413.5,4587.5,121
2024-02-23,4552.0,4565.0,4392.0,4534.0,44
2024-02-26,4642.5,4671.5,4487.0,4628.5,62
2024-02-27,4628.5,4791.0,4549.5,4701.5,136
2024-02-28,4662.0,4662.0,4453.5,4453.5,51
2024-02-29,4479.5,4587.5,4460.0,4464.0,17
2024-03-01,4658.0,4844.0,4645.0,4818.5,380
2024-03-04,4776.0,4776.0,4543.0,4662.5,200
2024-03-05,4583.0,4677.5,4504.0,4504.0,11
2024-03-06,4427.5,4427.5,4173.5,4216.5,49
2024-03-07,4241.0,4247.0,4180.0,4206.5,140
2024-03-08,4186.0,4245.0,4176.0,4217.5,33
2024-03-11,4257.5,4291.5,4171.0,4172.0,82
2024-03-12,4214.5,4566.0,4214.5,4376.5,7319
2024-03-13,4427.5,4504.5,4376.5,4376.5,41
2024-03-14,4302.0,4411.0,4294.0,4359.5,11
2024-03-15,4410.5,4572.5,4380.5,4538.0,111
2024-03-18,4581.0,4611.0,4501.5,4607.5,10979
2024-03-19,4832.0,4952.5,4807.0,4888.5,3540
2024-03-20,4890.0,5804.5,4890.0,5766.0,5368
2024-03-21,5829.5,5914.0,5678.0,5818.5,2273
2024-03-22,5990.0,6074.5,5770.0,5895.5,487
2024-03-25,5953.5,5955.0,5567.0,5567.0,576
2024-03-26,5568.5,5809.0,5547.0,5713.5,627
2024-03-27,5678.0,5910.0,5638.5,5910.0,251
2024-04-03,5932.0,5932.0,5296.5,5445.0,288
2024-04-04,5644.0,5720.0,5493.0,5493.5,194
2024-04-05,5475.5,5522.0,5222.0,5319.5,74
2024-04-08,5104.0,5155.0,5082.5,5113.5,152
2024-04-09,5093.5,5200.5,5068.0,5153.0,151
2024-04-10,5075.0,5095.0,5013.0,5028.0,63
2024-04-11,4980.5,5079.0,4980.5,5077.5,32
2024-04-12,4826.0,4826.5,4826.0,4826.5,20
2024-04-15,4759.0,4814.0,4715.0,4762.5,216
2024-04-16,4659.5,4716.0,4659.5,4700.0,121
