Date,Open,High,Low,Close,Volume
2019-01-02,142.0,146.0,139.0,140.25,76604
2019-01-03,140.0,142.45,137.5,140.55,121904
2019-01-04,142.0,150.0,142.0,147.9,196149
2019-01-07,148.0,155.0,146.0,152.0,154222
2019-01-08,152.25,155.0,147.0,153.0,80567
2019-01-09,153.0,165.0,153.0,156.5,160171
2019-01-10,157.0,160.0,155.0,159.3,108515
2019-01-11,163.0,163.0,156.0,157.35,52213
2019-01-14,157.3,160.95,155.0,155.55,77626
2019-01-15,157.0,159.5,152.5,155.9,111123
2019-01-16,155.5,165.95,155.5,162.95,156244
2019-01-17,165.0,167.0,160.1,163.0,100743
2019-01-18,164.9,166.0,162.5,164.8,61343
2019-01-21,164.8,168.9,161.0,161.3,30718
2019-01-22,161.2,162.85,155.1,157.0,98250
2019-01-23,159.0,160.0,155.0,157.95,111311
2019-01-24,159.8,162.0,157.0,159.25,145651
2019-01-25,159.5,161.0,155.8,157.85,57288
2019-01-28,156.0,162.95,148.0,161.9,61927
2019-01-29,163.5,166.0,155.0,165.5,66895
2019-01-30,167.0,170.0,166.0,169.7,81656
2019-01-31,170.45,171.0,164.95,168.0,124181
2019-02-01,170.5,170.5,166.0,166.35,145672
2019-02-04,170.0,172.0,163.0,171.5,149787
2019-02-05,172.0,176.0,168.0,174.3,133374
2019-02-06,175.0,176.0,168.0,168.1,67649
2019-02-07,168.0,168.0,160.1,163.5,125641
2019-02-08,163.0,168.1,160.5,167.2,63165
2019-02-11,167.2,169.8,165.1,166.55,31123
2019-02-12,166.55,173.55,166.55,173.25,111868
2019-02-13,172.5,173.0,165.5,166.6,46749
2019-02-14,170.0,170.0,164.75,166.9,27999
2019-02-15,168.0,169.5,163.6,164.05,52890
2019-02-18,163.95,165.0,160.0,160.55,30513
2019-02-19,160.7,162.1,154.8,155.8,126692
2019-02-20,153.0,161.5,151.9,152.4,358917
2019-02-21,152.0,154.0,148.5,149.0,51144
2019-02-22,149.05,158.0,149.05,157.7,173239
2019-02-25,158.0,161.0,153.5,156.0,92619
2019-02-26,155.7,155.7,150.0,152.55,29379
2019-02-27,153.0,153.0,147.5,148.0,79550
2019-02-28,150.0,150.0,142.9,144.5,141748
2019-03-01,146.05,147.0,139.5,140.75,758048
2019-03-06,142.0,144.5,134.55,138.2,252963
2019-03-07,138.3,147.0,135.0,144.75,133312
2019-03-08,145.6,150.0,143.95,145.75,57028
2019-03-11,149.9,153.05,147.0,147.15,52790
2019-03-12,147.55,154.25,141.0,142.25,57755
2019-03-13,143.0,146.5,140.5,143.4,59488
2019-03-14,143.3,143.3,138.0,139.4,92845
2019-03-15,139.25,145.95,139.25,143.7,113387
2019-03-18,144.6,151.0,144.3,149.6,111834
2019-03-19,150.05,154.15,145.3,146.75,118567
2019-03-20,149.0,152.95,148.0,148.5,176309
2019-03-21,150.25,150.25,142.05,143.25,93436
2019-03-22,143.25,143.25,134.5,135.35,64336
2019-03-25,136.0,141.95,136.0,138.35,116726
2019-03-26,139.05,141.0,132.75,135.15,45247
2019-03-27,135.0,135.0,130.0,134.15,65525
2019-03-28,135.0,137.0,132.5,134.9,31955
2019-03-29,138.0,140.65,135.1,137.95,55024
2019-04-01,137.0,142.9,135.0,136.15,70012
2019-04-03,133.0,133.0,127.0,128.4,64536
2019-04-04,128.35,133.0,128.0,130.4,128767
2019-04-05,131.0,134.9,131.0,132.1,30246
2019-04-08,132.1,134.8,132.0,132.6,47702
2019-04-09,133.3,133.3,124.1,126.45,72151
2019-04-10,128.2,131.3,128.0,128.3,133921
2019-04-11,125.6,127.95,123.2,126.4,105811
2019-04-12,126.65,129.5,126.5,128.7,110378
2019-04-15,129.95,135.0,128.5,132.05,133325
2019-04-16,135.0,138.0,130.3,134.0,148282
2019-04-17,129.5,135.0,129.5,131.95,134555
2019-04-22,127.0,127.0,121.0,123.2,287879
2019-04-23,123.3,126.0,120.25,124.05,33686
2019-04-24,120.95,120.95,112.0,114.9,226398
2019-04-25,109.95,117.0,107.0,116.45,181277
2019-04-26,120.95,120.95,116.0,120.65,102898
2019-04-29,119.05,120.65,114.0,114.4,154742
2019-04-30,117.95,121.0,114.5,119.5,76834
