Date,Open,High,Low,Close,Volume
2019-01-02,8.4,8.9,8.375,8.841666,21553500
2019-01-03,8.916667,9.008333,8.791667,8.95,16034800
2019-01-04,8.883333,9.191667,8.808333,9.066667,15384000
2019-01-07,9.2,9.216666,9.016666,9.041667,22475500
2019-01-08,9.0,9.225,8.916667,9.191667,22215600
2019-01-09,9.325,9.458333,9.308333,9.433333,23716900
2019-01-10,9.408334,9.533334,9.241667,9.366667,20187800
2019-01-11,9.216666,9.341666,9.175,9.3,13340000
2019-01-14,9.225,9.45,9.2,9.4,9048400
2019-01-15,9.325,9.4,9.233334,9.358334,11399100
2019-01-16,9.35,9.433333,9.308333,9.333333,10038300
2019-01-17,9.225,9.441667,9.216666,9.383333,13723600
2019-01-18,9.533334,9.575,9.366667,9.458333,11041600
2019-01-22,9.316667,9.4,9.091666,9.116667,12359600
2019-01-23,9.308333,9.441667,9.191667,9.425,10292400
2019-01-24,9.408334,9.516666,9.358334,9.483334,15313500
2019-01-25,9.558333,9.65,9.383333,9.591666,12919000
2019-01-28,9.458333,9.65,9.441667,9.516666,11204700
2019-01-29,9.725,9.75,9.566667,9.616667,13412600
2019-01-30,9.6,9.708333,9.383333,9.65,13328800
2019-01-31,10.158334,10.466666,10.116667,10.35,22627000
2019-02-01,10.166667,10.25,10.041667,10.183333,18900600
2019-02-04,10.025,10.391666,10.0,10.325,13684400
2019-02-05,10.3,10.45,10.208333,10.333333,14035200
2019-02-06,10.025,10.1,9.733334,9.825,18458400
2019-02-07,9.916667,9.958333,9.658334,9.883333,23911800
2019-02-08,10.058333,10.1,9.716666,9.908334,19156000
2019-02-11,9.916667,9.941667,9.658334,9.816667,10318300
2019-02-12,10.05,10.266666,9.916667,10.1,16248100
2019-02-13,10.05,10.1,9.833333,9.858334,15603900
2019-02-14,9.7,10.366667,9.683333,10.266666,26778700
2019-02-15,10.325,10.358334,10.175,10.325,13286100
2019-02-19,10.183333,10.258333,10.075,10.091666,15315400
2019-02-20,10.1,10.258333,9.925,9.95,18535300
2019-02-21,9.9,9.908334,9.758333,9.908334,22457100
2019-02-22,9.966666,9.966666,9.783334,9.891666,16947000
2019-02-25,9.966666,9.975,9.766666,9.8,14667700
2019-02-26,9.808333,9.983334,9.775,9.975,18758500
2019-02-27,9.883333,9.983334,9.833333,9.916667,8917800
2019-02-28,9.816667,9.816667,9.55,9.566667,24333400
2019-03-01,9.475,9.55,9.316667,9.358334,15574500
2019-03-04,9.391666,9.416667,9.241667,9.35,11131200
2019-03-05,9.391666,9.5,9.316667,9.433333,6891600
2019-03-06,9.416667,9.441667,9.083333,9.15,14448300
2019-03-07,9.2,9.2,8.983334,9.116667,13183500
2019-03-08,9.1,9.266666,9.091666,9.25,14388000
2019-03-11,9.416667,9.708333,9.4,9.708333,17936100
2019-03-12,9.7,9.775,9.65,9.758333,15068800
2019-03-13,9.725,9.958333,9.675,9.858334,17863900
2019-03-14,9.816667,9.833333,9.691667,9.833333,12508000
2019-03-15,9.891666,10.0,9.883333,9.925,16639500
2019-03-18,9.925,10.091666,9.925,10.075,9565300
2019-03-19,10.033334,10.083333,9.85,9.891666,17065300
2019-03-20,9.816667,9.908334,9.608334,9.716666,25730700
2019-03-21,9.616667,9.625,9.183333,9.35,28231200
2019-03-22,8.966666,9.075,8.691667,8.791667,51365200
2019-03-25,8.816667,9.025,8.8,8.908334,17582400
2019-03-26,9.025,9.066667,8.866667,8.975,19929300
2019-03-27,8.675,8.741667,8.441667,8.5,30990400
2019-03-28,8.525,9.008333,8.516666,8.908334,32291800
2019-03-29,9.041667,9.183333,8.966666,9.091666,18034300
2019-04-01,9.34,9.48,9.24,9.26,16624300
2019-04-02,9.27,9.3,9.03,9.17,10015600
2019-04-03,9.29,9.35,8.98,9.05,13967800
2019-04-04,9.07,9.35,9.01,9.31,12464800
2019-04-05,9.27,9.45,9.23,9.39,10412500
2019-04-08,9.35,9.41,9.25,9.41,6185700
2019-04-09,9.33,9.36,9.2,9.35,9405900
2019-04-10,9.41,9.43,9.29,9.34,13436500
2019-04-11,9.21,9.26,8.99,9.1,11771500
2019-04-12,9.04,9.21,8.83,8.94,18068000
2019-04-15,9.08,9.08,8.9,8.95,15076600
2019-04-16,8.92,9.03,8.85,8.86,9950300
2019-04-17,8.87,8.9,8.53,8.69,13070000
2019-04-18,8.68,8.96,8.6,8.82,10272400
2019-04-22,8.8,8.95,8.71,8.87,8498500
2019-04-23,8.95,9.15,8.89,9.08,13744600
2019-04-24,9.02,9.02,8.76,8.88,11517300
2019-04-25,8.81,9.08,8.66,9.07,12277100
2019-04-26,9.07,9.18,9.02,9.12,8408200
