Date,Open,High,Low,Close,Volume
2019-01-02,11.75,11.9,11.4,11.7,18660
2019-01-03,11.65,11.7,11.3,11.65,69766
2019-01-04,11.65,11.85,11.4,11.75,58825
2019-01-07,11.85,12.4,11.55,12.4,419584
2019-01-08,12.4,12.45,11.85,12.45,79239
2019-01-09,12.25,12.85,12.05,12.85,146594
2019-01-10,12.5,12.8,12.4,12.65,152699
2019-01-11,12.6,12.7,12.25,12.5,56265
2019-01-14,12.55,12.55,12.2,12.5,91132
2019-01-15,12.85,12.85,12.3,12.5,68390
2019-01-16,12.7,12.7,12.15,12.15,22537
2019-01-17,12.15,12.25,11.85,12.15,16064
2019-01-18,12.25,12.5,12.15,12.2,65661
2019-01-21,12.55,12.55,12.1,12.4,28148
2019-01-22,12.4,12.4,11.85,12.1,49023
2019-01-23,12.2,12.4,11.95,12.4,78373
2019-01-24,12.3,12.55,12.2,12.3,14266
2019-01-25,12.55,12.6,11.95,11.95,47608
2019-01-28,12.0,12.3,11.8,12.25,80752
2019-01-29,12.2,12.55,11.7,12.55,169440
2019-01-30,12.65,12.65,12.3,12.45,45897
2019-01-31,12.4,13.9,12.3,13.55,291877
2019-02-01,13.6,14.4,13.2,14.1,404640
2019-02-04,14.5,14.85,14.1,14.3,394313
2019-02-05,14.4,14.45,13.8,14.3,244636
2019-02-06,14.3,14.3,13.8,14.15,59657
2019-02-07,14.2,14.2,13.55,13.95,122809
2019-02-08,13.95,13.95,13.7,13.95,40427
2019-02-11,14.0,14.0,13.7,13.95,42833
2019-02-12,13.95,14.35,13.6,14.1,78642
2019-02-13,14.0,14.2,13.7,14.0,84069
2019-02-14,13.9,13.9,13.45,13.8,86317
2019-02-15,13.6,13.7,13.15,13.7,91595
2019-02-18,13.65,13.8,13.45,13.8,71447
2019-02-19,13.7,13.7,13.15,13.3,71986
2019-02-20,13.3,13.75,13.1,13.5,108635
2019-02-21,13.4,13.7,13.3,13.6,103160
2019-02-22,13.4,13.95,13.4,13.95,118459
2019-02-25,13.9,14.0,13.55,14.0,94650
2019-02-26,13.95,14.0,13.7,14.0,63082
2019-02-27,13.7,14.0,13.45,13.95,66132
2019-02-28,13.5,13.95,13.5,13.85,147451
2019-03-01,13.85,13.85,13.35,13.8,95289
2019-03-06,13.7,13.7,12.6,13.2,99220
2019-03-07,13.1,13.2,12.7,13.1,64575
2019-03-08,13.1,13.1,12.6,13.1,36590
2019-03-11,13.1,13.35,12.7,13.05,75808
2019-03-12,13.35,13.35,12.65,13.1,74597
2019-03-13,13.1,13.2,12.75,13.15,84081
2019-03-14,12.95,13.0,12.65,12.95,112145
2019-03-15,13.0,13.35,12.7,12.95,30696
2019-03-18,13.0,13.0,12.7,12.85,78017
2019-03-19,13.15,13.15,12.2,12.5,72851
2019-03-20,12.5,12.85,12.15,12.7,128523
2019-03-21,12.7,12.8,12.5,12.8,77197
2019-03-22,12.75,13.0,12.05,13.0,136130
2019-03-25,12.75,12.95,12.55,12.95,111575
2019-03-26,12.95,12.95,12.45,12.9,87950
2019-03-27,12.5,12.85,12.2,12.85,121948
2019-03-28,12.5,12.8,12.5,12.8,15857
2019-03-29,12.7,12.9,12.6,12.85,406870
2019-04-01,12.85,12.95,12.55,12.7,116981
2019-04-03,12.5,12.55,12.0,12.55,98770
2019-04-04,12.1,12.5,12.1,12.45,76041
2019-04-05,12.1,12.2,12.0,12.0,76238
2019-04-08,11.9,12.2,11.3,11.3,65780
2019-04-09,11.5,11.5,10.85,11.2,68664
2019-04-10,11.2,11.45,10.6,11.45,160769
2019-04-11,11.5,11.5,10.9,11.45,113424
2019-04-12,11.45,12.2,11.05,12.0,126662
2019-04-15,11.5,12.3,11.5,11.65,275390
2019-04-16,11.4,11.9,11.35,11.9,176365
2019-04-17,11.9,11.9,11.4,11.45,159310
2019-04-22,11.0,11.0,10.6,10.95,180738
2019-04-23,11.0,11.9,10.6,11.2,134675
2019-04-24,10.95,11.1,10.45,11.1,190438
2019-04-25,10.6,11.9,10.45,11.9,264568
2019-04-26,11.85,12.0,11.45,11.7,179835
2019-04-29,11.2,12.5,11.2,11.9,109426
2019-04-30,11.9,12.1,11.5,12.0,154149
2019-05-02,12.6,13.0,12.2,12.5,288262
2019-05-03,12.95,13.3,12.5,13.2,152701
2019-05-06,13.2,13.7,12.6,13.7,165483
2019-05-07,13.55,13.55,12.6,13.4,249501
2019-05-08,13.7,13.7,12.85,13.0,336305
2019-05-09,13.0,13.45,12.95,13.2,85709
2019-05-10,13.2,13.3,12.85,13.0,22309
2019-05-13,12.7,12.95,12.4,12.45,110895
2019-05-14,12.9,13.0,12.2,13.0,59369
2019-05-15,12.9,13.55,12.5,13.35,251461
2019-05-16,13.35,13.7,13.0,13.6,164065
2019-05-17,13.7,13.7,13.1,13.6,105067
2019-05-20,13.1,14.0,13.1,14.0,81539
2019-05-21,13.8,14.4,13.7,14.15,149609
