Date,Open,High,Low,Close,Volume
2019-01-08,10.04,10.05,10.04,10.05,187900
2019-01-09,10.1,10.1,10.081,10.09,17100
2019-01-10,10.07,10.07,10.07,10.07,13100
2019-01-14,10.05,10.05,10.05,10.05,700
2019-01-15,10.058,10.058,10.058,10.058,100
2019-01-22,10.07,10.07,10.07,10.07,2700
2019-01-24,10.07,10.07,10.07,10.07,1000
2019-01-25,10.07,10.08,10.05,10.07,18000
2019-01-28,10.07,10.07,10.07,10.07,48300
2019-01-31,10.09,10.09,10.09,10.09,5000
2019-02-06,10.085,10.085,10.085,10.085,1000
2019-02-07,10.08,10.08,10.08,10.08,10000
2019-02-08,10.07,10.15,10.02,10.08,159100
2019-02-14,10.02,10.02,10.02,10.02,200
2019-02-19,10.02,10.02,8.88,9.16,202000
2019-02-20,9.25,9.25,8.94,8.95,49100
2019-02-21,8.89,8.89,7.11,7.11,60500
2019-02-22,6.85,6.85,5.31,5.8,129800
2019-02-25,5.87,7.47,5.3,5.32,133600
2019-02-26,5.48,6.49,5.34,6.14,91200
2019-02-27,6.14,6.14,5.53,5.65,15400
2019-02-28,5.87,6.62,5.49,5.61,38000
2019-03-01,5.66,6.0,5.25,5.3,20600
2019-03-04,5.67,6.1,5.35,6.07,45200
2019-03-05,6.0,6.5,5.37,6.16,52300
2019-03-06,6.347,7.09,6.347,7.05,17200
2019-03-07,7.49,7.75,7.11,7.75,22100
2019-03-08,7.1,7.76,7.1,7.682,5600
2019-03-11,7.51,7.8,7.39,7.7,15600
2019-03-12,7.8,9.23,7.8,9.0,16700
2019-03-13,9.0,9.43,8.79,9.43,5400
2019-03-14,9.1,9.1,5.25,5.35,214500
2019-03-15,5.5,5.772,4.61,4.9,60100
2019-03-18,4.89,4.93,4.301,4.9,81600
2019-03-19,4.75,5.5,4.55,5.15,275600
2019-03-20,5.22,5.82,5.1,5.2,176000
2019-03-21,5.21,5.49,5.16,5.45,60900
2019-03-22,5.2,5.724,4.8,5.115,88200
2019-03-25,5.12,5.325,4.9,5.0,37100
2019-03-26,5.2,5.248,4.92,5.04,29200
2019-03-27,5.01,7.0,4.95,5.7,333200
2019-03-28,5.5,5.948,5.05,5.08,80300
2019-03-29,5.46,5.46,5.0,5.22,73400
2019-04-01,5.24,5.24,5.0,5.17,18300
2019-04-02,4.95,5.25,4.81,5.0,30800
2019-04-03,5.03,5.03,4.62,4.85,32900
2019-04-04,4.98,5.0,4.52,4.9,16200
2019-04-05,5.12,5.12,4.53,4.53,16500
2019-04-08,4.576,5.0,4.576,5.0,31900
2019-04-09,4.56,4.97,4.56,4.765,20600
2019-04-10,4.976,4.976,4.65,4.8,6800
2019-04-11,4.753,4.753,4.65,4.65,1400
2019-04-12,4.75,4.75,4.5,4.53,29200
2019-04-15,4.87,4.95,4.8,4.87,17900
2019-04-16,4.8,4.87,4.76,4.8,27800
2019-04-17,4.824,4.9,4.8,4.865,4700
2019-04-18,4.82,4.9,4.8,4.8,24200
2019-04-22,4.824,4.88,4.8,4.8,17800
2019-04-23,4.84,4.988,4.839,4.9,23100
2019-04-24,4.85,4.85,4.5,4.56,10000
2019-04-25,4.57,4.585,4.5,4.5,6000
2019-04-26,4.65,4.7,4.35,4.35,22500
2019-04-29,4.509,4.509,4.3,4.45,13500
2019-04-30,4.472,4.589,4.45,4.52,8000
2019-05-01,4.521,4.573,4.52,4.55,1300
2019-05-02,4.724,4.724,4.5,4.577,14700
2019-05-03,4.75,4.89,4.64,4.64,8800
2019-05-06,4.85,4.85,4.54,4.617,13800
2019-05-07,4.673,4.673,4.65,4.65,1000
2019-05-08,4.65,4.81,4.65,4.8,4200
2019-05-09,4.8,4.8,4.55,4.57,30200
2019-05-10,4.8,4.8,4.573,4.61,13800
2019-05-13,4.55,4.69,4.55,4.57,9300
2019-05-14,4.5,4.5,4.01,4.205,22700
2019-05-15,4.52,4.52,4.26,4.29,5100
2019-05-16,4.44,4.8,4.25,4.42,14900
2019-05-17,4.45,4.45,4.1,4.1,1900
2019-05-20,4.1,4.156,4.1,4.156,1600
2019-05-21,4.54,4.6,4.26,4.33,6600
2019-05-22,4.35,4.4,4.35,4.4,700
2019-05-23,4.35,4.35,4.21,4.21,4800
2019-05-24,4.71,5.55,4.65,4.785,27100
2019-05-28,5.0,5.25,4.85,4.98,60000
2019-05-29,4.8,4.98,4.6,4.68,13500
2019-05-30,4.32,4.588,4.32,4.47,1400
2019-05-31,4.42,4.43,4.15,4.15,19200
2019-06-03,4.15,4.15,4.07,4.1,15900
2019-06-04,4.301,4.301,4.11,4.15,16100
2019-06-05,4.182,4.182,4.11,4.11,500
2019-06-06,4.15,4.24,4.1,4.15,9800
2019-06-07,4.377,4.399,4.3,4.3,3100
2019-06-10,4.52,4.52,4.19,4.3,5100
2019-06-11,4.25,4.25,4.12,4.17,20400
2019-06-12,4.379,4.79,4.24,4.28,73000
2019-06-13,4.27,4.675,4.21,4.65,18500
2019-06-14,4.85,5.0,4.49,4.885,68800
2019-06-17,5.06,5.06,4.6,5.06,34100
2019-06-18,4.94,5.18,4.8,5.0,32300
2019-06-19,4.89,5.1,4.89,5.1,1400
2019-06-20,5.2,5.29,4.9,5.0,22100
2019-06-21,5.114,5.239,5.05,5.175,1800
2019-06-24,5.104,5.37,5.06,5.34,17200
2019-06-25,5.32,5.33,5.19,5.22,16700
2019-06-26,5.39,5.45,5.3,5.3,25400
2019-06-27,5.45,5.45,5.381,5.381,600
2019-06-28,5.45,5.5,5.27,5.3,14600
2019-07-01,5.454,5.49,5.22,5.25,15600
2019-07-02,5.311,5.49,5.3,5.3,6900
2019-07-03,5.45,5.5,5.36,5.47,10300
2019-07-05,5.46,5.46,5.32,5.4,12700
2019-07-08,5.32,5.44,5.32,5.321,40600
2019-07-09,5.321,5.321,5.321,5.321,100
2019-07-10,5.42,5.55,5.42,5.485,11900
2019-07-11,5.56,5.64,4.83,5.56,16500
2019-07-12,5.63,5.75,5.6,5.67,23500
2019-07-15,6.0,6.35,5.43,5.9,34200
2019-07-16,5.9,6.15,5.766,5.99,56800
2019-07-17,6.07,6.07,6.0,6.05,86400
2019-07-18,6.03,6.07,6.02,6.07,137200
