Date,Open,High,Low,Close,Volume
2022-07-24,2107.0,2135.5,2060.5,2120.0,1049
2022-07-25,2066.5,2105.0,2000.0,2095.5,338
2022-07-26,2186.0,2329.5,2159.0,2329.5,521
2022-07-27,2246.0,2321.0,2191.5,2309.5,458
2022-07-28,2314.0,2409.0,2085.0,2096.5,1091
2022-07-29,2314.0,2409.0,2085.0,2096.5,1091
2022-07-31,2089.0,2089.5,1996.0,2004.0,206
2022-08-01,2004.0,2182.5,1974.0,2117.0,238
2022-08-02,2340.0,2340.0,2268.0,2316.5,3687
2022-08-03,2310.0,2310.0,2208.0,2284.5,2881
2022-08-04,2369.5,2397.5,2240.0,2310.0,263
2022-08-05,2369.5,2397.5,2240.0,2310.0,263
2022-08-07,2436.0,2436.0,2310.0,2354.5,1785
2022-08-08,2357.0,2357.0,2203.5,2288.0,372
2022-08-09,2385.0,2500.0,2385.0,2490.0,839
2022-08-10,2763.0,2763.0,2483.5,2499.0,550
2022-08-11,2549.5,2868.0,2549.5,2855.5,3417
2022-08-12,2549.5,2868.0,2549.5,2855.5,3417
2022-08-15,2936.0,2936.0,2754.0,2813.5,5834
2022-08-16,2585.0,2680.0,2544.0,2602.0,2864
2022-08-17,2616.5,2650.0,2527.0,2576.5,505
2022-08-18,2490.0,2490.0,2260.0,2284.5,3400
2022-08-19,2490.0,2490.0,2260.0,2284.5,3400
2022-08-21,2192.0,2192.0,2075.0,2077.0,4781
2022-08-22,2170.0,2220.0,2090.0,2179.5,1224
2022-08-23,2120.0,2295.0,2116.5,2231.0,2451
2022-08-24,2250.0,2250.0,2120.0,2174.5,2417
2022-08-25,2174.5,2174.5,1941.0,1984.0,2579
2022-08-26,2174.5,2174.5,1941.0,1984.0,2579
2022-08-28,1967.5,1977.5,1897.5,1969.5,268
2022-08-29,1964.5,1964.5,1845.0,1919.0,668
2022-08-30,1953.0,1959.5,1892.0,1959.5,122
2022-08-31,1874.0,1874.0,1771.0,1815.0,470
2022-09-01,1874.0,1874.0,1771.0,1815.0,470
2022-09-04,1900.0,1900.0,1890.0,1890.0,37
2022-09-05,1728.5,1750.0,1635.0,1647.5,3255
2022-09-06,1672.0,1705.0,1602.5,1690.0,972
2022-09-07,1690.0,1844.0,1690.0,1820.5,3887
2022-09-08,1901.0,2020.0,1901.0,1990.0,4291
2022-09-09,1901.0,2020.0,1901.0,1990.0,4291
2022-09-11,2020.0,2059.5,1940.0,1978.0,1558
2022-09-12,1865.0,1865.0,1747.0,1749.0,3881
2022-09-13,1717.0,1811.0,1717.0,1762.5,357
2022-09-14,1860.0,1900.0,1785.5,1854.0,1176
2022-09-15,1837.5,1879.0,1802.0,1870.0,508
2022-09-16,1837.5,1879.0,1802.0,1870.0,508
2022-09-18,1830.5,1879.0,1778.0,1863.5,125
2022-09-19,1854.0,1854.0,1745.0,1765.5,466
2022-09-20,1826.5,1885.5,1750.0,1821.5,352
2022-09-21,1748.5,1748.5,1691.0,1730.0,1218
2022-09-22,1612.0,1707.5,1612.0,1665.0,990
2022-09-23,1612.0,1707.5,1612.0,1665.0,990
2022-09-25,1690.0,1690.0,1590.5,1590.5,1242
2022-09-26,1629.5,1678.0,1570.0,1600.0,3828
2022-09-27,1650.0,1710.0,1629.5,1688.5,595
2022-09-28,1645.5,1645.5,1580.0,1602.5,3400
2022-09-29,1619.0,1718.0,1610.0,1635.0,847
2022-09-30,1619.0,1718.0,1610.0,1635.0,847
2022-10-02,1635.0,1695.0,1570.5,1684.0,392
2022-10-03,1755.0,1773.0,1715.0,1758.0,16606
2022-10-04,1744.5,1801.5,1660.5,1797.5,492
2022-10-05,1809.0,1809.0,1696.0,1697.0,1200
2022-10-06,1809.0,1809.0,1696.0,1697.0,1200
2022-10-10,1467.0,1507.0,1406.0,1434.5,3427
2022-10-11,1419.0,1486.0,1385.0,1480.0,537
2022-10-12,1416.5,1595.0,1416.5,1572.0,3234
2022-10-13,1584.5,1584.5,1481.5,1517.5,404
2022-10-14,1584.5,1584.5,1481.5,1517.5,404
2022-10-16,1580.5,1580.5,1495.0,1508.5,878
2022-10-17,1500.5,1555.5,1439.5,1466.0,179
2022-10-18,1443.5,1443.5,1400.0,1400.0,2137
2022-10-19,1444.5,1484.5,1395.5,1405.0,1591
2022-10-20,1415.5,1443.0,1373.5,1421.5,560
2022-10-21,1415.5,1443.0,1373.5,1421.5,560
2022-10-23,1414.0,1431.0,1370.0,1424.0,302
2022-10-24,1499.5,1671.0,1499.5,1660.5,1983
2022-10-25,1675.0,1783.5,1598.0,1598.0,913
2022-10-26,1643.5,1658.5,1531.5,1549.5,744
2022-10-27,1562.5,1590.5,1499.0,1582.0,332
2022-10-28,1562.5,1590.5,1499.0,1582.0,332
2022-10-30,1523.0,1536.0,1470.0,1492.0,1093
2022-10-31,1486.5,1508.0,1430.0,1435.0,8223
2022-11-01,1435.0,1435.0,1340.0,1340.5,2230
2022-11-02,1385.5,1438.0,1342.5,1350.0,315
2022-11-03,1358.0,1441.0,1320.0,1357.5,1290
2022-11-04,1358.0,1441.0,1320.0,1357.5,1290
2022-11-06,1350.0,1373.0,1290.0,1338.0,434
2022-11-07,1270.0,1330.0,1178.0,1222.0,1951
2022-11-08,1254.5,1254.5,1057.0,1077.0,2384
2022-11-09,1093.5,1250.0,1093.5,1201.5,419
2022-11-10,1220.0,1287.0,1080.0,1279.5,24809
2022-11-11,1220.0,1287.0,1080.0,1279.5,24809
2022-11-13,1125.0,1261.0,1125.0,1182.0,5811
2022-11-14,1222.0,1300.0,1200.0,1200.5,5277
2022-11-15,1200.0,1200.0,1110.0,1124.0,3582
2022-11-16,1170.0,1170.0,1090.5,1145.0,18404
2022-11-17,1178.0,1178.0,1080.0,1083.5,972
2022-11-18,1178.0,1178.0,1080.0,1083.5,972
2022-11-21,950.0,1080.0,925.5,1063.0,904
2022-11-22,1034.0,1054.0,1000.0,1022.0,1261
2022-11-23,1050.0,1111.0,1037.0,1076.0,326
2022-11-24,1075.0,1089.0,1010.0,1049.5,258
2022-11-25,1075.0,1089.0,1010.0,1049.5,258
2022-11-28,954.0,1000.0,930.0,970.0,1411
2022-11-29,925.0,975.0,918.0,965.0,1722
2022-11-30,933.0,992.0,875.5,944.5,3943
2022-12-01,939.5,950.5,908.0,947.0,1171
2022-12-02,939.5,950.5,908.0,947.0,1171
2022-12-04,951.0,996.0,889.0,900.5,2174
2022-12-05,938.0,940.5,884.0,890.5,273
2022-12-06,890.5,896.5,819.5,841.5,1659
2022-12-07,890.5,896.5,819.5,840.0,1659
2022-12-11,865.0,865.0,816.5,848.0,810
2022-12-12,900.0,918.0,852.0,893.5,1297
2022-12-13,924.0,924.0,868.0,870.0,2253
2022-12-14,870.0,870.0,770.0,791.5,4562
2022-12-15,790.0,800.0,717.0,788.5,1150
2022-12-16,790.0,800.0,717.0,788.5,1150
2022-12-18,825.0,855.0,729.0,740.5,816
2022-12-19,740.5,753.0,710.0,752.5,73
2022-12-20,775.5,779.0,763.0,767.0,1312
2022-12-21,757.5,791.5,695.0,717.0,1667
2022-12-22,722.5,727.5,675.0,691.5,1711
2022-12-23,722.5,727.5,675.0,691.5,1711
2022-12-25,691.5,728.0,691.5,715.0,142
2022-12-26,699.0,716.5,651.5,672.5,2303
2022-12-27,675.0,704.0,660.0,677.5,2288
2022-12-28,686.0,709.0,653.5,689.5,1322
2022-12-29,721.0,721.0,647.0,707.5,288
2022-12-30,721.0,721.0,647.0,707.5,288
2023-01-01,710.0,775.0,705.0,762.5,272
2023-01-02,731.0,760.0,711.0,725.0,504
2023-01-03,759.0,885.0,726.0,870.0,6892
2023-01-04,885.0,918.0,825.0,890.0,1769
2023-01-05,900.0,922.0,873.0,906.5,1266
2023-01-06,900.0,922.0,873.0,906.5,1266
2023-01-08,1022.0,1253.5,1010.0,1080.0,7712
2023-01-09,1124.41,1245.0,1102.0,1177.5,15873
2023-01-10,1183.5,1235.0,1135.0,1141.0,6476
2023-01-11,1224.0,1720.0,1180.0,1692.5,24376
2023-01-12,1690.0,2196.0,1607.0,1866.5,19765
2023-01-13,1690.0,2196.0,1607.0,1866.5,19765
2023-01-15,1910.0,2599.0,1910.0,2424.0,8048
2023-01-16,2219.0,2328.5,1913.0,2000.0,24366
2023-01-17,1988.5,2057.0,1623.0,1776.5,18458
2023-01-18,1687.5,2045.0,1588.5,1948.0,10089
2023-01-19,2000.0,2130.0,1876.5,2129.0,6957
2023-01-20,2000.0,2130.0,1876.5,2129.0,6957
2023-01-22,2130.0,2200.0,2022.0,2120.0,4117
2023-01-23,2060.0,2130.0,2003.5,2035.0,2086
2023-01-24,2040.0,2041.5,1910.0,1984.0,2054
2023-01-25,2100.0,2127.5,1970.0,1985.5,2025
