Date,Open,High,Low,Close,Volume
2024-04-22,5250.0,5250.0,5250.0,5250.0,0
2024-06-10,7525.0,7525.0,7525.0,7525.0,0
2024-06-11,7500.0,7500.0,7500.0,7500.0,6
2024-06-12,7500.0,7500.0,7500.0,7500.0,59
2024-06-13,7500.0,7500.0,7500.0,7500.0,59
2024-06-14,0.0,0.0,0.0,7419.273,0
2024-06-18,7500.0,7500.0,7500.0,7500.0,2
2024-06-19,7500.0,7500.0,7500.0,7500.0,2
2024-06-23,7500.0,7500.0,7450.0,7495.0,168
2024-06-24,7495.0,7622.0,7495.0,7622.0,296
2024-06-25,7600.0,7650.0,7600.0,7649.0,176
2024-06-26,7700.0,7900.0,7700.0,7900.0,114
2024-06-27,7900.0,7900.0,7900.0,7900.0,278
2024-06-28,7900.0,7900.0,7900.0,7900.0,278
2024-06-30,7890.0,7890.0,7746.0,7880.0,284
2024-07-01,7900.0,8100.0,7900.0,8100.0,517
2024-07-02,8100.0,8100.0,7800.0,8095.0,176
2024-07-03,8095.0,8095.0,7700.0,8095.0,122
2024-07-04,8095.0,8095.0,7500.0,7879.5,377
2024-07-05,8095.0,8095.0,7500.0,7869.5,377
2024-07-07,8100.0,8100.0,7900.0,7949.5,115
2024-07-08,8100.0,8100.0,7900.0,7935.0,115
2024-07-09,7935.0,7990.0,7890.0,7900.0,38
2024-07-10,7900.0,7900.0,7500.0,7870.0,82
2024-07-11,7900.0,8250.0,7900.0,8050.0,459
2024-07-12,7900.0,8250.0,7900.0,8050.0,459
2024-07-14,8300.0,8300.0,7300.0,7760.0,533
2024-07-15,7800.0,7930.0,7060.0,7430.0,1725
2024-07-16,7460.0,7650.0,7350.0,7350.0,132
2024-07-17,7300.0,7800.0,7300.0,7750.0,590
2024-07-18,7790.0,7790.0,7300.0,7410.0,251
2024-07-19,7790.0,7790.0,7300.0,7410.0,251
2024-07-21,7260.0,7800.0,7250.0,7640.0,405
