Date,Open,High,Low,Close,Volume
2019-01-02,162.0,170.0,160.5,166.25,87918
2019-01-03,167.0,169.0,160.3,168.0,135188
2019-01-04,167.0,176.0,165.85,174.2,158136
2019-01-07,175.0,188.0,172.25,187.5,369658
2019-01-08,187.5,188.0,180.0,184.0,182837
2019-01-09,184.0,195.0,181.5,187.5,191717
2019-01-10,185.0,196.0,182.0,194.5,306968
2019-01-11,194.0,197.0,193.0,194.1,202592
2019-01-14,185.0,200.0,185.0,197.8,83634
2019-01-15,197.8,199.65,195.0,196.1,100526
2019-01-16,197.0,199.5,189.25,190.55,121823
2019-01-17,190.2,195.0,188.0,194.9,92753
2019-01-18,194.5,204.35,194.5,203.35,207070
2019-01-21,203.0,206.0,200.1,205.6,37761
2019-01-22,204.0,204.0,194.5,196.5,112648
2019-01-23,197.5,207.05,197.5,206.35,162110
2019-01-24,204.5,211.0,204.0,204.6,186561
2019-01-25,204.6,210.0,202.0,205.4,112384
2019-01-28,204.0,206.8,197.2,205.7,52314
2019-01-29,205.7,217.0,203.55,215.45,134131
2019-01-30,210.0,219.0,210.0,214.85,141286
2019-01-31,214.0,218.5,208.55,214.5,106404
2019-02-01,215.0,217.95,210.0,216.0,222850
2019-02-04,215.85,223.9,213.0,222.65,139344
2019-02-05,221.0,224.75,216.25,223.6,120307
2019-02-06,224.0,224.0,215.15,216.05,165389
2019-02-07,216.0,216.0,207.0,213.15,364810
2019-02-08,212.9,217.6,209.0,216.95,169278
2019-02-11,216.95,222.85,214.5,217.9,68115
2019-02-12,218.1,224.75,218.1,223.5,151866
2019-02-13,223.0,226.0,215.5,216.05,77899
2019-02-14,217.5,222.0,211.2,221.55,86647
2019-02-15,221.55,222.75,217.0,220.6,31291
2019-02-18,221.5,223.95,216.4,217.1,19559
2019-02-19,217.0,218.5,204.05,205.2,183280
2019-02-20,206.0,218.0,201.5,204.9,595967
2019-02-21,206.05,209.9,203.0,203.1,121126
2019-02-22,204.05,213.0,204.0,211.55,86881
2019-02-25,213.2,217.35,204.5,206.4,116748
2019-02-26,208.5,209.45,200.1,207.85,87435
2019-02-27,209.0,211.0,204.1,207.7,45078
2019-02-28,207.7,207.8,196.4,196.7,158256
2019-03-01,198.15,202.0,186.0,187.4,927856
