Date,Open,High,Low,Close,Volume
2024-02-29,65000.0,76000.0,63500.0,74450.0,537308
2024-03-01,58839.408,68796.846,57481.575,67393.753,537308
2024-03-03,75000.0,75000.0,63200.0,64100.0,3626047
2024-03-04,66000.0,67000.0,62000.0,64300.0,2011525
2024-03-05,65000.0,66000.0,62500.0,66000.0,3470987
2024-03-06,66000.0,68640.0,66000.0,67700.0,5129486
2024-03-07,67570.0,70040.0,66000.0,69500.0,3391232
2024-03-08,61165.828,63401.725,59744.63,62912.905,3391232
2024-03-10,68810.0,70550.0,66500.0,67600.0,2855996
2024-03-11,69490.0,73920.0,69490.0,71000.0,3154513
2024-03-12,71000.0,74700.0,69700.0,70500.0,3877226
2024-03-13,70500.0,71200.0,68410.0,69750.0,2010219
2024-03-14,69060.0,74900.0,68360.0,71600.0,743249
2024-03-15,62514.608,67801.102,61880.953,64813.871,743249
2024-03-17,71800.0,74500.0,68500.0,71200.0,4407418
2024-03-18,70500.0,73400.0,70100.0,72200.0,2223668
2024-03-19,72000.0,74400.0,68000.0,74400.0,2654750
2024-03-20,76000.0,76000.0,70000.0,75750.0,1382531
2024-03-21,75000.0,79920.0,75000.0,79700.0,3710515
2024-03-22,67891.625,72345.315,67891.625,72146.166,3710515
2024-03-24,80000.0,84000.0,78200.0,79300.0,4066980
2024-03-25,78550.0,80800.0,78000.0,78000.0,1217919
2024-03-26,77250.0,80000.0,76010.0,77100.0,1127383
2024-03-27,69928.373,72417.733,68805.898,69792.59,1127383
2024-04-02,76350.0,77170.0,74490.0,75000.0,2305764
2024-04-03,75000.0,77320.0,73960.0,75210.0,1078891
2024-04-04,74500.0,79460.0,74500.0,76920.0,2657998
2024-04-05,67439.014,71928.913,67439.014,69629.65,2657998
2024-04-07,76920.0,78810.0,74860.0,77990.0,4273363
2024-04-08,77260.0,81650.0,77250.0,81200.0,3197145
2024-04-09,81500.0,82880.0,79110.0,79600.0,2600532
2024-04-10,80200.0,83780.0,77710.0,80100.0,5751914
2024-04-11,79300.0,81000.0,78500.0,79900.0,364335
2024-04-12,71784.078,73322.954,71059.9,72327.211,364335
2024-04-14,79900.0,81500.0,78360.0,80680.0,964395
2024-04-15,82000.0,82470.0,79100.0,79500.0,1560083
2024-04-16,79500.0,80990.0,78100.0,79100.0,4108027
2024-04-17,81070.0,81070.0,76740.0,79600.0,885048
2024-04-18,81980.0,82800.0,79030.0,79950.0,2139259
2024-04-19,74210.072,74952.353,71539.668,72372.472,2139259
2024-04-21,80200.0,81030.0,78590.0,80400.0,2739825
2024-04-22,80500.0,81000.0,78570.0,80300.0,3283783
2024-04-23,79500.0,80110.0,78020.0,79000.0,2533768
2024-04-24,78250.0,80500.0,76650.0,80500.0,1571606
2024-04-25,82000.0,82190.0,80500.0,81140.0,4117750
2024-04-26,74228.176,74400.168,72870.344,73449.686,4117750
2024-04-28,82400.0,82400.0,80410.0,81700.0,224734
2024-04-29,82000.0,82400.0,80080.0,81150.0,228275
2024-04-30,74228.176,74590.265,72490.151,73458.738,228275
2024-05-01,82100.0,83450.0,80350.0,82700.0,1466812
2024-05-02,82900.0,85200.0,82150.0,82500.0,3411510
2024-05-03,75042.876,77124.885,74363.959,74680.787,3411510
2024-05-05,82000.0,82490.0,80050.0,81850.0,1745228
2024-05-06,81850.0,82440.0,79400.0,80250.0,2992917
2024-05-07,80000.0,80890.0,78350.0,78500.0,4715800
2024-05-08,77750.0,79800.0,77500.0,78550.0,1435838
2024-05-09,80750.0,80750.0,76420.0,77600.0,677672
2024-05-10,73096.649,73096.649,69177.039,70245.201,677672
2024-05-12,79900.0,79900.0,75500.0,77700.0,1304003
2024-05-13,79000.0,80000.0,77020.0,78700.0,2221022
2024-05-14,79140.0,82440.0,78500.0,81200.0,2997566
2024-05-15,82500.0,84000.0,80100.0,81400.0,1030962
2024-05-16,83000.0,83010.0,80620.0,82400.0,1348033
2024-05-17,75133.398,75142.45,72978.97,74590.265,1348033
2024-05-19,81580.0,86210.0,81580.0,85200.0,771563
2024-05-20,85210.0,89050.0,85020.0,88500.0,1723760
2024-05-21,90000.0,92500.0,88460.0,90660.0,855731
2024-05-22,92500.0,96400.0,88600.0,91150.0,455613
2024-05-23,93800.0,94000.0,87450.0,89200.0,1853738
2024-05-24,84909.792,85090.836,79161.634,80745.772,1853738
2024-05-26,90000.0,93500.0,88260.0,90640.0,351072
2024-05-27,93350.0,93350.0,88500.0,89890.0,4781072
2024-05-28,89000.0,91230.0,87600.0,88700.0,1563010
2024-05-29,88700.0,92900.0,88000.0,89000.0,908152
2024-05-30,89000.0,92290.0,89000.0,91010.0,569359
2024-05-31,80564.728,83542.907,80564.728,82384.223,569359
2024-06-02,93700.0,96000.0,92500.0,93000.0,1454308
2024-06-03,95700.0,98000.0,87180.0,92900.0,297116
2024-06-04,95500.0,98000.0,91300.0,92450.0,784025
2024-06-05,91540.0,97400.0,91500.0,91500.0,356061
2024-06-06,94200.0,97000.0,90600.0,93630.0,1996833
2024-06-07,85271.88,87806.501,82013.082,84755.904,1996833
2024-06-09,94630.0,97990.0,92810.0,95110.0,709866
2024-06-10,94770.0,96960.0,92710.0,94990.0,1655491
2024-06-11,97000.0,97000.0,94050.0,94500.0,431688
2024-06-12,94500.0,97750.0,93570.0,95400.0,443440
2024-06-13,95300.0,99000.0,94200.0,95500.0,2090989
2024-06-14,86267.624,89616.944,85271.88,86448.669,2090989
2024-06-17,94550.0,98900.0,94500.0,95400.0,878601
2024-06-18,95400.0,97700.0,94490.0,97000.0,503327
2024-06-19,86358.146,88440.156,85534.395,87806.501,503327
2024-06-23,96040.0,99700.0,95060.0,97500.0,367746
2024-06-24,98500.0,99470.0,98000.0,98700.0,1426309
2024-06-25,99000.0,103480.0,98700.0,101100.0,828043
2024-06-26,102490.0,102490.0,100100.0,101040.0,994420
2024-06-27,100520.0,103300.0,98020.0,101800.0,214325
2024-06-28,90992.881,93509.397,88729.827,92151.565,214325
2024-06-30,100800.0,107490.0,100800.0,106400.0,156653
2024-07-01,108880.0,109540.0,106800.0,107490.0,374535
2024-07-02,108700.0,108700.0,102000.0,104500.0,1044991
2024-07-03,103460.0,105120.0,101700.0,104650.0,734186
2024-07-04,104170.0,105700.0,104000.0,104720.0,752863
