Date,Open,High,Low,Close,Volume
2019-01-02,370.0,374.0,360.05,370.3,155213
2019-01-03,370.3,372.5,357.0,364.65,67780
2019-01-04,364.0,374.0,359.0,363.7,107020
2019-01-07,369.0,373.0,362.0,372.5,53058
2019-01-08,372.0,374.0,360.0,366.0,61404
2019-01-09,369.0,372.0,362.0,369.5,105288
2019-01-10,367.0,368.5,363.0,367.5,98763
2019-01-11,369.0,370.0,356.0,365.0,63476
2019-01-14,362.5,381.0,357.0,371.0,54394
2019-01-15,377.0,380.0,367.0,377.5,78594
2019-01-16,378.0,382.0,372.5,379.5,158434
2019-01-17,379.5,380.0,374.5,379.5,50529
2019-01-18,381.0,390.0,377.0,386.0,108534
2019-01-21,390.0,392.0,386.0,390.5,43249
2019-01-22,391.0,391.0,380.5,382.5,26796
2019-01-23,381.0,387.0,381.0,383.5,28960
2019-01-24,385.0,388.0,382.0,386.0,45899
2019-01-25,388.0,390.0,377.0,380.0,176831
2019-01-28,375.0,378.0,372.0,377.0,59917
2019-01-29,375.0,378.5,369.0,370.5,179842
2019-01-30,374.0,381.5,372.0,381.0,29287
2019-01-31,378.5,383.0,374.0,382.5,112611
2019-02-01,386.0,386.0,376.0,377.5,318375
2019-02-04,381.0,381.0,372.0,374.0,144368
2019-02-05,377.5,385.0,374.0,384.5,59563
2019-02-06,388.0,388.0,375.0,379.5,51096
2019-02-07,380.0,382.5,371.0,377.0,35757
2019-02-08,377.0,388.0,375.0,387.5,143566
2019-02-11,386.5,391.5,380.0,385.0,43165
2019-02-12,385.0,388.0,382.0,387.5,177558
2019-02-13,389.0,389.0,382.5,386.5,22424
2019-02-14,388.0,388.0,385.5,386.5,144160
2019-02-15,386.5,389.0,386.0,386.0,123374
2019-02-18,390.0,390.0,384.0,385.5,23905
2019-02-19,384.0,387.0,375.5,377.0,197495
2019-02-20,377.0,383.5,365.0,366.5,218048
2019-02-21,369.0,372.5,364.0,365.0,315809
2019-02-22,371.0,374.0,364.5,366.5,16455
2019-02-25,366.5,379.0,366.0,371.5,37771
2019-02-26,369.0,370.0,364.5,368.0,17221
2019-02-27,373.0,373.0,361.0,365.0,40267
2019-02-28,365.0,365.5,352.0,356.0,231237
2019-03-01,356.0,361.5,346.0,347.5,248664
2019-03-06,348.0,350.0,331.0,335.5,351811
2019-03-07,337.5,340.0,326.5,328.5,134107
2019-03-08,329.5,342.0,329.0,339.0,315247
2019-03-11,339.0,346.0,331.0,332.5,48180
2019-03-12,332.5,339.0,330.5,332.5,28180
2019-03-13,333.0,339.0,330.0,335.5,56269
2019-03-14,342.5,342.5,330.0,332.5,181603
2019-03-15,333.0,337.0,325.0,332.5,131010
2019-03-18,333.0,338.0,330.0,333.5,66215
2019-03-19,333.5,338.5,330.0,330.5,39508
2019-03-20,335.0,335.0,325.0,326.5,79223
2019-03-21,329.0,331.5,325.0,326.5,47042
2019-03-22,327.0,327.0,315.0,324.0,49225
2019-03-25,326.0,329.5,324.0,327.5,18538
2019-03-26,327.5,332.0,309.5,313.0,71348
2019-03-27,313.5,314.0,300.5,306.0,65899
2019-03-28,310.0,318.0,308.0,315.0,28558
2019-03-29,319.0,324.0,316.5,322.0,42876
2019-04-01,325.0,328.0,313.0,320.5,28779
2019-04-03,321.0,321.0,308.0,309.0,45698
2019-04-04,316.0,316.0,304.5,306.5,17660
2019-04-05,308.0,313.0,305.5,309.0,21301
2019-04-08,309.0,315.0,306.0,310.5,23630
