Date,Open,High,Low,Close,Volume
2019-01-02,33.7,35.5,32.7,34.45,416853
2019-01-03,34.5,35.0,33.55,34.25,304199
2019-01-04,34.0,35.45,34.0,34.8,836687
2019-01-07,34.9,35.55,34.4,34.5,570238
2019-01-08,35.1,35.65,33.95,34.2,1154984
2019-01-09,34.45,37.0,34.45,36.4,1075422
2019-01-10,36.4,38.0,35.6,37.6,659058
2019-01-11,37.4,37.9,36.65,37.15,622363
2019-01-14,37.1,37.75,36.5,37.55,277755
2019-01-15,38.35,38.35,37.0,37.6,520237
2019-01-16,38.0,38.7,37.65,38.4,377061
2019-01-17,38.0,38.5,37.8,38.2,250383
2019-01-18,38.0,39.2,38.0,38.45,300545
2019-01-21,38.8,39.0,37.6,38.2,118394
2019-01-22,38.35,38.35,36.0,36.15,456493
2019-01-23,36.4,37.25,36.4,36.85,628856
2019-01-24,37.05,38.0,37.05,37.65,630484
2019-01-25,37.9,38.5,37.0,37.5,292944
2019-01-28,37.5,38.0,36.3,36.8,466971
2019-01-29,37.3,38.1,37.3,38.0,931603
2019-01-30,38.0,38.4,37.55,38.1,639023
2019-01-31,38.1,39.85,38.1,38.45,841723
2019-02-01,38.3,39.8,38.3,39.8,1190521
2019-02-04,39.8,41.9,39.8,41.75,1018927
2019-02-05,42.0,42.5,41.2,42.0,1211644
2019-02-06,41.9,42.35,41.5,42.25,1295923
2019-02-07,41.95,41.95,39.8,40.3,1155676
2019-02-08,40.25,40.9,39.65,40.45,719741
2019-02-11,40.55,42.3,40.55,41.95,674954
2019-02-12,42.0,42.75,42.0,42.65,554486
2019-02-13,42.9,43.0,42.0,42.1,659392
2019-02-14,42.55,42.55,41.1,42.2,464898
2019-02-15,42.9,42.9,41.4,41.65,378184
2019-02-18,41.1,41.6,40.65,40.9,178756
2019-02-19,40.9,41.7,40.0,40.25,766347
2019-02-20,40.5,42.2,39.8,40.05,833482
2019-02-21,40.0,41.0,39.8,40.1,517902
2019-02-22,40.1,41.8,40.1,41.5,646325
2019-02-25,41.6,42.5,40.75,41.45,598509
2019-02-26,41.0,41.45,40.2,40.65,404395
2019-02-27,41.0,41.0,39.0,39.8,387398
2019-02-28,39.95,39.95,38.0,39.8,1239898
2019-03-01,39.9,41.0,38.5,39.2,547467
2019-03-06,39.3,39.4,37.3,38.9,1358568
2019-03-07,38.9,40.75,38.0,40.05,808050
2019-03-08,40.0,40.2,38.8,39.95,1149440
2019-03-11,40.0,40.2,38.8,38.95,462312
2019-03-12,39.2,40.5,38.65,39.8,767209
2019-03-13,40.0,40.35,39.3,39.4,548067
2019-03-14,39.3,39.8,39.1,39.15,537319
2019-03-15,39.3,40.45,39.0,40.4,524089
2019-03-18,40.45,42.7,40.45,42.5,1546502
2019-03-19,42.65,43.3,40.7,41.0,1089057
2019-03-20,41.0,42.25,40.4,40.7,1086452
2019-03-21,40.7,41.0,39.2,39.55,758387
2019-03-22,39.9,40.0,38.45,38.7,1096877
2019-03-25,38.45,39.85,38.15,39.65,939757
2019-03-26,40.0,40.7,38.55,40.0,1575790
2019-03-27,38.95,39.7,37.55,38.5,963309
2019-03-28,38.5,39.45,38.2,39.1,782529
2019-03-29,39.5,39.9,38.85,39.85,884071
2019-04-01,39.85,40.0,39.0,39.1,362459
2019-04-03,38.25,39.2,36.9,37.0,1936355
2019-04-04,37.0,38.15,37.0,37.55,594181
2019-04-05,37.6,38.5,37.55,38.45,838917
2019-04-08,38.5,39.9,37.85,38.3,818918
2019-04-09,38.8,38.8,35.6,36.05,822007
2019-04-10,35.05,36.45,35.0,35.3,334497
2019-04-11,36.5,36.5,34.4,35.0,1579967
2019-04-12,34.85,35.4,34.1,34.7,472673
2019-04-15,34.5,36.0,34.2,35.25,504886
2019-04-16,35.9,37.3,35.55,37.0,766724
2019-04-17,37.0,37.5,36.0,36.9,784836
2019-04-22,36.0,36.9,34.6,35.0,583402
2019-04-23,35.5,35.9,35.0,35.3,427904
2019-04-24,35.45,35.45,34.0,34.45,1041316
2019-04-25,33.8,34.75,32.4,33.45,1504125
2019-04-26,34.5,35.5,33.05,35.05,671282
2019-04-29,34.85,34.9,33.3,33.4,453367
2019-04-30,34.0,35.9,33.15,35.4,934379
2019-05-02,36.5,38.0,35.65,37.75,985057
