Date,Open,High,Low,Close,Volume
2019-01-02,23.02,23.39,23.0,23.19,146400
2019-01-03,23.08,23.08,22.55,22.55,163200
2019-01-04,22.81,23.47,22.81,23.36,101600
2019-01-07,23.35,23.9,23.35,23.79,85500
2019-01-08,24.03,24.28,23.8,24.27,157300
2019-01-09,24.37,24.57,24.28,24.5,152700
2019-01-10,24.33,24.56,24.13,24.49,198100
2019-01-11,24.41,24.54,24.17,24.49,143400
2019-01-14,24.36,24.37,24.11,24.16,68800
2019-01-15,24.1,24.64,24.1,24.57,348500
2019-01-16,24.64,24.72,24.34,24.53,149100
2019-01-17,24.54,24.93,24.31,24.77,245700
2019-01-18,24.81,25.0,24.71,24.87,163500
2019-01-22,24.85,24.85,24.46,24.58,239700
2019-01-23,24.81,25.1,24.55,24.78,166600
2019-01-24,24.79,25.03,24.79,24.91,176300
2019-01-25,25.11,25.42,25.05,25.33,151000
2019-01-28,25.11,25.35,24.98,25.3,165000
2019-01-29,25.3,25.32,25.16,25.24,146700
2019-01-30,25.32,25.65,25.14,25.62,187900
2019-01-31,25.64,26.0,25.64,25.91,298500
2019-02-01,26.07,26.48,26.07,26.43,224200
2019-02-04,26.43,26.86,26.42,26.79,186300
2019-02-05,26.92,27.1,26.81,27.01,137000
2019-02-06,27.0,27.0,26.67,26.9,188500
2019-02-07,26.64,26.64,26.27,26.55,183700
2019-02-08,26.44,26.97,26.41,26.97,144900
2019-02-11,27.04,27.19,26.96,27.05,157500
2019-02-12,27.15,27.43,27.13,27.38,145400
2019-02-13,27.4,27.4,27.16,27.19,161900
2019-02-14,27.28,27.75,27.2,27.62,317500
2019-02-15,27.68,27.73,27.54,27.69,236000
2019-02-19,27.71,27.85,27.55,27.8,198400
2019-02-20,27.84,27.87,27.54,27.66,143200
2019-02-21,27.56,27.71,27.36,27.61,174600
2019-02-22,27.67,27.93,27.67,27.93,110100
2019-02-25,28.09,28.16,27.93,28.04,294100
2019-02-26,28.0,28.04,27.85,27.96,143200
2019-02-27,28.15,28.43,28.05,28.39,212200
2019-02-28,28.4,28.43,28.12,28.19,192600
2019-03-01,28.39,28.45,28.03,28.28,168800
2019-03-04,28.41,28.43,27.36,27.72,293400
2019-03-05,27.74,27.85,27.49,27.61,149600
2019-03-06,27.59,27.6,27.21,27.3,124900
2019-03-07,27.21,27.44,27.01,27.19,156100
2019-03-08,26.97,27.21,26.8,27.16,208400
2019-03-11,27.25,27.68,27.25,27.65,122100
2019-03-12,27.7,27.78,27.49,27.68,154300
2019-03-13,27.76,28.04,27.7,27.81,204500
2019-03-14,27.86,28.07,27.79,27.91,110100
2019-03-15,28.02,28.1,27.9,27.93,96600
