Date,Open,High,Low,Close,Volume
2002-03-20,50.75,50.75,50.75,50.75,3675
2002-04-10,57.1,57.1,57.1,57.1,20700
2002-04-15,60.7,60.7,60.7,60.7,51000
2002-04-16,59.25,59.25,59.25,59.25,1380
2002-05-28,65.5,65.5,65.5,65.5,3045
2002-06-06,75.4,75.4,75.4,75.4,2295
2002-06-25,67.2,67.2,67.2,67.2,2961
2002-07-01,69.8,69.8,69.75,69.75,29100
2002-07-02,67.55,67.6,67.55,67.6,4500
2002-08-16,67.5,67.5,67.45,67.45,57000
2002-09-16,73.0,73.0,73.0,73.0,165
2002-10-07,73.35,73.35,73.3,73.3,7500
2002-10-16,70.0,70.0,70.0,70.0,1425
2002-10-17,71.15,71.15,71.1,71.1,38730
2002-11-13,65.85,65.85,65.85,65.85,1515
2002-11-14,63.75,63.75,63.75,63.75,2961
2003-05-08,53.85,53.85,53.85,53.85,591
2003-06-10,55.4,55.4,55.4,55.4,2082
2003-06-17,57.2,57.2,57.2,57.2,3750
2003-07-24,52.2,52.2,52.2,52.2,114
2003-10-08,53.9,53.9,53.9,53.9,54
2004-01-09,49.6,49.6,49.5,49.5,7395
2004-05-13,54.25,54.25,54.25,54.25,1335
2004-06-14,57.05,57.05,57.05,57.05,2853
2004-07-01,57.6,57.65,57.6,57.65,17283
2004-08-09,51.95,51.95,51.95,51.95,5088
2004-09-10,54.35,54.35,54.35,54.35,1059
2004-09-22,46.45,46.45,46.45,46.45,3000
2004-10-12,42.75,42.75,42.7,42.7,750
2004-10-19,42.75,42.75,42.75,42.75,1296
2004-11-09,46.5,46.5,46.5,46.5,5010
2004-12-09,49.35,49.35,49.35,49.35,3000
2005-02-16,52.25,52.25,52.25,52.25,6114
2005-02-22,53.2,53.2,53.15,53.15,4440
2005-03-17,50.85,50.85,50.85,50.85,1428
2005-03-28,50.6,50.6,50.6,50.6,2226
2005-04-04,50.55,50.55,50.55,50.55,1434
2005-04-21,49.95,49.95,49.95,49.95,660
2005-05-03,47.95,47.95,47.95,47.95,3300
2005-05-04,48.35,48.35,48.35,48.35,1461
2005-05-11,47.45,47.45,47.45,47.45,2754
2005-05-17,47.4,47.4,47.4,47.4,915
2005-05-20,49.25,49.25,49.25,49.25,2883
2005-05-26,48.2,48.2,48.2,48.2,21078
2005-06-13,48.35,48.35,48.35,48.35,1926
2005-07-15,48.45,48.45,48.45,48.45,2523
2005-07-25,48.55,48.55,48.55,48.55,1476
2005-07-27,49.15,49.15,0.0,49.15,933
2005-08-09,49.35,49.35,49.35,49.35,1215
2005-08-19,50.05,50.05,50.05,50.05,1257
2005-08-23,50.05,0.0,0.0,50.55,948
2005-08-29,50.65,50.7,50.65,50.7,555
2005-09-06,51.4,51.4,51.4,51.4,1050
2005-09-09,51.4,51.4,51.4,51.4,1200
2005-09-16,50.8,50.8,50.75,50.75,1620
2005-09-20,50.5,50.5,50.5,50.5,696
2005-09-23,49.85,49.85,49.85,49.85,2814
2005-09-30,49.9,49.9,49.9,49.9,1716
2005-10-04,49.9,0.0,0.0,50.7,1326
2005-10-11,50.9,50.9,50.9,50.9,1041
2005-10-17,51.2,51.2,51.2,51.2,3768
2005-10-19,51.2,51.15,51.15,51.15,774
2005-10-24,51.45,51.5,51.45,51.5,402
2005-10-27,52.1,52.1,52.1,52.1,777
2005-10-31,52.95,52.95,52.95,52.95,390
2005-11-02,52.1,52.1,52.1,52.1,1026
2005-11-07,51.0,51.0,51.0,51.0,957
2005-11-11,52.75,52.75,52.75,52.75,852
2005-11-15,53.25,53.25,53.25,53.25,54
2005-11-29,54.25,54.25,54.25,54.25,600
2005-12-20,56.1,56.1,56.1,56.1,2127
2005-12-28,56.2,56.2,56.2,56.2,1950
2005-12-29,56.1,56.1,56.1,56.1,621
2006-01-05,55.95,55.95,55.9,55.9,1080
2006-01-11,55.85,55.85,55.85,55.85,264
2006-01-20,55.7,55.7,55.7,55.7,732
2006-01-26,57.8,57.8,57.8,57.8,3024
2006-02-01,56.65,56.65,56.65,56.65,387
2006-02-14,55.3,55.3,55.3,55.3,2133
2006-02-22,56.35,56.35,56.35,56.35,2223
2006-07-06,62.05,62.05,62.0,62.0,2505
2006-07-12,63.0,63.05,63.0,63.05,237
2006-11-15,66.05,66.05,66.0,66.0,189
2006-11-21,68.35,68.4,68.35,68.4,2826
2006-12-06,65.45,65.5,65.45,65.5,126
2007-03-29,67.95,68.0,67.95,68.0,369
2007-04-19,69.45,69.5,69.45,69.5,195
2007-05-11,68.45,68.45,68.4,68.4,1323
2007-05-16,67.55,67.6,67.55,67.6,300
2007-11-14,81.35,81.35,81.35,81.35,54
2007-12-11,83.5,83.5,83.45,83.45,252
2007-12-17,84.0,84.0,83.95,83.95,4530
2008-01-07,82.95,82.95,82.95,82.95,2400
2008-01-09,83.85,83.85,83.85,83.85,342
