Date,Open,High,Low,Close,Volume
2019-01-02,3.34,3.43,3.26,3.4,1264511
2019-01-03,3.4,3.4,3.3,3.31,1664096
2019-01-04,3.4,3.47,3.36,3.46,3289284
2019-01-07,3.49,3.52,3.46,3.5,1768780
2019-01-08,3.5,3.55,3.43,3.51,1591487
2019-01-09,3.51,3.57,3.5,3.51,1239815
2019-01-10,3.53,3.53,3.44,3.5,1324498
2019-01-11,3.42,3.51,3.42,3.5,712475
2019-01-14,3.51,3.51,3.4,3.43,1338320
2019-01-15,3.45,3.46,3.32,3.35,1217421
2019-01-16,3.4,3.44,3.39,3.4,1168344
2019-01-17,3.38,3.59,3.38,3.58,2405238
2019-01-18,3.63,3.72,3.61,3.69,4074480
2019-01-21,3.71,3.77,3.69,3.71,1666165
2019-01-22,3.71,3.71,3.5,3.55,1128449
2019-01-23,3.54,3.68,3.46,3.57,2068962
2019-01-24,3.51,3.63,3.51,3.55,1571241
2019-01-25,3.61,3.63,3.47,3.47,2001512
2019-01-28,3.4,3.44,3.35,3.37,2093321
2019-01-29,3.38,3.45,3.36,3.4,1754506
2019-01-30,3.4,3.5,3.38,3.39,4103565
2019-01-31,3.41,3.6,3.36,3.47,20643163
2019-02-01,3.49,3.63,3.48,3.55,3504501
2019-02-04,3.56,3.61,3.52,3.53,2956667
2019-02-05,3.48,3.57,3.46,3.51,1964197
2019-02-06,3.52,3.54,3.42,3.43,2484226
2019-02-07,3.42,3.45,3.35,3.37,2250901
2019-02-08,3.4,3.44,3.35,3.42,2822017
2019-02-11,3.42,3.48,3.42,3.44,1033227
2019-02-12,3.46,3.5,3.43,3.45,2433915
2019-02-13,3.49,3.49,3.42,3.44,1654586
2019-02-14,3.44,3.58,3.42,3.57,4164050
2019-02-15,3.56,3.65,3.48,3.5,2724623
2019-02-18,3.53,3.55,3.48,3.51,3227467
2019-02-19,3.54,3.54,3.42,3.43,3342450
2019-02-20,3.39,3.49,3.39,3.4,2198600
2019-02-21,3.45,3.45,3.38,3.39,1375539
2019-02-22,3.42,3.43,3.37,3.41,1165962
2019-02-25,3.42,3.46,3.38,3.38,627340
2019-02-26,3.45,3.45,3.35,3.37,987509
2019-02-27,3.37,3.42,3.32,3.35,1198058
2019-02-28,3.39,3.39,3.26,3.29,1249933
2019-03-01,3.3,3.33,3.23,3.25,958616
2019-03-06,3.26,3.29,3.12,3.16,2109338
2019-03-07,3.19,3.19,3.05,3.18,1300708
2019-03-08,3.18,3.27,3.17,3.19,1238201
2019-03-11,3.12,3.27,3.12,3.18,769339
2019-03-12,3.18,3.43,3.18,3.26,1499814
2019-03-13,3.26,3.38,3.23,3.34,1372720
2019-03-14,3.38,3.38,3.3,3.32,608339
2019-03-15,3.35,3.38,3.26,3.33,1542863
2019-03-18,3.33,3.42,3.32,3.32,2575449
2019-03-19,3.41,3.55,3.41,3.5,8141550
2019-03-20,3.53,3.55,3.4,3.4,2284225
2019-03-21,3.43,3.44,3.3,3.32,1283198
2019-03-22,3.27,3.29,3.18,3.19,2339007
2019-03-25,3.19,3.24,3.16,3.16,734729
2019-03-26,3.17,3.19,3.09,3.12,1719994
2019-03-27,3.11,3.11,3.03,3.09,1221656
2019-03-28,3.1,3.29,3.1,3.28,1320388
2019-03-29,3.3,3.41,3.29,3.32,1934622
2019-04-01,3.35,3.38,3.2,3.22,718737
2019-04-03,3.16,3.25,3.09,3.13,1527320
2019-04-04,3.12,3.17,3.08,3.1,1598219
2019-04-05,3.14,3.16,3.07,3.08,1543523
2019-04-08,3.1,3.11,3.07,3.08,1516949
2019-04-09,3.12,3.12,2.93,3.01,4796346
2019-04-10,3.03,3.06,3.0,3.01,649876
2019-04-11,3.01,3.05,2.94,2.97,1251403
2019-04-12,3.0,3.0,2.9,2.94,736326
2019-04-15,3.0,3.0,2.9,2.94,800528
2019-04-16,3.0,3.05,2.95,2.98,1287709
2019-04-17,3.0,3.05,2.89,2.9,1029303
2019-04-22,2.89,2.89,2.71,2.81,2740782
2019-04-23,2.84,2.9,2.8,2.82,679625
2019-04-24,2.8,2.8,2.66,2.68,2140369
2019-04-25,2.65,2.9,2.55,2.79,2168614
2019-04-26,2.92,2.95,2.72,2.75,1091738
2019-04-29,2.74,2.8,2.67,2.71,1175123
2019-04-30,2.73,2.85,2.69,2.82,592962
2019-05-02,2.83,2.85,2.77,2.83,835278
2019-05-03,2.86,2.93,2.84,2.9,2267304
2019-05-06,2.88,2.96,2.86,2.93,1838190
2019-05-07,2.9,2.94,2.85,2.91,939427
2019-05-08,2.92,3.1,2.92,2.99,2441398
2019-05-09,2.98,3.06,2.91,2.97,993647
2019-05-10,2.97,3.03,2.91,2.91,491488
2019-05-13,2.9,2.94,2.85,2.87,1196466
2019-05-14,2.92,2.95,2.88,2.9,981478
2019-05-15,2.94,3.09,2.92,3.02,2178645
2019-05-16,3.1,3.14,3.04,3.05,2537353
2019-05-17,3.05,3.12,2.95,3.01,1878591
2019-05-20,3.02,3.05,2.97,3.0,1178179
2019-05-21,3.07,3.09,3.02,3.05,2579540
2019-05-22,3.03,3.03,2.88,2.91,1755959
2019-05-23,2.9,2.91,2.85,2.9,567734
2019-05-24,2.93,3.04,2.9,3.02,1938683
2019-05-27,3.07,3.09,3.02,3.06,1600315
2019-05-28,3.07,3.08,3.0,3.03,1630878
2019-05-29,3.0,3.0,2.94,2.95,822750
2019-05-30,2.95,3.03,2.92,2.93,520151
2019-05-31,3.0,3.01,2.89,2.92,762382
2019-06-03,2.9,2.96,2.85,2.9,1445631
2019-06-04,2.95,2.95,2.9,2.91,629821
2019-06-05,2.95,3.0,2.84,2.86,3366943
2019-06-06,2.95,2.95,2.83,2.85,1972121
2019-06-07,2.86,2.92,2.82,2.85,845381
2019-06-10,2.85,2.93,2.84,2.85,566088
2019-06-11,2.92,2.95,2.86,2.92,3670418
2019-06-12,3.0,3.03,2.95,2.99,4824195
2019-06-13,3.0,3.22,2.95,3.16,7888403
2019-06-14,3.2,3.27,3.12,3.2,4523570
2019-06-18,3.22,3.24,3.15,3.2,3531530
