Date,Open,High,Low,Close,Volume
2019-01-02,44.3,47.75,43.1,46.0,192419
2019-01-03,46.2,47.5,45.5,45.75,152417
2019-01-04,45.75,47.95,45.75,46.6,284049
2019-01-07,46.5,48.6,46.5,48.15,294285
2019-01-08,48.2,48.25,47.75,47.75,69093
2019-01-09,47.7,49.0,46.5,48.7,263494
2019-01-10,47.65,48.7,47.0,47.5,136939
2019-01-11,47.5,48.6,47.5,48.6,92169
2019-01-14,48.6,48.85,48.0,48.6,82193
2019-01-15,48.8,49.2,48.2,48.25,78234
2019-01-16,48.65,49.7,47.0,49.25,72217
2019-01-17,49.0,49.7,48.5,49.25,78503
2019-01-18,49.5,49.7,49.0,49.5,52272
2019-01-21,49.6,49.8,47.15,48.5,258832
2019-01-22,48.45,49.0,47.25,47.7,562719
2019-01-23,47.7,49.0,46.6,48.05,127161
2019-01-24,47.5,49.5,47.5,48.95,204993
2019-01-25,49.0,50.0,49.0,49.0,49741
2019-01-28,49.0,49.5,47.45,49.5,608057
2019-01-29,49.8,50.7,48.7,50.2,127096
2019-01-30,48.0,51.0,48.0,50.45,157595
2019-01-31,50.45,50.5,49.25,50.0,96097
2019-02-01,50.5,51.1,49.25,50.75,53611
2019-02-04,50.5,51.8,50.0,51.1,71183
2019-02-05,51.1,51.9,50.6,51.7,122508
2019-02-06,51.8,52.0,50.6,51.4,54138
2019-02-07,51.2,51.7,49.5,51.4,223732
2019-02-08,51.95,51.95,49.8,51.65,39531
2019-02-11,51.65,52.5,51.0,51.2,32268
2019-02-12,51.5,51.5,50.5,51.2,56109
2019-02-13,50.1,52.3,49.5,50.7,113923
2019-02-14,50.7,51.0,49.0,50.45,209143
2019-02-15,51.0,51.0,49.4,50.25,101294
2019-02-18,50.3,50.3,49.8,50.2,49400
2019-02-19,51.0,51.0,49.0,49.3,64465
2019-02-20,49.0,51.0,48.1,49.05,81776
2019-02-21,49.15,49.9,48.5,48.95,153447
2019-02-22,48.95,50.9,48.5,49.45,221689
2019-02-25,50.8,50.8,48.8,49.3,193772
2019-02-26,48.95,48.95,47.5,47.9,148181
2019-02-27,48.5,48.65,47.0,48.25,119885
2019-02-28,48.5,48.7,48.0,48.25,137954
2019-03-01,48.25,49.55,48.25,48.3,109913
2019-03-06,48.4,49.4,47.5,47.5,173836
2019-03-07,47.5,49.95,47.5,49.85,255791
2019-03-08,48.5,49.85,48.5,49.3,103079
2019-03-11,48.7,50.0,48.5,48.7,55340
2019-03-12,49.5,50.5,49.0,49.2,91369
2019-03-13,50.65,50.9,49.5,49.8,282667
2019-03-14,49.7,50.35,49.5,49.8,106413
2019-03-15,51.0,51.0,49.5,50.15,87490
2019-03-18,47.65,50.15,47.65,50.0,247857
2019-03-19,49.95,51.0,49.5,49.55,173867
2019-03-20,49.5,51.9,49.5,51.0,88378
2019-03-21,51.0,51.65,50.25,51.15,284937
2019-03-22,51.25,51.55,50.0,51.0,112337
2019-03-25,50.0,52.25,49.5,51.85,218687
2019-03-26,52.1,52.1,48.8,50.0,181486
2019-03-27,49.8,50.25,47.65,49.5,84800
2019-03-28,49.0,51.2,49.0,51.0,121632
2019-03-29,51.75,51.75,49.4,50.95,340726
2019-04-01,52.45,52.45,50.0,50.75,113329
2019-04-03,50.25,50.25,48.1,48.45,182063
2019-04-04,47.05,49.5,47.05,48.9,130185
2019-04-05,49.5,49.8,47.95,48.8,73280
2019-04-08,48.8,50.2,48.3,48.4,67690
2019-04-09,48.0,48.55,47.0,47.0,72990
2019-04-10,46.0,48.0,46.0,47.45,53182
2019-04-11,47.0,47.5,46.0,46.5,103790
2019-04-12,46.45,47.0,45.0,45.2,163911
2019-04-15,44.0,45.2,44.0,44.8,148730
2019-04-16,45.0,45.85,44.0,45.75,114304
2019-04-17,45.8,46.0,44.6,44.85,182201
2019-04-22,43.85,43.85,42.1,42.95,119334
2019-04-23,42.9,43.5,42.2,42.3,123072
2019-04-24,42.0,44.0,41.3,43.85,156226
2019-04-25,42.8,45.0,42.0,44.45,172184
2019-04-26,44.45,45.5,44.0,45.4,74893
2019-04-29,46.0,46.0,44.0,45.0,546696
2019-04-30,43.8,44.95,43.8,44.5,46317
2019-05-02,44.95,45.0,43.2,44.8,87800
2019-05-03,44.8,45.0,43.8,45.0,486460
2019-05-06,44.2,46.0,44.1,45.9,76635
2019-05-07,46.0,46.45,44.6,46.1,38698
2019-05-08,46.5,48.0,46.4,46.8,143975
2019-05-09,48.1,48.5,47.6,47.9,260554
2019-05-10,48.5,48.5,46.5,46.8,70920
2019-05-13,46.6,46.8,43.3,43.6,58976
2019-05-14,44.65,46.3,43.75,44.15,401604
2019-05-15,44.1,45.5,43.1,44.8,1132564
2019-05-16,44.5,45.85,44.5,45.5,121707
2019-05-17,46.0,46.0,43.45,43.55,269870
2019-05-20,43.3,43.8,42.45,43.55,455086
2019-05-21,43.7,44.45,43.5,44.4,340732
2019-05-22,44.4,45.0,43.7,44.4,144011
2019-05-23,45.0,45.0,43.2,45.0,304842
2019-05-24,44.15,44.9,44.0,44.7,644306
2019-05-27,44.8,45.7,44.0,45.1,320968
2019-05-28,43.5,46.0,43.5,45.8,564072
2019-05-29,45.0,46.0,43.8,45.5,463350
2019-05-30,45.0,45.8,44.6,45.25,507724
2019-05-31,44.95,45.35,44.1,44.7,147678
2019-06-03,44.5,44.7,42.6,43.8,310663
2019-06-04,43.85,44.2,42.3,43.5,303887
2019-06-05,43.9,43.9,42.45,42.7,260209
2019-06-06,42.8,42.8,42.0,42.4,166215
2019-06-07,43.0,43.0,42.0,42.3,107654
2019-06-10,42.15,42.4,41.9,42.4,217719
2019-06-11,42.45,44.0,42.45,43.85,532423
2019-06-12,44.4,47.0,44.4,46.1,556665
2019-06-13,45.0,46.95,44.65,46.2,111908
2019-06-14,46.8,47.0,46.0,46.7,78095
2019-06-18,46.95,47.4,46.5,46.6,194322
2019-06-19,46.5,47.0,45.8,46.3,596023
2019-06-21,46.0,46.6,45.5,46.3,784405
2019-06-24,46.0,46.0,44.5,45.0,300405
2019-06-25,45.0,45.0,42.9,43.05,446368
2019-06-26,43.6,44.8,43.4,43.95,1060745
2019-06-27,43.1,44.9,43.1,44.0,754707
2019-06-28,44.0,45.75,44.0,44.85,622556
2019-07-01,45.7,49.0,45.5,48.65,692920
2019-07-02,49.5,49.5,47.55,48.0,94079
2019-07-03,47.9,48.5,46.2,47.7,40892
2019-07-04,46.5,49.0,46.5,49.0,75445
2019-07-05,49.0,49.2,46.85,49.0,195169
2019-07-10,49.0,49.5,47.8,49.0,83663
2019-07-11,49.0,49.6,48.15,48.15,105961
2019-07-12,48.0,48.7,47.35,47.85,45019
2019-07-15,47.35,47.35,45.5,45.6,101930
2019-07-16,45.75,46.6,45.75,46.25,52380
2019-07-17,46.75,46.75,45.7,46.4,51073
2019-07-18,46.4,46.95,45.6,46.85,123017
2019-07-19,47.0,47.6,45.6,45.95,31748
2019-07-22,45.95,45.95,44.1,44.9,190306
2019-07-23,45.0,45.35,43.5,44.0,120886
2019-07-24,43.75,44.5,43.45,44.05,69831
2019-07-25,44.5,44.5,43.35,44.0,192440
2019-07-26,44.0,44.95,44.0,44.75,69816
2019-07-29,44.95,45.9,43.85,45.1,443270
2019-07-30,45.9,45.9,44.7,44.75,36947
2019-07-31,45.0,45.45,44.25,45.1,272749
2019-08-01,45.4,46.25,45.1,45.4,132830
2019-08-02,45.2,45.5,45.0,45.2,54032
2019-08-05,45.0,45.0,42.85,44.9,61987
2019-08-06,44.9,44.9,43.5,43.65,36946
2019-08-07,43.4,43.5,42.75,43.1,80435
2019-08-08,43.35,44.0,42.0,42.3,382588
2019-08-09,42.35,44.8,41.5,44.75,302022
2019-08-12,35.0,38.0,30.5,33.8,260607
2019-08-13,35.0,38.5,34.5,36.95000076,1849627
2019-08-14,36.95,37.15,35.2,36.3,270881
2019-08-15,38.95,38.95,35.3,37.45,637196
2019-08-16,37.75,37.85,35.8,37.0,234898
2019-08-20,35.8,35.8,32.65,33.4,355993
2019-08-21,33.95,34.0,33.0,33.9,66132
2019-08-22,33.9,36.75,33.5,35.25,96709
2019-08-23,36.5,36.5,33.0,33.15,86651
2019-08-26,33.15,33.35,32.2,32.45,66383
2019-08-27,32.5,32.5,30.6,32.0,290382
2019-08-28,32.1,35.15,32.05,35.05,343437
2019-08-29,35.0,35.0,31.5,32.1,113088
2019-08-30,32.0,36.5,31.7,35.75,181047
2019-09-02,34.0,38.5,34.0,37.85,148984
2019-09-03,38.0,38.0,34.75,36.1,407877
2019-09-04,36.3,39.0,36.2,38.3,253277
2019-09-05,39.7,39.95,38.5,39.5,184918
2019-09-06,39.75,41.9,39.75,41.6,188884
2019-09-09,41.6,42.5,40.0,40.05,75649
2019-09-10,40.05,43.0,40.05,42.7,137143
