Date,Open,High,Low,Close,Volume
2019-01-02,238.45,247.9,232.0,242.9,35132
2019-01-03,249.0,249.0,235.0,239.8,60442
2019-01-04,239.8,255.0,239.8,252.5,31405
2019-01-07,251.0,258.0,250.0,250.0,58541
2019-01-08,250.0,254.0,240.0,245.75,20598
2019-01-09,245.5,263.0,245.5,260.0,27868
2019-01-10,261.0,267.5,250.0,265.5,24571
2019-01-11,267.0,267.0,260.0,263.0,16745
2019-01-14,263.0,263.5,254.5,257.5,12345
2019-01-15,258.0,262.0,247.0,252.0,13799
2019-01-16,252.0,266.5,250.0,266.0,25201
2019-01-17,260.0,264.0,257.0,263.0,7111
2019-01-18,258.5,279.0,258.5,277.0,40493
2019-01-21,277.0,278.0,271.0,272.5,6138
2019-01-22,272.0,273.0,262.0,267.5,15332
2019-01-23,255.0,272.0,255.0,268.0,10249
2019-01-24,268.0,271.0,265.0,268.0,4451
2019-01-25,268.0,270.5,260.5,262.5,23152
2019-01-28,260.5,260.5,253.0,257.5,14241
2019-01-29,260.0,264.5,254.0,263.0,8780
2019-01-30,264.0,271.0,262.0,267.5,10635
2019-01-31,269.0,275.0,265.0,274.0,13990
2019-02-01,277.0,293.0,277.0,286.5,39963
2019-02-04,287.0,297.0,287.0,288.5,28853
2019-02-05,288.0,294.0,280.0,283.0,24520
2019-02-06,285.5,285.5,275.0,275.5,38294
2019-02-07,275.0,275.0,267.0,267.0,17039
2019-02-08,267.0,276.0,267.0,274.5,11038
2019-02-11,278.0,284.0,275.0,281.0,5062
2019-02-12,281.0,285.0,279.5,282.5,12153
2019-02-13,282.0,282.0,272.0,275.0,12049
2019-02-14,275.0,278.0,268.0,275.0,13999
2019-02-15,275.0,278.0,270.0,270.0,10198
2019-02-18,270.0,279.0,268.0,276.5,11600
2019-02-19,277.0,277.0,270.0,271.0,14706
2019-02-20,270.0,275.0,268.5,270.0,13366
2019-02-21,269.5,271.0,263.0,269.5,12939
2019-02-22,274.0,276.0,264.0,275.0,9131
2019-02-25,275.0,279.5,271.5,271.5,14388
2019-02-26,275.0,275.0,265.0,266.0,4580
2019-02-27,262.5,266.0,262.5,265.0,6961
2019-02-28,264.0,267.0,255.0,258.5,21815
2019-03-01,258.5,262.0,250.0,253.0,10358
2019-03-06,253.0,255.0,241.5,250.5,27095
2019-03-07,250.0,259.0,245.0,248.0,45867
2019-03-08,248.0,249.0,239.0,240.0,53614
2019-03-11,250.0,250.0,240.0,243.0,18185
2019-03-12,243.0,247.0,235.0,243.0,25862
2019-03-13,242.0,243.5,235.0,238.0,36767
2019-03-14,232.5,239.5,232.0,233.25,16298
2019-03-15,238.0,245.0,233.0,236.25,126083
2019-03-18,237.0,243.5,236.0,238.5,43882
2019-03-19,233.0,242.0,233.0,240.0,71950
2019-03-20,242.0,242.0,232.5,235.5,7076
2019-03-21,235.0,237.75,229.0,232.0,10408
2019-03-22,231.0,238.0,222.5,226.25,16425
2019-03-25,223.0,226.0,223.0,223.25,7826
2019-03-26,233.25,233.25,217.0,218.0,20402
2019-03-27,217.0,222.0,205.0,219.75,25100
2019-03-28,222.0,240.0,217.5,228.25,13500
2019-03-29,227.0,228.25,221.0,223.75,32070
2019-04-01,223.0,231.0,223.0,228.0,9289
2019-04-03,228.0,228.0,215.0,216.75,7408
2019-04-04,216.75,216.75,208.0,210.0,16916
2019-04-05,210.0,215.0,208.0,210.5,5954
2019-04-08,208.25,212.0,205.0,209.0,37002
2019-04-09,208.0,208.5,202.0,207.0,51745
2019-04-10,207.0,210.0,203.0,204.75,34519
2019-04-11,204.75,206.0,198.0,198.0,26054
2019-04-12,197.0,202.0,195.0,196.25,9919
2019-04-15,195.0,202.0,190.0,200.0,11168
2019-04-16,201.0,215.5,197.0,215.0,31827
2019-04-17,216.0,216.0,205.0,205.75,14909
2019-04-22,201.0,201.0,192.5,197.25,17875
2019-04-23,200.0,203.0,190.5,192.75,11508
2019-04-24,192.0,192.0,180.0,180.0,24640
2019-04-25,176.0,189.0,169.0,178.5,18703
2019-04-26,180.0,180.0,170.5,176.25,13584
2019-04-29,179.5,179.5,169.75,169.75,5613
2019-04-30,173.0,190.0,172.0,187.75,9029
2019-05-02,192.0,198.0,185.0,193.0,12889
2019-05-03,193.0,208.0,193.0,204.0,59588
2019-05-06,204.0,214.0,200.0,213.75,26907
2019-05-07,212.0,212.0,203.0,207.0,10236
2019-05-08,213.5,220.0,208.0,219.75,19910
2019-05-09,216.0,232.0,215.0,223.0,12165
2019-05-10,225.0,230.0,213.0,214.0,18228
2019-05-13,214.0,214.0,200.0,200.75,13181
2019-05-14,202.0,208.5,197.0,198.5,14221
2019-05-15,198.0,209.0,196.5,200.75,48976
2019-05-16,205.0,214.5,200.5,211.25,5355
2019-05-17,215.0,219.0,212.0,219.0,17732
2019-05-20,219.0,230.0,210.0,227.0,17854
2019-05-21,227.0,238.0,226.0,226.75,41880
2019-05-22,228.0,230.0,221.0,225.75,5821
2019-05-23,228.0,235.0,210.0,222.0,11572
2019-05-24,226.5,230.0,215.0,228.5,7382
2019-05-27,233.0,233.0,220.0,228.5,3078
2019-05-28,230.0,232.5,220.0,223.0,9724
2019-05-29,223.0,223.0,218.0,221.0,3521
2019-05-30,228.0,228.0,219.0,221.5,27089
2019-05-31,230.0,230.0,216.0,219.0,7764
2019-06-03,216.0,220.0,214.0,219.0,13420
2019-06-04,218.0,220.0,214.5,217.75,1854
2019-06-05,217.75,220.0,215.0,216.25,7112
2019-06-06,217.0,218.0,213.0,215.0,7783
2019-06-07,210.0,223.5,210.0,216.75,13350
2019-06-10,210.0,219.0,210.0,216.0,15364
2019-06-11,219.0,225.0,215.0,217.75,53385
2019-06-12,224.0,247.0,224.0,242.5,105873
2019-06-13,240.0,264.0,228.0,260.5,38208
2019-06-14,260.0,271.0,255.0,260.5,61290
2019-06-18,262.0,272.0,258.0,261.0,22875
2019-06-19,261.0,265.0,250.0,254.0,10819
2019-06-21,264.0,264.0,252.0,257.0,11217
2019-06-24,252.5,255.0,248.0,249.5,9493
2019-06-25,256.0,256.0,236.0,241.75,11195
2019-06-26,240.0,247.0,236.0,245.5,15712
2019-06-27,249.75,256.0,247.0,255.0,20806
2019-06-28,250.0,264.0,250.0,262.0,33268
2019-07-01,262.0,263.0,255.0,257.5,26939
2019-07-02,260.0,262.0,254.0,261.0,15037
2019-07-03,255.0,265.5,255.0,262.5,32965
2019-07-04,262.5,265.0,261.5,262.5,2095
2019-07-05,261.0,268.5,261.0,268.0,11315
2019-07-10,268.0,274.0,260.0,269.0,26252
2019-07-11,270.0,272.0,261.0,267.0,31383
2019-07-12,268.0,269.0,260.0,263.0,18615
2019-07-15,258.0,260.0,251.0,259.0,33910
2019-07-16,261.0,263.0,250.0,253.5,9122
2019-07-17,254.5,263.0,247.0,255.0,5051
2019-07-18,254.0,254.0,242.0,250.0,10093
2019-07-19,251.0,255.0,237.5,240.25,8458
2019-07-22,239.5,239.5,230.5,234.0,7370
