Date,Open,High,Low,Close,Volume
2024-04-10,4715.079,4844.26,4715.079,4798.124,203
2024-04-11,4798.124,4798.124,4714.156,4798.124,283
2024-04-12,4714.156,4798.124,4705.852,4798.124,79
2024-04-15,4798.124,4798.124,4706.775,4798.124,1090
2024-04-16,4798.124,4821.192,4567.445,4821.192,204
2024-04-17,4798.124,4798.124,4798.124,4798.124,2
2024-04-18,4798.124,4798.124,4613.58,4705.852,876
2024-04-19,4749.566,4842.694,4605.682,4749.566,821
2024-04-22,4749.566,4749.566,4563.308,4610.804,378
2024-04-23,4749.566,4749.566,4563.308,4563.308,283
2024-04-24,4564.24,4564.24,4470.179,4563.308,646
2024-04-25,4563.308,4656.437,4330.486,4656.437,3013
2024-04-26,4656.437,4749.566,4507.431,4638.277,1725
2024-04-29,4656.437,4796.13,4581.934,4609.873,498
2024-04-30,4656.437,5028.952,4609.873,4840.832,2719
2024-05-02,4747.703,4749.566,3697.211,3869.499,48241
2024-05-03,3920.72,4097.665,3836.904,3941.674,29046
2024-05-06,3909.544,3911.407,3813.622,3891.384,25069
2024-05-07,3934.689,3948.659,3725.15,3868.102,6403
2024-05-08,3811.294,3911.407,3698.142,3741.913,8681
2024-05-09,3771.714,3910.476,3701.867,3767.058,9438
2024-05-10,3734.462,3808.965,3678.585,3748.432,4030
2024-05-13,3862.049,3862.049,3699.074,3795.462,13991
2024-05-14,3796.393,3835.973,3711.18,3780.561,6188
2024-05-15,3816.416,3883.468,3736.325,3828.988,4820
2024-05-16,3981.254,4051.1,3790.34,3977.994,6552
2024-05-17,4004.536,4004.536,3860.186,4004.536,3363
2024-05-20,4004.536,4069.726,3939.346,4047.841,3766
2024-05-21,4061.344,4246.671,4051.1,4218.732,4281
2024-05-22,4218.732,4500.912,4218.732,4425.478,4721
2024-05-23,4502.775,4553.995,4283.922,4306.739,4118
2024-05-24,4442.241,4442.241,4207.091,4265.296,2748
2024-05-27,4283.922,4656.437,4138.641,4427.34,4694
2024-05-28,4459.935,4459.935,4135.847,4155.404,12821
2024-05-29,4190.793,4190.793,3997.551,4079.504,3511
2024-05-30,4190.793,4288.578,3985.91,4269.953,5254
2024-05-31,4330.486,4749.566,4330.486,4625.704,8833
2024-06-03,4625.704,5028.952,4625.704,4942.342,7854
2024-06-04,5001.013,5122.081,4833.382,4930.235,3918
2024-06-05,5080.173,5080.173,4556.789,4952.586,4584
2024-06-06,4982.388,4982.388,4797.061,4932.564,4206
2024-06-07,5028.952,5084.829,4935.823,5076.913,6111
2024-06-10,5020.105,5020.57,4805.443,4905.556,4670
2024-06-11,4917.197,4917.197,4786.352,4897.64,2031
2024-06-12,4935.823,4935.823,4703.933,4921.854,3775
2024-06-13,4926.51,4935.823,4563.308,4872.03,1849
2024-06-14,4935.823,4935.823,4573.087,4729.543,1592
2024-06-18,4981.922,5122.081,4722.558,4797.061,1036
2024-06-19,4982.388,4982.388,4750.963,4961.434,1062
2024-06-24,5122.081,5168.645,4818.947,5022.433,1543
2024-06-25,5025.227,5212.881,4665.75,4842.694,4569
2024-06-26,4842.694,5028.952,4764.001,5025.692,3914
2024-06-27,4656.903,4935.823,4656.903,4752.36,13939
2024-06-28,4935.823,5165.851,4879.946,4929.304,3524
