Date,Open,High,Low,Close,Volume
2024-04-09,6400.0,6508.5,5905.0,5905.0,1279
2024-04-10,6400.0,6700.0,6000.0,6320.0,4339
2024-04-11,6400.0,6400.0,5500.0,6356.0,1096
2024-04-12,6400.0,6400.0,5500.0,6356.0,1096
2024-04-14,6356.0,6462.0,6190.0,6190.0,951
2024-04-15,6201.0,6400.0,5947.0,6300.0,560
2024-04-16,6300.0,6500.0,5996.0,6200.0,1353
2024-04-17,6500.0,6610.5,6260.0,6560.0,578
2024-04-18,6550.0,6671.5,6200.0,6200.0,175
2024-04-19,6550.0,6671.5,6200.0,6200.0,175
2024-04-21,6400.0,6650.0,6200.0,6301.0,92
2024-04-22,6500.0,6500.0,6200.0,6350.0,175
2024-04-23,6100.0,6599.5,6100.0,6400.0,810
2024-04-24,6599.5,6599.5,6400.0,6400.0,246
2024-04-25,6500.0,6950.0,6450.0,6779.0,179
2024-04-26,6500.0,6950.0,6450.0,6798.0,179
2024-04-28,6799.0,8134.0,6799.0,7077.5,438
2024-04-29,7080.0,8500.0,6507.0,7099.0,1251
2024-04-30,7080.0,8500.0,6507.0,7100.0,1251
2024-05-01,6715.0,7120.5,6715.0,7075.0,1075
2024-05-02,7070.0,7330.0,6954.5,7199.0,391
2024-05-03,7070.0,7330.0,6954.5,7152.0,391
2024-05-05,7250.0,7419.5,7117.5,7398.0,1446
2024-05-06,7390.0,7390.0,7074.5,7200.0,182
2024-05-07,7267.0,7267.0,7000.0,7174.0,137
2024-05-08,7100.0,7174.5,6999.0,7036.5,140
2024-05-09,7013.5,7119.0,7013.5,7100.0,135
2024-05-10,7013.5,7119.0,7013.5,7100.0,135
2024-05-12,7200.0,7300.0,7165.0,7300.0,1770
2024-05-13,7190.0,7300.0,7092.0,7300.0,438
2024-05-14,7500.0,7500.0,7237.0,7300.5,1919
2024-05-15,7350.5,7500.0,7000.5,7469.0,307
2024-05-16,7500.0,7500.0,7120.0,7400.0,529
2024-05-17,7500.0,7500.0,7120.0,7400.0,529
2024-05-19,7400.0,7500.0,7100.0,7500.0,268
2024-05-20,7490.0,7950.0,7300.0,7610.0,167
2024-05-21,7500.0,8200.0,7500.0,7700.5,2442
2024-05-22,8150.0,8500.0,7750.0,7950.0,1594
2024-05-23,8056.0,8195.5,7790.0,8048.0,503
2024-05-24,8056.0,8195.5,7790.0,8048.0,503
2024-05-26,8200.0,8500.0,8200.0,8200.0,58
2024-05-27,8000.0,8000.0,8000.0,8000.0,6
2024-05-28,7400.0,7400.0,7100.5,7400.0,10
2024-05-29,7700.0,7700.0,7700.0,7700.0,1
2024-05-30,7687.5,7991.0,7683.5,7877.5,154
2024-05-31,7687.5,7991.0,7683.5,7877.5,154
2024-06-02,8028.0,8300.0,8003.0,8194.0,247
2024-06-03,8500.0,8500.0,8048.0,8080.0,121
2024-06-04,8080.0,8400.0,8035.0,8080.0,281
2024-06-05,8450.0,8450.0,8450.0,8450.0,41
2024-06-06,8450.0,8450.0,8450.0,8450.0,1
2024-06-07,8300.0,8500.0,8085.5,8500.0,114
2024-06-09,8500.0,8500.0,8139.5,8174.0,837
2024-06-10,8000.0,8156.5,8000.0,8100.0,78
2024-06-11,8100.0,8400.0,7962.0,8142.0,96
2024-06-12,8000.0,8000.0,7580.5,7703.0,153
2024-06-13,7679.5,7680.5,7324.0,7680.5,113
2024-06-14,7679.5,7680.5,7324.0,7680.0,113
2024-06-17,7796.0,7830.0,7536.0,7800.0,82
2024-06-18,7800.0,8500.0,7600.0,8498.0,120
2024-06-19,7800.0,8500.0,7600.0,8498.0,120
2024-06-23,8498.0,8500.0,8011.0,8250.0,309
2024-06-24,8249.5,8249.5,7810.5,8010.0,458
2024-06-25,7500.5,8169.5,7500.5,8149.0,983
2024-06-26,7810.5,8455.5,7810.5,8379.5,117
2024-06-27,8379.5,8500.0,7865.5,8250.0,1363
2024-06-28,8379.5,8500.0,7865.5,8030.0,1363
2024-06-30,8250.0,8250.0,8000.0,8240.0,1250
2024-07-01,8280.0,8500.0,8250.5,8498.5,693
2024-07-02,8499.0,8500.0,8200.0,8500.0,202
2024-07-03,8500.0,8644.5,8372.5,8644.5,148
2024-07-04,8550.0,8550.0,7669.5,8110.0,833
2024-07-05,8550.0,8550.0,7669.5,8110.0,833
2024-07-07,8110.0,8400.0,7798.0,8000.0,1950
2024-07-08,8110.0,8400.0,7798.0,8000.0,1950
2024-07-09,8140.0,8230.0,7800.0,8200.0,360
2024-07-10,7870.0,7960.0,7310.0,7680.0,2208
2024-07-11,7680.0,8220.0,7680.0,7810.0,1036
2024-07-12,7680.0,8220.0,7680.0,7810.0,1036
2024-07-14,7500.0,7620.0,6990.0,7290.0,384
2024-07-15,7000.0,7620.0,6700.0,7490.0,944
2024-07-16,7510.0,7750.0,7300.0,7430.0,484
2024-07-17,7790.0,7790.0,7360.0,7650.0,674
2024-07-18,7490.0,7580.0,7350.0,7550.0,479
2024-07-19,7490.0,7580.0,7350.0,7550.0,479
2024-07-21,7350.0,7500.0,7040.0,7040.0,882
2024-07-22,7320.0,7370.0,7000.0,7000.0,318
2024-07-23,7210.0,7360.0,6880.0,6880.0,690
2024-07-24,7000.0,7350.0,7000.0,7200.0,1006
2024-07-25,7240.0,7280.0,7110.0,7110.0,220
2024-07-26,7240.0,7280.0,7110.0,7110.0,220
