Date,Open,High,Low,Close,Volume
2019-01-02,12.42,12.75,11.98,12.7,488200
2019-01-03,12.69,12.87,12.311,12.82,322500
2019-01-04,12.72,13.35,12.66,13.21,335500
2019-01-07,13.36,13.36,13.115,13.27,329500
2019-01-08,13.38,13.62,13.24,13.41,425200
2019-01-09,13.53,13.68,13.34,13.61,278700
2019-01-10,13.51,13.73,13.26,13.58,218400
2019-01-11,13.5,13.945,13.42,13.9,321400
2019-01-14,13.77,13.99,13.46,13.89,197600
2019-01-15,14.01,14.01,13.41,13.81,609700
2019-01-16,13.9,14.48,13.835,14.25,414800
2019-01-17,14.1,14.34,13.93,14.21,147700
2019-01-18,14.12,14.48,14.03,14.19,217700
2019-01-22,14.08,14.35,13.91,14.11,287800
2019-01-23,14.23,14.46,13.92,14.37,319600
2019-01-24,14.37,14.98,14.23,14.55,605800
2019-01-25,14.56,15.07,14.34,15.0,408300
2019-01-28,14.97,15.05,14.65,15.03,461600
2019-01-29,15.0,15.13,14.81,14.98,214600
2019-01-30,15.0,15.22,14.67,15.22,196300
2019-01-31,15.31,15.31,14.96,15.02,280900
2019-02-01,15.11,15.86,15.07,15.51,382700
2019-02-04,15.5,16.02,15.42,15.96,607400
2019-02-05,15.96,16.700001,15.86,16.42,444000
2019-02-06,16.27,16.67,15.94,16.65,448600
2019-02-07,16.440001,16.674999,16.290001,16.48,1083900
2019-02-08,16.48,16.530001,16.049999,16.280001,365100
2019-02-11,16.389999,17.139999,16.120001,17.1,519700
2019-02-12,17.1,17.290001,16.950001,17.18,406500
2019-02-13,17.17,17.469999,17.07,17.360001,191700
2019-02-14,17.219999,17.379999,16.969999,17.290001,181900
2019-02-15,17.26,17.6,17.084999,17.5,249300
2019-02-19,17.450001,18.219999,17.450001,17.940001,724100
2019-02-20,17.92,18.75,17.92,18.32,561300
2019-02-21,18.209999,18.475,17.629999,17.76,265900
2019-02-22,17.780001,18.1,17.75,18.01,289000
2019-02-25,17.98,18.360001,17.85,18.02,244500
2019-02-26,18.02,18.48,17.75,18.32,431100
2019-02-27,18.379999,18.9,18.17,18.5,381900
2019-02-28,18.360001,18.559999,17.955,17.99,367300
2019-03-01,18.0,18.35,17.76,17.799999,164400
2019-03-04,17.940001,18.620001,17.84,18.16,308700
2019-03-05,18.200001,18.51,18.07,18.41,184600
2019-03-06,18.280001,18.379999,17.860001,17.92,208100
2019-03-07,18.75,18.75,17.030001,17.530001,710800
2019-03-08,17.299999,17.690001,17.049999,17.35,295200
2019-03-11,17.35,17.58,17.219999,17.41,404700
2019-03-12,17.5,17.59,16.92,17.059999,349300
2019-03-13,17.0,17.059999,16.280001,16.48,502200
2019-03-14,16.450001,16.51,16.25,16.370001,774700
2019-03-15,16.41,16.59,16.309999,16.440001,660300
2019-03-18,16.309999,16.379999,15.93,16.299999,243700
2019-03-19,16.32,16.48,15.9,15.94,217700
2019-03-20,15.94,16.08,15.6,15.7,271200
2019-03-21,15.73,15.73,15.19,15.36,294900
2019-03-22,15.14,15.37,14.62,14.76,334900
2019-03-25,14.77,15.03,14.38,14.72,462100
2019-03-26,14.9,14.9,14.23,14.34,343300
2019-03-27,14.23,14.41,13.74,14.06,391800
2019-03-28,14.16,14.52,14.02,14.33,246600
2019-03-29,14.51,15.011,14.51,14.9,465400
2019-04-01,15.05,15.21,14.87,14.9,232100
2019-04-02,14.9,15.06,14.86,14.93,183500
2019-04-03,14.98,15.26,14.86,14.87,325600
2019-04-04,14.86,15.065,14.17,14.32,470000
2019-04-05,14.37,14.54,14.34,14.47,125700
2019-04-08,14.39,14.73,14.39,14.47,176500
2019-04-09,14.47,14.48,14.12,14.25,115500
2019-04-10,14.24,14.38,14.12,14.31,126400
2019-04-11,14.33,14.34,13.915,14.02,112600
2019-04-12,14.04,14.38,14.02,14.33,230700
2019-04-15,14.36,14.695,14.2,14.37,539200
2019-04-16,14.6,15.19,14.36,14.8,578700
2019-04-17,14.81,14.9,14.51,14.63,310300
2019-04-18,14.56,14.71,14.22,14.54,179300
2019-04-22,14.44,14.61,14.19,14.25,160900
2019-04-23,14.22,14.4,14.18,14.39,148100
2019-04-24,14.4,14.515,13.935,14.26,766200
2019-04-25,14.16,14.39,13.86,14.27,497800
2019-04-26,13.99,14.43,13.99,14.25,233900
2019-04-29,14.23,14.66,14.23,14.55,145900
2019-04-30,14.56,14.67,14.255,14.59,214300
2019-05-01,14.62,14.74,14.511,14.6,292700
2019-05-02,14.49,14.65,14.17,14.44,231500
2019-05-03,14.5,14.8,14.34,14.73,245600
2019-05-06,14.41,14.59,14.34,14.49,426400
2019-05-07,14.33,14.44,14.059,14.25,293800
2019-05-08,14.26,14.36,13.99,14.17,293300
2019-05-09,14.38,14.73,13.51,13.57,506800
2019-05-10,13.32,13.51,12.96,13.5,566200
2019-05-13,13.19,13.46,13.17,13.32,360500
2019-05-14,13.42,13.98,13.37,13.81,267700
2019-05-15,13.67,14.1,13.67,13.94,222700
2019-05-16,13.89,14.055,13.76,13.84,667100
2019-05-17,13.57,13.69,12.73,12.75,1013400
2019-05-20,12.52,12.58,12.26,12.45,540700
2019-05-21,12.44,13.14,12.44,12.9,505400
2019-05-22,12.86,12.9,12.59,12.6,323100
2019-05-23,12.37,12.5,12.14,12.45,546400
2019-05-24,12.45,13.15,12.34,13.15,633800
2019-05-28,13.22,13.48,12.655,13.02,2218300
2019-05-29,12.89,12.89,12.25,12.31,347500
2019-05-30,12.39,12.5,12.04,12.22,225400
2019-05-31,12.02,12.135,11.81,12.0,520000
2019-06-03,12.11,12.19,11.73,11.96,799800
2019-06-04,12.1,12.22,11.99,12.1,564800
2019-06-05,12.2,12.2,11.765,11.86,341500
2019-06-06,11.89,12.0,11.66,11.92,321400
2019-06-07,11.99,12.59,11.955,12.49,233900
2019-06-10,12.51,12.88,12.42,12.46,248100
2019-06-11,12.64,12.86,12.1,12.5,1851200
2019-06-12,12.46,13.7,12.39,13.57,3906800
2019-06-13,13.77,13.89,13.151,13.43,382800
2019-06-14,13.37,13.53,13.33,13.33,228900
2019-06-17,13.47,13.7,13.38,13.57,336700
2019-06-18,13.75,14.0,13.56,13.58,212200
2019-06-19,13.57,13.73,13.39,13.67,253900
2019-06-20,13.94,14.23,13.54,13.57,203800
2019-06-21,13.51,13.92,13.37,13.92,260600
2019-06-24,13.9,13.91,13.5,13.68,280600
2019-06-25,13.71,13.86,13.49,13.62,178300
2019-06-26,13.73,13.73,13.56,13.62,217300
2019-06-27,13.63,14.03,13.59,13.96,215600
2019-06-28,14.01,14.01,13.67,13.89,308200
2019-07-01,14.15,14.24,13.61,13.69,278800
2019-07-02,13.69,13.83,13.64,13.74,198900
2019-07-03,13.69,13.79,13.43,13.63,206300
2019-07-05,13.6,13.746,13.44,13.7,105500
2019-07-08,13.68,13.68,13.14,13.32,231900
2019-07-09,13.21,13.77,13.21,13.73,341800
2019-07-10,13.66,14.035,13.61,13.91,338400
2019-07-11,13.92,14.01,13.79,13.84,262000
2019-07-12,13.95,14.0,13.91,13.95,114100
2019-07-15,14.08,14.16,13.77,13.85,195100
2019-07-16,13.8,14.07,13.73,14.0,508100
2019-07-17,14.0,14.06,13.82,13.83,147000
2019-07-18,13.76,13.95,13.61,13.82,209000
2019-07-19,13.84,13.99,13.65,13.75,172800
2019-07-22,13.68,13.74,13.36,13.42,269900
2019-07-23,13.48,13.6,13.29,13.5,260800
2019-07-24,13.51,13.55,12.89,12.93,416400
2019-07-25,12.96,13.22,12.69,13.11,388700
2019-07-26,13.18,13.87,13.18,13.68,176500
2019-07-29,13.68,13.7,13.5,13.65,163700
2019-07-30,13.52,14.13,13.49,13.54,360000
2019-07-31,13.48,13.52,13.01,13.01,257300
2019-08-01,12.99,13.56,12.896,13.18,287600
2019-08-02,13.08,13.26,12.75,13.1,272700
2019-08-05,12.84,13.135,12.8,12.9,708100
2019-08-06,12.99,13.42,12.94,13.28,256400
2019-08-07,13.12,13.59,13.08,13.1,701200
2019-08-08,12.8,14.18,12.56,13.78,828800
2019-08-09,13.68,14.83,13.35,14.71,1013400
2019-08-12,10.25,13.45,9.9,12.21,4365100
2019-08-13,11.74,12.33,11.74,11.92,1158800
2019-08-14,11.75,11.825,10.88,10.9,1058600
2019-08-15,11.0,11.02,10.4,10.49,714500
2019-08-16,10.5,10.73,10.445,10.57,565500
2019-08-19,10.69,10.69,10.33,10.6,674300
2019-08-20,10.61,11.22,10.6,11.09,671800
2019-08-21,11.14,11.64,11.14,11.29,442700
2019-08-22,11.35,11.91,11.29,11.58,713300
2019-08-23,11.54,11.61,11.08,11.14,313800
2019-08-26,11.18,11.25,10.9,11.03,343700
2019-08-27,11.03,11.04,10.67,10.7,414500
2019-08-28,10.64,10.837,10.52,10.7,479700
2019-08-29,10.77,10.83,10.47,10.66,383400
2019-08-30,10.68,11.08,10.68,10.94,539200
2019-09-03,11.0,11.08,10.43,10.46,460400
2019-09-04,10.5,10.54,10.135,10.25,764400
2019-09-05,10.34,10.43,9.95,9.99,396800
2019-09-06,9.99,10.025,9.84,9.95,1523400
2019-09-09,10.0,10.1,9.52,9.74,327200
2019-09-10,9.73,10.19,9.73,10.14,302600
2019-09-11,10.22,10.53,10.03,10.4,150800
2019-09-12,10.39,10.77,10.34,10.6,309700
2019-09-13,10.76,10.96,10.7,10.79,299200
2019-09-16,10.74,10.96,10.705,10.82,251800
2019-09-17,10.72,10.93,10.656,10.85,250500
2019-09-18,10.84,11.04,10.68,10.89,342400
2019-09-19,10.89,11.22,10.89,11.09,267400
2019-09-20,11.07,11.53,11.07,11.31,525300
2019-09-23,11.28,11.53,11.24,11.43,222900
2019-09-24,11.38,11.38,10.84,10.92,266600
2019-09-25,10.92,11.3,10.8,11.23,511600
2019-09-26,11.22,11.4,11.19,11.35,192800
2019-09-27,11.35,11.75,11.32,11.38,160200
2019-09-30,11.34,11.44,11.19,11.32,207200
2019-10-01,11.3,11.48,11.175,11.23,105800
2019-10-02,11.15,11.41,10.99,11.34,154000
2019-10-03,11.25,11.38,11.14,11.36,119500
2019-10-04,11.42,11.67,11.42,11.45,168800
2019-10-07,11.39,11.65,11.39,11.53,156800
2019-10-08,11.47,11.555,11.24,11.29,451400
2019-10-09,11.32,11.42,10.95,11.4,355200
2019-10-10,11.31,11.54,11.25,11.45,227000
2019-10-11,11.45,11.71,11.31,11.38,277100
2019-10-14,11.32,11.37,10.9,11.01,241300
2019-10-15,10.95,11.0,10.33,10.45,646700
2019-10-16,10.3,10.51,10.08,10.46,451100
2019-10-17,10.45,10.69,10.25,10.32,203300
2019-10-18,10.32,10.425,10.0,10.13,377600
2019-10-21,10.08,10.3,10.025,10.09,254500
2019-10-22,10.06,10.62,10.06,10.59,176800
2019-10-23,10.51,11.02,10.51,10.99,126200
2019-10-24,11.02,11.54,10.96,11.25,321800
2019-10-25,11.2,11.84,11.15,11.46,304300
2019-10-28,11.45,11.63,11.27,11.47,282500
2019-10-29,11.52,11.98,11.52,11.69,388200
2019-10-30,11.66,11.69,11.18,11.36,142000
2019-10-31,11.25,11.25,10.991,11.18,150300
2019-11-01,11.19,11.28,11.09,11.16,287200
2019-11-04,11.18,11.36,11.155,11.24,366300
2019-11-05,11.24,11.33,10.98,11.02,272400
2019-11-06,10.93,11.015,10.84,11.01,233100
2019-11-07,12.26,12.92,11.33,11.87,1443800
2019-11-08,11.84,11.85,11.11,11.11,227400
2019-11-11,11.02,11.16,10.81,11.03,120800
2019-11-12,11.0,11.18,10.83,11.15,181000
2019-11-13,11.11,11.12,10.99,11.05,241300
2019-11-14,10.98,11.1,10.85,11.02,225600
2019-11-15,11.1,11.5,11.04,11.22,251600
2019-11-18,11.14,11.31,11.01,11.21,279700
2019-11-19,11.28,11.28,10.73,10.77,190900
2019-11-20,10.74,10.75,10.52,10.56,254200
2019-11-21,10.53,11.0,10.53,10.98,222900
2019-11-22,10.96,11.69,10.96,11.64,180700
2019-11-25,11.54,11.94,11.43,11.75,269000
2019-11-26,11.71,12.68,11.71,12.63,641600
2019-11-27,12.62,12.88,12.52,12.8,298600
2019-11-29,12.77,12.77,12.34,12.42,125800
2019-12-02,12.54,12.54,11.92,12.0,400200
2019-12-03,11.94,12.0,11.74,11.85,144200
2019-12-04,11.89,12.3,11.85,12.26,146200
2019-12-05,12.32,12.49,12.18,12.44,126700
2019-12-06,12.5,12.9,12.49,12.8,198700
2019-12-09,12.8,12.95,12.56,12.62,222500
2019-12-10,12.62,12.7,12.415,12.53,282900
2019-12-11,12.59,12.84,12.58,12.75,194900
2019-12-12,12.8,13.19,12.75,12.9,293700
2019-12-13,12.83,13.55,12.82,13.35,304400
2019-12-16,13.49,13.7,13.31,13.42,185100
2019-12-17,13.48,13.67,13.19,13.38,280400
2019-12-18,13.39,13.8,13.32,13.75,453500
