Date,Open,High,Low,Close,Volume
2024-09-27,0.0,0.0,0.0,0.0,0
2024-10-02,6654.714,6654.714,6654.714,6654.714,185
2024-10-03,0.0,0.0,0.0,6654.714,0
2024-10-04,0.0,0.0,0.0,6654.714,0
2024-10-07,6654.714,6654.714,6654.714,6654.714,18
2024-10-08,6257.418,6257.418,6257.418,6257.418,4
2024-10-09,0.0,0.0,0.0,6257.418,0
2024-10-10,0.0,0.0,0.0,6257.418,0
2024-10-14,0.0,0.0,0.0,6257.418,0
2024-10-15,0.0,0.0,0.0,6257.418,0
2024-10-16,0.0,0.0,0.0,6257.418,0
2024-10-17,0.0,0.0,0.0,6257.418,0
2024-10-18,6257.418,6456.066,6257.418,6317.012,99
2024-10-21,6267.35,6267.35,6158.094,6158.094,52
2024-10-22,6158.094,6158.094,6158.094,6158.094,352
2024-10-23,0.0,0.0,0.0,6158.094,0
2024-10-24,0.0,0.0,0.0,6158.094,0
2024-10-25,0.0,0.0,0.0,6158.094,0
2024-10-28,0.0,0.0,0.0,6158.094,0
2024-10-29,0.0,0.0,0.0,6158.094,0
2024-10-30,0.0,0.0,0.0,6158.094,0
2024-10-31,0.0,0.0,0.0,6158.094,0
2024-11-01,5154.921,5562.149,5154.921,5542.285,536
2024-11-04,5562.149,5562.149,5562.149,5562.149,593
2024-11-05,5562.149,5562.149,5353.569,5562.149,593
2024-11-06,5393.298,5661.473,5383.366,5562.149,12
2024-11-07,5264.177,5313.839,5264.177,5313.839,36
2024-11-08,5055.596,5214.515,5055.596,5214.515,20
2024-11-11,5225.143,5353.569,5115.191,5353.569,347
2024-11-12,5390.0,5390.0,5390.0,5390.0,19
2024-11-13,5120.276,5353.569,5120.276,5353.569,24
2024-11-14,5353.569,5353.569,5343.636,5353.569,18
2024-11-15,5413.163,5413.163,5413.163,5413.163,4
2024-11-19,4558.976,4668.232,4558.976,4608.638,11
2024-11-20,4961.239,5065.529,4961.239,4976.137,214
2024-11-21,4578.841,4777.489,4578.841,4717.895,164
2024-11-22,4618.57,5065.529,4618.57,5035.732,1117
2024-11-25,5015.867,5015.867,4717.895,5005.934,192
2024-11-26,5005.934,5005.934,4459.652,4712.928,222
2024-11-27,4837.083,5005.934,4767.557,4842.05,417
2024-11-28,4842.05,4842.05,4678.165,4827.151,241
2024-11-29,4717.895,4832.117,4648.368,4767.557,54
2024-12-02,4851.982,4851.982,4658.3,4842.05,275
2024-12-03,5015.867,5015.867,4966.205,4966.205,72
2024-12-04,4966.205,4966.205,4668.232,4717.895,32
2024-12-05,4568.908,4679.853,4568.908,4568.908,41
2024-12-06,4777.489,4866.881,4275.902,4514.28,380
2024-12-09,4578.841,4747.692,4340.463,4648.368,192
2024-12-10,4469.584,4479.517,4469.584,4479.517,3
2024-12-11,4469.584,4658.3,4469.584,4658.3,10
2024-12-12,4509.314,4717.895,4509.314,4578.841,39
2024-12-13,4608.638,4817.219,4608.638,4797.354,31
2024-12-16,4837.083,4837.083,4837.083,4837.083,3
2024-12-17,4630.4,5005.934,4630.4,4866.881,573
2024-12-18,5095.326,5164.853,4737.759,4742.726,130
2024-12-19,4976.137,5681.338,4717.895,4717.895,825
2024-12-20,4812.252,5065.529,4767.557,4842.05,485
2024-12-23,4767.557,4926.475,4767.557,4896.678,246
2024-12-24,5135.056,5135.056,5125.123,5125.123,9
2024-12-26,4986.07,13607.401,4986.07,11993.385,1838
2024-12-27,5266.741,7204.505,5266.741,7204.505,131
2024-12-30,5276.679,5306.49,5276.679,5286.616,39
2025-01-02,5266.741,5366.114,4869.251,5246.867,1033
2025-01-03,5266.741,5316.428,4918.938,5286.616,445
2025-01-06,5286.616,5316.428,4988.498,5236.93,688
2025-01-07,5316.428,5316.428,5127.62,5127.62,382
2025-01-08,5167.369,5445.612,5167.369,5246.867,576
2025-01-09,5246.867,5366.114,4958.687,5197.181,194
2025-01-10,4938.812,5207.118,4938.812,5157.432,88
2025-01-13,5077.934,5316.428,5067.996,5236.93,246
2025-01-14,5236.93,5286.616,5058.059,5157.432,551
2025-01-15,5177.306,5266.741,5107.745,5187.243,311
2025-01-16,5127.62,5256.804,5127.62,5226.992,22
2025-01-17,5286.616,5286.616,5236.93,5256.804,415
2025-01-20,5256.804,5306.49,5058.059,5256.804,55
2025-01-21,5316.428,5356.177,5217.055,5336.302,344
2025-01-22,5336.302,5405.863,5326.365,5346.239,1073
2025-01-23,5405.863,5405.863,5306.49,5316.428,181
2025-01-24,5266.741,5326.365,5127.62,5286.616,304
2025-01-27,5246.867,5376.051,5236.93,5376.051,161
2025-01-28,5584.733,5634.419,5346.239,5385.988,529
2025-01-29,5385.988,5385.988,4859.314,4879.189,4075
2025-01-30,4869.251,4953.718,4804.659,4849.377,982
2025-01-31,4884.157,4943.781,4834.471,4839.44,1682
2025-02-03,4869.251,4869.251,4715.224,4725.161,800
2025-02-04,4690.381,4710.255,4620.82,4685.412,1151
2025-02-05,4824.534,4824.534,4670.506,4700.318,735
2025-02-06,4700.318,4700.318,4600.946,4605.914,716
2025-02-07,4591.008,4655.601,4531.385,4576.103,705
2025-02-10,4526.416,4551.259,4446.918,4446.918,252
2025-02-11,4471.761,4471.761,4382.326,4412.138,837
2025-02-12,4347.546,4486.667,4312.766,4481.699,698
2025-02-13,4521.448,4531.385,4422.075,4501.573,437
2025-02-14,4546.291,4571.134,4511.51,4541.322,890
2025-02-17,4571.134,4720.193,4571.134,4655.601,77
2025-02-18,4576.103,4675.475,4506.542,4556.228,1565
2025-02-19,4630.757,4630.757,4506.542,4556.228,1222
2025-02-20,4645.663,4695.35,4620.82,4690.381,8506
2025-02-21,4740.067,4740.067,4700.318,4700.318,838
2025-02-24,4690.381,4759.942,4675.475,4740.067,446
2025-02-25,4774.848,4774.848,4675.475,4675.475,1197
2025-02-26,4685.412,4705.287,4645.663,4670.506,341
2025-02-27,4680.444,4680.444,4610.883,4610.883,433
2025-02-28,4685.412,4685.412,4615.852,4660.569,486
2025-03-05,4730.13,4764.91,4650.632,4759.942,204
2025-03-06,4784.785,4918.938,4769.879,4894.095,1787
2025-03-07,4928.875,4928.875,4740.067,4819.565,479
2025-03-10,4660.569,4745.036,4620.82,4620.82,786
2025-03-11,4660.569,4695.35,4595.977,4670.506,2468
2025-03-12,4591.008,4650.632,4591.008,4620.82,1181
2025-03-13,4610.883,4655.601,4600.946,4620.82,248
2025-03-14,4759.942,4844.408,4730.13,4809.628,2851
2025-03-17,4864.283,4923.906,4844.408,4894.095,413
2025-03-18,4928.875,5077.934,4928.875,5067.996,787
2025-03-19,5097.808,5097.808,4943.781,4943.781,1304
2025-03-20,4963.655,4968.624,4923.906,4958.687,11144
2025-03-21,5028.247,5038.185,4968.624,4998.436,3500
2025-03-25,5067.996,5067.996,5028.247,5038.185,171
2025-03-26,5087.871,5087.871,4988.498,4988.498,233
2025-03-27,5048.122,5048.122,4978.561,4998.436,171
2025-03-28,4971.101,4986.029,4926.316,4971.101,8024
2025-03-31,4886.507,4956.172,4876.555,4951.196,187
2025-04-01,4896.46,4911.388,4811.866,4811.866,112
2025-04-03,4881.531,4896.46,4796.938,4796.938,92
2025-04-04,4568.038,4672.536,4463.541,4463.541,166
2025-04-07,4528.23,4548.134,4468.517,4523.254,326
2025-04-08,4617.799,4682.488,4483.445,4483.445,373
2025-04-09,4458.565,4742.201,4383.924,4712.345,351
2025-04-10,4587.943,4597.895,4408.804,4577.991,94
2025-04-11,4553.11,4707.369,4553.11,4667.56,195
2025-04-14,4334.163,4393.876,4299.33,4393.876,835
2025-04-15,4383.924,4408.804,4324.211,4324.211,110
2025-04-16,4388.9,4388.9,4105.263,4164.976,46
2025-04-21,3751.962,3871.388,3717.129,3871.388,101
2025-04-22,4020.67,4140.096,4020.67,4135.12,9
2025-04-23,4135.12,4368.995,4135.12,4368.995,67
2025-04-24,4378.948,4393.876,4299.33,4359.043,35
2025-04-25,4319.235,4359.043,4304.306,4319.235,50
2025-04-28,4319.235,4319.235,4249.57,4264.498,109
2025-04-29,4329.187,4398.852,4329.187,4339.139,121
2025-04-30,4373.972,4408.804,4329.187,4329.187,162
2025-05-05,4329.187,4448.613,4329.187,4403.828,891
2025-05-06,4403.828,4403.828,4259.522,4259.522,249
2025-05-07,4254.546,4254.546,4130.144,4174.928,761
2025-05-08,4174.928,4189.857,4110.239,4164.976,168
2025-05-09,4040.574,4110.239,4025.646,4025.646,1163
2025-05-12,4184.881,4289.378,4145.072,4289.378,307
2025-05-13,4234.641,4234.641,4174.928,4174.928,95
2025-05-14,4100.287,4100.287,4005.742,4015.694,416
2025-05-15,4010.718,4110.239,3995.79,4100.287,185
2025-05-16,4184.881,4244.594,4160.0,4244.594,157
2025-05-19,4169.952,4194.833,4169.952,4194.833,16
2025-05-20,4194.833,4254.546,4194.833,4234.641,358
2025-05-21,4145.072,4145.072,3985.838,3985.838,1072
2025-05-22,3975.885,4030.622,3975.885,3990.814,41
2025-05-23,3921.149,3970.909,3911.196,3936.077,191
2025-05-26,3776.842,4085.359,3776.842,3896.268,46
2025-05-27,4010.718,4095.311,4010.718,4070.431,58
2025-05-28,4105.263,4145.072,4085.359,4085.359,1444
2025-05-29,4160.0,4204.785,4155.024,4174.928,221
2025-05-30,4244.594,4254.546,4155.024,4184.881,282
2025-06-02,4179.905,4194.833,4155.024,4169.952,126
2025-06-03,4140.096,4254.546,4140.096,4244.594,157
2025-06-04,4249.57,4299.33,4249.57,4284.402,107
2025-06-05,4259.522,4259.522,4214.737,4219.713,31
2025-06-06,4304.306,4349.091,4304.306,4309.283,163
2025-06-09,4319.235,4423.732,4319.235,4423.732,12261
2025-06-10,4383.924,4468.517,4383.924,4433.684,112
2025-06-11,4515.0,4540.0,4480.0,4540.0,564
2025-06-12,4523.254,4533.206,4478.469,4503.349,465
2025-06-13,4468.517,4473.493,4388.9,4388.9,137
2025-06-17,4378.948,4378.948,4239.617,4239.617,445
2025-06-18,4194.833,4204.785,4169.952,4169.952,24
2025-06-19,0.0,0.0,0.0,4169.952,0
2025-06-23,4224.689,4319.235,4219.713,4299.33,93
2025-06-24,4299.33,4339.139,4294.354,4339.139,17
2025-06-25,4299.33,4453.589,4299.33,4453.589,229
2025-06-26,4528.23,4528.23,4443.637,4458.565,376
2025-06-27,4440.778,4440.778,4380.97,4390.938,90
2025-06-30,4420.842,4445.762,4375.986,4410.874,434
2025-07-01,4450.746,4600.268,4450.746,4600.268,98
2025-07-02,4570.363,4640.14,4570.363,4640.14,180
2025-07-03,4675.028,4675.028,4630.172,4665.06,770
2025-07-04,4450.746,4789.661,4450.746,4784.677,35
2025-07-07,4680.012,4714.9,4665.06,4680.012,4986
2025-07-08,4729.853,4784.677,4650.108,4694.964,10815
2025-07-10,4765.0,4880.0,4765.0,4850.0,491
2025-07-11,4844.485,4849.469,4784.677,4789.661,529
2025-07-14,4699.948,4794.645,4625.188,4709.916,661
2025-07-15,4729.853,4729.853,4540.459,4540.459,809
2025-07-16,4515.539,4580.331,4480.651,4535.475,945
2025-07-17,4525.507,4605.252,4525.507,4595.284,2899
2025-07-18,4590.299,4590.299,4515.539,4525.507,674
2025-07-21,4550.427,4555.411,4475.667,4475.667,1177
2025-07-22,4540.459,4540.459,4346.082,4435.794,426
2025-07-23,4580.331,4675.028,4565.379,4635.156,904
2025-07-24,4739.821,4799.629,4719.884,4779.693,436
2025-07-25,4819.565,4919.246,4809.597,4884.358,382
2025-07-28,4879.374,4894.326,4829.533,4839.501,208
2025-07-29,4889.342,4979.054,4889.342,4899.31,27
2025-07-30,4919.246,4954.134,4904.294,4944.166,852
2025-07-31,5013.943,5053.815,4934.198,4934.198,1445
2025-08-01,4874.39,4944.166,4844.485,4944.166,325
2025-08-04,4694.964,4979.054,4694.964,4959.118,150
2025-08-05,4954.134,5003.975,4929.214,4929.214,657
2025-08-06,4889.342,4894.326,4784.677,4834.517,1043
2025-08-07,4854.454,4899.31,4814.581,4854.454,90
2025-08-08,4854.454,4929.214,4854.454,4914.262,147
2025-08-11,4944.166,4944.166,4889.342,4904.294,3382
2025-08-12,4959.118,5013.943,4954.134,5013.943,654
2025-08-13,5083.719,5123.592,5063.783,5123.592,2874
2025-08-14,5043.847,5113.624,5023.911,5053.815,2328
2025-08-18,5113.624,5113.624,5043.847,5043.847,1147
2025-08-19,5043.847,5123.592,5043.847,5113.624,1492
2025-08-20,5143.528,5143.528,5073.751,5133.56,585
2025-08-21,5053.815,5053.815,4984.039,5003.975,824
2025-08-22,5173.432,5223.272,5163.464,5223.272,849
