Date,Open,High,Low,Close,Volume
2022-01-18,3765.0,3765.5,3728.0,3750.5,76963
2022-01-19,3800.0,3850.0,3726.0,3797.5,95093
2022-01-20,3837.0,3924.5,3796.0,3920.0,130743
2022-01-21,3884.0,3911.5,3838.0,3857.5,72623
2022-01-24,3830.5,3847.5,3756.5,3826.0,12038
2022-01-25,3990.0,3990.0,3810.0,3949.0,22016
2022-01-26,3993.0,4020.0,3930.0,3954.0,14507
2022-01-27,3991.0,4065.5,3960.0,3996.0,10631
2022-01-28,4150.0,4150.0,3785.0,3920.5,16906
2022-01-31,3955.0,3955.0,3864.0,3906.0,18297
2022-02-01,3943.0,3959.5,3908.0,3935.0,6686
2022-02-02,3940.0,3964.0,3901.0,3908.5,5545
2022-02-03,3959.0,3959.0,3851.0,3896.0,30385
2022-02-04,3900.0,3906.0,3850.0,3868.0,12241
2022-02-07,3900.0,3900.0,3835.0,3873.0,7043
2022-02-08,3908.5,3908.5,3803.5,3820.0,4665
2022-02-09,3879.0,3879.0,3820.0,3827.5,9658
2022-02-10,3834.5,3834.5,3765.5,3796.5,8438
2022-02-11,3817.0,3840.5,3725.0,3747.0,26909
2022-02-14,3767.0,3767.0,3667.5,3686.0,5611
2022-02-15,3741.0,3747.0,3697.0,3709.5,7576
2022-02-16,3721.5,3721.5,3664.5,3688.5,6844
2022-02-17,3700.0,3709.0,3621.0,3627.0,23469
2022-02-18,3630.0,3630.0,3510.0,3542.5,22103
2022-02-21,3542.0,3700.0,3287.5,3490.0,8599
2022-02-22,3490.0,3520.0,3376.5,3381.5,19704
2022-02-23,3400.0,3425.5,3367.0,3370.0,24339
2022-02-24,3336.0,3370.0,3230.5,3350.0,10567
2022-02-25,3400.0,3439.5,3383.0,3411.0,12927
2022-03-02,3403.0,3434.0,3368.5,3432.0,15878
2022-03-03,3479.5,3482.0,3388.5,3425.5,3700
2022-03-04,3405.0,3405.0,3330.5,3368.5,6223
2022-03-07,3370.0,3404.0,3289.0,3305.5,7120
2022-03-08,3306.0,3335.0,3262.0,3288.0,2053
2022-03-09,3290.0,3330.0,3222.0,3236.5,6126
2022-03-10,3241.5,3241.5,3166.0,3173.0,7062
2022-03-11,3173.0,3234.5,3153.5,3154.0,8019
2022-03-14,3174.0,3197.0,3090.5,3100.5,1790
2022-03-15,3180.0,3192.0,3112.5,3192.0,2297
2022-03-16,3202.5,3356.0,3201.5,3311.0,2409
2022-03-17,3336.0,3387.0,3331.0,3383.5,5390
2022-03-18,3422.0,3422.0,3360.0,3400.5,6551
2022-03-21,3450.0,3450.0,3383.0,3398.0,38937
2022-03-22,3409.5,3491.5,3409.5,3491.0,9870
2022-03-23,3490.0,3490.0,3450.0,3459.0,28735
2022-03-25,3452.0,3522.5,3452.0,3483.5,34131
2022-03-28,3500.0,3515.5,3410.0,3414.5,4212
2022-03-29,3422.5,3451.5,3382.0,3390.0,3031
2022-03-30,3390.0,3411.0,3380.0,3385.5,40078
2022-03-31,3400.0,3400.0,3324.5,3330.0,8377
2022-04-01,3335.0,3354.0,3269.0,3313.0,3008
2022-04-04,3313.0,3327.5,3290.0,3326.5,12001
2022-04-05,3326.0,3361.5,3278.5,3285.5,16955
2022-04-06,3300.0,3304.0,3246.5,3264.0,11282
2022-04-07,3264.0,3312.0,3255.0,3312.0,1930
2022-04-08,3340.5,3340.5,3300.0,3316.0,2130
2022-04-11,3350.0,3350.0,3276.0,3282.0,16321
2022-04-12,3282.0,3315.0,3265.0,3276.0,21865
2022-04-13,3280.0,3325.0,3269.0,3315.5,25169
2022-04-18,3300.0,3300.0,3226.0,3249.0,5298
2022-04-19,3221.0,3342.0,3221.0,3336.5,3308
2022-04-20,3336.5,3458.0,3336.5,3456.5,5273
2022-04-21,3480.0,3550.5,3454.0,3536.5,29023
2022-04-22,3584.0,3584.0,3520.0,3546.0,16352
2022-04-25,3547.0,3579.5,3464.0,3578.5,14460
2022-04-26,3570.0,3581.5,3515.0,3571.5,8607
2022-04-27,3590.0,3618.5,3490.0,3505.0,26245
2022-04-28,3505.0,3545.5,3464.5,3484.5,23806
2022-04-29,3484.5,3495.0,3387.5,3417.0,6457
2022-05-02,3420.0,3494.0,3397.5,3489.5,51176
2022-05-03,3500.0,3500.0,3429.0,3429.5,33878
2022-05-04,3452.5,3505.0,3421.5,3486.5,16875
2022-05-05,3482.5,3482.5,3388.5,3391.5,9551
2022-05-06,3390.0,3449.5,3325.5,3449.0,7285
2022-05-09,3426.0,3434.5,3335.0,3340.0,6892
2022-05-10,3389.0,3397.0,3305.5,3369.0,3671
2022-05-11,3367.5,3394.0,3300.0,3313.0,4186
