Date,Open,High,Low,Close,Volume
2008-12-23,9.91,9.91,9.91,9.91,3200
2009-03-13,8.09,8.09,8.09,8.09,4800
2009-03-20,8.08,8.08,8.08,8.08,4400
2009-04-15,9.27,9.27,9.27,9.27,2000
2009-04-16,9.32,9.33,9.32,9.33,1896
2009-05-08,12.1,12.1,12.1,12.1,1440
2010-01-08,15.15,15.15,15.15,15.15,1400
2010-02-03,14.55,14.55,14.55,14.55,7840
2010-02-17,14.9,14.95,14.9,14.95,6880
2010-03-03,15.4,15.4,15.4,15.4,12984
2010-03-05,15.85,15.9,15.85,15.9,1080
2010-04-19,17.5,17.5,17.5,17.5,640
2010-09-16,16.6,16.65,16.6,16.65,2984
2010-10-06,16.45,16.45,16.4,16.4,6040
2010-10-13,17.3,17.35,17.3,17.35,640
2010-10-29,17.85,17.9,17.85,17.9,2520
2010-12-28,18.55,18.55,18.55,18.55,6000
2011-02-04,21.15,21.15,21.15,21.15,4720
2011-02-25,22.8,22.8,22.8,22.8,2560
2011-02-28,23.05,23.05,23.05,23.05,2160
2011-03-04,22.85,22.85,22.85,22.85,4376
2011-03-11,22.3,22.3,22.3,22.3,1120
2011-03-30,23.0,23.0,23.0,23.0,872
2011-04-15,22.1,22.1,22.05,22.05,10440
2011-04-20,22.45,22.45,22.45,22.45,1096
2011-05-06,23.3,23.3,23.3,23.3,1536
2011-05-11,22.6,22.65,22.6,22.65,12424
2011-05-20,23.25,23.25,23.25,23.25,1352
2011-05-31,23.05,23.05,23.05,23.05,12200
2011-08-08,18.1,18.1,18.1,18.1,1664
2011-08-12,18.25,18.25,18.25,18.25,1080
2011-12-06,21.75,21.75,21.75,21.75,4600
2011-12-07,21.6,21.6,21.6,21.6,5752
2011-12-21,21.4,21.4,21.4,21.4,1680
2011-12-27,21.75,21.75,21.75,21.75,1696
2012-01-03,22.65,22.65,22.65,22.65,1200
2012-01-04,22.9,22.9,22.9,22.9,2632
2012-01-05,23.0,23.35,22.85,23.35,24184
2012-01-12,22.95,22.95,22.9,22.9,664
2012-01-18,23.0,23.0,23.0,23.0,712
2012-01-23,22.7,22.7,22.7,22.7,1600
2012-02-07,24.0,24.0,24.0,24.0,1800
2012-02-08,24.5,24.5,24.45,24.45,4720
2012-02-09,24.6,24.6,24.55,24.55,4704
2012-03-07,25.8,25.8,25.8,25.8,7560
2012-03-08,26.0,26.0,26.0,26.0,496
2012-03-12,26.15,26.15,26.15,26.15,480
2012-05-09,31.05,31.05,31.05,31.05,6440
2012-05-15,33.3,33.3,33.3,33.3,15040
2012-05-30,35.25,35.25,35.25,35.25,2200
2012-07-02,39.85,39.85,39.85,39.85,2000
2012-07-20,42.05,42.05,42.05,42.05,1192
2012-08-10,37.5,37.5,37.5,37.5,2600
2012-08-13,39.85,39.85,39.85,39.85,288
2012-08-14,39.2,39.2,38.8,38.8,29360
2012-08-17,41.05,41.05,41.05,41.05,11600
2012-08-22,40.8,40.8,40.8,40.8,360
2012-08-23,40.55,40.55,40.55,40.55,2200
2012-08-27,41.0,41.0,40.6,40.6,4000
2012-08-28,40.95,40.95,40.9,40.9,3264
2012-09-04,40.95,40.95,39.9,39.9,11376
2012-09-05,42.65,42.65,42.6,42.6,8440
2012-09-07,41.55,41.55,41.55,41.55,2400
2012-10-01,41.45,42.0,41.45,42.0,1232
2012-10-15,39.65,39.65,39.65,39.65,1000
2012-11-14,42.25,42.25,42.2,42.2,2704
2012-11-20,42.0,42.0,42.0,42.0,80
2012-12-19,41.5,41.5,41.5,41.5,7224
2012-12-21,41.5,0.0,0.0,41.5,24
2012-12-28,41.8,41.85,41.8,41.85,42648
2013-01-02,45.0,45.0,45.0,45.0,216
