Date,Open,High,Low,Close,Volume
2022-06-03,2116.5,2116.5,2102.0,2102.0,3
2022-06-06,2117.0,2124.5,2105.0,2105.0,3262
2022-06-07,2110.0,2124.5,2099.5,2115.5,7475
2022-06-08,2111.5,2127.0,2078.5,2095.0,265
2022-06-09,2081.5,2144.0,2077.5,2144.0,209
2022-06-10,2112.0,2180.5,2103.5,2180.5,58
2022-06-13,2120.5,2224.5,2120.5,2220.0,198
2022-06-14,2209.5,2209.5,2170.0,2200.5,685
2022-06-15,2218.5,2218.5,2179.5,2204.0,270
2022-06-16,2187.5,2229.0,2168.0,2222.5,22
2022-06-21,2257.0,2257.0,2229.0,2248.5,897
2022-06-22,2229.0,2235.0,2181.0,2183.0,1468
2022-06-23,2194.0,2194.0,2174.0,2177.5,85
2022-06-24,2193.0,2212.5,2154.0,2212.5,85
2022-06-27,2140.0,2190.0,2094.5,2186.5,229
2022-06-28,2199.0,2250.5,2182.5,2198.0,49
2022-06-29,2220.5,2220.5,2179.5,2202.0,32
2022-06-30,2187.0,2223.0,2187.0,2210.0,143
2022-07-01,2215.5,2223.5,2185.0,2218.5,52
2022-07-04,2220.0,2395.0,2220.0,2390.0,29
2022-07-05,2420.5,2480.0,2337.0,2459.5,1796
2022-07-06,2460.0,2496.0,2417.0,2489.0,38
2022-07-07,2487.0,2674.5,2467.0,2674.0,107
2022-07-08,2630.0,2727.0,2629.5,2725.5,111
2022-07-11,2700.0,2710.5,2614.0,2655.0,30
2022-07-12,2635.5,2636.0,2548.5,2548.5,88
2022-07-13,2600.0,2600.0,2475.0,2542.5,40
2022-07-14,2571.5,2597.0,2571.5,2595.5,19
2022-07-15,2621.0,2657.0,2603.0,2635.0,206
2022-07-18,2657.5,2708.5,2657.5,2697.0,121
2022-07-19,2727.5,2803.0,2727.5,2800.0,146
2022-07-20,2818.0,2858.0,2810.0,2857.0,153
2022-07-21,2911.5,3165.0,2911.5,3104.5,194
2022-07-22,3100.0,3100.0,3003.5,3030.0,244
2022-07-25,3030.0,3083.5,2969.5,3035.5,129
2022-07-26,3118.5,3142.5,3056.5,3123.0,177
2022-07-27,3120.0,3171.0,3103.5,3137.5,270
2022-07-28,3155.5,3155.5,2903.5,2964.5,178
2022-07-29,2945.0,2945.0,2674.0,2710.5,278
2022-08-01,2710.5,2710.5,2557.5,2636.5,202
2022-08-02,2606.5,2690.5,2606.5,2665.0,203
