Date,Open,High,Low,Close,Volume
2019-01-02,51.0,52.25,50.0,51.8,249011
2019-01-03,51.8,51.8,49.2,49.6,139985
2019-01-04,49.9,52.45,49.9,50.55,95245
2019-01-07,50.5,51.9,50.2,50.4,51827
2019-01-08,50.5,51.7,49.5,50.5,266646
2019-01-09,50.9,53.9,50.9,51.6,214708
2019-01-10,51.6,52.3,50.0,51.5,103346
2019-01-11,50.1,52.9,50.1,51.4,139946
2019-01-14,51.2,53.5,50.5,51.2,113340
2019-01-15,53.5,53.5,50.0,50.2,71763
2019-01-16,50.5,52.35,50.5,52.05,58614
2019-01-17,53.35,53.35,50.5,51.95,44513
2019-01-18,51.9,53.35,51.15,51.7,90267
2019-01-21,51.7,52.0,50.8,51.7,73798
2019-01-22,52.0,52.0,50.0,50.4,175070
2019-01-23,51.0,51.5,50.0,50.7,65416
2019-01-24,50.7,51.2,50.0,50.95,109363
2019-01-25,51.2,51.5,50.5,50.8,136624
2019-01-28,50.5,52.2,49.55,52.0,176359
2019-01-29,51.6,52.9,50.5,52.55,137826
2019-01-30,52.4,53.65,50.5,53.2,209417
2019-01-31,53.2,53.85,52.6,53.5,111387
2019-02-01,53.5,55.0,53.4,54.9,231162
2019-02-04,55.5,56.0,53.0,54.0,355796
2019-02-05,53.9,54.9,53.3,54.15,258842
2019-02-06,54.5,55.0,53.05,54.3,163236
2019-02-07,54.1,55.0,52.6,54.25,169617
2019-02-08,54.2,56.0,53.5,55.95,107314
2019-02-11,56.0,57.8,56.0,56.5,115585
2019-02-12,57.0,58.0,55.5,55.9,129779
2019-02-13,55.9,56.9,55.0,55.1,133136
2019-02-14,56.0,56.0,55.0,55.4,28808
2019-02-15,55.4,55.5,54.5,55.0,57224
2019-02-18,54.6,55.0,54.0,54.05,42795
2019-02-19,54.1,55.6,52.5,52.65,140509
2019-02-20,52.7,54.8,52.0,53.4,306465
2019-02-21,53.0,53.4,51.05,51.75,74859
2019-02-22,51.5,53.2,51.05,52.9,486766
2019-02-25,53.0,53.0,50.9,52.6,133275
2019-02-26,50.9,52.9,50.9,52.0,77069
2019-02-27,52.0,52.0,50.0,50.0,100728
2019-02-28,50.0,50.85,48.0,50.25,237252
2019-03-01,52.35,52.4,50.25,50.4,218724
2019-03-06,51.05,53.4,50.1,50.4,392882
2019-03-07,48.0,52.5,48.0,51.25,284559
2019-03-08,51.0,51.75,50.0,51.3,56523
2019-03-11,52.5,53.5,51.5,51.75,93275
2019-03-12,51.5,52.5,50.25,52.2,103942
2019-03-13,52.2,52.2,51.0,51.45,141579
2019-03-14,51.45,52.0,49.5,49.65,233836
2019-03-15,49.0,50.9,48.0,50.55,297934
2019-03-18,50.55,51.8,49.25,50.8,313473
2019-03-19,50.5,51.7,48.5,49.6,154450
2019-03-20,49.85,51.0,49.5,50.2,217399
2019-03-21,50.1,51.0,48.5,49.6,104055
2019-03-22,49.0,49.0,46.0,46.5,61188
2019-03-25,46.5,47.65,45.85,46.5,266736
2019-03-26,46.9,48.0,44.0,44.15,429900
2019-03-27,43.8,44.1,40.0,42.5,360441
2019-03-28,42.5,44.0,42.5,43.0,614015
2019-03-29,44.0,44.0,42.6,43.1,346089
2019-04-01,44.0,44.0,41.1,41.5,33176
2019-04-03,42.5,42.5,40.5,40.7,351635
2019-04-04,39.5,41.5,39.15,41.35,235548
2019-04-05,41.25,42.0,40.1,40.75,130862
2019-04-08,42.0,42.0,39.7,39.85,263064
2019-04-09,39.5,39.6,37.2,37.45,198410
2019-04-10,37.5,38.3,37.45,37.8,292198
2019-04-11,37.8,37.95,36.5,37.45,185236
2019-04-12,37.65,37.65,36.3,36.8,398892
2019-04-15,36.0,37.3,36.0,37.15,255780
2019-04-16,38.95,38.95,37.1,37.35,244757
2019-04-17,36.8,38.5,36.0,37.55,357757
2019-04-22,37.5,37.5,35.3,37.5,356128
2019-04-23,37.8,40.5,37.8,38.3,474950
2019-04-24,38.0,38.0,36.75,37.0,100265
2019-04-25,36.0,40.0,35.5,39.8,664609
2019-04-26,40.5,40.5,38.0,38.2,327000
2019-04-29,38.6,40.0,37.25,37.5,408480
2019-04-30,37.25,38.95,37.25,38.8,31049
2019-05-02,39.0,39.8,37.7,39.5,184943
2019-05-03,39.7,41.0,39.7,40.15,146133
2019-05-06,40.0,41.9,40.0,41.8,147866
2019-05-07,41.85,41.85,39.55,41.25,173971
2019-05-08,42.0,44.0,42.0,42.85,333914
2019-05-09,43.5,43.9,42.0,43.45,94479
2019-05-10,43.45,43.7,42.0,43.0,46570
2019-05-13,42.5,42.5,41.6,42.1,204789
2019-05-14,42.0,42.9,39.5,41.15,267318
2019-05-15,40.6,41.75,39.95,41.5,267953
2019-05-16,41.5,42.5,41.05,42.1,258928
2019-05-17,42.5,42.9,40.45,42.3,69441
2019-05-20,42.3,42.3,40.0,40.8,203694
2019-05-21,41.6,43.45,41.6,41.9,543558
2019-05-22,41.4,42.0,40.5,41.3,144917
2019-05-23,41.25,41.85,40.9,41.05,526787
2019-05-24,41.2,42.35,40.0,42.05,595005
2019-05-27,42.0,43.4,41.6,42.8,70816
2019-05-28,43.1,43.9,41.6,41.85,153851
2019-05-29,40.5,40.85,39.65,40.6,222220
2019-05-30,41.0,41.0,39.05,40.05,631680
2019-05-31,40.75,40.75,38.45,38.85,256386
2019-06-03,38.85,39.6,38.0,38.45,31445
2019-06-04,39.0,39.0,37.5,38.5,175994
2019-06-05,38.4,38.9,37.75,38.4,348388
