Date,Open,High,Low,Close,Volume
2025-07-31,6606.487,6606.487,6576.728,6596.568,207
2025-08-01,6477.532,6616.407,6477.532,6606.487,1123
2025-08-04,6289.059,6666.005,6289.059,6626.327,1156
2025-08-05,6626.327,6646.166,6546.97,6546.97,1348
2025-08-06,6556.889,6586.648,6537.05,6537.05,358
2025-08-07,6656.086,6656.086,6576.728,6596.568,213
2025-08-08,6646.166,6666.005,6616.407,6656.086,1015
2025-08-11,6646.166,6656.086,6556.889,6596.568,1305
2025-08-12,6616.407,6695.764,6576.728,6666.005,266
2025-08-13,6705.684,6705.684,6656.086,6705.684,15175
2025-08-14,6666.005,6695.764,6586.648,6636.246,524
2025-08-18,6636.246,6646.166,6586.648,6636.246,1135
2025-08-19,6646.166,6646.166,6596.568,6636.246,1420
2025-08-20,6646.166,6705.684,6616.407,6695.764,191
2025-08-21,6646.166,6705.684,6616.407,6695.764,160
2025-08-22,6765.202,6854.479,6765.202,6824.72,40485
2025-08-25,6874.318,6933.836,6874.318,6933.836,1103
2025-08-26,6834.639,6904.077,6814.8,6884.238,750
2025-08-27,6824.72,6913.997,6824.72,6884.238,4841
2025-08-28,6884.238,6884.238,6794.961,6824.72,982
2025-08-29,6785.041,6854.479,6675.925,6854.479,3371
2025-09-01,6854.479,7340.542,6834.639,7340.542,42
2025-09-02,6894.157,6894.157,6794.961,6854.479,2678
2025-09-03,6814.8,6884.238,6785.041,6874.318,897
2025-09-04,6844.559,6963.595,6844.559,6963.595,1042
2025-09-05,7052.872,7062.791,7003.273,7042.952,1387
2025-09-08,7439.738,7469.497,7290.943,7380.22,10298
2025-09-09,7340.542,7355.421,7285.984,7335.582,7328
2025-09-10,7340.542,7345.501,7266.144,7315.742,3587
2025-09-11,7340.542,7459.577,7340.542,7459.577,4266
2025-09-12,7459.577,7583.573,7449.658,7578.613,1336
2025-09-15,7648.051,7727.408,7593.493,7707.569,2950
2025-09-16,7633.171,7643.091,7583.573,7623.252,1626
2025-09-17,7588.533,7697.649,7588.533,7692.689,4069
2025-09-18,7697.649,8039.877,7697.649,8029.957,6811
2025-09-19,7985.319,8034.917,7891.082,8024.998,5174
2025-09-22,7846.444,7846.444,7330.622,7400.06,4333
2025-09-23,7201.667,7310.783,7077.671,7281.024,3034
2025-09-24,7082.631,7176.867,7072.711,7127.269,2155
2025-09-25,7047.912,7122.309,7018.153,7122.309,6576
2025-09-26,7132.229,7519.095,7092.55,7519.095,2448
2025-09-29,7593.493,7667.89,7489.336,7657.97,29908
2025-09-30,7667.89,7950.6,7623.252,7945.64,2517
2025-10-01,8104.355,8203.551,8015.078,8168.832,7594
2025-10-02,8253.149,8253.149,8054.756,8089.475,10099
2025-10-03,8168.832,8173.792,8010.118,8010.118,2541
2025-10-06,8024.998,8054.756,7985.319,8010.118,3785
2025-10-07,7980.359,8144.033,7945.64,8134.114,15986
2025-10-08,8163.873,8188.672,8074.596,8104.355,7331
2025-10-09,8104.355,8104.355,7548.854,7553.814,3025
2025-10-13,7414.939,7414.939,7107.43,7375.26,3629
2025-10-14,7320.702,7648.051,7251.265,7608.372,2340
2025-10-15,7608.372,7672.85,7479.417,7568.694,2819
2025-10-16,7603.412,7811.725,7558.774,7772.046,1330
2025-10-17,7737.328,8084.515,7707.569,8079.556,2234
2025-10-20,8089.475,8272.989,8079.556,8258.109,5941
2025-10-21,8268.029,8431.703,8109.315,8421.784,5835
2025-10-22,8406.904,8456.502,8357.306,8406.904,4985
2025-10-23,8377.145,8377.145,8129.154,8148.993,2386
2025-10-24,8134.114,8238.27,8069.636,8223.391,4744
2025-10-27,7241.345,7757.167,7226.466,7653.011,5523
2025-10-28,7777.006,7901.002,7777.006,7886.122,32325
2025-10-29,7886.122,7886.122,7742.287,7767.087,581
2025-10-30,7737.328,7806.765,7737.328,7767.087,1675
2025-10-31,7777.006,7866.283,7717.488,7861.323,1648
2025-11-03,7856.363,7965.48,7767.087,7965.48,2077
2025-11-04,7881.163,7886.122,7777.006,7781.966,942
2025-11-05,7767.087,7821.645,7727.408,7767.087,2661
2025-11-06,7851.404,7851.404,7757.167,7781.966,515
2025-11-07,7796.846,7796.846,7628.211,7672.85,3980
2025-11-10,7613.332,7806.765,7613.332,7786.926,3913
2025-11-11,7747.247,7836.524,7747.247,7826.605,762
2025-11-12,7831.564,7876.203,7777.006,7841.484,950
2025-11-13,7841.484,7861.323,7791.886,7821.645,1303
2025-11-14,7777.006,7851.404,7712.529,7846.444,752
2025-11-17,7757.167,7796.846,7687.729,7692.689,2424
2025-11-18,7633.171,7633.171,7524.055,7563.734,403
2025-11-19,7484.377,7538.935,7459.577,7524.055,1686
2025-11-20,7538.935,7628.211,7499.256,7509.176,1380
2025-11-21,7608.372,7712.529,7608.372,7672.85,257
2025-11-25,7667.89,7871.243,7667.89,7856.363,1426
2025-11-26,7930.761,8034.917,7910.922,8034.917,691
2025-11-27,8431.703,8431.703,7965.48,8069.636,421
2025-11-28,8134.114,8173.792,7920.841,8119.234,1269
2025-12-01,8010.118,8010.118,7876.203,7945.64,1705
2025-12-02,7990.279,8000.198,7950.6,7990.279,632
2025-12-03,7950.6,7985.319,7940.68,7965.48,407
2025-12-04,8020.038,8020.038,7945.64,8000.198,1392
2025-12-05,8024.998,8024.998,7915.881,7995.239,467
2025-12-09,7960.52,7960.52,7896.042,7915.881,5264
2025-12-10,7945.64,7990.279,7881.163,7950.6,3025
2025-12-11,8000.198,8094.435,8000.198,8079.556,910
2025-12-12,8084.515,8089.475,8020.038,8069.636,2766
2025-12-15,8148.993,8213.471,8104.355,8193.632,5187
2025-12-16,8145.0,8180.0,8060.0,8135.0,4875
2025-12-17,8100.0,8175.0,8090.0,8160.0,1378
2025-12-18,8225.0,8225.0,8085.0,8165.0,2845
2025-12-19,8205.0,8240.0,8120.0,8240.0,2418
2025-12-22,8155.0,8225.0,8145.0,8225.0,2012
2025-12-23,8305.0,8310.0,8150.0,8155.0,2338
2025-12-24,8280.0,8280.0,8145.0,8160.0,346
2025-12-26,8100.0,8300.0,7750.0,8300.0,314
2025-12-29,8220.0,8220.0,8150.0,8155.0,2663
2025-12-30,8245.0,8270.0,8165.0,8165.0,1029
2026-01-02,8300.0,8320.0,8235.0,8310.0,1473
2026-01-05,8340.0,8400.0,8280.0,8380.0,1513
2026-01-06,8430.0,8430.0,8340.0,8410.0,2245
2026-01-07,8410.0,8410.0,8345.0,8360.0,5980
2026-01-08,8360.0,8360.0,8275.0,8330.0,3735
2026-01-09,8410.0,8435.0,8355.0,8415.0,1759
2026-01-12,8780.0,8780.0,8405.0,8460.0,2996
2026-01-13,8405.0,8470.0,8385.0,8420.0,7289
2026-01-14,8445.0,8455.0,8365.0,8405.0,3631
2026-01-15,8545.0,8545.0,8330.0,8380.0,6492
2026-01-16,8315.0,8410.0,8315.0,8410.0,2071
2026-01-19,8500.0,8780.0,8450.0,8695.0,259
2026-01-20,8275.0,8325.0,8210.0,8285.0,5179
2026-01-21,8235.0,8355.0,8235.0,8350.0,1178
2026-01-22,8270.0,8380.0,8270.0,8345.0,3276
2026-01-23,8345.0,8430.0,8275.0,8385.0,2246
2026-01-26,8455.0,8505.0,8410.0,8470.0,6090
2026-01-27,8570.0,8585.0,8530.0,8565.0,2998
2026-01-28,8480.0,8525.0,8425.0,8480.0,3474
2026-01-29,8525.0,8575.0,8435.0,8520.0,2315
2026-01-30,8525.0,8530.0,8400.0,8450.0,2017
2026-02-02,8450.0,8485.0,8360.0,8420.0,1979
2026-02-03,8470.0,8470.0,8335.0,8410.0,6786
2026-02-04,8530.0,8550.0,8415.0,8485.0,4396
2026-02-05,8485.0,8485.0,8330.0,8430.0,2684
2026-02-06,8500.0,8545.0,8480.0,8510.0,2992
2026-02-09,8520.0,8600.0,8510.0,8600.0,2440
2026-02-10,8535.0,8585.0,8485.0,8585.0,2432
2026-02-11,8595.0,8655.0,8515.0,8645.0,3739
2026-02-12,8580.0,8610.0,8470.0,8505.0,1021
