Date,Open,High,Low,Close,Volume
2024-12-05,6670.0,6700.0,6300.0,6350.0,187342
2024-12-06,6500.0,6670.0,6450.0,6650.0,287051
2024-12-09,6450.0,6450.0,6130.0,6160.0,241111
2024-12-10,6160.0,6160.0,5740.0,5930.0,226798
2024-12-11,6100.0,6250.0,6050.0,6200.0,124915
2024-12-12,6350.0,6510.0,6290.0,6320.0,215203
2024-12-13,6450.0,6530.0,6360.0,6500.0,127659
2024-12-16,6590.0,6950.0,6430.0,6890.0,296570
2024-12-17,6900.0,6980.0,6780.0,6900.0,300551
2024-12-18,6900.0,7110.0,6600.0,6650.0,208909
2024-12-19,6640.0,6640.0,5910.0,5950.0,231622
2024-12-20,5790.0,6180.0,5650.0,6140.0,196411
2024-12-23,5940.0,6010.0,5800.0,5930.0,111792
2024-12-24,6090.0,6290.0,6090.0,6260.0,45020
2024-12-26,6060.0,6060.0,5930.0,6000.0,131664
2024-12-27,6140.0,6140.0,5890.0,6000.0,146530
2024-12-30,6140.0,6150.0,5730.0,6110.0,122296
2025-01-02,6280.0,6310.0,6120.0,6200.0,82648
2025-01-03,6230.0,6520.0,6200.0,6500.0,123101
2025-01-06,6510.0,6890.0,6460.0,6660.0,118267
2025-01-07,6610.0,6610.0,6080.0,6100.0,155551
2025-01-08,6060.0,6120.0,5800.0,5930.0,140917
2025-01-09,5950.0,6200.0,5750.0,6030.0,58015
2025-01-10,5910.0,6030.0,5770.0,5960.0,103166
2025-01-13,5770.0,5770.0,5290.0,5470.0,287305
2025-01-14,5800.0,5860.0,5740.0,5830.0,85246
2025-01-15,5900.0,6230.0,5900.0,6200.0,167133
2025-01-16,6140.0,6140.0,5890.0,6050.0,151563
2025-01-17,6050.0,6250.0,6050.0,6210.0,172593
2025-01-20,6300.0,6500.0,6090.0,6340.0,128637
2025-01-21,6050.0,6190.0,5900.0,6020.0,253229
2025-01-22,5980.0,5990.0,5840.0,5900.0,119112
2025-01-23,5810.0,5960.0,5710.0,5740.0,120743
2025-01-24,6000.0,6090.0,5830.0,5990.0,147527
2025-01-27,5700.0,5730.0,5410.0,5460.0,221777
2025-01-28,5690.0,5720.0,5550.0,5610.0,94415
2025-01-29,5670.0,5670.0,5460.0,5600.0,130514
2025-01-30,5750.0,5870.0,5750.0,5860.0,68853
2025-01-31,6050.0,6180.0,5910.0,5990.0,236384
2025-02-03,4680.0,5020.0,4550.0,5000.0,1164876
2025-02-04,5070.0,5200.0,4950.0,5060.0,404168
2025-02-05,5120.0,5140.0,4940.0,5070.0,168921
