Date,Open,High,Low,Close,Volume
2025-05-15,5980.0,6010.0,5980.0,6030.0,91
2025-05-16,6050.0,6080.0,6040.0,6100.0,1508
2025-05-19,6100.0,6100.0,5970.0,6060.0,1046
2025-05-20,6040.0,6110.0,6040.0,6120.0,2245
2025-05-21,6110.0,6110.0,6010.0,6040.0,1939
2025-05-22,6040.0,6040.0,5990.0,6030.0,4853
2025-05-23,6030.0,6070.0,6010.0,6070.0,3773
2025-05-26,6100.0,6610.0,5990.0,6470.0,560
2025-05-27,6200.0,6300.0,6160.0,6310.0,13182
2025-05-28,6250.0,6250.0,6170.0,6200.0,1948
2025-05-29,6440.0,6440.0,6210.0,6330.0,4576
2025-05-30,6400.0,6430.0,6320.0,6390.0,4467
2025-06-02,6400.0,6420.0,6330.0,6390.0,6856
2025-06-03,6330.0,6360.0,6280.0,6360.0,2725
2025-06-04,6360.0,6370.0,6310.0,6340.0,48674
2025-06-05,6320.0,6340.0,6260.0,6290.0,794
2025-06-06,6330.0,6340.0,6300.0,6340.0,10111
2025-06-09,6350.0,6350.0,6310.0,6350.0,1150
2025-06-10,6310.0,6320.0,6270.0,6310.0,1169
2025-06-11,6330.0,6340.0,6250.0,6290.0,841
2025-06-12,6310.0,6360.0,6290.0,6330.0,668
2025-06-13,6220.0,6230.0,6150.0,6200.0,42664
2025-06-17,6250.0,6250.0,6070.0,6110.0,754
2025-06-18,6160.0,6160.0,6040.0,6130.0,1103
2025-06-19,6000.0,6050.0,5900.0,6000.0,238
2025-06-23,6000.0,6150.0,5940.0,6140.0,1692
2025-06-24,6200.0,6200.0,6140.0,6190.0,1882
2025-06-25,6140.0,6230.0,6120.0,6240.0,1760
2025-06-26,6300.0,6380.0,6300.0,6370.0,1550
2025-06-27,6440.0,6480.0,6400.0,6490.0,1833
2025-06-30,6450.0,6520.0,6400.0,6490.0,3226
2025-07-01,6500.0,6600.0,6440.0,6550.0,6662
2025-07-02,6590.0,6630.0,6530.0,6610.0,1132
2025-07-03,6640.0,6650.0,6540.0,6640.0,1200
2025-07-04,6340.0,6960.0,6340.0,6960.0,611
2025-07-07,6620.0,6700.0,6550.0,6670.0,4502
2025-07-08,6680.0,6680.0,6570.0,6620.0,3962
2025-07-10,6590.0,6650.0,6580.0,6640.0,1802
2025-07-11,6630.0,6630.0,6530.0,6590.0,9085
2025-07-14,6520.0,6730.0,6520.0,6740.0,2368
2025-07-15,6740.0,6740.0,6540.0,6570.0,1572
2025-07-16,6500.0,6570.0,6440.0,6570.0,917
2025-07-17,6590.0,6670.0,6530.0,6650.0,933
2025-07-18,6630.0,6670.0,6600.0,6670.0,1037
2025-07-21,6670.0,6790.0,6670.0,6670.0,1287
2025-07-22,6700.0,6710.0,6550.0,6610.0,1585
2025-07-23,6910.0,6950.0,6860.0,6930.0,3003
2025-07-24,6960.0,7010.0,6910.0,7010.0,2469
2025-07-25,6910.0,6990.0,6870.0,7000.0,882
2025-07-28,6870.0,6900.0,6820.0,6910.0,2647
2025-07-29,6900.0,6910.0,6800.0,6850.0,3020
2025-07-30,6890.0,6990.0,6840.0,6990.0,2183
2025-07-31,7020.0,7230.0,7010.0,7180.0,9600
2025-08-01,7210.0,7260.0,7060.0,7250.0,2550
2025-08-04,7340.0,7340.0,7220.0,7330.0,2266
2025-08-05,7300.0,7300.0,7190.0,7240.0,2575
