Date,Open,High,Low,Close,Volume
2019-01-02,38.939999,40.779999,38.860001,40.639999,41926700
2019-01-03,41.0,41.040001,40.419998,40.900002,24851700
2019-01-04,40.880001,42.099998,40.650002,41.82,40899800
2019-01-07,41.950001,41.990002,41.220001,41.400002,26407700
2019-01-08,41.59,41.970001,41.299999,41.900002,23524800
2019-01-09,42.639999,43.029999,42.610001,42.959999,38010000
2019-01-10,42.77,43.139999,42.27,42.900002,31156900
2019-01-11,42.470001,42.84,42.310001,42.779999,13875400
2019-01-14,42.59,43.34,42.509998,42.98,21208100
2019-01-15,42.970001,43.130001,42.349998,42.740002,19891000
2019-01-16,42.630001,42.91,42.459999,42.669998,18320200
2019-01-17,42.279999,43.32,42.25,43.02,22797600
2019-01-18,43.52,43.650002,42.93,43.200001,29408800
2019-01-22,43.040001,43.23,41.98,42.150002,30949600
2019-01-23,42.880001,43.34,42.48,43.290001,28834000
2019-01-24,43.380001,43.950001,43.220001,43.650002,30082100
2019-01-25,44.169998,44.529999,43.529999,43.82,21799300
2019-01-28,42.560001,43.200001,42.459999,42.869999,30253600
2019-01-29,43.830002,43.889999,43.389999,43.439999,21493000
2019-01-30,44.130001,44.75,43.52,44.599998,32022600
2019-01-31,45.310001,45.720001,45.110001,45.369999,27113800
2019-02-01,45.07,45.5,44.810001,45.400002,20050200
2019-02-04,44.740002,45.549999,44.639999,45.459999,18766100
2019-02-05,45.18,45.490002,44.869999,45.209999,17413600
2019-02-06,43.990002,44.220001,43.16,43.330002,42121900
2019-02-07,43.400002,43.529999,42.549999,43.049999,38518400
2019-02-08,43.310001,43.400002,42.169998,43.07,30687300
2019-02-11,42.990002,43.02,42.049999,42.490002,27476000
2019-02-12,43.209999,44.110001,43.099998,43.700001,36852600
2019-02-13,43.580002,43.720001,42.880001,43.07,24779900
2019-02-14,42.529999,44.509998,42.470001,44.25,41495100
2019-02-15,44.5,44.599998,43.93,44.450001,27715900
2019-02-19,44.130001,44.630001,44.119999,44.150002,22515000
2019-02-20,44.130001,44.619999,43.650002,43.759998,32090900
2019-02-21,43.419998,43.599998,42.959999,43.549999,31578200
2019-02-22,43.970001,44.360001,43.830002,44.150002,21582500
2019-02-25,44.540001,44.580002,43.880001,43.919998,22945400
2019-02-26,44.099998,44.240002,43.830002,44.099998,15693800
2019-02-27,43.959999,44.360001,43.75,44.16,17233200
2019-02-28,43.790001,43.830002,42.98,43.0,30507000
2019-03-01,42.599998,42.830002,42.189999,42.349998,30186900
2019-03-04,42.360001,42.450001,41.849998,42.369999,18768700
2019-03-05,42.349998,42.950001,42.150002,42.689999,15167500
2019-03-06,42.689999,42.799999,41.34,41.5,34452700
2019-03-07,41.66,41.689999,40.740002,41.18,34958500
2019-03-08,41.16,41.73,41.02,41.669998,35364800
2019-03-11,42.27,43.130001,42.27,43.07,32570500
2019-03-12,43.169998,43.529999,43.07,43.279999,20364100
2019-03-13,43.119999,44.049999,42.950001,43.75,28651500
2019-03-14,43.549999,43.599998,42.790001,43.209999,24990200
2019-03-15,43.459999,43.939999,43.419998,43.689999,26606100
2019-03-18,43.75,44.529999,43.700001,44.400002,24192200
2019-03-19,44.529999,45.0,44.240002,44.349998,24377000
2019-03-20,44.150002,44.830002,43.73,44.009998,32752900
2019-03-21,43.75,43.830002,42.080002,43.0,65808200
2019-03-22,41.380001,41.720001,40.360001,40.43,77966800
2019-03-25,40.580002,41.279999,40.509998,40.939999,38969800
2019-03-26,41.419998,41.75,40.880001,41.619999,36051200
2019-03-27,40.360001,40.549999,39.23,39.279999,77111600
2019-03-28,39.240002,40.950001,39.200001,40.68,63285400
2019-03-29,41.09,41.66,40.84,40.990002,37980900
2019-04-01,41.84,42.200001,41.630001,41.799999,32593700
2019-04-02,42.060001,42.110001,41.299999,41.77,28810700
2019-04-03,42.209999,42.389999,41.009998,41.18,31307800
2019-04-04,41.07,42.220001,40.98,42.099998,32380900
2019-04-05,41.990002,42.599998,41.880001,42.290001,25001000
2019-04-08,42.400002,42.759998,42.150002,42.650002,25163600
2019-04-09,42.27,42.330002,41.669998,42.080002,25172800
2019-04-10,42.299999,42.57,42.0,42.25,18535300
2019-04-11,41.959999,42.07,41.130001,41.470001,27271400
2019-04-12,40.970001,41.450001,40.040001,40.32,54610300
2019-04-15,40.880001,40.939999,40.389999,40.619999,22905100
2019-04-16,40.43,41.290001,40.389999,40.790001,26447600
2019-04-17,41.049999,41.080002,39.509998,40.049999,41485600
2019-04-18,40.189999,41.080002,39.889999,40.459999,37319100
2019-04-22,40.459999,40.799999,40.169998,40.490002,20155800
2019-04-23,40.759998,41.41,40.57,41.139999,29271700
2019-04-24,40.84,40.84,39.759998,40.09,33678700
2019-04-25,40.169998,41.130001,39.900002,41.080002,29817800
