Date,Open,High,Low,Close,Volume
2022-07-25,4262.5,4262.5,4105.0,4232.5,989
2022-07-26,4191.5,4244.5,4130.0,4196.5,1449
2022-07-27,4262.0,4402.5,4250.0,4390.5,1353
2022-07-28,4512.5,4570.5,4273.5,4402.5,1990
2022-07-29,4405.0,4482.5,4120.0,4251.0,806
2022-08-01,4300.0,4374.0,4191.0,4303.5,1962
2022-08-02,4303.0,4462.5,4300.0,4407.0,1528
2022-08-03,4567.0,4579.5,4437.0,4540.0,4454
2022-08-04,4518.0,4534.0,4361.0,4496.0,635
2022-08-05,4511.5,4561.0,4335.0,4357.5,771
2022-08-08,4480.0,4540.5,4383.0,4520.0,666
2022-08-09,4500.0,4502.0,4365.5,4391.0,814
2022-08-10,4407.0,4471.0,4393.0,4471.0,438
2022-08-11,4529.5,4568.5,4500.0,4531.5,1347
2022-08-12,4577.0,4660.0,4560.0,4642.0,438
2022-08-16,4672.5,4710.5,4618.0,4642.0,635
2022-08-17,4642.0,4658.5,4519.5,4610.0,512
2022-08-18,4610.0,4770.0,4563.0,4770.0,421
2022-08-19,4721.0,4808.0,4687.0,4795.0,316
2022-08-22,4610.0,4610.0,4481.5,4503.0,1542
2022-08-23,4587.5,4642.5,4501.0,4617.0,1487
2022-08-24,4575.0,4706.5,4575.0,4670.0,363
2022-08-25,4720.0,4832.5,4700.0,4705.0,338
2022-08-26,4700.0,4725.0,4537.0,4546.5,138
2022-08-29,4539.0,4600.0,4472.0,4598.5,223
2022-08-30,4610.5,4610.5,4468.0,4510.0,429
2022-08-31,4510.0,4586.5,4508.5,4530.0,114
2022-09-01,4367.5,4433.0,4355.5,4433.0,106
2022-09-02,4367.5,4433.0,4355.5,4433.0,0
2022-09-05,4423.94,4450.0,4100.0,4450.0,52
2022-09-06,4274.0,4295.0,4223.0,4290.0,1115
2022-09-07,4290.0,4382.0,4290.0,4374.0,317
2022-09-08,4292.5,4411.0,4274.0,4411.0,96
2022-09-09,4411.0,4439.0,4335.0,4349.5,306
2022-09-12,4421.5,4421.5,4339.5,4375.5,262
2022-09-13,4300.0,4300.0,4147.0,4155.5,265
2022-09-14,4160.0,4167.5,4071.5,4155.0,409
2022-09-15,4250.0,4446.5,4250.0,4401.5,203
2022-09-16,4329.5,4426.0,4296.0,4426.0,672
2022-09-19,4447.5,4558.5,4447.5,4541.5,413
2022-09-20,4085.0,4169.5,3934.0,3978.5,8462
2022-09-21,4069.5,4170.0,4020.0,4032.5,3109
2022-09-22,4009.5,4046.5,3987.5,4026.5,833
2022-09-23,3996.0,3996.0,3755.0,3831.5,1090
2022-09-26,3832.0,3856.0,3700.0,3742.0,184
2022-09-27,3758.5,3761.5,3552.0,3666.0,729
2022-09-28,3666.0,3762.0,3666.0,3757.0,266
2022-09-29,3582.0,3592.0,3476.0,3530.5,490
2022-09-30,3522.0,3547.5,3472.0,3485.0,389
2022-10-03,3525.0,3586.0,3503.5,3551.5,238
2022-10-04,3700.0,3817.0,3700.0,3810.5,551
2022-10-05,3817.5,3906.0,3776.5,3896.0,1297
2022-10-06,3895.0,3911.0,3794.0,3804.0,1561
2022-10-11,3543.5,3640.0,3486.0,3545.0,1879
2022-10-12,3507.5,3599.5,3500.0,3572.5,389
2022-10-13,3531.0,3696.5,3525.0,3685.5,291
2022-10-14,3718.0,3718.0,3636.0,3674.5,1369
2022-10-17,3665.0,3683.5,3626.5,3656.0,732
2022-10-18,3705.0,3710.0,3644.0,3645.0,128
2022-10-19,3645.0,3687.0,3609.5,3680.0,42
2022-10-20,3640.0,3678.0,3555.5,3567.0,426
2022-10-21,3667.5,3720.0,3618.5,3720.0,300
2022-10-24,3733.5,3799.5,3715.0,3789.0,279
2022-10-25,3815.5,3975.0,3815.5,3934.5,2963
2022-10-26,3909.5,3994.5,3909.5,3917.0,1005
2022-10-27,3894.5,4044.0,3894.5,3997.0,923
2022-10-28,4075.0,4086.5,4020.0,4058.0,437
2022-10-31,4057.5,4165.0,4057.5,4109.5,1910
2022-11-01,4096.5,4119.0,4045.0,4055.5,516
2022-11-02,4009.0,4120.0,3958.5,3970.0,2924
2022-11-03,3982.5,4109.5,3982.5,4066.5,1169
2022-11-04,4136.0,4181.0,4044.0,4150.0,528
2022-11-07,4150.0,4186.5,4076.0,4148.5,131
2022-11-08,4165.0,4180.0,4110.0,4177.5,516
2022-11-09,4116.0,4155.0,4062.5,4067.0,2524
2022-11-10,4216.5,4410.0,4186.5,4366.0,2101
2022-11-11,4366.0,4650.0,4366.0,4470.5,384
2022-11-14,4649.0,4649.0,4385.0,4389.5,112
2022-11-15,4390.0,4588.0,4284.0,4550.5,631
2022-11-16,4560.0,4578.0,4495.0,4495.0,3941
2022-11-17,4507.5,4650.0,4457.5,4629.0,340
2022-11-18,4670.0,4750.0,4613.0,4650.0,137
2022-11-22,4705.5,4705.5,4648.0,4665.0,233
2022-11-23,4665.0,4681.0,4566.0,4592.5,377
2022-11-24,4593.0,4679.0,4537.5,4679.0,28
2022-11-25,4578.5,4630.0,4363.0,4581.0,119
2022-11-28,4699.0,4699.0,4423.5,4423.5,150
2022-11-29,4474.0,4474.0,4237.5,4237.5,98
2022-11-30,4443.5,4512.0,4355.0,4512.0,160
2022-12-01,4521.0,4653.0,4521.0,4590.0,672
2022-12-02,4532.5,4555.5,4505.0,4519.0,366
2022-12-05,4520.0,4520.0,4424.5,4438.0,121
2022-12-06,4465.5,4505.0,4451.5,4500.5,1171
2022-12-07,4562.5,4598.5,4446.0,4467.5,80
2022-12-12,4453.5,4507.0,4399.0,4446.0,173
2022-12-13,4589.0,4589.0,4450.0,4496.5,353
2022-12-14,4500.5,4700.0,4426.0,4429.5,1864
2022-12-15,4500.0,4500.0,4320.0,4348.0,301
2022-12-16,4245.0,4245.0,4015.0,4015.5,361
2022-12-19,3960.5,3961.0,3860.0,3863.0,2466
2022-12-20,3850.0,3908.5,3820.0,3856.0,157
2022-12-21,3856.0,3945.0,3856.0,3932.0,1868
2022-12-22,3892.5,3892.5,3740.0,3760.0,577
2022-12-23,3812.5,3834.5,3769.0,3780.5,1820
2022-12-26,3775.0,3899.0,3775.0,3871.0,80
2022-12-27,3898.0,3898.0,3775.5,3784.0,1060
2022-12-28,3795.0,3862.0,3769.5,3809.0,484
2022-12-29,3809.0,3949.0,3760.0,3943.0,2161
2022-12-30,3900.0,3982.0,3801.5,3982.0,351
2023-01-02,3850.5,4150.0,3850.5,4146.5,178
2023-01-03,4100.0,4100.0,3943.5,4006.0,350
2023-01-04,4105.5,4121.0,4025.0,4073.5,252
