Date,Open,High,Low,Close,Volume
2024-12-06,6790.0,6790.0,6600.0,6610.0,40115
2024-12-09,6920.0,7210.0,6920.0,7140.0,77831
2024-12-10,6860.0,6920.0,6770.0,6870.0,56622
2024-12-11,6880.0,6880.0,6700.0,6760.0,17873
2024-12-12,6810.0,6820.0,6720.0,6780.0,102808
2024-12-13,6740.0,6800.0,6670.0,6800.0,33462
2024-12-16,6800.0,6850.0,6660.0,6850.0,31289
2024-12-17,6850.0,7070.0,6750.0,7080.0,164952
2024-12-18,7300.0,7300.0,6950.0,6970.0,79588
2024-12-19,7200.0,7200.0,6960.0,6970.0,24216
2024-12-20,7010.0,7100.0,6870.0,7080.0,144605
2024-12-23,7110.0,7240.0,7100.0,7190.0,107965
2024-12-24,7360.0,7360.0,7280.0,7320.0,7586
2024-12-26,7380.0,7470.0,7260.0,7410.0,31751
2024-12-27,7500.0,7640.0,7260.0,7320.0,15652
2024-12-30,7320.0,7500.0,7200.0,7240.0,106436
2025-01-02,7310.0,7310.0,7020.0,7050.0,60170
2025-01-03,7200.0,7200.0,7060.0,7160.0,10936
2025-01-06,7300.0,7390.0,7070.0,7140.0,153542
2025-01-07,7130.0,7130.0,7020.0,7040.0,6471
2025-01-08,7080.0,7080.0,6940.0,6980.0,112251
2025-01-09,7000.0,7500.0,6870.0,7290.0,2001
2025-01-10,6980.0,6980.0,6820.0,6860.0,56158
2025-01-13,6860.0,6910.0,6810.0,6880.0,9518
2025-01-14,7070.0,7070.0,7000.0,7010.0,14088
2025-01-15,7070.0,7150.0,7020.0,7100.0,9094
2025-01-16,7100.0,7130.0,7070.0,7130.0,16077
2025-01-17,7130.0,7310.0,7110.0,7250.0,27065
2025-01-20,7240.0,7670.0,7110.0,7500.0,4551
2025-01-21,7410.0,7410.0,7270.0,7280.0,9357
2025-01-22,7290.0,7290.0,7200.0,7300.0,35725
2025-01-23,7300.0,7300.0,7200.0,7220.0,7667
2025-01-24,7300.0,7350.0,7090.0,7320.0,100263
2025-01-27,7600.0,7600.0,7360.0,7410.0,28612
2025-01-28,7510.0,7510.0,7330.0,7450.0,51257
2025-01-29,7510.0,7630.0,7490.0,7550.0,30944
2025-01-30,7550.0,7760.0,7450.0,7740.0,26180
2025-01-31,7740.0,7760.0,7530.0,7570.0,58457
2025-02-03,7600.0,7660.0,7360.0,7550.0,56788
2025-02-04,7580.0,7830.0,7580.0,7770.0,52182
2025-02-05,7730.0,7750.0,7660.0,7720.0,11979
2025-02-06,7840.0,7840.0,7710.0,7750.0,9720
2025-02-07,7800.0,7980.0,7800.0,7890.0,76324
2025-02-10,8000.0,8100.0,7970.0,7990.0,26843
2025-02-11,7960.0,8040.0,7840.0,7990.0,62876
2025-02-12,8100.0,8220.0,8000.0,8180.0,24791
2025-02-13,8090.0,8170.0,7990.0,8170.0,63308
2025-02-14,8190.0,8620.0,8190.0,8410.0,110375
2025-02-17,8600.0,9200.0,8470.0,8750.0,24319
2025-02-18,8700.0,8700.0,8520.0,8570.0,93859
2025-02-19,8660.0,8660.0,8480.0,8540.0,52151
2025-02-20,8710.0,8820.0,8600.0,8690.0,100184
2025-02-21,8760.0,8900.0,8740.0,8790.0,54952
2025-02-24,8780.0,8810.0,8500.0,8550.0,45725
2025-02-25,8680.0,8680.0,8540.0,8620.0,27454
2025-02-26,8900.0,9100.0,8810.0,8830.0,26921
2025-02-27,8810.0,8920.0,8720.0,8840.0,26225
2025-02-28,8920.0,8920.0,8520.0,8590.0,25134
2025-03-05,8820.0,9110.0,8710.0,9100.0,47326
2025-03-06,9210.0,9290.0,9100.0,9130.0,40407
2025-03-07,9290.0,9290.0,8960.0,9080.0,26307
2025-03-10,9200.0,9200.0,8750.0,8820.0,34375
2025-03-11,9010.0,9010.0,8880.0,8970.0,69131
2025-03-12,8940.0,8950.0,8820.0,8930.0,40911
2025-03-13,8940.0,9090.0,8910.0,9060.0,103155
2025-03-14,9300.0,9350.0,9230.0,9350.0,31596
2025-03-17,9500.0,9700.0,9450.0,9700.0,60860
2025-03-18,9760.0,10025.0,9740.0,10150.0,93967
2025-03-19,10050.0,10150.0,9850.0,9930.0,119619
2025-03-20,9690.0,9690.0,9500.0,9600.0,105069
2025-03-21,9460.0,9520.0,9340.0,9450.0,61328
2025-03-25,9500.0,9530.0,9380.0,9440.0,31817
2025-03-26,9420.0,9540.0,9340.0,9390.0,82474
2025-03-27,9510.0,9560.0,9390.0,9530.0,90490
2025-03-28,9370.0,9410.0,9260.0,9380.0,21050
2025-03-31,9380.0,9500.0,9350.0,9460.0,17804
2025-04-01,9440.0,9490.0,9340.0,9390.0,80794
2025-04-03,9350.0,9350.0,9190.0,9260.0,69899
2025-04-04,8910.0,8910.0,8550.0,8760.0,71658
2025-04-07,8300.0,8650.0,8060.0,8190.0,104617
2025-04-08,8380.0,8530.0,8000.0,8140.0,36517
2025-04-09,8280.0,9480.0,8280.0,9450.0,66445
2025-04-10,8500.0,8780.0,8460.0,8570.0,69077
2025-04-11,8530.0,8890.0,8420.0,8830.0,38575
2025-04-14,9300.0,9300.0,8130.0,8360.0,29549
2025-04-15,8400.0,8400.0,8160.0,8270.0,7031
2025-04-16,8300.0,8300.0,7600.0,7680.0,31945
2025-04-21,8000.0,8000.0,7020.0,7320.0,48905
2025-04-22,7310.0,7770.0,7310.0,7770.0,50
2025-04-23,7760.0,8150.0,7760.0,8030.0,63607
2025-04-24,8100.0,8290.0,8070.0,8150.0,31796
2025-04-25,8280.0,8280.0,8060.0,8160.0,71093
2025-04-28,8160.0,8160.0,7990.0,8070.0,57998
2025-04-29,8080.0,8150.0,8020.0,8030.0,49794
2025-04-30,8030.0,8100.0,7970.0,8090.0,6391
2025-05-05,8270.0,8500.0,8270.0,8460.0,10661
2025-05-06,8500.0,8660.0,8500.0,8570.0,51174
2025-05-07,8270.0,8320.0,7980.0,8080.0,9193
2025-05-08,8050.0,8140.0,7990.0,8110.0,14238
2025-05-09,8110.0,8150.0,7960.0,8040.0,16488
2025-05-12,8250.0,8380.0,8200.0,8320.0,37986
2025-05-13,8250.0,8320.0,8190.0,8320.0,17773
2025-05-14,8390.0,8430.0,8330.0,8370.0,23101
2025-05-15,8290.0,8340.0,8220.0,8310.0,12538
2025-05-16,8340.0,8380.0,8270.0,8370.0,8763
2025-05-19,8370.0,8370.0,8210.0,8370.0,15631
2025-05-20,8400.0,8470.0,8380.0,8450.0,11309
2025-05-21,8570.0,8570.0,8360.0,8360.0,6941
2025-05-22,8400.0,8400.0,8300.0,8320.0,10659
2025-05-23,8320.0,8370.0,8280.0,8370.0,6829
2025-05-26,8300.0,8490.0,7900.0,8460.0,2891
2025-05-27,8290.0,8380.0,8240.0,8330.0,6908
2025-05-28,8340.0,8370.0,8250.0,8270.0,48329
2025-05-29,8350.0,8530.0,8350.0,8490.0,7078
2025-05-30,8430.0,8520.0,8350.0,8400.0,6765
2025-06-02,8500.0,8500.0,8360.0,8440.0,35114
2025-06-03,8540.0,8590.0,8460.0,8590.0,9981
2025-06-04,8600.0,8750.0,8600.0,8750.0,24353
2025-06-05,8820.0,8880.0,8730.0,8730.0,11681
2025-06-06,8720.0,8790.0,8660.0,8790.0,7083
2025-06-09,8800.0,8910.0,8800.0,8910.0,12418
2025-06-10,8880.0,8890.0,8810.0,8840.0,9145
2025-06-11,8930.0,8990.0,8900.0,8940.0,6820
2025-06-12,8950.0,8950.0,8850.0,8890.0,49503
2025-06-13,8940.0,8940.0,8530.0,8640.0,10906
2025-06-17,8670.0,8740.0,8520.0,8600.0,11707
2025-06-18,8500.0,8500.0,8290.0,8340.0,5521
2025-06-19,8350.0,8700.0,8000.0,8600.0,4998
2025-06-23,8520.0,8600.0,8370.0,8540.0,29868
2025-06-24,8650.0,8830.0,8650.0,8830.0,10451
2025-06-25,8790.0,8900.0,8740.0,8900.0,7324
2025-06-26,8900.0,9020.0,8890.0,8970.0,10750
2025-06-27,8940.0,8940.0,8790.0,8880.0,26900
2025-06-30,8880.0,8940.0,8750.0,8950.0,34207
2025-07-01,8960.0,9140.0,8880.0,9090.0,13427
2025-07-02,9120.0,9160.0,9040.0,9050.0,14520
2025-07-03,9080.0,9080.0,8900.0,9030.0,29739
2025-07-04,9030.0,9360.0,8960.0,9290.0,3696
2025-07-07,9180.0,9320.0,9080.0,9280.0,17988
2025-07-08,9330.0,9370.0,9230.0,9260.0,13433
2025-07-10,9290.0,9310.0,9180.0,9300.0,20221
2025-07-11,9380.0,9380.0,9250.0,9270.0,55534
2025-07-14,9380.0,9600.0,9330.0,9600.0,25086
2025-07-15,9650.0,9740.0,9590.0,9620.0,17543
2025-07-16,9540.0,9590.0,9370.0,9580.0,11231
2025-07-17,9520.0,9680.0,9440.0,9670.0,15265
2025-07-18,9790.0,9920.0,9790.0,9860.0,17254
2025-07-21,9990.0,10025.0,9810.0,9860.0,26963
2025-07-22,9880.0,9900.0,9750.0,9810.0,15035
2025-07-23,9880.0,9940.0,9840.0,9920.0,9576
2025-07-24,9870.0,9950.0,9830.0,9890.0,20922
2025-07-25,9920.0,9990.0,9820.0,9980.0,11828
