Date,Open,High,Low,Close,Volume
2019-01-02,104.0,107.7,101.05,106.95,905540
2019-01-03,107.0,108.1,103.95,107.9,830389
2019-01-04,108.4,114.65,108.4,113.95,1896364
2019-01-07,114.0,121.0,113.75,117.5,1822081
2019-01-08,118.0,119.0,113.0,116.5,1077928
2019-01-09,117.0,127.0,117.0,120.5,2717207
2019-01-10,120.5,124.0,119.05,123.7,1582965
2019-01-11,123.5,124.25,119.0,120.2,704157
2019-01-14,120.5,121.9,117.5,118.35,886494
2019-01-15,119.0,121.5,117.0,117.5,499696
2019-01-16,117.1,122.55,117.1,119.5,750071
2019-01-17,120.5,120.5,117.2,119.15,513673
2019-01-18,120.2,126.9,120.2,126.0,1590754
2019-01-21,126.0,126.0,124.55,125.45,203408
2019-01-22,125.45,125.45,120.1,120.85,777827
2019-01-23,122.0,128.1,122.0,127.7,1973000
2019-01-24,127.8,131.0,123.9,124.9,1377778
2019-01-25,125.6,129.5,125.6,126.9,807717
2019-01-28,126.8,131.1,124.0,130.95,1053135
2019-01-29,130.0,131.95,127.0,130.7,790742
2019-01-30,131.05,132.95,129.1,132.5,603976
2019-01-31,133.0,135.8,132.5,135.35,1288760
2019-02-01,136.0,136.8,133.1,134.05,973319
2019-02-04,134.15,138.4,132.7,137.55,1070601
2019-02-05,138.0,140.2,137.1,139.0,1311977
2019-02-06,139.9,139.95,134.5,134.85,1510422
2019-02-07,134.5,135.0,130.0,131.05,1278510
2019-02-08,130.95,136.5,130.95,136.05,812443
2019-02-11,136.25,138.8,135.0,138.45,715902
2019-02-12,138.8,141.8,138.2,140.3,1006936
2019-02-13,140.9,141.0,134.55,135.15,1292930
2019-02-14,135.95,137.1,133.9,136.15,1004637
2019-02-15,136.15,137.0,134.15,134.8,1221734
2019-02-18,134.0,134.8,133.3,134.0,247993
2019-02-19,134.0,134.9,128.4,128.55,1694674
2019-02-20,130.0,136.45,129.0,131.0,2301592
2019-02-21,131.5,131.95,127.45,127.8,665184
2019-02-22,128.7,132.35,128.7,131.85,819507
2019-02-25,133.0,134.95,130.5,131.5,651234
2019-02-26,131.5,131.5,127.1,129.75,665177
2019-02-27,129.9,130.0,123.5,124.45,1526616
2019-02-28,124.95,125.0,118.45,120.8,2008021
