Date,Open,High,Low,Close,Volume
2024-12-04,5460.0,5460.0,5280.0,5320.0,70121
2024-12-05,5350.0,5420.0,5200.0,5230.0,51191
2024-12-06,5350.0,5420.0,5200.0,5230.0,51191
2024-12-08,5350.0,5350.0,5230.0,5260.0,53190
2024-12-09,5370.0,5370.0,5260.0,5370.0,51864
2024-12-10,5480.0,5600.0,5350.0,5350.0,61479
2024-12-11,5390.0,5390.0,5300.0,5340.0,28590
2024-12-12,5320.0,5360.0,5290.0,5360.0,109227
2024-12-13,5320.0,5360.0,5290.0,5350.0,109227
2024-12-15,5400.0,5480.0,5350.0,5480.0,91563
2024-12-16,5490.0,5650.0,5470.0,5640.0,75533
2024-12-17,5700.0,5800.0,5540.0,5560.0,117201
2024-12-18,5710.0,5710.0,5490.0,5520.0,64353
2024-12-19,5600.0,5670.0,5480.0,5640.0,83475
2024-12-20,5600.0,5670.0,5480.0,5650.0,83475
2024-12-22,5700.0,5710.0,5620.0,5670.0,28489
2024-12-23,5680.0,5720.0,5650.0,5690.0,6801
2024-12-24,5680.0,5720.0,5650.0,5680.0,6801
2024-12-25,5770.0,5800.0,5670.0,5790.0,72930
2024-12-26,5870.0,5870.0,5680.0,5740.0,75979
2024-12-27,5870.0,5870.0,5680.0,5730.0,75979
2024-12-29,5740.0,5820.0,5550.0,5720.0,30713
2024-12-30,5740.0,5820.0,5550.0,5710.0,30713
2025-01-01,6050.0,6060.0,5740.0,5790.0,85981
2025-01-02,5820.0,5830.0,5710.0,5760.0,34975
2025-01-03,5820.0,5830.0,5710.0,5760.0,34975
2025-01-05,5770.0,5860.0,5650.0,5790.0,35138
2025-01-06,5880.0,5880.0,5780.0,5820.0,32462
2025-01-07,5900.0,5910.0,5820.0,5840.0,33978
2025-01-08,6000.0,6200.0,5870.0,6030.0,18270
2025-01-09,5950.0,5970.0,5860.0,5910.0,98090
2025-01-10,5950.0,5970.0,5860.0,5910.0,98090
2025-01-12,5910.0,5930.0,5820.0,5870.0,68296
2025-01-13,5920.0,5920.0,5800.0,5870.0,52205
2025-01-14,5950.0,5980.0,5860.0,5920.0,41830
2025-01-15,5990.0,6010.0,5930.0,5980.0,89892
2025-01-16,5980.0,5980.0,5900.0,5940.0,41607
2025-01-17,5980.0,5980.0,5900.0,5940.0,41607
2025-01-19,5940.0,6300.0,5940.0,6000.0,14820
2025-01-20,6050.0,6050.0,5940.0,6040.0,44745
2025-01-21,6050.0,6090.0,6010.0,6050.0,27120
2025-01-22,6050.0,6060.0,5990.0,6050.0,28786
2025-01-23,6100.0,6110.0,5810.0,6010.0,24098
2025-01-24,6100.0,6110.0,5810.0,6050.0,23307
2025-01-26,6100.0,6100.0,5890.0,5930.0,62329
2025-01-27,6100.0,6100.0,5890.0,5950.0,62329
2025-01-28,6100.0,6100.0,5960.0,6020.0,29899
2025-01-29,6140.0,6140.0,6020.0,6100.0,23630
2025-01-30,6160.0,6170.0,6090.0,6120.0,50657
2025-01-31,6160.0,6170.0,6090.0,6120.0,50657
2025-02-02,6150.0,6250.0,6140.0,6190.0,103565
2025-02-03,6290.0,6330.0,6190.0,6330.0,82802
2025-02-04,6340.0,6400.0,6310.0,6380.0,140773
2025-02-05,6390.0,6390.0,6270.0,6330.0,36405
2025-02-06,6400.0,6410.0,6300.0,6360.0,67062
2025-02-07,6400.0,6410.0,6300.0,6350.0,67062
2025-02-09,6400.0,6470.0,6380.0,6410.0,98895
2025-02-10,6400.0,6420.0,6310.0,6400.0,96257
2025-02-11,6400.0,6420.0,6310.0,6400.0,472704
2025-02-12,6430.0,6480.0,6370.0,6480.0,180763
2025-02-13,6530.0,6530.0,6370.0,6390.0,90548
2025-02-14,6530.0,6530.0,6370.0,6380.0,90548
2025-02-16,6500.0,6770.0,6400.0,6640.0,82213
2025-02-17,6560.0,6640.0,6510.0,6580.0,140016
2025-02-18,6580.0,6630.0,6550.0,6580.0,254416
2025-02-19,6750.0,6750.0,6550.0,6600.0,339703
2025-02-20,6550.0,6620.0,6520.0,6590.0,69407
2025-02-21,6550.0,6620.0,6520.0,6600.0,69407
2025-02-23,6600.0,6700.0,6570.0,6630.0,149618
2025-02-24,6660.0,6660.0,6480.0,6540.0,99155
2025-02-25,6540.0,6560.0,6460.0,6560.0,70965
2025-02-26,6500.0,6510.0,6430.0,6460.0,56207
2025-02-27,6530.0,6530.0,6350.0,6480.0,97426
2025-02-28,6530.0,6530.0,6350.0,6460.0,97426
2025-03-04,6580.0,6690.0,6510.0,6650.0,107994
2025-03-05,6690.0,6720.0,6580.0,6660.0,95578
2025-03-06,6730.0,6730.0,6540.0,6570.0,98703
2025-03-07,6730.0,6730.0,6540.0,6550.0,98703
2025-03-09,6700.0,6700.0,6510.0,6550.0,128429
2025-03-10,6650.0,6650.0,6570.0,6630.0,81825
2025-03-11,6630.0,6680.0,6590.0,6670.0,72310
2025-03-12,6720.0,6810.0,6680.0,6810.0,144936
2025-03-13,6820.0,6850.0,6790.0,6830.0,171652
2025-03-14,6820.0,6850.0,6790.0,6840.0,171652
2025-03-16,6850.0,6970.0,6830.0,6970.0,236899
2025-03-17,7110.0,7450.0,7050.0,7450.0,652360
2025-03-18,7320.0,7390.0,7180.0,7270.0,284618
2025-03-19,7230.0,7260.0,7120.0,7250.0,60021
2025-03-20,7250.0,7250.0,7100.0,7210.0,91864
2025-03-21,7250.0,7250.0,7100.0,7200.0,91864
2025-03-24,7210.0,7280.0,7180.0,7250.0,47598
2025-03-25,7250.0,7300.0,7180.0,7230.0,72748
2025-03-26,7230.0,7330.0,7200.0,7320.0,135256
2025-03-27,7410.0,7470.0,7350.0,7440.0,225509
2025-03-28,7410.0,7470.0,7350.0,7440.0,225509
2025-03-30,7550.0,7680.0,7540.0,7610.0,416706
2025-03-31,7680.0,7680.0,7480.0,7560.0,235802
2025-04-01,7680.0,7680.0,7480.0,7550.0,235802
2025-04-02,7580.0,7640.0,7480.0,7580.0,215020
2025-04-03,7570.0,7570.0,7410.0,7510.0,334872
2025-04-04,7570.0,7570.0,7410.0,7510.0,334872
2025-04-07,7500.0,7650.0,7480.0,7570.0,345641
2025-04-08,7730.0,7920.0,7280.0,7700.0,1089073
2025-04-09,7780.0,8040.0,7700.0,8020.0,446345
2025-04-10,8200.0,8780.0,8100.0,8500.0,342997
2025-04-11,8200.0,8780.0,8100.0,8410.0,342997
2025-04-13,7940.0,7940.0,7150.0,7500.0,223982
2025-04-14,7600.0,7600.0,7320.0,7410.0,323863
2025-04-15,7600.0,7700.0,7210.0,7370.0,207226
