Date,Open,High,Low,Close,Volume
2022-06-03,1330.0,1330.0,1310.0,1313.5,201
2022-06-06,1319.0,1331.5,1314.5,1331.5,172
2022-06-07,1307.5,1346.0,1307.5,1344.0,6801
2022-06-08,1359.5,1361.0,1320.0,1325.0,3671
2022-06-09,1318.5,1353.0,1312.0,1353.0,6883
2022-06-10,1315.0,1335.5,1300.0,1334.5,423
2022-06-13,1266.0,1301.5,1262.0,1298.5,585
2022-06-14,1329.0,1339.5,1310.0,1339.5,628
2022-06-15,1353.5,1366.0,1344.5,1356.0,317
2022-06-16,1280.0,1280.0,1250.0,1267.5,1062
2022-06-21,1309.5,1323.0,1303.0,1312.0,631
2022-06-22,1320.5,1342.5,1294.5,1303.0,2717
2022-06-23,1307.0,1311.0,1275.0,1311.0,875
2022-06-24,1362.0,1374.5,1352.0,1371.0,1132
2022-06-27,1372.0,1410.0,1354.5,1410.0,462
2022-06-28,1465.5,1476.5,1398.5,1421.5,831
2022-06-29,1383.5,1405.5,1367.0,1404.0,253
2022-06-30,1326.0,1382.5,1325.5,1350.0,782
2022-07-01,1350.5,1358.0,1340.0,1355.5,332
2022-07-04,1399.5,1460.0,1390.0,1443.0,147
2022-07-05,1448.0,1496.0,1376.5,1496.0,814
2022-07-06,1450.0,1476.0,1420.0,1463.0,584
2022-07-07,1493.5,1624.5,1488.0,1618.0,5303
2022-07-08,1618.0,1639.0,1593.5,1637.5,727
2022-07-11,1650.0,1650.0,1533.5,1553.5,1038
2022-07-12,1576.0,1593.5,1535.0,1538.5,850
2022-07-13,1497.5,1550.5,1480.0,1547.0,478
2022-07-14,1510.0,1567.5,1506.5,1565.5,1186
2022-07-15,1584.0,1652.0,1584.0,1639.0,836
2022-07-18,1681.0,1681.0,1637.5,1661.5,1171
2022-07-19,1700.0,1774.5,1700.0,1772.0,1610
2022-07-20,1774.0,1815.0,1772.0,1805.0,1053
2022-07-21,1825.0,1975.0,1825.0,1956.5,573
2022-07-22,1940.0,1940.0,1848.5,1881.0,441
2022-07-25,1911.0,1914.5,1840.0,1908.0,1306
2022-07-26,1863.5,1875.0,1821.5,1854.5,1082
2022-07-27,1885.0,1928.5,1875.0,1918.5,695
2022-07-28,1915.0,1915.0,1806.0,1896.5,652
2022-07-29,1900.0,1900.0,1722.0,1750.5,483
2022-08-01,1726.0,1776.0,1668.0,1733.5,415
2022-08-02,1733.0,1779.0,1733.0,1747.5,384
2022-08-03,1795.0,1819.0,1765.0,1813.0,1721
2022-08-04,1782.0,1783.5,1720.0,1768.0,2804
2022-08-05,1781.0,1781.0,1706.0,1706.0,192
2022-08-08,1770.0,1798.0,1752.5,1788.5,804
2022-08-09,1775.0,1783.5,1747.0,1760.5,4948
2022-08-10,1800.0,1832.0,1800.0,1826.0,511
2022-08-11,1839.0,1855.0,1817.5,1823.5,846
2022-08-12,1845.0,1882.5,1835.5,1875.0,166
2022-08-16,1874.0,1874.0,1825.0,1827.5,283
2022-08-17,1817.0,1851.0,1795.0,1831.5,210
2022-08-18,1820.0,1909.5,1820.0,1900.5,1098
2022-08-19,1974.0,2009.5,1970.0,2003.5,723
2022-08-22,1911.5,1938.5,1907.5,1920.0,1440
2022-08-23,1947.5,1972.0,1916.5,1918.5,6549
2022-08-24,1922.0,1994.0,1922.0,1965.0,4899
2022-08-25,2036.5,2045.0,1979.0,1981.5,435
2022-08-26,1986.0,2005.0,1932.0,1939.5,344
2022-08-29,1850.0,1948.5,1850.0,1932.5,2784
2022-08-30,1917.5,1940.5,1891.0,1936.0,1001
2022-08-31,1924.5,1935.0,1886.0,1892.5,452
2022-09-01,1870.0,1870.5,1843.0,1852.5,296
2022-09-02,1870.0,1870.5,1843.0,1852.5,0
2022-09-05,1895.0,1900.0,1890.0,1897.5,49
2022-09-06,1875.0,1876.0,1821.0,1827.0,470
2022-09-07,1900.0,1900.0,1844.5,1880.0,3631
2022-09-08,1858.5,1924.0,1858.5,1920.5,2040
2022-09-09,1945.5,1945.5,1926.5,1939.5,87
2022-09-12,1977.0,1987.0,1940.5,1955.5,1092
2022-09-13,1924.0,1933.0,1893.0,1893.0,2609
2022-09-14,1894.0,1922.5,1876.0,1922.5,482
2022-09-15,1966.0,2038.0,1966.0,2023.5,1303
2022-09-16,1990.0,2008.5,1980.5,2001.5,1297
2022-09-19,2012.0,2100.0,2012.0,2090.5,1474
2022-09-20,2016.5,2016.5,1954.0,1975.0,1548
2022-09-21,1979.0,2010.0,1923.0,1931.0,1909
