Date,Open,High,Low,Close,Volume
2019-01-02,13.5,14.66,13.4,14.55,308700
2019-01-03,14.55,14.62,14.05,14.3,236700
2019-01-04,14.63,15.6,14.63,15.55,332700
2019-01-07,15.8,16.32,15.5,15.98,254700
2019-01-08,16.21,16.96,16.0,16.89,499400
2019-01-09,17.24,17.24,16.46,17.12,501600
2019-01-10,16.98,16.98,16.22,16.58,343100
2019-01-11,16.35,16.92,15.82,16.05,224800
2019-01-14,15.85,16.44,15.85,16.14,180700
2019-01-15,16.12,16.75,16.12,16.55,178900
2019-01-16,16.55,16.8,16.21,16.22,208600
2019-01-17,16.02,16.26,15.39,16.02,249600
2019-01-18,16.24,16.36,15.99,16.25,119800
2019-01-22,16.25,16.53,15.72,15.9,251900
2019-01-23,15.72,16.1,15.08,15.58,299400
2019-01-24,15.63,16.08,15.63,15.92,154700
2019-01-25,16.03,16.48,15.92,16.37,328000
2019-01-28,16.12,16.5,15.96,16.18,175600
2019-01-29,16.31,16.52,16.11,16.45,167700
2019-01-30,16.5,17.09,16.5,17.0,290500
2019-01-31,17.2,17.48,16.85,17.01,181100
2019-02-01,17.06,17.34,16.88,17.21,126400
2019-02-04,17.01,17.45,16.8,17.28,166700
2019-02-05,18.0,19.38,17.86,18.38,1299500
2019-02-06,18.37,18.5,17.83,18.03,568500
2019-02-07,17.88,18.06,17.5,17.87,141400
2019-02-08,17.76,17.85,17.38,17.46,305800
2019-02-11,17.34,17.87,16.9,17.6,230500
2019-02-12,17.94,18.42,17.68,17.75,228500
2019-02-13,18.0,18.85,18.0,18.81,576800
2019-02-14,18.72,19.3,18.62,19.0,334500
2019-02-15,19.22,19.68,19.12,19.4,282200
2019-02-19,19.21,19.57,18.99,19.37,180100
2019-02-20,19.21,19.63,19.21,19.43,132100
2019-02-21,19.49,19.6,19.14,19.38,125600
2019-02-22,19.67,19.8,19.22,19.73,198500
2019-02-25,19.66,20.3,19.56,20.21,314500
2019-02-26,19.94,20.06,19.5,19.81,321100
2019-02-27,19.92,20.04,19.43,19.5,307100
2019-02-28,19.42,19.5,18.75,19.19,149500
2019-03-01,19.37,19.56,18.99,19.29,148800
2019-03-04,19.3,19.65,19.1,19.46,140000
2019-03-05,19.5,19.55,19.09,19.3,71800
2019-03-06,19.29,19.29,18.59,18.72,114600
2019-03-07,18.8,18.96,18.05,18.82,249900
2019-03-08,18.32,18.72,17.35,18.4,242800
2019-03-11,18.72,19.21,18.42,18.87,146700
2019-03-12,18.96,19.19,18.85,19.03,89400
2019-03-13,19.18,19.47,19.05,19.18,256100
2019-03-14,19.14,19.35,18.78,18.92,132400
2019-03-15,18.81,19.05,18.62,18.69,199700
2019-03-18,18.66,19.18,18.6,18.98,224700
2019-03-19,19.09,19.2,18.42,18.66,162500
2019-03-20,18.57,18.89,18.4,18.65,146000
2019-03-21,18.56,19.01,18.28,18.57,121400
2019-03-22,18.35,18.35,17.19,17.52,229400
2019-03-25,17.56,17.64,16.82,17.1,228500
