Date,Open,High,Low,Close,Volume
2021-03-07,1895.0,1895.0,1893.0,1894.0,4
2021-03-08,1894.0,1894.0,1820.5,1847.5,228
2021-03-09,1814.0,1814.0,1809.5,1809.5,44
2021-03-10,1842.5,1842.5,1812.0,1812.0,594
2021-03-11,1815.0,1825.0,1725.0,1800.0,240
2021-03-14,1799.5,1806.0,1799.5,1806.0,17
2021-03-15,1747.5,1747.5,1728.0,1738.0,586
2021-03-16,1738.0,1738.0,1738.0,1738.0,7
2021-03-17,1740.0,1740.0,1708.0,1713.5,291
2021-03-18,1674.5,1687.0,1653.0,1653.0,630
2021-03-21,1637.0,1637.0,1610.0,1618.5,81
2021-03-22,1600.0,1600.0,1534.0,1547.0,40
2021-03-24,1515.0,1543.0,1515.0,1543.0,354
2021-03-25,1596.5,1597.0,1582.0,1594.5,5
2021-03-28,1574.5,1574.5,1529.0,1529.0,79
2021-03-29,1575.5,1593.5,1575.5,1593.5,22
2021-03-30,1574.0,1577.5,1569.5,1577.5,3
2021-04-04,1593.5,1594.5,1575.0,1594.5,16
2021-04-05,1625.0,1625.0,1612.0,1612.0,113
2021-04-06,1612.0,1633.0,1595.0,1631.0,197
2021-04-07,1589.0,1629.0,1580.0,1626.5,115
2021-04-08,1614.0,1614.0,1594.0,1608.5,23
2021-04-12,1583.0,1587.5,1570.0,1587.5,11
2021-04-13,1640.5,1642.0,1640.5,1642.0,10
2021-04-14,1611.5,1616.5,1600.0,1603.0,27
2021-04-15,1586.5,1593.0,1584.0,1584.0,14
2021-04-18,1594.5,1594.5,1570.0,1589.5,48
2021-04-19,1498.5,1525.0,1494.5,1504.0,65
2021-04-20,1469.0,1478.5,1431.0,1475.0,365
2021-04-21,1484.0,1500.0,1470.0,1478.5,844
2021-04-22,1475.0,1482.5,1445.0,1466.5,517
2021-04-25,1510.5,1520.0,1486.0,1518.0,337
2021-04-26,1505.0,1507.0,1464.5,1502.5,785
2021-04-27,1559.0,1595.0,1544.5,1585.5,486
2021-04-28,1616.0,1616.0,1569.0,1605.0,342
2021-04-29,1614.5,1614.5,1546.0,1546.0,149
2021-05-02,1585.5,1656.5,1585.5,1642.0,767
2021-05-03,1608.0,1688.0,1608.0,1671.5,29974
2021-05-04,1696.0,1765.0,1696.0,1754.0,3658
2021-05-05,1700.0,1760.0,1685.0,1745.0,7906
2021-05-06,1723.5,1820.5,1723.5,1801.5,596
2021-05-09,1840.0,1840.0,1792.0,1794.5,481
2021-05-10,1792.0,1799.5,1761.0,1782.0,1196
2021-05-11,1792.0,1855.0,1789.0,1789.0,244
2021-05-12,1780.0,1810.5,1740.5,1768.5,509
2021-05-13,1820.0,1832.0,1809.5,1832.0,24
2021-05-16,1841.0,1911.5,1835.0,1911.0,650
2021-05-17,1885.0,1910.0,1882.0,1898.0,205
2021-05-18,1793.0,1860.0,1793.0,1830.0,860
2021-05-19,1790.0,1830.5,1790.0,1830.5,468
2021-05-20,1861.5,1868.5,1846.5,1860.0,134
2021-05-25,1829.0,1846.5,1829.0,1839.5,31
2021-05-26,1860.0,1860.0,1848.0,1860.0,39
2021-05-27,1850.0,1859.5,1840.0,1850.0,1088
2021-05-30,1850.0,1851.0,1850.0,1851.0,7
2021-05-31,1851.0,1954.5,1851.0,1942.0,425
2021-06-01,1962.5,2052.0,1962.5,2041.0,919
2021-06-02,2048.0,2092.0,2045.0,2067.0,293
2021-06-03,2048.0,2051.0,2027.0,2051.0,131
2021-06-06,2050.0,2050.0,2005.0,2021.5,3773
2021-06-07,2028.0,2037.0,2020.0,2037.0,361
2021-06-08,2060.0,2063.0,2005.0,2010.5,111
2021-06-09,2005.0,2005.0,1947.0,2005.0,121
2021-06-10,2000.5,2000.5,1976.0,1988.5,192
2021-06-13,1997.5,1997.5,1918.0,1926.0,37
2021-06-14,2000.0,2004.5,1964.0,2001.0,16
2021-06-15,1981.0,2010.5,1967.5,1999.5,135
2021-06-16,1996.0,1996.0,1868.0,1900.0,255
2021-06-17,1866.0,1866.0,1841.5,1841.5,81
2021-06-21,1954.0,1998.0,1950.0,1994.5,65
2021-06-22,2021.0,2021.0,1994.5,1998.0,150
2021-06-23,1956.0,2025.5,1956.0,2000.0,68
2021-06-24,2016.5,2053.0,2016.0,2052.5,144
2021-06-27,1973.5,1973.5,1935.0,1935.0,689
2021-06-28,1940.0,1974.0,1926.0,1926.0,249
2021-06-29,1965.0,1992.5,1926.0,1983.0,93
2021-06-30,2028.0,2060.0,2028.0,2040.0,300
2021-07-01,2040.0,2066.0,2037.5,2064.5,30
2021-07-04,2000.0,2080.0,2000.0,2070.0,11
2021-07-05,2000.0,2000.0,1929.0,1934.0,39421
2021-07-06,1922.5,1922.5,1852.5,1898.0,615
2021-07-07,1890.0,1890.0,1842.0,1850.0,5819
2021-07-11,1928.0,1935.0,1915.0,1933.0,64
2021-07-12,1888.5,1915.0,1888.5,1900.5,336
2021-07-13,1901.5,1930.0,1831.0,1845.0,205
2021-07-14,1858.5,1858.5,1793.0,1801.0,1075
2021-07-15,1802.0,1802.0,1755.0,1757.0,133
2021-07-18,1684.0,1734.0,1650.0,1732.5,96
2021-07-19,1766.0,1817.0,1766.0,1783.5,495
2021-07-20,1863.0,1888.5,1846.0,1854.0,362
2021-07-21,1830.0,1861.0,1805.0,1841.0,360
2021-07-22,1816.5,1830.0,1787.0,1797.0,782
2021-07-25,1846.5,1876.0,1845.0,1872.0,181
2021-07-26,1870.5,1885.5,1850.0,1868.0,118
2021-07-27,1875.0,1934.5,1875.0,1915.0,487
2021-07-28,1913.0,1930.0,1904.0,1922.5,268
2021-07-29,1916.5,1916.5,1855.0,1873.5,156
2021-08-01,1882.5,1882.5,1830.0,1830.5,182
2021-08-02,1832.0,1838.5,1755.5,1828.0,177
2021-08-03,1796.5,1796.5,1705.5,1751.0,386
2021-08-04,1748.5,1767.5,1740.0,1744.5,835
2021-08-05,1738.0,1795.0,1738.0,1776.0,90
2021-08-08,1706.5,1758.5,1706.5,1741.0,302
2021-08-09,1760.0,1800.0,1760.0,1797.0,587
2021-08-10,1804.5,1835.0,1785.0,1833.0,203
2021-08-11,1825.0,1825.0,1764.5,1772.0,24
2021-08-12,1772.0,1811.5,1760.0,1790.0,17
2021-08-16,1741.5,1741.5,1690.0,1690.0,192
2021-08-17,1711.0,1711.0,1683.0,1683.0,42
2021-08-18,1599.5,1616.5,1587.0,1606.5,243
2021-08-19,1635.5,1637.0,1628.0,1628.0,39
2021-08-22,1695.0,1713.0,1695.0,1700.0,21
2021-08-23,1746.5,1784.0,1737.5,1770.0,58
2021-08-24,1780.0,1785.0,1755.0,1785.0,2816
2021-08-25,1762.0,1770.0,1762.0,1770.0,49
2021-08-26,1774.5,1850.0,1774.5,1835.5,225
2021-08-29,1818.5,1818.5,1764.5,1784.0,597
2021-08-30,1789.5,1789.5,1772.0,1772.5,520
2021-08-31,1760.5,1760.5,1741.0,1741.5,19
2021-09-01,1760.0,1820.0,1760.0,1812.0,111
2021-09-02,1829.5,1841.0,1778.0,1778.0,12
2021-09-05,1778.0,1850.0,1778.0,1779.0,129
2021-09-06,1792.5,1810.0,1769.5,1769.5,65
2021-09-07,1735.5,1745.0,1701.0,1701.0,442
2021-09-08,1753.0,1760.5,1737.5,1750.5,48
2021-09-09,1760.0,1797.5,1708.0,1708.0,165
2021-09-12,1785.0,1844.0,1785.0,1834.5,168
2021-09-13,1820.0,1820.0,1782.5,1803.5,279
2021-09-14,1861.0,1872.0,1827.5,1870.0,146
2021-09-15,1852.5,1860.0,1824.5,1855.0,173
2021-09-16,1855.0,1855.0,1834.5,1834.5,118
2021-09-19,1800.0,1800.0,1705.5,1789.5,95
2021-09-20,1793.5,1814.5,1793.5,1814.0,29
2021-09-21,1850.0,1875.0,1846.5,1846.5,486
2021-09-22,1891.0,1982.0,1891.0,1961.0,769
2021-09-23,2012.5,2050.0,2012.5,2030.5,3025
2021-09-26,2057.0,2154.0,2057.0,2145.0,483
2021-09-27,2170.0,2210.0,2160.0,2189.5,2574
2021-09-28,2124.5,2172.0,2120.5,2156.0,376
2021-09-29,2149.5,2152.5,2074.5,2090.0,295
2021-09-30,2090.0,2210.0,2087.0,2144.0,426
2021-10-03,2194.5,2252.0,2194.5,2202.0,193
2021-10-04,2201.0,2278.5,2201.0,2215.0,428
2021-10-05,2206.0,2215.0,2144.5,2190.0,2254
2021-10-06,2200.0,2262.0,2192.5,2233.0,2646
2021-10-11,2403.0,2403.0,2340.0,2340.0,296
2021-10-12,2330.0,2363.0,2270.0,2363.0,286
2021-10-13,2400.0,2400.0,2363.0,2390.5,333
2021-10-14,2394.0,2517.0,2394.0,2517.0,282
2021-10-17,2596.0,2600.5,2511.0,2530.0,576
2021-10-18,2485.0,2586.0,2483.0,2559.0,1263
2021-10-19,2559.0,2578.5,2528.0,2565.0,302
2021-10-20,2540.0,2540.0,2485.5,2511.5,438
2021-10-21,2532.5,2603.5,2532.5,2592.5,20
2021-10-24,2608.5,2650.0,2608.5,2633.0,581
2021-10-25,2640.0,2655.0,2628.0,2640.0,275
2021-10-26,2632.0,2639.0,2540.0,2569.0,304
2021-10-27,2560.0,2606.0,2560.0,2606.0,42
2021-10-28,2600.0,2618.0,2595.0,2602.5,79
2021-10-31,2700.0,2752.5,2700.0,2752.5,40
2021-11-01,2752.0,2752.0,2700.0,2747.5,272
2021-11-02,2737.0,2747.5,2642.5,2652.5,59
2021-11-03,2701.0,2701.0,2623.5,2623.5,149
2021-11-04,2662.5,2695.0,2662.5,2689.5,93
2021-11-07,2683.5,2730.0,2683.5,2691.0,142
2021-11-08,2672.0,2672.0,2605.0,2640.0,589
2021-11-09,2630.0,2630.0,2522.0,2532.5,58
2021-11-10,2550.0,2572.5,2550.0,2572.5,487
2021-11-11,2554.5,2554.5,2500.0,2535.5,61
2021-11-14,2493.0,2493.0,2450.5,2450.5,77
2021-11-15,2468.5,2521.5,2459.5,2518.0,55
2021-11-16,2469.5,2470.0,2425.0,2437.0,208
2021-11-17,2425.0,2425.0,2425.0,2425.0,46
2021-11-18,2340.0,2376.5,2340.0,2370.5,216
2021-11-22,2497.0,2514.5,2459.5,2499.0,774
2021-11-23,2517.5,2544.5,2507.5,2512.5,690
2021-11-24,2400.0,2540.0,2400.0,2456.0,59
2021-11-25,2392.5,2392.5,2273.0,2275.0,212
2021-11-28,2333.0,2378.5,2307.5,2373.0,39
2021-11-29,2322.0,2323.0,2292.0,2296.0,280
2021-11-30,2356.0,2384.5,2330.0,2330.0,42
2021-12-01,2350.0,2405.0,2349.0,2405.0,18
2021-12-02,2425.0,2430.5,2380.0,2380.0,36
2021-12-05,2430.5,2516.0,2416.5,2508.5,211
2021-12-06,2550.0,2591.5,2527.0,2550.0,1322
2021-12-08,2560.0,2585.5,2450.0,2468.5,198
2021-12-09,2550.0,2550.0,2444.5,2474.5,125
2021-12-12,2474.5,2474.5,2308.5,2308.5,938
2021-12-13,2349.5,2363.5,2296.0,2300.0,131
2021-12-14,2257.5,2270.0,2186.0,2207.5,126
2021-12-15,2300.0,2328.5,2300.0,2300.5,102
2021-12-16,2252.0,2287.5,2252.0,2268.5,54
2021-12-19,2220.0,2260.0,2196.5,2260.0,43
2021-12-20,2369.0,2369.0,2369.0,2369.0,1
2021-12-21,2370.0,2378.0,2342.0,2378.0,10
2021-12-22,2403.5,2409.0,2315.0,2333.0,37
2021-12-26,2335.0,2335.0,2285.0,2291.5,72
2021-12-27,2307.0,2307.0,2290.0,2300.0,178
2021-12-28,2285.0,2336.5,2285.0,2291.5,11
2021-12-29,2325.0,2325.0,2308.5,2324.5,30
2022-01-02,2350.0,2460.0,2350.0,2451.0,97
2022-01-03,2600.0,2630.0,2587.0,2620.0,512
2022-01-04,2626.5,2660.0,2604.5,2656.0,329
2022-01-05,2715.5,2730.5,2683.5,2715.5,192
