Date,Open,High,Low,Close,Volume
2017-11-30,544.15,544.15,544.15,544.15,23
2017-12-01,544.15,544.15,544.15,544.15,0
2017-12-04,544.15,544.15,544.15,544.15,0
2017-12-05,544.15,544.15,544.15,544.15,0
2017-12-06,544.15,544.15,544.15,544.15,0
2017-12-07,544.15,544.15,544.15,544.15,0
2017-12-11,544.15,544.15,544.15,544.15,0
2017-12-12,544.15,544.15,544.15,544.15,0
2017-12-13,544.15,544.15,544.15,544.15,0
2017-12-14,544.15,544.15,544.15,544.15,0
2017-12-15,544.15,544.15,544.15,544.15,0
2017-12-18,544.15,544.15,544.15,544.15,0
2017-12-19,544.15,544.15,544.15,544.15,0
2017-12-20,544.15,544.15,544.15,544.15,0
2017-12-21,544.15,544.15,544.15,544.15,0
2017-12-26,570.0,570.0,570.0,570.0,36
2017-12-27,570.0,570.0,570.0,570.0,0
2017-12-28,570.0,570.0,570.0,570.0,0
2017-12-29,570.0,570.0,570.0,570.0,0
2018-01-02,570.0,570.0,570.0,570.0,0
2018-01-04,570.0,570.0,570.0,570.0,0
2018-01-05,570.0,570.0,570.0,570.0,0
2018-01-08,570.0,570.0,570.0,570.0,0
2018-01-09,570.0,570.0,570.0,570.0,0
2018-01-10,570.0,570.0,570.0,570.0,0
2018-01-11,570.0,570.0,570.0,570.0,0
2018-01-12,570.0,570.0,570.0,570.0,0
2018-01-15,570.0,570.0,570.0,570.0,0
2018-01-16,570.0,570.0,570.0,570.0,0
2018-01-17,570.0,570.0,570.0,570.0,0
2018-01-18,570.0,570.0,570.0,570.0,0
2018-01-19,570.0,570.0,570.0,570.0,0
2018-01-22,570.0,570.0,570.0,570.0,0
2018-01-24,570.0,570.0,570.0,570.0,0
2018-01-25,570.0,570.0,570.0,570.0,0
2018-01-29,570.0,570.0,570.0,570.0,0
2018-01-30,570.0,570.0,570.0,570.0,0
2018-01-31,570.0,570.0,570.0,570.0,0
2018-02-01,570.0,570.0,570.0,570.0,0
2018-02-02,570.0,570.0,570.0,570.0,0
2018-02-05,570.0,570.0,570.0,570.0,0
2018-02-06,570.0,570.0,570.0,570.0,0
2018-02-07,570.0,570.0,570.0,570.0,0
2018-02-08,570.0,570.0,570.0,570.0,0
2018-02-09,570.0,570.0,570.0,570.0,0
2018-02-15,570.0,570.0,570.0,570.0,0
2018-02-20,570.0,570.0,570.0,570.0,0
2018-02-21,570.0,570.0,570.0,570.0,0
2018-02-22,570.0,570.0,570.0,570.0,0
