Date,Open,High,Low,Close,Volume
2019-01-02,1.83,1.84,1.76,1.81,2909700
2019-01-03,1.9,1.93,1.87,1.93,3923900
2019-01-04,1.9,1.91,1.84,1.87,3151400
2019-01-07,1.94,1.94,1.85,1.87,1897400
2019-01-08,1.86,1.91,1.83,1.88,2579800
2019-01-09,1.87,1.94,1.86,1.93,2741400
2019-01-10,1.92,1.94,1.82,1.85,3813200
2019-01-11,1.88,1.91,1.83,1.86,2251000
2019-01-14,1.85,1.86,1.8,1.84,1751300
2019-01-15,1.83,1.85,1.74,1.77,4069700
2019-01-16,1.77,1.82,1.77,1.77,2297000
2019-01-17,1.77,1.81,1.76,1.78,1017900
2019-01-18,1.75,1.77,1.69,1.69,2557300
2019-01-22,1.75,1.75,1.7,1.71,3088400
2019-01-23,1.71,1.76,1.7,1.73,1837600
2019-01-24,1.77,1.78,1.75,1.76,1545400
2019-01-25,1.77,1.85,1.77,1.78,3301100
2019-01-28,1.79,1.89,1.79,1.89,3252200
2019-01-29,1.92,2.06,1.89,2.04,5164600
2019-01-30,1.96,1.99,1.9,1.96,4491200
2019-01-31,1.99,2.0,1.92,1.98,3374000
2019-02-01,1.98,2.05,1.93,2.04,3721600
2019-02-04,1.95,2.02,1.94,1.99,3523100
2019-02-05,1.99,2.07,1.96,2.05,2646400
2019-02-06,2.09,2.15,2.05,2.07,5774300
2019-02-07,2.09,2.12,2.05,2.08,3869000
2019-02-08,2.18,2.2,2.12,2.14,4313100
2019-02-11,2.11,2.16,2.07,2.15,3036400
2019-02-12,2.17,2.18,2.05,2.06,5309000
2019-02-13,2.04,2.08,1.94,1.96,4157000
2019-02-14,1.98,2.0,1.92,1.95,3950500
2019-02-15,1.95,2.01,1.88,1.99,6083200
2019-02-19,2.01,2.12,2.0,2.07,5405000
2019-02-20,2.17,2.21,2.11,2.13,6147500
2019-02-21,2.12,2.16,2.05,2.14,6251100
2019-02-22,2.1,2.15,2.04,2.09,4068600
2019-02-25,2.03,2.1,2.02,2.06,3592300
2019-02-26,2.05,2.1,2.02,2.1,2227100
2019-02-27,2.13,2.15,2.1,2.12,3219600
2019-02-28,2.09,2.11,2.05,2.08,2824300
2019-03-01,2.05,2.11,2.0,2.0,3475900
2019-03-04,1.98,2.06,1.94,2.03,3930700
2019-03-05,1.96,1.99,1.92,1.96,4465200
2019-03-06,1.92,1.95,1.84,1.85,3159300
2019-03-07,1.85,1.9,1.83,1.89,2984400
2019-03-08,2.03,2.07,1.94,2.04,5361400
2019-03-11,1.97,2.02,1.92,2.0,4697500
2019-03-12,2.0,2.03,1.96,2.02,4450800
2019-03-13,2.04,2.12,2.02,2.09,6897500
2019-03-14,2.01,2.01,1.93,1.94,6609800
2019-03-15,1.97,2.0,1.94,1.98,10676400
2019-03-18,1.96,2.02,1.93,1.94,7222300
2019-03-19,1.96,1.98,1.9,1.95,8601500
2019-03-20,1.96,2.04,1.93,2.02,3593000
2019-03-21,2.04,2.09,1.98,2.07,6573900
2019-03-22,2.06,2.07,1.98,1.99,4859600
2019-03-25,2.02,2.07,2.01,2.07,3111800
2019-03-26,2.05,2.08,2.02,2.04,4196100
2019-03-27,2.04,2.05,1.99,2.02,3983700
2019-03-28,1.95,1.96,1.87,1.89,7069700
2019-03-29,1.9,1.95,1.88,1.9,4274300
2019-04-01,1.87,1.89,1.78,1.79,6338400
2019-04-02,1.82,1.85,1.79,1.8,5979500
2019-04-03,1.85,1.94,1.83,1.91,6250600
2019-04-04,1.86,1.97,1.84,1.93,5616200
2019-04-05,1.9,1.97,1.88,1.94,4345700
2019-04-08,1.98,2.04,1.98,2.03,5211000
2019-04-09,2.03,2.1,2.01,2.08,5632000
2019-04-10,2.04,2.05,1.98,1.99,2963500
2019-04-11,1.93,1.97,1.92,1.93,2387000
2019-04-12,1.94,1.95,1.92,1.92,1686600
2019-04-15,1.89,1.93,1.85,1.87,5504000
2019-04-16,1.84,1.86,1.81,1.82,2367700
2019-04-17,1.82,1.85,1.81,1.84,3561400
2019-04-18,1.84,1.85,1.81,1.82,1378600
2019-04-22,1.83,1.84,1.77,1.78,2229100
2019-04-23,1.78,1.84,1.77,1.79,3467400
2019-04-24,1.78,1.84,1.76,1.81,2619300
2019-04-25,1.81,1.85,1.8,1.82,1338200
2019-04-26,1.83,1.89,1.81,1.86,3012400
2019-04-29,1.83,1.84,1.75,1.76,2970400
2019-04-30,1.76,1.78,1.74,1.74,3504100
2019-05-01,1.74,1.79,1.71,1.72,3675700
2019-05-02,1.65,1.72,1.62,1.65,4216200
2019-05-03,1.65,1.68,1.6,1.6,4783000
2019-05-06,1.61,1.67,1.61,1.64,2853400
2019-05-07,1.67,1.76,1.65,1.75,3864400
2019-05-08,1.78,1.78,1.66,1.69,2991300
2019-05-09,1.69,1.72,1.65,1.7,2964200
2019-05-10,1.67,1.69,1.65,1.65,2279200
2019-05-13,1.69,1.7,1.63,1.66,4155500
2019-05-14,1.66,1.68,1.62,1.66,3213900
2019-05-15,1.65,1.67,1.62,1.62,2014100
2019-05-16,1.63,1.64,1.6,1.61,2462100
2019-05-17,1.6,1.66,1.6,1.63,2401300
2019-05-20,1.64,1.68,1.63,1.65,4624400
2019-05-21,1.65,1.68,1.64,1.66,3400700
2019-05-22,1.66,1.69,1.63,1.66,1845500
2019-05-23,1.66,1.72,1.65,1.65,1888800
2019-05-24,1.66,1.66,1.6,1.66,3849500
2019-05-28,1.59,1.61,1.57,1.57,4581000
2019-05-29,1.59,1.62,1.57,1.61,2678700
2019-05-30,1.61,1.66,1.61,1.66,2423200
2019-05-31,1.71,1.8,1.7,1.78,5801000
2019-06-03,1.79,1.9,1.78,1.88,8925500
2019-06-04,1.81,1.92,1.81,1.87,6338200
2019-06-05,1.9,1.94,1.83,1.87,4897400
2019-06-06,1.88,1.94,1.88,1.92,3546400
2019-06-07,1.95,1.96,1.87,1.89,3108600
2019-06-10,1.86,1.88,1.78,1.81,5481000
2019-06-11,1.81,1.85,1.78,1.83,3113500
2019-06-12,1.85,1.92,1.84,1.91,4648200
2019-06-13,1.9,1.99,1.88,1.97,6773800
2019-06-14,1.99,2.04,1.92,1.96,6427600
2019-06-17,1.97,2.0,1.95,1.99,2846200
2019-06-18,2.0,2.05,1.93,1.95,9289400
2019-06-19,1.92,2.02,1.91,2.02,5703100
2019-06-20,2.07,2.19,2.07,2.17,10620900
2019-06-21,2.18,2.2,2.09,2.17,8823300
2019-06-24,2.19,2.25,2.16,2.24,9219100
2019-06-25,2.28,2.31,2.09,2.19,18352200
2019-06-26,2.15,2.27,2.13,2.24,8268800
2019-06-27,2.2,2.28,2.17,2.26,6177900
2019-06-28,2.25,2.29,2.22,2.27,6065200
2019-07-01,2.18,2.2,2.11,2.12,10860100
2019-07-02,2.16,2.28,2.13,2.23,6928100
2019-07-03,2.26,2.27,2.2,2.25,5189900
2019-07-05,2.14,2.23,2.11,2.23,4795200
2019-07-08,2.27,2.39,2.25,2.37,8809800
2019-07-09,2.32,2.37,2.28,2.35,5486500
2019-07-10,2.42,2.48,2.37,2.46,8266500
2019-07-11,2.45,2.45,2.3,2.32,7544900
2019-07-12,2.35,2.4,2.35,2.38,5469900
2019-07-15,2.38,2.4,2.32,2.37,4196900
2019-07-16,2.37,2.4,2.32,2.34,8264400
2019-07-17,2.35,2.44,2.35,2.43,8239700
2019-07-18,2.43,2.61,2.39,2.58,12429700
2019-07-19,2.51,2.58,2.46,2.56,9488400
2019-07-22,2.54,2.56,2.49,2.49,7276700
2019-07-23,2.49,2.54,2.41,2.42,9521000
2019-07-24,2.5,2.54,2.44,2.52,7323000
2019-07-25,2.53,2.55,2.45,2.49,9100200
2019-07-26,2.49,2.53,2.44,2.47,5092000
2019-07-29,2.47,2.59,2.43,2.59,6027700
2019-07-30,2.59,2.66,2.59,2.64,7988200
