Date,Open,High,Low,Close,Volume
2025-11-07,6380.0,6670.0,6255.0,6630.0,801
2025-11-10,6905.0,7015.0,6720.0,7010.0,4751
2025-11-11,6865.0,6885.0,6685.0,6740.0,9604
2025-11-12,6805.0,6805.0,6510.0,6760.0,13093
2025-11-13,6675.0,6675.0,6130.0,6160.0,4664
2025-11-14,6100.0,6455.0,5775.0,6450.0,4671
2025-11-17,6280.0,6280.0,5800.0,5805.0,75767
2025-11-18,5845.0,5975.0,5775.0,5875.0,7915
2025-11-19,5780.0,6025.0,5775.0,5890.0,1177
2025-11-20,6270.0,6330.0,5500.0,5550.0,8477
2025-11-21,5485.0,5680.0,5400.0,5680.0,3022
2025-11-25,6040.0,6090.0,5750.0,6055.0,78454
2025-11-26,6355.0,6800.0,6335.0,6780.0,26109
2025-11-27,6900.0,7430.0,6820.0,7000.0,1407
2025-11-28,6950.0,6995.0,6655.0,6760.0,11414
2025-12-01,6760.0,6830.0,6200.0,6420.0,9728
2025-12-02,6495.0,6775.0,6495.0,6750.0,6137
2025-12-03,6715.0,6990.0,6560.0,6960.0,48921
2025-12-04,6960.0,7160.0,6895.0,7150.0,11924
2025-12-05,7140.0,7140.0,6770.0,6885.0,5063
2025-12-09,6965.0,7245.0,6900.0,7185.0,5438
2025-12-10,7050.0,7330.0,6915.0,7080.0,1434
2025-12-11,7080.0,7080.0,6400.0,6425.0,29927
2025-12-12,6400.0,6520.0,6125.0,6275.0,4908
2025-12-15,6240.0,6320.0,6060.0,6120.0,6516
2025-12-16,6130.0,6415.0,6050.0,6340.0,5466
2025-12-17,6505.0,6665.0,6240.0,6335.0,5491
2025-12-18,6385.0,6600.0,6270.0,6300.0,5399
2025-12-19,6190.0,6550.0,6190.0,6510.0,2709
2025-12-22,6565.0,6635.0,6445.0,6490.0,4774
2025-12-23,6490.0,6490.0,6225.0,6375.0,3895
2025-12-24,6345.0,6370.0,6270.0,6300.0,783
2025-12-26,6615.0,6620.0,5605.0,6285.0,2773
2025-12-29,6185.0,6250.0,6085.0,6140.0,3041
2025-12-30,6200.0,6270.0,6080.0,6085.0,1582
2026-01-02,6090.0,6155.0,5865.0,6120.0,30354
2026-01-05,6290.0,6500.0,6195.0,6495.0,38695
2026-01-06,6550.0,6585.0,6235.0,6400.0,11448
2026-01-07,6355.0,6425.0,6215.0,6235.0,1696
2026-01-08,6200.0,6210.0,6000.0,6135.0,9692
2026-01-09,6125.0,6225.0,6060.0,6115.0,6195
2026-01-12,6045.0,6305.0,5990.0,6220.0,1930
2026-01-13,6220.0,6340.0,6140.0,6300.0,18863
2026-01-14,6370.0,6370.0,6135.0,6190.0,3210
2026-01-15,6205.0,6280.0,5895.0,5935.0,4333
2026-01-16,5900.0,6140.0,5600.0,5720.0,40607
2026-01-19,5735.0,5900.0,5480.0,5635.0,2406
2026-01-20,5535.0,5660.0,5415.0,5550.0,27604
2026-01-21,5465.0,5800.0,5460.0,5595.0,20814
2026-01-22,5645.0,5650.0,5460.0,5540.0,4306
2026-01-23,5490.0,5730.0,5485.0,5675.0,12422
2026-01-26,5675.0,5675.0,5495.0,5605.0,61307
2026-01-27,5600.0,5710.0,5460.0,5490.0,239054
2026-01-28,5460.0,5540.0,5385.0,5395.0,24965
2026-01-29,5430.0,5430.0,5170.0,5215.0,27003
2026-01-30,5245.0,5400.0,5160.0,5205.0,5082
2026-02-02,5000.0,5005.0,4590.0,4607.5,47653
2026-02-03,4665.0,4695.0,4390.0,4427.5,73326
2026-02-04,4372.5,4440.0,4012.5,4102.5,16033
2026-02-05,3930.0,4082.5,3802.5,3817.5,9652
2026-02-06,4000.0,4365.0,3995.0,4210.0,60091
2026-02-09,4397.5,4525.0,4300.0,4495.0,64506
2026-02-10,4430.0,4472.5,4317.5,4360.0,39302
2026-02-11,4350.0,4350.0,3782.5,3950.0,81182
2026-02-12,3992.5,4017.5,3557.5,3592.5,59523
2026-02-13,3592.5,3712.5,3557.5,3645.0,2236
