Date,Open,High,Low,Close,Volume
2019-01-03,1.265,1.294,1.265,1.294,300
2019-01-07,1.349,1.35,1.28,1.3,4800
2019-01-08,1.33,1.33,1.17,1.24,14900
2019-01-15,1.274,1.284,1.274,1.278,5400
2019-01-16,1.28,1.381,1.25,1.381,6900
2019-01-18,1.42,1.45,1.42,1.45,9200
2019-01-22,1.397,1.397,1.303,1.303,1100
2019-01-29,1.33,1.33,1.33,1.33,1600
2019-01-30,1.325,1.347,1.325,1.347,1500
2019-01-31,1.299,1.299,1.299,1.299,1000
2019-02-01,1.29,1.29,1.18,1.18,7900
2019-02-05,1.188,1.22,1.18,1.18,9300
2019-02-06,1.185,1.185,1.185,1.185,200
2019-02-07,1.132,1.132,1.099,1.1,9000
2019-02-08,1.063,1.12,1.051,1.11,1900
2019-02-11,1.11,1.118,0.98,0.99,6400
2019-02-12,1.06,1.103,1.06,1.06,8900
2019-02-13,1.05,1.05,1.05,1.05,100
2019-02-14,1.06,1.06,1.02,1.02,7000
2019-02-15,1.056,1.07,0.89,0.89,22800
2019-02-19,1.022,1.127,1.022,1.05,12400
2019-02-20,1.05,1.05,0.999,1.0,4700
2019-02-21,1.015,1.015,0.957,0.958,7300
2019-02-22,1.05,1.05,0.941,0.954,13200
2019-02-25,0.95,0.956,0.918,0.918,15300
2019-02-27,0.97,1.01,0.97,1.0,6100
2019-02-28,0.99,0.99,0.949,0.983,4200
2019-03-01,1.032,1.055,0.968,0.974,13300
2019-03-04,0.953,1.01,0.953,1.01,6400
2019-03-05,1.0,1.029,1.0,1.02,29000
2019-03-06,1.0,1.0,0.922,0.96,20300
2019-03-07,0.95,0.95,0.94,0.95,7000
2019-03-08,0.979,0.996,0.93,0.94,6800
2019-03-11,0.945,0.945,0.912,0.919,16100
2019-03-12,0.916,0.916,0.903,0.903,2100
2019-03-13,0.903,0.91,0.903,0.91,1000
2019-03-14,0.9,0.91,0.9,0.91,12200
2019-03-18,0.92,0.92,0.897,0.904,13700
2019-03-19,0.909,0.909,0.888,0.888,12500
2019-03-20,0.89,0.894,0.882,0.894,21300
2019-03-21,0.871,0.875,0.81,0.82,11400
2019-03-22,0.78,0.781,0.776,0.781,5700
2019-03-25,0.832,0.832,0.712,0.736,13400
2019-03-26,0.72,0.72,0.692,0.693,10300
2019-03-27,0.673,0.674,0.673,0.674,3500
2019-03-28,0.661,0.661,0.599,0.599,18200
2019-03-29,0.604,0.661,0.604,0.655,3300
2019-04-01,0.68,0.68,0.6,0.628,22500
2019-04-02,0.77,0.791,0.708,0.791,34900
2019-04-03,0.859,0.87,0.797,0.864,33400
2019-04-04,0.887,0.887,0.747,0.754,37500
2019-04-05,0.787,0.839,0.787,0.81,14000
2019-04-08,0.86,0.86,0.779,0.853,92900
2019-04-09,0.85,0.868,0.83,0.84,15800
2019-04-10,0.912,1.039,0.907,1.039,6100
