Date,Open,High,Low,Close,Volume
2024-12-05,6210.0,6250.0,6050.0,6230.0,1164987
2024-12-06,6210.0,6250.0,6050.0,6240.0,1164987
2024-12-08,6150.0,6240.0,5880.0,5910.0,667568
2024-12-09,6000.0,6030.0,5760.0,5890.0,550270
2024-12-10,6000.0,6210.0,6000.0,6190.0,181281
2024-12-11,6220.0,6280.0,6080.0,6100.0,169926
2024-12-12,6180.0,6330.0,6140.0,6330.0,207816
2024-12-13,6180.0,6330.0,6140.0,6310.0,207816
2024-12-15,6510.0,6850.0,6460.0,6770.0,527442
2024-12-16,6790.0,7040.0,6790.0,7010.0,400368
2024-12-17,6950.0,7270.0,6750.0,6770.0,393328
2024-12-18,6790.0,6840.0,6280.0,6330.0,285671
2024-12-19,6270.0,6480.0,6100.0,6420.0,274469
2024-12-20,6270.0,6480.0,6100.0,6440.0,274469
2024-12-22,6370.0,6390.0,6150.0,6210.0,175398
2024-12-23,6490.0,6630.0,6390.0,6600.0,87212
2024-12-24,6490.0,6630.0,6390.0,6600.0,87212
2024-12-25,6480.0,6530.0,6400.0,6500.0,229998
2024-12-26,6690.0,6700.0,6250.0,6380.0,255555
2024-12-27,6690.0,6700.0,6250.0,6350.0,255555
2024-12-29,6380.0,6450.0,6100.0,6370.0,183822
2024-12-30,6380.0,6450.0,6100.0,6370.0,183815
2025-01-01,6570.0,6600.0,6420.0,6540.0,132900
2025-01-02,6550.0,6680.0,6450.0,6640.0,272451
2025-01-03,6550.0,6680.0,6450.0,6640.0,272451
2025-01-05,6800.0,6940.0,6600.0,6900.0,217245
2025-01-06,6860.0,6860.0,6500.0,6520.0,328603
2025-01-07,6520.0,6520.0,6270.0,6380.0,214132
2025-01-08,6400.0,6580.0,6000.0,6440.0,64711
2025-01-09,6390.0,6530.0,6250.0,6480.0,173361
2025-01-10,6390.0,6530.0,6250.0,6480.0,173361
2025-01-12,6220.0,6350.0,6070.0,6270.0,262741
2025-01-13,6530.0,6600.0,6470.0,6550.0,171963
2025-01-14,6620.0,6790.0,6620.0,6780.0,134944
2025-01-15,6740.0,6840.0,6580.0,6820.0,125296
2025-01-16,6870.0,7210.0,6870.0,7190.0,400720
2025-01-17,6870.0,7210.0,6870.0,7180.0,400720
2025-01-19,7400.0,7800.0,7300.0,7490.0,156260
2025-01-20,7140.0,7270.0,6960.0,7260.0,468098
2025-01-21,7110.0,7120.0,6990.0,7100.0,142627
2025-01-22,7000.0,7240.0,6900.0,7040.0,208683
2025-01-23,7050.0,7160.0,6850.0,7050.0,188421
2025-01-24,7050.0,7160.0,6850.0,7010.0,182711
2025-01-26,6790.0,6840.0,6580.0,6660.0,175176
2025-01-27,6790.0,6840.0,6580.0,6650.0,175176
2025-01-28,6770.0,6980.0,6730.0,6970.0,66096
2025-01-29,6980.0,7140.0,6980.0,7100.0,101508
2025-01-30,7070.0,7150.0,6850.0,6890.0,148307
2025-01-31,7070.0,7150.0,6850.0,6870.0,148307
2025-02-02,6500.0,6920.0,6310.0,6920.0,291497
2025-02-03,6780.0,6870.0,6680.0,6760.0,98522
2025-02-04,6850.0,6850.0,6600.0,6680.0,68293
2025-02-05,6680.0,6800.0,6530.0,6550.0,121703
2025-02-06,6800.0,6840.0,6620.0,6650.0,153205
2025-02-07,6800.0,6840.0,6620.0,6650.0,153205
2025-02-09,6800.0,6800.0,6600.0,6610.0,70208
2025-02-10,6650.0,6650.0,6400.0,6460.0,162695
2025-02-11,6620.0,6640.0,6370.0,6620.0,65469
2025-02-12,6570.0,6570.0,6450.0,6520.0,82146
2025-02-13,6510.0,6770.0,6510.0,6660.0,183027
2025-02-14,6510.0,6770.0,6510.0,6680.0,183027
2025-02-16,6660.0,6820.0,6300.0,6700.0,38054
2025-02-17,6690.0,6720.0,6430.0,6500.0,169645
2025-02-18,6600.0,6690.0,6590.0,6610.0,77728
2025-02-19,6700.0,6830.0,6680.0,6830.0,98513
2025-02-20,6860.0,6870.0,6570.0,6580.0,94732
2025-02-21,6860.0,6870.0,6570.0,6600.0,94732
2025-02-23,6600.0,6670.0,6470.0,6500.0,111889
2025-02-24,6190.0,6190.0,5840.0,6060.0,603149
2025-02-25,6200.0,6200.0,5770.0,5790.0,224781
2025-02-26,5870.0,5990.0,5780.0,5810.0,90829
2025-02-27,5730.0,5940.0,5540.0,5920.0,172914
2025-02-28,5730.0,5940.0,5540.0,5900.0,172914
2025-03-04,6160.0,6350.0,6150.0,6290.0,182874
2025-03-05,6210.0,6440.0,6190.0,6190.0,98008
2025-03-06,6200.0,6410.0,6010.0,6100.0,110568
2025-03-07,6200.0,6410.0,6010.0,6090.0,110568
2025-03-09,5690.0,5700.0,5390.0,5520.0,591713
2025-03-10,5570.0,5850.0,5520.0,5830.0,265825
