Date,Open,High,Low,Close,Volume
2025-08-01,6750.0,6880.0,6750.0,6840.0,0
2025-08-05,6900.0,6900.0,6800.0,6830.0,1085
2025-08-06,6780.0,6830.0,6750.0,6810.0,902
2025-08-07,6880.0,6880.0,6810.0,6840.0,2126
2025-08-08,6830.0,6850.0,6790.0,6840.0,2749
2025-08-11,6840.0,6860.0,6780.0,6790.0,330
2025-08-12,6780.0,6870.0,6780.0,6870.0,726
2025-08-13,6940.0,6940.0,6890.0,6940.0,11584
2025-08-14,6830.0,6870.0,6710.0,6790.0,904
2025-08-18,6820.0,6820.0,6760.0,6800.0,1114
2025-08-19,6770.0,6780.0,6710.0,6750.0,1743
2025-08-20,6710.0,6780.0,6680.0,6780.0,2106
2025-08-21,6760.0,6820.0,6730.0,6820.0,1352
2025-08-22,6880.0,6990.0,6880.0,6970.0,37755
2025-08-25,7040.0,7140.0,7040.0,7130.0,8580
2025-08-26,7080.0,7100.0,7050.0,7090.0,10194
2025-08-28,7000.0,7020.0,6960.0,7010.0,1626
2025-08-29,6940.0,7040.0,6830.0,7030.0,38119
2025-09-01,7030.0,7550.0,7030.0,7030.0,183
2025-09-02,7080.0,7090.0,7030.0,7090.0,3574
2025-09-03,7070.0,7140.0,7060.0,7130.0,1230
2025-09-04,7080.0,7140.0,7070.0,7140.0,3610
2025-09-05,7270.0,7310.0,7210.0,7280.0,1757
2025-09-08,7580.0,7700.0,7535.0,7590.0,3494
2025-09-09,7635.0,7665.0,7600.0,7635.0,3542
2025-09-10,7675.0,7675.0,7600.0,7665.0,5816
2025-09-11,7655.0,7830.0,7655.0,7830.0,4402
2025-09-12,7850.0,7965.0,7845.0,7955.0,5052
2025-09-15,8000.0,8125.0,8000.0,8110.0,2906
2025-09-16,8085.0,8130.0,8050.0,8110.0,5698
2025-09-17,8140.0,8255.0,8140.0,8255.0,5715
2025-09-18,8230.0,8570.0,8225.0,8570.0,5118
2025-09-19,8460.0,8590.0,8450.0,8575.0,7458
2025-09-22,8140.0,8140.0,7830.0,7870.0,9545
2025-09-23,7655.0,7800.0,7550.0,7785.0,5924
2025-09-24,7565.0,7700.0,7505.0,7635.0,3868
2025-09-25,7480.0,7660.0,7480.0,7640.0,5058
2025-09-26,7575.0,8015.0,7545.0,8005.0,1769
2025-09-29,8090.0,8185.0,8035.0,8185.0,2760
2025-09-30,8215.0,8490.0,8160.0,8490.0,1280
2025-10-01,8690.0,8755.0,8535.0,8705.0,5177
2025-10-02,8765.0,8790.0,8605.0,8660.0,2651
2025-10-03,8720.0,8725.0,8510.0,8530.0,4194
2025-10-06,8540.0,8590.0,8500.0,8515.0,4805
2025-10-07,8565.0,8685.0,8515.0,8685.0,2135
2025-10-08,8735.0,8750.0,8630.0,8700.0,3973
2025-10-09,8750.0,8750.0,8090.0,8115.0,6530
2025-10-13,7990.0,7990.0,7665.0,7940.0,2852
2025-10-14,7785.0,8140.0,7725.0,8060.0,3442
2025-10-15,8170.0,8220.0,7975.0,8120.0,2361
2025-10-16,8125.0,8380.0,8115.0,8350.0,1461
2025-10-17,8265.0,8665.0,8260.0,8650.0,1153
2025-10-20,8635.0,8880.0,8635.0,8840.0,3725
2025-10-21,8775.0,9040.0,8725.0,9035.0,1422
2025-10-22,9075.0,9080.0,8980.0,9030.0,1683
2025-10-23,9000.0,9000.0,8740.0,8785.0,2936
2025-10-24,8850.0,8900.0,8705.0,8900.0,1013
2025-10-27,8315.0,9015.0,7500.0,8440.0,6272
2025-10-28,8415.0,8585.0,8415.0,8570.0,1789
2025-10-29,8620.0,8620.0,8500.0,8580.0,4177
2025-10-30,8495.0,8535.0,8445.0,8525.0,985
2025-10-31,8525.0,8580.0,8430.0,8550.0,3695
2025-11-03,8640.0,8750.0,8475.0,8710.0,4835
2025-11-04,8680.0,8680.0,8495.0,8560.0,2106
2025-11-05,8580.0,8580.0,8420.0,8490.0,3440
2025-11-06,8605.0,8605.0,8425.0,8460.0,511
2025-11-07,8380.0,8380.0,8235.0,8270.0,1394
2025-11-10,8425.0,8455.0,8270.0,8455.0,1352
2025-11-11,8535.0,8545.0,8310.0,8450.0,1586
2025-11-12,8495.0,8500.0,8335.0,8435.0,884
2025-11-13,8435.0,8490.0,8360.0,8385.0,512
2025-11-14,8385.0,8470.0,8340.0,8450.0,792
2025-11-17,8410.0,8410.0,8275.0,8290.0,1150
2025-11-18,8220.0,8245.0,8180.0,8220.0,403
2025-11-19,8150.0,8210.0,8125.0,8185.0,768
2025-11-20,8180.0,8330.0,8160.0,8180.0,2102
2025-11-21,8245.0,8245.0,8210.0,8220.0,1051
2025-11-25,8395.0,8445.0,8275.0,8445.0,8578
2025-11-26,8345.0,8560.0,8340.0,8515.0,4043
2025-11-27,8945.0,8945.0,8520.0,8850.0,225
2025-11-28,8520.0,8610.0,8445.0,8580.0,2494
2025-12-01,8530.0,8530.0,8420.0,8495.0,1117
2025-12-02,8570.0,8575.0,8450.0,8520.0,944
2025-12-03,8580.0,8585.0,8410.0,8450.0,838
2025-12-04,8565.0,8565.0,8420.0,8485.0,2159
2025-12-05,8555.0,8555.0,8460.0,8505.0,715
2025-12-09,8480.0,8480.0,8360.0,8445.0,18959
2025-12-10,8520.0,8525.0,8420.0,8515.0,2510
2025-12-11,8540.0,8545.0,8410.0,8515.0,540
2025-12-12,8525.0,8525.0,8375.0,8465.0,1351
2025-12-15,8385.0,8545.0,8380.0,8500.0,6011
2025-12-16,8425.0,8425.0,8300.0,8385.0,1762
2025-12-17,8520.0,8535.0,8370.0,8410.0,2102
2025-12-19,8555.0,8560.0,8455.0,8530.0,6951
2025-12-22,8505.0,8640.0,8505.0,8565.0,115886
2025-12-23,8570.0,8695.0,8500.0,8520.0,53916
2025-12-24,8580.0,8580.0,8475.0,8480.0,81
2025-12-26,8550.0,8980.0,8505.0,8885.0,2487
2025-12-29,8700.0,8700.0,8535.0,8570.0,8211
2025-12-30,8600.0,8670.0,8555.0,8555.0,1116
2026-01-02,8685.0,8860.0,8685.0,8855.0,3699
2026-01-05,8970.0,9000.0,8835.0,8950.0,2005
2026-01-06,9040.0,9045.0,8940.0,8990.0,1212
2026-01-07,9005.0,9090.0,8905.0,8930.0,2495
2026-01-08,8940.0,8940.0,8835.0,8855.0,2141
2026-01-09,8950.0,8960.0,8910.0,8950.0,4659
2026-01-12,9030.0,9065.0,8960.0,9040.0,2467
2026-01-13,9115.0,9120.0,8950.0,9005.0,1871
2026-01-14,9135.0,9140.0,8940.0,8970.0,4413
2026-01-15,9090.0,9090.0,8950.0,9010.0,4826
2026-01-16,8925.0,8990.0,8910.0,8990.0,2274
2026-01-19,8990.0,9385.0,8600.0,9260.0,1584
2026-01-20,8905.0,8965.0,8845.0,8930.0,6281
2026-01-21,8920.0,9080.0,8920.0,9045.0,7829
2026-01-22,9060.0,9115.0,8995.0,9075.0,2724
2026-01-23,9080.0,9160.0,9010.0,9155.0,2710
2026-01-26,9075.0,9225.0,9075.0,9185.0,9502
2026-01-27,9255.0,9380.0,9255.0,9295.0,5908
2026-01-28,9380.0,9435.0,9305.0,9365.0,14137
2026-01-29,9305.0,9440.0,9225.0,9305.0,3553
2026-01-30,9280.0,9325.0,9075.0,9135.0,12253
2026-02-02,9135.0,9135.0,8960.0,9070.0,5240
2026-02-03,9220.0,9225.0,9065.0,9090.0,6485
2026-02-04,9180.0,9220.0,8975.0,9045.0,9320
2026-02-05,9100.0,9105.0,8900.0,9015.0,3329
2026-02-06,9115.0,9200.0,9100.0,9155.0,4253
2026-02-09,9265.0,9275.0,9115.0,9190.0,83785
2026-02-10,9265.0,9265.0,9085.0,9185.0,6867
2026-02-11,9225.0,9325.0,9155.0,9320.0,9922
2026-02-12,9300.0,9340.0,9120.0,9170.0,7529
