Date,Open,High,Low,Close,Volume
2019-01-02,40.82,41.14,40.79,41.1,496600
2019-01-03,40.98,41.05,40.73,40.81,530400
2019-01-04,41.47,42.11,41.41,42.02,882000
2019-01-07,42.08,42.31,41.97,42.11,1213500
2019-01-08,42.54,42.64,42.35,42.49,642200
2019-01-09,42.93,43.06,42.77,42.99,2849200
2019-01-10,42.81,43.09,42.8,43.06,1180500
2019-01-11,42.9,42.99,42.8,42.88,267000
2019-01-14,42.51,42.75,42.5,42.65,429800
2019-01-15,42.57,42.78,42.43,42.73,766100
2019-01-16,42.73,42.85,42.71,42.74,394600
2019-01-17,42.59,43.07,42.59,42.97,445600
2019-01-18,43.44,43.51,43.31,43.45,1001500
2019-01-22,43.12,43.22,42.9,42.94,967300
2019-01-23,43.35,43.41,43.06,43.22,3145600
2019-01-24,43.17,43.33,43.04,43.18,529000
2019-01-25,43.56,43.75,43.56,43.64,460300
2019-01-28,43.36,43.51,43.29,43.49,578000
2019-01-29,43.77,43.88,43.65,43.68,445500
2019-01-30,43.85,44.26,43.72,44.11,894700
2019-01-31,43.98,44.15,43.86,44.07,746100
2019-02-01,44.11,44.26,43.97,44.13,696900
2019-02-04,44.03,44.23,43.93,44.22,515200
2019-02-05,44.48,44.65,44.45,44.63,704200
2019-02-06,44.57,44.63,44.43,44.45,233300
2019-02-07,44.12,44.14,43.76,43.81,523500
2019-02-08,43.55,43.7,43.37,43.68,346800
2019-02-11,43.59,43.71,43.5,43.59,997500
2019-02-12,43.87,44.14,43.87,44.12,1787900
2019-02-13,44.26,44.32,44.07,44.08,256600
2019-02-14,44.08,44.3,44.0,44.12,866400
2019-02-15,44.63,44.76,44.52,44.75,511200
2019-02-19,44.7,45.05,44.67,44.97,269700
2019-02-20,45.07,45.38,45.04,45.2,218400
2019-02-21,45.16,45.17,45.01,45.06,410700
2019-02-22,45.22,45.28,45.13,45.17,278600
2019-02-25,45.45,45.5,45.28,45.28,360000
2019-02-26,45.47,45.71,45.46,45.61,162200
2019-02-27,45.56,45.63,45.44,45.45,203000
2019-02-28,45.51,45.68,45.48,45.51,201400
2019-03-01,45.89,45.97,45.73,45.86,410200
2019-03-04,45.87,45.88,45.55,45.72,1396100
2019-03-05,45.69,45.85,45.63,45.76,353800
2019-03-06,45.83,45.85,45.62,45.64,1076700
2019-03-07,45.38,45.4,44.93,44.95,359600
2019-03-08,44.71,44.97,44.68,44.95,271400
2019-03-11,44.97,45.31,44.97,45.3,262500
2019-03-12,45.3,45.38,45.25,45.34,188400
2019-03-13,45.6,45.81,45.57,45.74,1170500
2019-03-14,45.96,46.08,45.92,45.96,396300
2019-03-15,46.31,46.48,46.24,46.45,228100
2019-03-18,46.55,46.69,46.49,46.68,311500
2019-03-19,47.04,47.07,46.78,46.86,418100
2019-03-20,46.68,47.1,46.49,46.83,290100
2019-03-21,46.46,46.7,46.42,46.69,193800
2019-03-22,45.96,46.05,45.54,45.6,2154700
2019-03-25,45.54,45.67,45.42,45.57,363500
2019-03-26,45.83,45.87,45.67,45.75,294200
2019-03-27,45.91,45.97,45.49,45.82,1835600
2019-03-28,45.71,45.75,45.47,45.64,213200
2019-03-29,45.84,45.9,45.61,45.87,275700
2019-04-01,46.32,46.47,46.25,46.47,867900
2019-04-02,46.46,46.65,46.33,46.61,1532800
2019-04-03,46.94,47.13,46.9,47.05,494400
2019-04-04,46.92,47.0,46.85,46.95,518900
2019-04-05,46.95,47.11,46.93,47.09,1046800
2019-04-08,47.18,47.18,47.02,47.13,1177600
2019-04-09,47.02,47.02,46.82,46.87,421100
2019-04-10,46.92,47.1,46.85,47.07,648500
2019-04-11,47.1,47.17,46.97,47.09,257200
2019-04-12,47.36,47.44,47.3,47.42,286600
2019-04-15,47.48,47.56,47.38,47.56,1303300
2019-04-16,47.65,47.66,47.54,47.56,164800
2019-04-17,47.78,47.78,47.6,47.73,186500
2019-04-18,47.64,47.67,47.52,47.64,2227200
2019-04-22,47.55,47.71,47.55,47.64,282500
2019-04-23,47.43,47.62,47.42,47.6,182800
2019-04-24,47.46,47.51,47.27,47.36,898300
2019-04-25,47.11,47.25,47.03,47.22,300400
2019-04-26,47.25,47.34,47.17,47.23,1727800
2019-04-29,47.3,47.53,47.27,47.51,517300
2019-04-30,47.56,47.76,47.45,47.7,525200
2019-05-01,47.76,47.82,47.33,47.34,452400
2019-05-02,47.36,47.39,47.11,47.21,532100
2019-05-03,47.42,47.71,47.37,47.7,579900
2019-05-06,46.7,47.27,46.6,47.2,795900
2019-05-07,46.73,46.76,46.21,46.39,332400
2019-05-08,46.49,46.7,46.41,46.55,329700
