Date,Open,High,Low,Close,Volume
2025-05-15,5910.0,5940.0,5910.0,5950.0,73
2025-05-16,5970.0,6050.0,5970.0,6050.0,1192
2025-05-19,5960.0,6000.0,5910.0,6000.0,275
2025-05-20,5990.0,6010.0,5960.0,6000.0,548
2025-05-21,5950.0,5950.0,5810.0,5820.0,1053
2025-05-22,5790.0,5810.0,5750.0,5810.0,1233
2025-05-23,5740.0,5770.0,5710.0,5790.0,777
2025-05-26,5800.0,6090.0,5800.0,5850.0,58
2025-05-27,5900.0,5960.0,5830.0,5980.0,564
2025-05-28,5940.0,5960.0,5890.0,5920.0,243
2025-05-29,5950.0,6010.0,5910.0,6010.0,238
2025-05-30,6070.0,6080.0,6000.0,6050.0,392
2025-06-02,5970.0,5990.0,5900.0,5980.0,416
2025-06-03,5980.0,6070.0,5970.0,6080.0,187
2025-06-04,6040.0,6080.0,6030.0,6030.0,11
2025-06-05,6070.0,6100.0,6040.0,6060.0,523
2025-06-06,6070.0,6110.0,6060.0,6080.0,128
2025-06-09,6070.0,6160.0,6070.0,6140.0,195
2025-06-10,6130.0,6160.0,6100.0,6120.0,598
2025-06-11,6120.0,6150.0,6060.0,6090.0,231
2025-06-12,6080.0,6080.0,6050.0,6050.0,40
2025-06-13,6050.0,6050.0,5950.0,5990.0,1202
2025-06-17,6000.0,6020.0,5940.0,5940.0,177
2025-06-18,5900.0,5930.0,5880.0,5910.0,216
2025-06-19,5910.0,6200.0,5910.0,6000.0,67
2025-06-23,5950.0,6030.0,5890.0,6060.0,241
2025-06-24,6090.0,6150.0,6060.0,6120.0,1229
2025-06-25,6100.0,6130.0,6010.0,6080.0,840
2025-06-26,6160.0,6220.0,6160.0,6220.0,584
2025-06-27,6240.0,6240.0,6190.0,6230.0,491
2025-06-30,6230.0,6290.0,6170.0,6290.0,743
2025-07-01,6290.0,6490.0,6290.0,6490.0,1188
2025-07-02,6530.0,6560.0,6480.0,6570.0,799
2025-07-03,6630.0,6640.0,6540.0,6640.0,343
2025-07-04,7100.0,7100.0,6650.0,6790.0,361
2025-07-07,6660.0,6740.0,6660.0,6740.0,972
2025-07-08,6760.0,6760.0,6660.0,6690.0,245
2025-07-10,6750.0,6830.0,6730.0,6800.0,188
2025-07-11,6790.0,6790.0,6700.0,6750.0,268
2025-07-14,6700.0,6900.0,6690.0,6910.0,247
2025-07-15,6900.0,6900.0,6690.0,6680.0,190
2025-07-16,6630.0,6700.0,6550.0,6690.0,317
2025-07-17,6720.0,6820.0,6650.0,6810.0,91
2025-07-18,6830.0,6870.0,6820.0,6870.0,836
2025-07-21,6850.0,6910.0,6780.0,6780.0,106
2025-07-22,6790.0,6800.0,6690.0,6750.0,174
2025-07-23,6800.0,6810.0,6760.0,6780.0,250
2025-07-24,6770.0,6800.0,6760.0,6800.0,143
2025-07-25,6800.0,6940.0,6800.0,6930.0,1332
2025-07-28,6900.0,6980.0,6880.0,6970.0,902
2025-07-29,6990.0,7010.0,6930.0,6950.0,784
2025-07-30,6950.0,7050.0,6910.0,6970.0,422
2025-07-31,7050.0,7260.0,7010.0,7170.0,802
2025-08-01,6930.0,7100.0,6920.0,7050.0,1006
2025-08-04,6730.0,7160.0,6730.0,7120.0,385
2025-08-05,7140.0,7140.0,7010.0,7080.0,1471
2025-08-06,6990.0,7030.0,6960.0,7000.0,1089
2025-08-07,6990.0,6990.0,6910.0,6950.0,2454
2025-08-08,6980.0,6990.0,6930.0,6970.0,329
2025-08-11,7000.0,7000.0,6870.0,6900.0,486
2025-08-12,6980.0,7030.0,6940.0,7050.0,226
2025-08-13,7070.0,7100.0,7040.0,7110.0,703
2025-08-14,7060.0,7070.0,6940.0,7000.0,580
2025-08-18,6960.0,6960.0,6870.0,6940.0,891
2025-08-19,6950.0,6980.0,6900.0,6950.0,296
2025-08-20,6920.0,6950.0,6860.0,6940.0,528
2025-08-21,6950.0,6990.0,6950.0,7010.0,57
2025-08-22,7250.0,7270.0,7210.0,7260.0,1480
2025-08-25,7270.0,7360.0,7260.0,7380.0,5216
2025-08-26,7330.0,7410.0,7330.0,7370.0,930
2025-08-27,7320.0,7480.0,7320.0,7380.0,839
2025-08-28,7420.0,7420.0,7300.0,7370.0,972
2025-08-29,7250.0,7360.0,7220.0,7370.0,2051
2025-09-01,7370.0,7700.0,7370.0,7500.0,725
2025-09-02,7480.0,7480.0,7350.0,7430.0,1244
2025-09-03,7400.0,7420.0,7360.0,7420.0,497
2025-09-04,7470.0,7560.0,7470.0,7520.0,1299
2025-09-05,7640.0,7650.0,7560.0,7660.0,1451
2025-09-08,7940.0,8030.0,7845.0,7950.0,788
2025-09-09,7885.0,7925.0,7800.0,7860.0,12951
2025-09-10,7860.0,7860.0,7765.0,7840.0,577
2025-09-11,7840.0,8000.0,7840.0,8030.0,1149
2025-09-12,8030.0,8130.0,8025.0,8115.0,3104
2025-09-15,8110.0,8185.0,8060.0,8160.0,12209
2025-09-16,8030.0,8080.0,8010.0,8010.0,1360
2025-09-17,8110.0,8245.0,8070.0,8125.0,1578
2025-09-18,8170.0,8600.0,8170.0,8615.0,1238
2025-09-19,8600.0,8600.0,8450.0,8570.0,3110
2025-09-22,8350.0,8350.0,7810.0,7840.0,3736
2025-09-23,7655.0,7715.0,7545.0,7710.0,1836
2025-09-24,7555.0,7635.0,7555.0,7550.0,1850
2025-09-25,7485.0,7560.0,7430.0,7525.0,1089
2025-09-26,7555.0,8030.0,7555.0,8020.0,4143
2025-09-29,8080.0,8100.0,7960.0,8110.0,1256
2025-09-30,8080.0,8365.0,8080.0,8405.0,11445
2025-10-01,8565.0,8595.0,8370.0,8595.0,1690
2025-10-02,8595.0,8665.0,8430.0,8510.0,814
2025-10-03,8500.0,8500.0,8375.0,8375.0,1678
2025-10-06,8355.0,8435.0,8305.0,8350.0,2508
2025-10-07,8335.0,8475.0,8305.0,8435.0,793
2025-10-08,8500.0,8585.0,8465.0,8515.0,672
2025-10-09,8575.0,8575.0,7940.0,7935.0,3383
2025-10-13,7490.0,7720.0,7395.0,7750.0,711
2025-10-14,7685.0,8065.0,7615.0,7960.0,431
2025-10-15,8060.0,8060.0,7790.0,7940.0,767
2025-10-16,7920.0,7950.0,7900.0,8020.0,409
2025-10-17,8025.0,8310.0,7945.0,8300.0,568
2025-10-20,8360.0,8500.0,8360.0,8505.0,1959
2025-10-21,8505.0,8820.0,8470.0,8765.0,1308
2025-10-22,8790.0,8870.0,8660.0,8665.0,1298
2025-10-23,8695.0,8695.0,8500.0,8490.0,579
2025-10-24,8515.0,8645.0,8470.0,8640.0,143
2025-10-27,7950.0,8900.0,7770.0,8100.0,1388
2025-10-28,8130.0,8200.0,8120.0,8185.0,351
2025-10-29,8110.0,8200.0,8055.0,8095.0,836
2025-10-30,8080.0,8105.0,8015.0,8005.0,57
