Date,Open,High,Low,Close,Volume
2019-01-02,49.0,49.0,48.0,49.0,13244
2019-01-03,49.0,49.0,48.0,48.0,13356
2019-01-04,49.0,49.0,47.0,47.8,10391
2019-01-07,47.8,50.9,47.8,49.5,65156
2019-01-08,49.5,50.0,48.5,49.7,55271
2019-01-09,49.7,51.3,49.5,51.0,49285
2019-01-10,51.0,51.0,50.0,50.2,6596
2019-01-11,50.0,51.5,49.2,50.8,72832
2019-01-14,51.0,51.85,51.0,51.7,5543
2019-01-15,51.4,51.4,49.0,51.1,15033
2019-01-16,51.0,54.0,50.65,52.5,73372
2019-01-17,53.7,53.7,51.5,52.4,3121
2019-01-18,52.4,53.5,51.0,52.4,12817
2019-01-21,52.45,52.9,51.05,52.75,9940
2019-01-22,52.0,53.2,51.4,51.45,21359
2019-01-23,51.6,52.2,51.2,51.6,15865
2019-01-24,51.4,51.4,50.5,51.15,32944
2019-01-25,51.7,51.75,51.0,51.35,10254
2019-01-28,52.0,52.0,50.0,51.7,18649
2019-01-29,51.7,52.8,51.0,51.0,57146
2019-01-30,52.5,55.2,52.3,53.85,68684
2019-01-31,55.0,56.6,54.0,55.5,87666
2019-02-01,56.6,56.8,55.2,55.5,19233
2019-02-04,55.5,57.5,55.3,56.95,10354
2019-02-05,56.9,57.5,54.75,56.6,23491
2019-02-06,56.5,56.5,55.25,55.4,4830
2019-02-07,55.4,56.5,53.8,55.5,26926
2019-02-08,55.5,56.3,55.0,55.85,17033
2019-02-11,56.8,58.1,56.0,56.4,38350
2019-02-12,56.4,57.4,56.2,57.2,15124
2019-02-13,56.8,56.8,55.0,55.4,20975
2019-02-14,54.4,56.0,54.0,54.3,75397
2019-02-15,55.0,55.0,53.8,54.0,9943
2019-02-18,54.0,55.0,54.0,54.7,3996
2019-02-19,54.3,54.7,52.1,52.35,19059
2019-02-20,52.55,55.3,52.55,53.3,22063
2019-02-21,52.7,53.2,52.0,53.05,2185
2019-02-22,53.0,54.5,53.0,53.7,21914
2019-02-25,52.35,54.0,51.7,52.75,26050
2019-02-26,53.0,53.0,50.5,51.05,719
2019-02-27,51.0,52.45,50.2,51.0,16409
2019-02-28,50.0,52.65,50.0,52.65,17442
2019-03-01,53.0,56.0,51.8,55.95,65796
2019-03-06,56.3,56.3,53.05,53.05,19804
2019-03-07,54.9,54.9,51.7,52.05,52737
2019-03-08,52.5,52.7,51.5,52.0,8809
2019-03-11,51.0,53.0,51.0,52.5,10069
2019-03-12,52.7,52.7,50.1,50.9,43162
2019-03-13,51.0,52.9,51.0,51.5,11442
2019-03-14,52.5,52.5,50.1,50.3,15519
2019-03-15,50.3,52.0,50.15,51.7,40622
2019-03-18,49.2,52.6,49.2,51.9,14762
2019-03-19,52.0,52.95,51.0,51.0,8860
2019-03-20,51.95,52.5,50.1,50.95,10566
2019-03-21,50.95,52.1,49.6,51.0,6207
2019-03-22,50.8,50.8,48.95,50.4,29647
2019-03-25,51.3,51.3,48.9,49.2,56853
2019-03-26,50.0,50.0,47.2,49.5,52883
2019-03-27,49.0,49.5,48.0,49.0,23124
2019-03-28,47.5,49.7,47.5,49.7,13204
2019-03-29,48.9,49.0,47.5,49.0,30536
2019-04-01,49.0,49.0,45.0,47.25,58279
2019-04-03,47.0,47.0,43.5,45.3,30222
2019-04-04,45.0,45.45,43.7,45.0,11946
2019-04-05,45.95,46.45,45.5,45.75,10795
2019-04-08,43.5,47.0,43.5,47.0,29079
2019-04-09,46.2,46.65,44.5,44.6,37050
2019-04-10,47.0,47.95,44.95,47.2,27863
2019-04-11,47.95,47.95,45.0,46.0,24332
2019-04-12,47.0,47.0,45.0,45.0,6214
2019-04-15,45.0,45.0,43.0,44.0,8964
2019-04-16,44.85,44.9,43.0,44.5,24697
2019-04-17,44.75,45.5,43.7,44.0,362040
2019-04-22,44.2,44.2,41.4,41.95,16513
2019-04-23,41.95,42.5,41.5,42.0,22434
2019-04-24,41.0,43.9,41.0,42.9,77267
2019-04-25,42.9,44.75,42.9,43.0,37404
2019-04-26,43.0,44.75,42.6,44.5,228151
2019-04-29,44.75,44.75,41.0,41.3,35582
2019-04-30,41.4,41.6,40.05,41.4,11665
2019-05-02,42.45,42.45,40.65,41.5,6301
2019-05-03,41.5,42.4,41.5,41.5,42017
2019-05-06,41.5,42.5,41.0,42.5,42499
2019-05-07,40.8,41.95,40.45,41.0,16731
2019-05-08,40.45,42.8,40.45,42.1,40304
2019-05-09,41.5,42.7,41.2,42.7,18361
2019-05-10,42.0,42.3,41.0,41.2,9779
2019-05-13,41.2,41.2,39.2,39.7,17976
2019-05-14,40.0,40.0,39.15,39.35,41383
2019-05-15,40.0,40.6,39.35,40.45,58644
2019-05-16,40.5,42.4,40.5,41.6,42242
2019-05-17,41.5,42.0,40.6,41.7,29106
2019-05-20,41.9,41.9,38.5,39.9,41990
2019-05-21,39.9,41.4,39.9,41.35,33567
2019-05-22,41.5,42.0,40.5,41.3,25745
2019-05-23,41.5,42.0,41.0,41.8,11712
2019-05-24,42.3,43.9,41.1,43.85,239759
2019-05-27,44.5,44.9,42.0,43.5,6882
2019-05-28,43.2,44.65,42.8,42.85,26326
2019-05-29,42.85,42.85,41.0,41.25,13641
2019-05-30,42.05,43.25,42.0,42.3,8820
2019-05-31,42.3,43.75,42.1,42.1,2683
2019-06-03,41.5,41.5,39.5,40.5,40923
2019-06-04,41.95,42.0,40.0,40.6,23285
2019-06-05,42.0,42.0,39.1,40.0,54671
2019-06-06,40.5,40.5,38.9,38.9,33405
2019-06-07,39.7,39.7,38.6,38.85,20801
2019-06-10,39.0,39.65,38.8,39.55,37628
2019-06-11,37.6,41.0,37.6,39.95,59796
2019-06-12,41.0,43.3,41.0,42.9,89368
