Date,Open,High,Low,Close,Volume
2024-10-01,7100.0,7100.0,7100.0,7100.0,327
2024-10-02,7100.0,7100.0,7000.0,7000.0,194
2024-10-03,7000.0,7000.0,7000.0,7000.0,20
2024-10-04,7000.0,7000.0,7000.0,7000.0,0
2024-10-07,6850.0,6990.0,6850.0,6990.0,8
2024-10-08,6850.0,6990.0,6850.0,6990.0,0
2024-10-09,6800.0,6800.0,6800.0,6800.0,1
2024-10-10,6800.0,6800.0,6800.0,6800.0,6
2024-10-14,6800.0,6800.0,6800.0,6800.0,0
2024-10-15,6800.0,6800.0,6800.0,6800.0,0
2024-10-16,6800.0,6800.0,6800.0,6800.0,0
2024-10-17,6800.0,6800.0,6800.0,6800.0,0
2024-10-18,7000.0,7000.0,6800.0,7000.0,65
2024-10-21,7000.0,7000.0,7000.0,7000.0,10
2024-10-22,7000.0,7000.0,7000.0,7000.0,17
2024-10-23,7000.0,7000.0,7000.0,7000.0,43
2024-10-24,7000.0,7000.0,7000.0,7000.0,0
2024-10-25,7000.0,7100.0,7000.0,7000.0,25
2024-10-29,6410.0,6630.0,6400.0,6630.0,23
2024-10-30,6410.0,6630.0,6400.0,6630.0,0
2024-10-31,6410.0,6630.0,6400.0,6630.0,0
2024-11-01,6600.0,6800.0,6600.0,6650.0,4
2024-11-04,6800.0,6800.0,6600.0,6600.0,84
2024-11-05,6800.0,6800.0,6800.0,6800.0,39
2024-11-06,7000.0,7000.0,7000.0,7000.0,9
2024-11-07,7000.0,7000.0,6800.0,7000.0,61
2024-11-08,7000.0,7000.0,7000.0,7000.0,10
2024-11-11,7000.0,7000.0,7000.0,7000.0,15
2024-11-12,7000.0,7000.0,6850.0,7000.0,155
2024-11-13,7000.0,7000.0,6900.0,6880.0,35
2024-11-14,6800.0,7000.0,6800.0,7000.0,23
2024-11-15,6990.0,6990.0,6990.0,6990.0,142
2024-11-19,6990.0,6990.0,6990.0,6990.0,0
2024-11-20,6900.0,6900.0,6900.0,6900.0,7
2024-11-21,6650.0,6650.0,6650.0,6900.0,1
2024-11-22,6600.0,6900.0,6600.0,6900.0,7
