Date,Open,High,Low,Close,Volume
2019-01-02,99.81,101.91,99.56,101.55,2577800
2019-01-03,100.65,100.65,98.97,99.16,2129700
2019-01-04,100.55,102.52,100.4,102.29,6128900
2019-01-07,102.44,103.7,101.84,103.04,1887000
2019-01-08,104.0,104.06,102.93,103.81,1307200
2019-01-09,104.12,104.72,103.6,104.27,2925000
2019-01-10,103.62,104.86,103.42,104.79,1341000
2019-01-11,104.29,104.92,104.0,104.84,2497900
2019-01-14,104.0,104.77,103.85,104.45,1311000
2019-01-15,104.4,105.33,104.4,105.15,4403500
2019-01-16,105.39,106.24,105.39,105.81,1450100
2019-01-17,105.35,107.02,105.33,106.57,1727200
2019-01-18,107.47,108.34,107.09,108.16,2027900
2019-01-22,107.57,107.62,106.13,106.71,3056200
2019-01-23,107.19,107.53,105.89,106.9,1081000
2019-01-24,106.78,107.35,106.55,107.1,1296600
2019-01-25,107.97,108.55,107.83,108.21,2856200
2019-01-28,107.19,107.72,106.8,107.69,1663600
2019-01-29,107.82,108.21,107.56,107.86,1194800
2019-01-30,108.41,109.63,107.89,109.14,1193000
2019-01-31,108.91,109.95,108.74,109.78,1336600
2019-02-01,110.03,110.37,109.58,109.95,1015900
2019-02-04,109.92,110.58,109.51,110.57,871900
2019-02-05,110.79,111.05,110.38,110.88,842700
2019-02-06,110.68,111.08,110.63,110.9,819600
2019-02-07,110.3,110.48,109.13,109.85,954000
2019-02-08,109.36,109.73,108.63,109.71,857800
2019-02-11,109.94,109.97,109.52,109.72,609500
2019-02-12,110.37,111.28,110.37,111.12,734000
2019-02-13,111.43,111.93,111.35,111.56,599400
2019-02-14,111.03,111.65,110.56,111.11,2044400
2019-02-15,111.91,112.57,111.87,112.56,546800
2019-02-19,112.22,113.12,112.22,112.85,568400
2019-02-20,112.78,113.43,112.71,113.23,699000
2019-02-21,112.99,113.02,112.25,112.66,574800
2019-02-22,112.9,113.12,112.62,113.05,630600
2019-02-25,113.67,114.01,113.23,113.27,789000
2019-02-26,113.06,113.49,112.98,113.02,780600
2019-02-27,112.79,113.02,112.35,112.81,622000
2019-02-28,112.73,112.73,112.17,112.24,740300
2019-03-01,112.95,113.27,112.3,112.89,595000
2019-03-04,113.28,113.41,111.4,112.35,721500
2019-03-05,112.42,112.42,111.81,112.14,517600
2019-03-06,112.13,112.15,111.24,111.33,523800
2019-03-07,111.19,111.19,110.12,110.5,1497400
2019-03-08,109.74,110.47,109.6,110.41,843200
2019-03-11,110.91,112.06,110.91,112.01,559300
2019-03-12,112.22,112.71,112.19,112.4,589000
2019-03-13,112.75,113.52,112.7,113.14,582500
2019-03-14,113.27,113.48,113.0,113.24,333700
2019-03-15,113.44,114.02,113.38,113.69,548300
2019-03-18,113.79,114.48,113.78,114.4,422300
2019-03-19,114.86,115.17,113.78,114.18,783100
2019-03-20,113.36,113.54,112.38,112.59,687700
2019-03-21,112.23,114.06,112.23,113.79,431800
2019-03-22,113.17,113.45,111.47,111.51,886600
2019-03-25,111.39,111.82,110.64,111.16,1027600
2019-03-26,111.95,112.48,111.4,111.94,653400
2019-03-27,112.06,112.29,110.97,111.57,928300
2019-03-28,111.84,112.17,111.29,112.02,1260700
2019-03-29,112.64,112.84,112.18,112.74,1000700
2019-04-01,113.56,114.32,113.43,114.2,1004100
2019-04-02,114.22,114.34,113.82,114.13,659500
2019-04-03,114.64,114.84,114.09,114.43,912500
2019-04-04,114.47,115.03,114.47,114.97,502600
2019-04-05,115.27,115.65,115.07,115.6,717600
2019-04-08,115.4,115.87,115.25,115.83,966300
2019-04-09,115.45,115.45,114.78,115.01,539900
2019-04-10,115.23,115.43,114.91,115.39,277800
2019-04-11,115.62,115.82,115.18,115.43,431400
2019-04-12,116.23,116.6,115.73,116.22,493200
2019-04-15,116.22,116.3,115.8,116.09,464400
2019-04-16,116.5,116.52,116.08,116.44,433100
2019-04-17,116.78,116.78,116.13,116.38,362700
2019-04-18,116.67,116.67,116.15,116.47,413900
2019-04-22,116.18,116.45,116.15,116.4,322600
2019-04-23,116.5,117.35,116.38,117.23,1372800
2019-04-24,117.1,117.22,116.78,116.91,297500
2019-04-25,116.42,116.7,115.79,116.32,463000
2019-04-26,116.3,116.89,116.18,116.88,340800
2019-04-29,116.94,117.5,116.94,117.17,408400
2019-04-30,117.3,117.5,116.48,117.36,485500
2019-05-01,117.81,118.12,116.83,116.85,584200
2019-05-02,116.79,117.24,115.98,116.59,477000
2019-05-03,117.14,117.62,116.97,117.48,273200
2019-05-06,115.67,117.12,115.51,116.94,437700
2019-05-07,115.92,116.05,114.2,114.97,770400
2019-05-08,114.85,115.51,114.54,114.71,534000
2019-05-09,113.88,114.72,113.09,114.41,777500
2019-05-10,114.0,115.24,112.63,114.89,653500
2019-05-13,112.9,112.9,111.52,111.92,952100
2019-05-14,112.27,113.65,112.27,112.93,733200
2019-05-15,112.22,113.52,111.96,113.2,625000
2019-05-16,113.49,114.6,113.49,113.92,628200
2019-05-17,112.91,114.23,112.9,113.27,531600
2019-05-20,112.62,113.21,112.31,112.64,445600
2019-05-21,113.35,113.95,113.19,113.76,610000
2019-05-22,113.35,113.58,112.91,113.05,539300
2019-05-23,112.1,112.1,110.99,111.71,781300
2019-05-24,112.24,112.42,111.61,111.94,363600
2019-05-28,112.09,112.22,110.49,110.49,517200
2019-05-29,109.98,110.27,109.18,109.9,1012800
2019-05-30,110.19,110.6,109.46,109.91,486400
2019-05-31,108.78,109.11,108.43,108.5,731600
2019-06-03,108.58,109.64,108.55,109.16,1030400
2019-06-04,110.19,111.82,110.19,111.74,820400
2019-06-05,112.33,112.47,111.5,112.39,640900
2019-06-06,112.53,113.43,112.29,113.14,573400
2019-06-07,113.48,114.33,113.4,113.87,272000
2019-06-10,114.57,115.17,114.42,114.44,359500
2019-06-11,115.09,115.34,114.4,114.61,339100
2019-06-12,114.52,114.7,114.1,114.21,348000
2019-06-13,114.63,115.07,114.56,114.97,538000
