Date,Open,High,Low,Close,Volume
2025-01-14,6150.0,6150.0,5980.0,5980.0,1441
2025-01-15,6280.0,6280.0,6080.0,6130.0,5408
2025-01-16,6290.0,6290.0,6100.0,6140.0,2788
2025-01-17,6220.0,6220.0,6140.0,6180.0,4326
2025-01-20,6190.0,7000.0,6050.0,6550.0,787
2025-01-21,6550.0,6550.0,6190.0,6200.0,7605
2025-01-22,6240.0,6410.0,6240.0,6310.0,3693
2025-01-23,6310.0,6350.0,6280.0,6320.0,2278
2025-01-24,6400.0,6400.0,6110.0,6230.0,5674
2025-01-27,6230.0,6230.0,5930.0,5980.0,3902
2025-01-28,5960.0,6190.0,5960.0,6160.0,2327
2025-01-29,6020.0,6270.0,6020.0,6130.0,1507
2025-01-30,6030.0,6280.0,6030.0,6190.0,4521
2025-01-31,6290.0,6300.0,6190.0,6200.0,4828
2025-02-03,6200.0,6220.0,6030.0,6150.0,1392
2025-02-04,6250.0,6260.0,6100.0,6260.0,3399
2025-02-05,6260.0,6310.0,6190.0,6270.0,4311
2025-02-06,6420.0,6420.0,6200.0,6320.0,4916
2025-02-07,6490.0,6490.0,6220.0,6310.0,1616
2025-02-10,6310.0,6420.0,6290.0,6320.0,1687
2025-02-11,6290.0,6310.0,6230.0,6270.0,3054
2025-02-12,6270.0,6290.0,6160.0,6290.0,617
2025-02-13,6370.0,6370.0,6200.0,6330.0,1274
2025-02-14,6410.0,6410.0,6350.0,6400.0,4364
2025-02-17,6500.0,7190.0,6330.0,6770.0,1477
2025-02-18,6570.0,6570.0,6430.0,6460.0,8747
2025-02-19,6440.0,6530.0,6430.0,6490.0,2097
2025-02-20,6510.0,6510.0,6390.0,6440.0,833
2025-02-21,6480.0,6480.0,6290.0,6280.0,6927
2025-02-24,6400.0,6400.0,6190.0,6240.0,2215
2025-02-25,6270.0,6270.0,6100.0,6180.0,345
2025-02-26,6240.0,6270.0,6170.0,6200.0,1931
2025-02-27,6200.0,6280.0,6100.0,6090.0,2131
2025-02-28,6200.0,6200.0,6020.0,6100.0,1186
2025-03-05,6050.0,6140.0,5950.0,6130.0,4346
2025-03-06,6130.0,6130.0,5930.0,5930.0,1343
2025-03-07,6050.0,6050.0,5730.0,5900.0,3410
2025-03-10,5760.0,5810.0,5640.0,5670.0,2678
2025-03-11,5740.0,5770.0,5630.0,5690.0,3094
2025-03-12,5800.0,5820.0,5710.0,5820.0,4247
2025-03-13,5740.0,5770.0,5690.0,5720.0,836
2025-03-14,5730.0,5870.0,5730.0,5910.0,2212
2025-03-17,5870.0,6020.0,5870.0,5990.0,1611
2025-03-18,5920.0,6080.0,5910.0,6070.0,2694
2025-03-19,6050.0,6210.0,6050.0,6130.0,1944
2025-03-20,6080.0,6140.0,6050.0,6110.0,1366
2025-03-21,6090.0,6160.0,6060.0,6140.0,6920
2025-03-25,6320.0,6350.0,6280.0,6340.0,2978
2025-03-26,6300.0,6320.0,6170.0,6210.0,2557
2025-03-27,6160.0,6220.0,6130.0,6170.0,992
2025-03-28,6070.0,6130.0,6030.0,6040.0,1565
2025-03-31,5980.0,6110.0,5980.0,6090.0,1793
2025-04-01,6110.0,6180.0,6060.0,6120.0,25757
2025-04-03,5930.0,5990.0,5870.0,5900.0,1074
2025-04-04,5760.0,5770.0,5570.0,5590.0,1683
2025-04-07,5560.0,5840.0,5480.0,5760.0,1798
2025-04-08,5970.0,6000.0,5630.0,5640.0,2325
2025-04-09,5740.0,6170.0,5680.0,6170.0,7134
2025-04-10,6060.0,6120.0,5870.0,6090.0,4432
2025-04-11,6090.0,6140.0,5870.0,6070.0,2031
2025-04-14,6070.0,6070.0,5520.0,5760.0,5152
2025-04-15,5750.0,5750.0,5630.0,5680.0,1770
2025-04-16,5560.0,5560.0,5140.0,5170.0,3416
2025-04-21,5120.0,5120.0,4645.0,4850.0,1894
2025-04-22,4875.0,5130.0,4875.0,5080.0,9
2025-04-23,5300.0,5440.0,5300.0,5360.0,1326
2025-04-24,5400.0,5610.0,5400.0,5580.0,2217
2025-04-25,5580.0,5680.0,5570.0,5680.0,1463
2025-04-28,5660.0,5660.0,5490.0,5630.0,1875
2025-04-29,5660.0,5660.0,5600.0,5600.0,2411
2025-04-30,5530.0,5690.0,5490.0,5690.0,1082
2025-05-05,5760.0,5930.0,5760.0,5840.0,2966
2025-05-06,5830.0,5910.0,5790.0,5830.0,473
2025-05-07,5800.0,5800.0,5570.0,5660.0,1159
2025-05-08,5700.0,5700.0,5570.0,5640.0,986
2025-05-09,5640.0,5680.0,5530.0,5640.0,1084
2025-05-12,5720.0,5850.0,5720.0,5850.0,2231
2025-05-13,5860.0,5960.0,5860.0,5960.0,432
2025-05-14,5960.0,6000.0,5910.0,5990.0,800
2025-05-15,5980.0,6030.0,5920.0,6020.0,1920
2025-05-16,6040.0,6100.0,6010.0,6110.0,766
2025-05-19,6110.0,6110.0,5970.0,6080.0,700
2025-05-20,6070.0,6070.0,6010.0,6060.0,256
2025-05-21,6060.0,6060.0,5920.0,5920.0,4604
2025-05-22,5950.0,5990.0,5910.0,5980.0,1958
2025-05-23,5910.0,5920.0,5840.0,5910.0,1186
2025-05-26,5920.0,6600.0,5920.0,6500.0,757
2025-05-27,5940.0,6110.0,5940.0,6110.0,8981
2025-05-28,6100.0,6120.0,6070.0,6100.0,4618
2025-05-29,6120.0,6230.0,6120.0,6170.0,2918
2025-05-30,6220.0,6290.0,6180.0,6230.0,1302
2025-06-02,6290.0,6290.0,6150.0,6200.0,1266
2025-06-03,6250.0,6310.0,6210.0,6310.0,4731
2025-06-04,6320.0,6340.0,6260.0,6330.0,1692
2025-06-05,6330.0,6390.0,6240.0,6270.0,3349
2025-06-06,6340.0,6350.0,6300.0,6340.0,2313
2025-06-09,6340.0,6350.0,6290.0,6350.0,2628
2025-06-10,6330.0,6350.0,6300.0,6340.0,4320
2025-06-11,6340.0,6390.0,6290.0,6290.0,1757
2025-06-12,6290.0,6380.0,6290.0,6350.0,3898
2025-06-13,6340.0,6340.0,6220.0,6260.0,1721
2025-06-17,6310.0,6350.0,6200.0,6200.0,2465
2025-06-18,6230.0,6230.0,6120.0,6130.0,2632
2025-06-19,6200.0,6600.0,6150.0,6550.0,958
2025-06-23,6190.0,6320.0,6130.0,6320.0,3309
2025-06-24,6380.0,6420.0,6330.0,6350.0,5198
2025-06-25,6440.0,6490.0,6350.0,6490.0,3226
2025-06-26,6490.0,6580.0,6490.0,6520.0,1330
2025-06-27,6570.0,6590.0,6530.0,6550.0,3553
2025-06-30,6580.0,6700.0,6570.0,6710.0,5082
2025-07-01,6680.0,6760.0,6580.0,6700.0,3493
2025-07-02,6750.0,6850.0,6750.0,6820.0,5153
2025-07-03,6890.0,6920.0,6820.0,6940.0,2796
2025-07-04,6890.0,7650.0,6890.0,7600.0,1713
2025-07-07,6920.0,7060.0,6880.0,7080.0,10329
2025-07-08,7010.0,7050.0,6900.0,6960.0,3714
2025-07-10,6980.0,7080.0,6980.0,7040.0,3891
2025-07-11,7080.0,7080.0,7010.0,7060.0,1348
2025-07-14,7060.0,7230.0,7020.0,7200.0,1471
2025-07-15,7240.0,7300.0,7090.0,7090.0,2268
2025-07-16,7110.0,7140.0,6990.0,7140.0,1915
2025-07-17,7140.0,7240.0,7090.0,7220.0,946
2025-07-18,7250.0,7300.0,7190.0,7260.0,2162
2025-07-21,7290.0,7370.0,7240.0,7240.0,1574
2025-07-22,7180.0,7210.0,7050.0,7120.0,2506
2025-07-23,7140.0,7170.0,7070.0,7130.0,2847
2025-07-24,7200.0,7250.0,7150.0,7210.0,2862
2025-07-25,7300.0,7380.0,7260.0,7320.0,4202
2025-07-28,7390.0,7430.0,7330.0,7420.0,2854
2025-07-29,7420.0,7490.0,7340.0,7380.0,1733
2025-07-30,7370.0,7540.0,7360.0,7540.0,2203
2025-07-31,7660.0,7880.0,7660.0,7710.0,5138
2025-08-01,7660.0,7720.0,7500.0,7620.0,3944
2025-08-04,7620.0,7780.0,7290.0,7750.0,3239
2025-08-05,7750.0,7750.0,7600.0,7630.0,5438
2025-08-06,7590.0,7660.0,7560.0,7620.0,1825
2025-08-07,7640.0,7720.0,7520.0,7590.0,4490
2025-08-08,7590.0,7680.0,7590.0,7670.0,2306
2025-08-11,7670.0,7700.0,7600.0,7600.0,2921
2025-08-12,7640.0,7710.0,7590.0,7690.0,1452
2025-08-13,7720.0,7720.0,7600.0,7670.0,3054
2025-08-14,7650.0,7710.0,7540.0,7610.0,19135
2025-08-18,7590.0,7590.0,7500.0,7550.0,3016
2025-08-19,7550.0,7550.0,7400.0,7470.0,5480
2025-08-20,7400.0,7480.0,7290.0,7470.0,5751
2025-08-21,7460.0,7490.0,7400.0,7460.0,2154
2025-08-22,7500.0,7670.0,7500.0,7670.0,3922
2025-08-25,7670.0,7850.0,7660.0,7810.0,2445
2025-08-26,7770.0,7850.0,7730.0,7850.0,2199
2025-08-27,7840.0,7930.0,7840.0,7870.0,4585
2025-08-28,7880.0,7880.0,7760.0,7820.0,853
2025-08-29,7780.0,7800.0,7610.0,7790.0,3701
2025-09-01,7710.0,8300.0,7710.0,8230.0,1557
2025-09-02,7870.0,7870.0,7710.0,7810.0,5567
2025-09-03,7830.0,7900.0,7800.0,7890.0,3560
2025-09-04,7880.0,8010.0,7880.0,8020.0,50632
2025-09-05,8140.0,8140.0,7980.0,8060.0,4373
2025-09-08,8340.0,8540.0,8335.0,8420.0,3971
2025-09-09,8425.0,8440.0,8330.0,8440.0,2722
2025-09-10,8440.0,8505.0,8425.0,8495.0,3283
2025-09-11,8530.0,8615.0,8490.0,8630.0,3366
2025-09-12,8640.0,8800.0,8590.0,8815.0,3669
2025-09-15,8850.0,8965.0,8825.0,8990.0,5325
2025-09-16,8900.0,8935.0,8815.0,8815.0,5526
2025-09-17,8820.0,8945.0,8805.0,8940.0,5552
2025-09-18,9025.0,9380.0,9010.0,9375.0,6937
2025-09-19,9370.0,9470.0,9270.0,9460.0,6948
2025-09-22,8960.0,8970.0,8585.0,8735.0,33837
2025-09-23,8610.0,8610.0,8290.0,8540.0,3516
2025-09-24,8350.0,8430.0,8225.0,8360.0,4705
2025-09-25,8310.0,8365.0,8215.0,8325.0,4293
2025-09-26,8350.0,8830.0,8295.0,8770.0,2070
2025-09-29,8840.0,8970.0,8815.0,8935.0,4894
2025-09-30,9000.0,9300.0,8900.0,9325.0,6172
2025-10-01,9320.0,9595.0,9265.0,9555.0,4868
2025-10-02,9550.0,9645.0,9350.0,9450.0,6248
2025-10-03,9450.0,9505.0,9245.0,9255.0,3193
2025-10-06,9250.0,9315.0,9185.0,9215.0,3242
2025-10-07,9300.0,9425.0,9220.0,9450.0,4367
