Date,Open,High,Low,Close,Volume
2022-01-17,4497.5,4509.0,4395.0,4449.0,2812
2022-01-18,4451.5,4451.5,4340.0,4421.0,3034
2022-01-19,4460.5,4576.5,4435.5,4558.0,1341
2022-01-20,4505.5,4532.5,4436.0,4456.5,1472
2022-01-21,4505.5,4532.5,4436.0,4456.5,1472
2022-01-23,4385.5,4533.5,4342.0,4481.0,4151
2022-01-24,4490.0,4600.0,4428.5,4571.5,3184
2022-01-25,4600.0,4670.5,4456.0,4533.0,2290
2022-01-26,4530.0,4634.0,4495.5,4495.5,8311
2022-01-27,4463.5,4463.5,4235.0,4303.0,3618
2022-01-28,4463.5,4463.5,4235.0,4303.0,3618
2022-01-30,4469.0,4476.5,4359.5,4456.5,1688
2022-01-31,4640.0,4640.0,4454.0,4508.5,3669
2022-02-01,4615.0,4615.0,4413.5,4427.0,1630
2022-02-02,4439.0,4439.0,4339.0,4383.5,1008
2022-02-03,4389.5,4389.5,4320.0,4378.5,1012
2022-02-04,4389.5,4389.5,4320.0,4380.5,1012
2022-02-06,4398.5,4426.0,4338.0,4410.0,1076
2022-02-07,4410.0,4433.0,4346.0,4359.0,1211
2022-02-08,4424.0,4435.5,4395.0,4411.5,3070
2022-02-09,4377.0,4446.0,4345.0,4390.0,930
2022-02-10,4390.0,4439.5,4298.0,4301.5,8459
2022-02-11,4390.0,4439.5,4298.0,4310.0,8459
2022-02-13,4352.5,4367.0,4268.0,4290.5,1931
2022-02-14,4293.5,4382.5,4293.5,4365.5,2390
2022-02-15,4374.0,4374.0,4319.0,4337.0,734
2022-02-16,4500.0,4500.0,4248.5,4248.5,614
2022-02-17,4179.0,4212.0,4116.0,4145.5,779
2022-02-18,4179.0,4212.0,4116.0,4144.5,779
2022-02-20,4145.5,4560.0,4145.5,4146.0,87
2022-02-21,4125.0,4128.5,3969.5,3973.0,415
2022-02-22,3954.0,4015.0,3936.5,3939.5,1932
2022-02-23,3888.5,3969.0,3757.5,3968.0,1232
2022-02-24,4046.0,4078.5,4004.0,4039.0,1052
2022-02-25,4046.0,4078.5,4004.0,4039.0,1052
2022-03-01,4053.5,4142.0,4053.5,4139.0,2111
2022-03-02,4159.0,4159.0,4050.0,4065.0,1540
2022-03-03,4051.0,4051.0,3966.0,3991.0,1001
2022-03-04,4051.0,4051.0,3966.0,3991.0,1001
2022-03-06,3995.0,4015.0,3889.0,3903.5,3064
2022-03-07,3904.0,3978.0,3875.0,3908.5,1196
2022-03-08,3913.5,3960.5,3872.0,3872.0,691
2022-03-09,3857.5,3857.5,3783.5,3809.0,613
2022-03-10,3852.0,3856.0,3747.0,3755.0,544
2022-03-11,3852.0,3856.0,3747.0,3755.0,544
2022-03-13,3747.0,3747.0,3624.5,3628.5,145
2022-03-14,3627.0,3712.0,3606.5,3696.5,700
2022-03-15,3758.5,3910.5,3758.5,3910.5,946
2022-03-16,3999.0,4023.5,3969.0,4023.5,327
2022-03-17,4069.0,4069.0,4013.5,4054.5,1699
2022-03-18,4069.0,4069.0,4013.5,4054.5,1699
2022-03-20,4055.0,4076.0,4032.5,4037.0,317
2022-03-21,4126.0,4156.0,4106.0,4150.5,1720
2022-03-22,4087.5,4184.5,4032.5,4089.0,2879
2022-03-23,4087.5,4184.5,4032.5,4089.0,2879
2022-03-24,4107.5,4136.0,4100.0,4129.5,917
2022-03-25,4107.5,4136.0,4100.0,4129.5,917
2022-03-27,4090.5,4090.5,4023.5,4039.5,424
2022-03-28,4096.0,4124.5,4059.0,4068.5,546
2022-03-29,4063.0,4066.0,3982.0,3987.5,1725
2022-03-30,4030.5,4030.5,3917.5,3927.5,1016
2022-03-31,3965.0,3965.0,3879.5,3934.5,1186
2022-04-01,3965.0,3965.0,3879.5,3934.5,1186
2022-04-03,3915.0,3958.5,3906.5,3947.0,778
2022-04-04,3961.5,3961.5,3855.0,3860.5,1799
2022-04-05,3870.0,3870.0,3780.0,3806.5,2555
2022-04-06,3797.5,3817.0,3749.0,3814.5,2795
2022-04-07,3780.0,3825.0,3765.0,3793.0,634
2022-04-08,3780.0,3825.0,3765.0,3793.0,634
2022-04-10,3758.0,3801.0,3728.5,3761.5,1675
2022-04-11,3846.5,3846.5,3766.0,3776.0,323
2022-04-12,3775.0,3846.5,3775.0,3843.0,11972
2022-04-13,3775.0,3846.5,3775.0,3843.0,11972
2022-04-17,3757.0,3785.5,3707.0,3745.0,897
2022-04-18,3837.0,3862.0,3762.0,3848.0,197
2022-04-19,3883.0,3967.0,3870.0,3966.5,1323
2022-04-20,4000.0,4029.0,3984.0,4029.0,645
2022-04-21,4030.0,4065.0,4003.0,4050.0,3410
2022-04-22,4030.0,4065.0,4003.0,4050.0,3410
2022-04-24,4014.0,4052.0,3950.0,4044.0,1175
2022-04-25,4082.5,4082.5,3976.0,4042.5,387
2022-04-26,4042.5,4042.5,3909.0,3910.5,1731
2022-04-27,3905.5,3966.5,3888.0,3964.0,500
2022-04-28,3962.0,3962.0,3820.0,3829.5,605
2022-04-29,3962.0,3962.0,3820.0,3829.5,605
2022-05-01,3870.0,3947.0,3837.0,3947.0,3416
2022-05-02,3947.0,3947.0,3895.0,3929.5,385
2022-05-03,3961.5,3973.5,3870.0,3955.5,1482
2022-05-04,3936.0,3936.0,3806.5,3814.5,1929
2022-05-05,3770.0,3849.0,3761.0,3813.5,1407
2022-05-06,3770.0,3849.0,3761.0,3813.5,1407
2022-05-08,3755.5,3759.0,3623.5,3637.0,630
2022-05-09,3677.5,3688.0,3554.5,3651.0,4266
2022-05-10,3660.5,3695.5,3550.0,3550.0,631
2022-05-11,3580.0,3620.5,3534.5,3540.5,2950
2022-05-12,3688.5,3815.5,3685.5,3804.0,517
2022-05-13,3688.5,3815.5,3685.5,3804.0,517
2022-05-15,3746.5,3823.5,3745.5,3781.5,338
2022-05-16,3818.5,3863.0,3817.0,3844.5,636
2022-05-17,3818.5,3863.0,3817.0,3844.5,636
2022-05-18,3712.5,3774.0,3712.5,3724.5,279
2022-05-19,3756.5,3756.5,3637.0,3663.5,910
2022-05-20,3756.5,3756.5,3637.0,3663.5,910
2022-05-22,3719.5,3776.0,3694.0,3776.0,194
2022-05-23,3696.0,3755.0,3672.0,3747.0,361
2022-05-24,3696.0,3755.0,3672.0,3747.0,361
2022-05-25,3830.5,3928.0,3830.5,3903.5,1179
2022-05-26,3962.0,4000.0,3942.5,3997.5,337
2022-05-27,3962.0,4000.0,3942.5,3997.5,337
2022-05-29,3930.0,4050.0,3930.0,3941.0,21
2022-05-30,3949.0,3951.0,3913.5,3920.0,439
2022-05-31,3917.0,3917.0,3836.0,3909.5,136
2022-06-01,3888.0,3999.0,3888.0,3999.0,525
2022-06-02,3930.0,3945.0,3873.5,3944.5,72
2022-06-03,3930.0,3945.0,3873.5,3944.5,72
2022-06-05,3949.5,3963.0,3917.5,3929.0,380
2022-06-06,3958.0,4025.0,3958.0,4025.0,167
2022-06-07,4015.0,4015.0,3930.0,3963.5,195
2022-06-08,3932.0,4054.5,3914.5,4050.0,215
2022-06-09,3982.5,4076.0,3936.0,4061.5,10782
2022-06-10,3982.5,4076.0,3936.0,4061.5,10782
2022-06-12,3941.5,4107.5,3923.5,4095.0,1100
2022-06-13,4082.0,4099.0,4021.0,4099.0,4798
2022-06-14,4119.5,4137.5,4056.5,4092.0,589
2022-06-15,3967.0,3995.5,3954.0,3980.0,93
2022-06-16,3967.0,3995.5,3954.0,3980.0,93
2022-06-20,4076.5,4086.0,4038.5,4060.0,321
2022-06-21,4025.5,4060.0,3970.5,3970.5,648
2022-06-22,4010.0,4047.0,3947.0,4047.0,405
2022-06-23,4143.0,4170.0,4074.0,4151.5,295
2022-06-24,4143.0,4170.0,4074.0,4151.5,295
2022-06-26,4170.0,4315.0,4120.5,4311.5,2836
2022-06-27,4373.5,4430.0,4255.0,4328.0,391
2022-06-28,4269.0,4310.5,4230.0,4289.0,775
2022-06-29,4184.0,4335.0,4178.5,4305.0,3332
2022-06-30,4348.5,4500.0,4265.0,4402.5,985
