Date,Open,High,Low,Close,Volume
2022-07-24,1750.0,1787.0,1720.0,1782.0,3025
2022-07-25,1733.5,1767.0,1715.0,1737.0,1094
2022-07-26,1805.0,1805.0,1754.5,1780.0,571
2022-07-27,1759.0,1762.0,1666.0,1762.0,428
2022-07-28,1755.5,1755.5,1589.5,1605.0,1002
2022-07-31,1605.0,1605.0,1500.0,1550.0,726
2022-08-01,1615.0,1700.5,1615.0,1700.5,433
2022-08-02,1722.0,1800.0,1715.0,1800.0,9782
2022-08-03,1900.0,1967.0,1800.0,1940.5,6106
2022-08-04,2000.0,2104.5,1967.0,1971.0,9071
2022-08-05,2000.0,2104.5,1967.0,1971.0,9071
2022-08-07,2079.0,2100.0,1947.0,2039.5,1091
2022-08-08,1965.0,1999.5,1954.0,1999.5,3795
2022-08-09,2165.0,2420.5,2165.0,2389.5,12519
2022-08-10,2645.0,2675.5,2414.5,2439.5,3590
2022-08-11,2525.0,2741.5,2525.0,2741.5,2537
2022-08-12,2525.0,2741.5,2525.0,2741.5,2537
2022-08-15,2656.0,2822.0,2570.5,2781.5,2849
2022-08-16,2820.0,2877.0,2526.0,2569.0,687
2022-08-17,2530.5,2530.5,2455.0,2510.0,1027
2022-08-18,2413.0,2413.0,2354.0,2359.5,3536
2022-08-19,2413.0,2413.0,2354.0,2359.5,3536
2022-08-21,2298.5,2300.0,2203.0,2216.0,564
2022-08-22,2216.0,2218.0,2180.5,2190.0,1003
2022-08-23,2260.0,2371.0,2260.0,2354.5,1689
2022-08-24,2468.0,2498.5,2425.0,2464.5,798
2022-08-25,2425.0,2440.0,2290.0,2302.5,1322
2022-08-26,2425.0,2440.0,2290.0,2302.5,1322
2022-08-28,2310.0,2310.0,2221.5,2286.0,1139
2022-08-29,2288.0,2288.0,2168.5,2202.0,592
2022-08-30,2250.0,2262.0,2169.5,2193.0,518
2022-08-31,2150.5,2170.5,1975.0,2153.5,11817
2022-09-01,2150.5,2170.5,1975.0,2153.5,11817
2022-09-04,2153.5,2153.5,2153.5,2153.5,2
2022-09-05,2038.5,2038.5,1961.0,1998.0,678
2022-09-06,2029.5,2080.5,2004.0,2064.0,3054
2022-09-07,2105.5,2139.0,2070.0,2139.0,531
2022-09-08,2151.5,2259.0,2151.5,2190.5,969
2022-09-09,2151.5,2259.0,2151.5,2190.5,969
2022-09-11,2225.0,2262.0,2204.5,2258.0,367
2022-09-12,2154.0,2154.0,2038.0,2038.0,563
2022-09-13,2029.5,2142.0,2010.0,2141.0,671
2022-09-14,2241.0,2270.5,2195.5,2250.0,285
2022-09-15,2177.5,2179.0,2140.0,2155.5,732
2022-09-16,2177.5,2179.0,2140.0,2155.5,732
2022-09-18,2120.0,2190.0,2087.5,2188.0,108
2022-09-19,2167.5,2167.5,2094.0,2102.0,165
2022-09-20,2094.0,2150.5,2057.5,2058.5,753
2022-09-21,2004.0,2004.0,1902.0,1920.5,3712
2022-09-22,1875.0,1903.0,1835.0,1876.0,1850
2022-09-23,1875.0,1903.0,1835.0,1876.0,1850
2022-09-25,1910.0,1910.0,1815.0,1815.0,43
2022-09-26,1844.0,1844.0,1740.0,1763.0,191
2022-09-27,1701.0,1889.0,1701.0,1885.0,831
2022-09-28,1755.0,1794.5,1737.0,1780.0,2348
2022-09-29,1790.0,1846.0,1790.0,1822.5,572
2022-09-30,1790.0,1846.0,1790.0,1822.5,572
2022-10-02,1749.0,1847.0,1749.0,1810.0,10424
2022-10-03,1887.0,1954.5,1887.0,1950.0,1254
2022-10-04,1830.0,1899.0,1811.0,1899.0,1412
2022-10-05,1892.5,1893.5,1815.0,1850.0,1280
2022-10-06,1892.5,1893.5,1815.0,1850.0,1280
2022-10-10,1565.5,1650.0,1563.0,1582.0,2361
2022-10-11,1579.0,1620.0,1551.5,1620.0,427
