Date,Open,High,Low,Close,Volume
2019-01-02,95.949997,99.779999,95.940002,99.309998,15670900
2019-01-03,98.639999,98.889999,96.690002,97.110001,16286400
2019-01-04,99.110001,100.93,98.279999,100.690002,16935200
2019-01-07,100.43,101.470001,99.709999,100.760002,15430700
2019-01-08,101.629997,101.82,99.550003,100.57,13578800
2019-01-09,100.809998,101.489998,99.93,100.400002,14230300
2019-01-10,100.019997,100.730003,99.269997,100.389999,14376100
2019-01-11,99.889999,100.169998,98.949997,99.910004,15439900
2019-01-14,98.870003,101.360001,98.660004,100.940002,21258500
2019-01-15,98.889999,102.470001,98.599998,101.68,26504900
2019-01-16,102.25,103.449997,101.800003,102.5,18533000
2019-01-17,102.110001,103.5,101.919998,102.919998,14247600
2019-01-18,103.769997,104.900002,102.830002,104.589996,16428700
2019-01-22,103.080002,103.589996,102.129997,102.940002,17083700
2019-01-23,103.440002,103.699997,101.970001,102.68,12146700
2019-01-24,102.129997,103.089996,101.940002,102.739998,11296800
2019-01-25,103.510002,104.309998,102.739998,103.389999,14369400
2019-01-28,102.889999,104.239998,102.589996,103.879997,12283100
2019-01-29,103.879997,105.110001,103.730003,104.169998,9743300
2019-01-30,104.139999,105.239998,103.779999,104.410004,12526300
2019-01-31,103.410004,103.800003,102.730003,103.5,17520600
2019-02-01,104.0,104.849998,103.519997,103.879997,13000800
2019-02-04,103.790001,104.25,103.010002,104.25,9871500
2019-02-05,104.519997,104.550003,103.290001,103.790001,12763000
2019-02-06,103.709999,104.620003,103.470001,103.739998,8745000
2019-02-07,103.25,103.5,101.440002,102.379997,13177500
2019-02-08,102.080002,102.339996,100.059998,101.360001,12892600
2019-02-11,101.760002,102.010002,100.769997,100.879997,10978500
2019-02-12,101.949997,102.919998,101.889999,102.599998,12852300
2019-02-13,102.900002,103.849998,102.900002,103.089996,10754100
2019-02-14,102.470001,103.099998,101.349998,102.419998,11518500
2019-02-15,103.900002,105.699997,103.660004,105.550003,14716900
2019-02-19,104.910004,105.370003,103.809998,105.18,12764900
2019-02-20,105.209999,105.800003,104.879997,105.690002,10030300
2019-02-21,105.449997,105.989998,104.959999,105.470001,8400100
2019-02-22,105.699997,106.089996,104.779999,105.0,10647300
2019-02-25,105.75,107.269997,105.690002,106.099998,11230700
2019-02-26,104.5,105.470001,103.940002,105.290001,15465400
2019-02-27,105.18,105.379997,104.510002,105.160004,9968800
2019-02-28,105.010002,105.209999,104.18,104.360001,15156900
2019-03-01,105.099998,105.910004,104.199997,104.43,13813300
2019-03-04,104.919998,105.919998,103.269997,104.190002,12466300
2019-03-05,104.129997,104.550003,103.260002,104.110001,10856600
2019-03-06,103.860001,104.57,103.550003,103.720001,9070800
2019-03-07,103.25,103.470001,102.160004,102.970001,12705700
2019-03-08,101.989998,103.230003,101.989998,103.010002,10582400
2019-03-11,103.980003,104.550003,103.660004,104.349998,9763200
2019-03-12,104.589996,104.790001,103.75,104.040001,10219100
2019-03-13,104.190002,104.980003,103.949997,104.389999,13022200
2019-03-14,104.5,105.870003,104.459999,105.339996,10926500
2019-03-15,105.410004,106.800003,105.230003,106.550003,24811700
2019-03-18,106.550003,107.790001,106.5,107.190002,12935500
2019-03-19,108.199997,108.400002,106.550003,106.800003,12889300
2019-03-20,106.43,106.650002,104.410004,104.519997,14920700
2019-03-21,103.489998,103.489998,102.279999,102.870003,19751000
2019-03-22,101.82,102.32,99.519997,99.760002,31115200
2019-03-25,99.589996,100.57,98.089996,98.93,21032300
2019-03-26,99.82,100.400002,98.82,99.919998,15987100
2019-03-27,99.879997,100.449997,99.080002,99.580002,12753200
2019-03-28,100.0,100.800003,99.739998,100.709999,12454100
2019-03-29,101.540001,101.989998,100.589996,101.230003,14523400
2019-04-01,102.150002,104.68,102.120003,104.639999,17499300
2019-04-02,104.599998,105.440002,104.330002,105.139999,10295400
2019-04-03,105.809998,106.360001,104.790001,105.349998,11499200
2019-04-04,104.550003,105.730003,104.449997,105.559998,11952100
2019-04-05,105.800003,106.110001,104.989998,105.309998,9933700
2019-04-08,105.110001,105.650002,104.910004,105.650002,8056300
2019-04-09,105.080002,105.199997,104.25,104.870003,9092200
2019-04-10,105.129997,105.720001,104.470001,105.339996,10882300
2019-04-11,105.709999,106.730003,105.559998,106.230003,11183800
2019-04-12,109.440002,111.849998,108.879997,111.209999,25834100
2019-04-15,110.919998,111.0,109.120003,109.940002,15163800
2019-04-16,109.900002,111.389999,109.860001,111.099998,11583200
2019-04-17,111.699997,114.660004,111.010002,114.300003,17791900
2019-04-18,114.529999,114.949997,113.330002,113.459999,12501900
2019-04-22,112.830002,113.93,112.660004,113.599998,7975900
2019-04-23,113.0,114.370003,112.849998,113.739998,9193100
2019-04-24,113.260002,114.150002,112.809998,113.550003,9245700
2019-04-25,113.010002,114.150002,112.5,113.610001,9311800
2019-04-26,113.949997,114.580002,113.599998,114.470001,7889300
2019-04-29,114.599998,117.160004,114.449997,116.120003,14242200
2019-04-30,116.43,116.720001,115.260002,116.050003,11389100
2019-05-01,115.720001,117.0,115.110001,115.160004,10412900
2019-05-02,115.169998,115.779999,114.580002,115.410004,8613300
2019-05-03,116.0,116.68,115.669998,116.120003,8185400
2019-05-06,114.18,115.470001,113.720001,115.089996,9387000
2019-05-07,114.029999,114.029999,112.290001,113.209999,15017700
2019-05-08,112.660004,113.669998,112.459999,112.610001,9575800
2019-05-09,111.139999,112.739998,110.580002,112.519997,12205900
2019-05-10,111.75,112.839996,110.540001,112.510002,13189000
2019-05-13,110.080002,110.449997,108.980003,109.449997,13783700
2019-05-14,109.550003,111.720001,109.5,110.32,10503600
2019-05-15,109.209999,110.900002,108.610001,109.900002,10142000
2019-05-16,110.620003,112.169998,110.589996,111.309998,9672700
2019-05-17,110.0,111.75,109.830002,110.769997,9570100
2019-05-20,110.580002,111.809998,110.370003,111.349998,8518200
2019-05-21,111.440002,111.919998,111.220001,111.730003,7967900
2019-05-22,111.400002,111.790001,110.75,110.82,7918900
2019-05-23,109.639999,109.790001,107.5,108.639999,14558000
2019-05-24,109.519997,109.959999,109.190002,109.709999,8537300
2019-05-28,109.199997,109.830002,108.440002,108.519997,11665500
2019-05-29,107.449997,108.400002,107.059998,108.220001,9966400
2019-05-30,108.650002,109.18,106.540001,107.059998,10367800
2019-05-31,105.559998,106.589996,104.839996,105.959999,10952800
2019-06-03,105.800003,106.860001,105.300003,106.459999,11680700
2019-06-04,107.849998,109.900002,107.129997,109.739998,12858600
2019-06-05,109.860001,110.379997,108.639999,110.129997,8340500
2019-06-06,110.150002,110.870003,108.93,110.370003,8726700
2019-06-07,109.699997,110.019997,108.959999,109.160004,10618900
2019-06-10,110.75,111.209999,110.220001,110.339996,11380600
2019-06-11,110.82,111.57,110.370003,110.68,9847700
2019-06-12,110.699997,110.900002,108.889999,109.269997,9669000
2019-06-13,109.459999,110.160004,109.050003,109.540001,8406900
2019-06-14,109.57,110.300003,108.629997,109.82,9077400
2019-06-17,109.699997,110.370003,109.059998,109.220001,8128600
2019-06-18,109.010002,111.410004,108.980003,110.709999,11057300
2019-06-19,110.82,111.589996,109.699997,109.910004,13126500
2019-06-20,110.879997,111.089996,109.029999,110.190002,13638000
2019-06-21,110.190002,111.669998,109.089996,109.440002,27089500
2019-06-24,109.279999,109.769997,108.540001,108.660004,13039600
2019-06-25,108.68,108.980003,107.669998,107.760002,18660100
2019-06-26,108.300003,109.309998,108.160004,108.480003,10324600
2019-06-27,108.839996,109.550003,108.440002,108.839996,10906600
2019-06-28,111.040001,112.43,110.900002,111.800003,21634700
2019-07-01,113.230003,114.519997,113.080002,113.68,12762500
2019-07-02,113.510002,114.199997,113.220001,113.800003,10174900
2019-07-03,113.339996,113.870003,112.260002,112.82,6849400
2019-07-05,113.510002,114.269997,112.919998,113.489998,7929400
2019-07-08,112.959999,113.480003,112.5,112.870003,6917200
2019-07-09,112.279999,113.489998,112.150002,113.349998,8947300
2019-07-10,113.370003,113.830002,112.739998,113.019997,9242300
2019-07-11,113.370003,114.360001,113.120003,114.099998,11595200
2019-07-12,114.129997,115.349998,113.93,115.300003,10783400
2019-07-15,115.540001,115.57,113.529999,113.900002,12946600
2019-07-16,113.480003,115.5,112.919998,115.120003,16945000
2019-07-17,114.43,114.940002,113.730003,113.989998,13120900
2019-07-18,113.93,115.07,113.550003,114.669998,9400700
