Date,Open,High,Low,Close,Volume
2019-01-02,3.25,3.48,3.05,3.24,234900
2019-01-03,3.24,3.31,3.1,3.15,107200
2019-01-04,3.24,3.48,3.17,3.39,197500
2019-01-07,3.45,3.48,3.25,3.37,167500
2019-01-08,3.37,3.47,3.3,3.3,73600
2019-01-09,3.35,3.47,3.35,3.42,91500
2019-01-10,3.43,3.46,3.32,3.33,65000
2019-01-11,3.33,3.45,3.32,3.35,56600
2019-01-14,3.41,3.5,3.3,3.34,85100
2019-01-15,3.36,3.43,3.35,3.37,57500
2019-01-16,3.41,3.43,3.27,3.32,131100
2019-01-17,3.34,3.38,3.32,3.32,35300
2019-01-18,3.32,3.4,3.25,3.25,119300
2019-01-22,3.22,3.22,3.03,3.06,174900
2019-01-23,3.07,3.09,3.0,3.03,78100
2019-01-24,3.04,3.1,3.03,3.09,56600
2019-01-25,3.09,3.18,3.06,3.15,89300
2019-01-28,3.2,3.2,3.05,3.08,65000
2019-01-29,3.1,3.25,3.08,3.18,139900
2019-01-30,3.13,3.24,3.13,3.24,81900
2019-01-31,3.2,3.28,3.17,3.23,77700
2019-02-01,3.23,3.26,3.19,3.22,50800
2019-02-04,3.22,3.23,3.15,3.15,78800
2019-02-05,3.15,3.18,3.11,3.13,65300
2019-02-06,3.14,3.17,3.11,3.12,70700
2019-02-07,3.1,3.1,3.02,3.02,88700
2019-02-08,3.09,3.09,3.02,3.06,66800
2019-02-11,3.1,3.19,3.03,3.04,107000
2019-02-12,3.04,3.06,3.02,3.03,190500
2019-02-13,3.09,3.09,3.02,3.04,77600
2019-02-14,3.05,3.05,3.02,3.03,86200
2019-02-15,3.08,3.15,3.04,3.13,141700
2019-02-19,3.15,3.2,3.12,3.16,195700
2019-02-20,3.19,3.49,3.19,3.49,414100
2019-02-21,3.5,3.88,3.5,3.66,611200
2019-02-22,3.76,3.9,3.7,3.77,313000
2019-02-25,3.78,3.89,3.75,3.76,144500
2019-02-26,3.75,3.75,3.51,3.61,181600
2019-02-27,3.68,3.68,3.51,3.64,95800
2019-02-28,3.63,3.7,3.58,3.7,80100
2019-03-01,3.72,3.86,3.68,3.73,158000
2019-03-04,3.8,3.81,3.6,3.7,142600
2019-03-05,3.68,4.0,3.63,3.91,254700
2019-03-06,3.85,4.0,3.8,3.95,217800
2019-03-07,3.98,4.29,3.84,4.18,1813900
2019-03-08,4.23,4.25,3.94,4.1,388400
2019-03-11,4.08,4.39,3.98,4.34,303300
2019-03-12,4.4,4.45,4.2,4.27,255400
2019-03-13,4.27,4.6,4.21,4.56,399300
2019-03-14,4.54,4.6,4.4,4.46,169400
2019-03-15,4.49,4.51,4.4,4.41,228300
2019-03-18,4.43,4.43,4.28,4.37,153600
2019-03-19,4.39,4.4,4.2,4.27,206400
2019-03-20,4.27,4.33,4.12,4.28,217800
2019-03-21,4.28,4.3,4.17,4.27,245100
2019-03-22,4.27,4.27,4.15,4.18,251400
2019-03-25,4.18,4.22,3.92,3.95,473800
2019-03-26,3.92,4.08,3.85,3.95,163100
2019-03-27,4.0,4.04,3.92,3.93,148700
2019-03-28,3.92,3.98,3.85,3.87,109000
2019-03-29,3.9,3.91,3.7,3.78,141000
2019-04-01,3.9,4.35,3.9,4.21,532900
2019-04-02,4.33,4.44,4.21,4.37,274800
2019-04-03,4.38,4.4,4.21,4.21,197900
2019-04-04,4.22,4.29,4.09,4.27,117900
2019-04-05,4.23,4.8,4.2,4.8,694400
2019-04-08,4.89,4.89,4.42,4.56,463900
2019-04-09,4.53,4.63,4.34,4.63,200000
2019-04-10,4.68,4.74,4.63,4.65,224700
2019-04-11,4.68,4.74,4.5,4.54,154000
2019-04-12,4.62,4.66,4.55,4.59,79300
2019-04-15,4.64,4.7,4.41,4.51,109700
2019-04-16,4.49,4.59,4.23,4.27,349100
2019-04-17,4.26,4.3,3.95,4.07,375500
2019-04-18,4.03,4.09,3.97,4.01,178100
2019-04-22,4.02,4.02,3.95,3.96,196400
2019-04-23,3.96,4.04,3.9,3.92,202300
2019-04-24,3.95,3.99,3.8,3.82,285000
2019-04-25,3.8,3.81,3.65,3.72,279600
2019-04-26,3.73,3.92,3.65,3.92,247300
2019-04-29,3.91,3.91,3.7,3.76,298600
2019-04-30,3.78,3.8,3.68,3.7,146900
2019-05-01,3.7,3.75,3.6,3.62,195200
2019-05-02,3.62,3.75,3.62,3.73,185800
2019-05-03,3.73,3.92,3.69,3.91,305100
2019-05-06,3.8,3.86,3.72,3.78,120700
2019-05-07,3.71,3.77,3.65,3.7,131700
2019-05-08,3.66,3.77,3.58,3.63,136700
2019-05-09,3.61,3.63,3.52,3.57,127200
2019-05-10,3.58,3.71,3.56,3.64,115000
2019-05-13,3.61,3.63,3.53,3.57,89200
2019-05-14,3.54,3.59,3.52,3.55,176300
2019-05-15,3.55,3.63,3.37,3.61,274000
2019-05-16,3.65,3.86,3.65,3.78,196400
2019-05-17,3.77,3.77,3.57,3.67,112100
2019-05-20,3.64,3.79,3.6,3.78,66600
2019-05-21,3.78,4.34,3.78,4.24,798300
2019-05-22,4.17,4.25,3.96,3.96,230600
2019-05-23,3.87,3.96,3.74,3.77,194300
2019-05-24,3.8,3.95,3.73,3.92,101200
2019-05-28,3.96,4.1,3.9,4.02,219300
2019-05-29,4.09,4.26,3.99,4.22,338600
2019-05-30,4.24,4.39,4.11,4.15,334000
2019-05-31,4.02,4.09,3.98,4.03,195300
2019-06-03,4.03,4.1,3.88,3.93,224300
2019-06-04,4.07,4.07,3.91,3.97,219800
2019-06-05,3.99,4.0,3.82,3.83,209500
2019-06-06,3.81,3.88,3.73,3.83,150600
2019-06-07,3.84,3.86,3.76,3.81,83900
2019-06-10,3.94,3.94,3.85,3.89,169800
2019-06-11,3.94,3.95,3.88,3.92,66700
2019-06-12,3.88,3.91,3.78,3.82,64600
2019-06-13,3.82,3.87,3.73,3.81,174200
2019-06-14,3.84,3.84,3.72,3.81,69900
2019-06-17,3.78,3.84,3.75,3.81,48800
2019-06-18,3.83,3.93,3.79,3.91,138100
2019-06-19,3.87,3.9,3.78,3.82,98200
2019-06-20,3.84,3.94,3.84,3.89,75800
2019-06-21,3.88,3.88,3.8,3.85,27500
2019-06-24,3.84,3.92,3.74,3.74,83200
2019-06-25,3.7,3.8,3.7,3.77,80800
2019-06-26,3.8,3.82,3.77,3.81,63500
